datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,ACEUSDT,66c5c37633a1faa0652bd17b,Binance,5m,2096816.69,4863343.29503185,0.6798,2024-08-21 18:37:42,1425415.985862,8942.55855,3918.5999999999,0.0063132554,0.001872332,2.3183,2.3183,2.316,2.3181,5398.79
2024-08-21 10:40:00,ACEUSDT,66c5c43b75fa436123578ec1,Binance,5m,2086640.02,4830154.318296,0.6818,2024-08-21 18:40:59,1422671.165636,-2744.8202259999,-10176.6699999999,-0.0019256275,-0.0048533904,2.3146,2.3178,2.3134,2.3178,3723.76
2024-08-21 10:45:00,ACEUSDT,66c5c55132c70d8ca7f02e67,Binance,5m,2091097.09,4858406.5490974,0.6811,2024-08-21 18:45:37,1424246.227999,1575.0623630001,4457.0700000001,0.0011071162,0.0021360033,2.3227,2.3228,2.3207,2.3207,3053.13
2024-08-21 10:50:00,ACEUSDT,66c5c6830d284892836482cc,Binance,5m,2092958.93,4861064.1539772,0.6789,2024-08-21 18:50:43,1420909.8175769998,-3336.4104220003,1861.8399999999,-0.0023425798,0.0008903652,2.3239,2.3286,2.3231,2.3274,3060.3
2024-08-21 10:55:00,ACEUSDT,66c5c7b00788cec8cdab26f4,Binance,5m,2091864.97,4862447.22304168,0.6807,2024-08-21 18:55:44,1423932.485079,3022.6675020002,-1093.96,0.0021272761,-0.0005226858,2.3231,2.3231,2.3204,2.3216,1974.0
2024-08-21 11:00:00,ACEUSDT,66c5c8d6d0a6235fd39c1f07,Binance,5m,2090585.34,4856847.861888,0.6804,2024-08-21 19:00:38,1422434.265336,-1498.2197429999,-1279.6299999999,-0.0010521705,-0.0006117173,2.3232,2.3277,2.3218,2.3246,18954.31
2024-08-21 11:05:00,ACEUSDT,66c5ca03cd9cfc74bfecfeca,Binance,5m,2100106.36,4881047.83893136,0.6767,2024-08-21 19:05:39,1421141.973812,-1292.2915240002,9521.0199999998,-0.000908507,0.0045542365,2.3241,2.3279,2.3234,2.3279,3403.19
2024-08-21 11:10:00,ACEUSDT,66c5cb24b4d7755ce8dab4b9,Binance,5m,2096300.14,4877461.535738,0.6753,2024-08-21 19:10:28,1415631.484542,-5510.48927,-3806.22,-0.0038775079,-0.0018123939,2.3269,2.3287,2.3261,2.3277,6301.91
2024-08-21 11:15:00,ACEUSDT,66c5cc5bf5f1cc5b477258e8,Binance,5m,2095876.49,4873677.64553997,0.6752,2024-08-21 19:15:39,1415135.806048,-495.6784939999,-423.6499999999,-0.0003501466,-0.0002020942,2.326,2.327,2.3234,2.3235,2545.44
2024-08-21 11:20:00,ACEUSDT,66c5cd8243e6d4110ddc654b,Binance,5m,2089766.85,4850766.81222,0.6746,2024-08-21 19:20:34,1409756.71701,-5379.089038,-6109.6399999999,-0.0038011115,-0.0029150764,2.3215,2.3215,2.32,2.3211,2113.48
