datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,ADAUSDT,66c5c36f33a1faa0652bd11a,Binance,5m,132914418.0,46648460.23580652,0.7178,2024-08-21 18:37:35,95405969.2404,-14393.2650000006,35484.0,-0.0001508406,0.0002670401,0.3509,0.3509,0.3507,0.3508,345756.0
2024-08-21 10:40:00,ADAUSDT,66c5c43275fa436123578e4f,Binance,5m,132588094.0,46498644.5658,0.7184,2024-08-21 18:40:50,95251286.7296,-154682.5107999891,-326324.0,-0.0016213085,-0.0024551437,0.3508,0.3508,0.3506,0.3507,74951.0
2024-08-21 10:45:00,ADAUSDT,66c5c54b32c70d8ca7f02e1c,Binance,5m,132655497.0,46535548.3476,0.7181,2024-08-21 18:45:31,95259912.3957,8625.6660999805,67403.0,9.0557e-05,0.0005083639,0.3507,0.3508,0.3506,0.3507,159804.0
2024-08-21 10:50:00,ADAUSDT,66c5c6820d284892836482c4,Binance,5m,132779865.0,46645566.5745,0.7187,2024-08-21 18:50:42,95428888.9755,168976.5798000097,124368.0,0.0017738477,0.0009375262,0.3513,0.3515,0.3512,0.3515,62254.0
2024-08-21 10:55:00,ADAUSDT,66c5c7a10788cec8cdab2633,Binance,5m,132744761.0,46660972.88455856,0.7189,2024-08-21 18:55:29,95430208.6829,1319.7073999941,-35104.0,1.38292e-05,-0.0002643774,0.3515,0.3516,0.3514,0.3514,130848.0
2024-08-21 11:00:00,ADAUSDT,66c5c8d6d0a6235fd39c1f0c,Binance,5m,132883141.0,46752468.17858445,0.7194,2024-08-21 19:00:38,95596131.6354,165922.9525000155,138380.0,0.0017386837,0.0010424517,0.3518,0.352,0.3517,0.3518,193406.0
2024-08-21 11:05:00,ADAUSDT,66c5c9facd9cfc74bfecfe59,Binance,5m,132866804.0,46715968.2864,0.7196,2024-08-21 19:05:30,95610952.1584,14820.522999987,-16337.0,0.0001550327,-0.0001229426,0.3515,0.3516,0.3513,0.3514,84254.0
2024-08-21 11:10:00,ADAUSDT,66c5cb30b4d7755ce8dab547,Binance,5m,132664302.0,46597318.54230366,0.7198,2024-08-21 19:10:40,95491764.5796,-119187.5787999928,-202502.0,-0.0012465892,-0.0015240978,0.3513,0.3513,0.3511,0.3511,104592.0
2024-08-21 11:15:00,ADAUSDT,66c5cc5ef5f1cc5b47725907,Binance,5m,132760458.0,46625472.8496,0.7182,2024-08-21 19:15:42,95348560.9356,-143203.6440000087,96156.0,-0.0014996439,0.0007248069,0.3513,0.3514,0.3507,0.3507,87810.0
2024-08-21 11:20:00,ADAUSDT,66c5cd7a43e6d4110ddc64eb,Binance,5m,132923534.0,46665224.48978346,0.7178,2024-08-21 19:20:26,95412512.7052,63951.769600004,163076.0,0.0006707156,0.0012283477,0.351,0.3512,0.3509,0.3512,268342.0
2024-08-21 11:25:00,ADAUSDT,66c5cea85e8107c04793f2b9,Binance,5m,132855324.0,46618933.1916,0.7179,2024-08-21 19:25:28,95376837.0996,-35675.6055999994,-68210.0,-0.0003739091,-0.0005131522,0.3509,0.351,0.3508,0.3508,77309.0
2024-08-21 11:30:00,ADAUSDT,66c5cfd87bc94cd7f1c05f39,Binance,5m,132905744.0,46635853.38722736,0.7183,2024-08-21 19:30:32,95466195.9152,89358.8156000078,50420.0,0.0009369027,0.0003795106,0.3509,0.3511,0.3508,0.3511,215444.0
2024-08-21 11:35:00,ADAUSDT,66c5d1044a4d6639b17eb343,Binance,5m,133008011.0,46729096.65801973,0.7184,2024-08-21 19:35:32,95552955.1024,86759.1871999949,102267.0,0.0009087949,0.0007694701,0.3513,0.3514,0.3513,0.3513,29771.0
2024-08-21 11:40:00,ADAUSDT,66c5d22e59906877aa08d0a5,Binance,5m,133037754.0,46749466.7556,0.7183,2024-08-21 19:40:30,95561018.6982,8063.5957999974,29743.0,8.43888e-05,0.0002236181,0.3515,0.3517,0.3514,0.3517,278064.0
