datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,ALGOUSDT,66c5c37333a1faa0652bd156,Binance,5m,55090102.5,7226909.1559026,0.6586,2024-08-21 18:37:39,36282341.5065,-253971.1636200026,82103.8999999985,-0.0069511985,0.0014925811,0.1312,0.1313,0.1311,0.1311,68631.7
2024-08-21 10:40:00,ALGOUSDT,66c5c43275fa436123578e54,Binance,5m,54881044.5,7172952.51615,0.6572,2024-08-21 18:40:50,36067822.4454,-214519.0610999987,-209058.0,-0.0059124922,-0.0037948377,0.1307,0.1308,0.1306,0.1307,43089.9
2024-08-21 10:45:00,ALGOUSDT,66c5c55732c70d8ca7f02ebf,Binance,5m,54909800.0,7204165.76,0.6549,2024-08-21 18:45:43,35960428.02,-107394.4253999963,28755.5,-0.0029775689,0.0005239605,0.1311,0.1312,0.1311,0.1311,13442.1
2024-08-21 10:50:00,ALGOUSDT,66c5c6820d284892836482c1,Binance,5m,54900198.2,7199453.3303752,0.6561,2024-08-21 18:50:42,36020020.03902,59592.0190199986,-9601.799999997,0.0016571554,-0.000174865,0.1312,0.1312,0.131,0.1311,107939.4
2024-08-21 10:55:00,ALGOUSDT,66c5c7aa0788cec8cdab26a2,Binance,5m,54948252.3,7229298.68383583,0.6544,2024-08-21 18:55:38,35958136.30512,-61883.7339000031,48054.099999994,-0.0017180372,0.0008752992,0.1316,0.1316,0.1315,0.1315,6542.6
2024-08-21 11:00:00,ALGOUSDT,66c5c8d5d0a6235fd39c1efe,Binance,5m,54818641.8,7212710.71712529,0.6547,2024-08-21 19:00:37,35889764.78646,-68371.5186600015,-129610.5,-0.00190142,-0.0023587738,0.1316,0.1317,0.1315,0.1316,135075.7
2024-08-21 11:05:00,ALGOUSDT,66c5c9facd9cfc74bfecfe5b,Binance,5m,54754594.7,7206347.48146178,0.6548,2024-08-21 19:05:30,35853308.609560005,-36456.1768999919,-64047.099999994,-0.001015782,-0.0011683453,0.1317,0.1317,0.1315,0.1315,108446.6
2024-08-21 11:10:00,ALGOUSDT,66c5cb2bb4d7755ce8dab509,Binance,5m,54764825.6,7208617.32297216,0.6544,2024-08-21 19:10:35,35838101.87264,-15206.7369200066,10230.8999999985,-0.0004241376,0.0001868501,0.1317,0.1317,0.1316,0.1316,7657.7
2024-08-21 11:15:00,ALGOUSDT,66c5cc4df5f1cc5b4772583a,Binance,5m,54300297.3,7158072.61722169,0.6524,2024-08-21 19:15:25,35425513.958519995,-412587.9141200036,-464528.3000000045,-0.0115125493,-0.0084822383,0.1319,0.1319,0.1317,0.1318,59009.9
2024-08-21 11:20:00,ALGOUSDT,66c5cd8143e6d4110ddc6541,Binance,5m,54285230.7,7155221.71673022,0.6522,2024-08-21 19:20:33,35404827.46254,-20686.4959799945,-15066.599999994,-0.0005839434,-0.0002774681,0.1317,0.1318,0.1316,0.1317,91370.2
2024-08-21 11:25:00,ALGOUSDT,66c5ceb45e8107c04793f358,Binance,5m,54276925.2,7151165.63726092,0.6526,2024-08-21 19:25:40,35421121.38552,16293.9229799956,-8305.5,0.0004602176,-0.0001529974,0.1317,0.132,0.1317,0.132,615077.8
2024-08-21 11:30:00,ALGOUSDT,66c5cfe37bc94cd7f1c05fb4,Binance,5m,54391568.2,7157930.37512,0.6517,2024-08-21 19:30:43,35446984.99594,25863.6104200035,114643.0,0.0007301748,0.0021121867,0.1317,0.1317,0.1315,0.1316,89346.7
2024-08-21 11:35:00,ALGOUSDT,66c5d10c4a4d6639b17eb3ab,Binance,5m,54370452.8,7162419.8306103,0.6536,2024-08-21 19:35:40,35536527.95007999,89542.9541399926,-21115.400000006,0.0025261092,-0.0003882109,0.1317,0.1317,0.1316,0.1316,59869.5
2024-08-21 11:40:00,ALGOUSDT,66c5d23659906877aa08d114,Binance,5m,54393953.3,7136486.67296,0.6533,2024-08-21 19:40:38,35535569.69089,-958.2591899931,23500.5,-2.69655e-05,0.0004322292,0.1312,0.1316,0.1312,0.1316,206072.9
2024-08-21 11:45:00,ALGOUSDT,66c5d357f0e99417ad49d934,Binance,5m,54323001.0,7127177.7312,0.6536,2024-08-21 19:45:27,35505513.4536,-30056.2372900024,-70952.299999997,-0.0008458071,-0.0013044152,0.1312,0.1312,0.131,0.1311,67005.1
2024-08-21 11:50:00,ALGOUSDT,66c5d48a71bfb838c7807bef,Binance,5m,54548484.9,7131100.52061334,0.6546,2024-08-21 19:50:34,35707438.21554,201924.7619400024,225483.8999999985,0.0056871382,0.0041507998,0.1308,0.1308,0.1306,0.1307,61341.9
2024-08-21 11:55:00,ALGOUSDT,66c5d5b85421c7fdf1dca08f,Binance,5m,54618670.1,7149000.58869333,0.6539,2024-08-21 19:55:36,35715148.37839,7710.16285,70185.200000003,0.000215926,0.0012866572,0.1308,0.131,0.1308,0.1309,40077.5
2024-08-21 12:00:00,ALGOUSDT,66c5d6de4c1e6610b6c52df2,Binance,5m,54584962.1,7134254.54647,0.6539,2024-08-21 20:00:30,35693106.717190005,-22041.6611999944,-33708.0,-0.0006171516,-0.0006171516,0.1306,0.1309,0.1306,0.1308,151990.0
