datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,ANKRUSDT,66c5c37733a1faa0652bd187,Binance,5m,114962744.0,2946960.7278332,0.6328,2024-08-21 18:37:43,72748424.4032,-6535.5584000051,-10328.0,-8.98297e-05,-8.98297e-05,0.02562,0.02563,0.02562,0.02563,52519.0
2024-08-21 10:40:00,ANKRUSDT,66c5c43e75fa436123578ee9,Binance,5m,114915660.0,2941840.896,0.6326,2024-08-21 18:41:02,72695646.516,-52777.8871999979,-47084.0,-0.000725485,-0.0004095588,0.0256,0.0256,0.0256,0.0256,21544.0
2024-08-21 10:45:00,ANKRUSDT,66c5c55432c70d8ca7f02e96,Binance,5m,114927235.0,2946734.3054,0.6324,2024-08-21 18:45:40,72679983.41399999,-15663.102000013,11575.0,-0.0002154613,0.000100726,0.02563,0.02564,0.02563,0.02564,10040.0
2024-08-21 10:50:00,ANKRUSDT,66c5c6820d284892836482c2,Binance,5m,114825584.0,2945276.2296,0.6331,2024-08-21 18:50:42,72696077.2304,16093.8164000064,-101651.0,0.000221434,-0.0008844814,0.02566,0.02569,0.02566,0.02568,55812.0
2024-08-21 10:55:00,ANKRUSDT,66c5c7af0788cec8cdab26eb,Binance,5m,114676051.0,2954073.42192816,0.6328,2024-08-21 18:55:43,72567005.07280001,-129072.1575999856,-149533.0,-0.0017755037,-0.001302262,0.02574,0.02574,0.02574,0.02574,938.0
2024-08-21 11:00:00,ANKRUSDT,66c5c8d8d0a6235fd39c1f24,Binance,5m,114588068.0,2951953.63849792,0.6306,2024-08-21 19:00:40,72259235.6808,-307769.3920000046,-87983.0,-0.0042411753,-0.0007672308,0.02576,0.02578,0.02576,0.02578,62686.0
2024-08-21 11:05:00,ANKRUSDT,66c5ca04cd9cfc74bfecfed6,Binance,5m,114518778.0,2948858.5335,0.6289,2024-08-21 19:05:40,72020859.4842,-238376.196600005,-69290.0,-0.0032989028,-0.0006046877,0.02574,0.02574,0.02571,0.02573,146757.0
2024-08-21 11:10:00,ANKRUSDT,66c5cb31b4d7755ce8dab55a,Binance,5m,114489946.0,2944681.41112,0.6294,2024-08-21 19:10:41,72059972.0124,39112.5282000005,-28832.0,0.0005430722,-0.0002517666,0.02573,0.02573,0.02572,0.02572,47585.0
2024-08-21 11:15:00,ANKRUSDT,66c5cc5ef5f1cc5b47725905,Binance,5m,114499715.0,2943787.67265,0.6295,2024-08-21 19:15:42,72077570.5925,17598.5800999999,9769.0,0.0002442213,8.53263e-05,0.02572,0.02572,0.02571,0.02571,52406.0
2024-08-21 11:20:00,ANKRUSDT,66c5cd7a43e6d4110ddc64e9,Binance,5m,114437319.0,2943327.84468,0.6291,2024-08-21 19:20:26,71992517.3829,-85053.2096000016,-62396.0,-0.0011800233,-0.0005449446,0.02571,0.02571,0.0257,0.0257,458718.0
2024-08-21 11:25:00,ANKRUSDT,66c5ceb45e8107c04793f354,Binance,5m,114661804.0,2949101.59888,0.6289,2024-08-21 19:25:40,72110808.5356,118291.152700007,224485.0,0.0016431034,0.0019616416,0.02572,0.02573,0.02572,0.02573,44044.0
2024-08-21 11:30:00,ANKRUSDT,66c5cfdf7bc94cd7f1c05f8b,Binance,5m,114440581.0,2940970.72572727,0.6286,2024-08-21 19:30:39,71937349.2166,-173459.3190000057,-221223.0,-0.0024054552,-0.0019293522,0.02569,0.02572,0.02569,0.02572,13102.0
2024-08-21 11:35:00,ANKRUSDT,66c5d10d4a4d6639b17eb3b6,Binance,5m,114388522.0,2942605.83635252,0.6285,2024-08-21 19:35:41,71893186.07699999,-44163.1396000087,-52059.0,-0.0006139111,-0.0004548998,0.02571,0.02572,0.0257,0.02572,50221.0
2024-08-21 11:40:00,ANKRUSDT,66c5d23459906877aa08d100,Binance,5m,114323888.0,2943840.116,0.629,2024-08-21 19:40:36,71909725.552,16539.4750000089,-64634.0,0.0002300562,-0.0005650392,0.02574,0.02576,0.02574,0.02576,29198.0
2024-08-21 11:45:00,ANKRUSDT,66c5d35df0e99417ad49d97b,Binance,5m,114243071.0,2937189.35541,0.6292,2024-08-21 19:45:33,71881740.2732,-27985.2787999958,-80817.0,-0.0003891724,-0.0007069126,0.0257,0.02572,0.0257,0.02572,31164.0
2024-08-21 11:50:00,ANKRUSDT,66c5d48e71bfb838c7807c21,Binance,5m,114227557.0,2942102.0718705,0.6294,2024-08-21 19:50:38,71894824.3758,13084.1025999933,-15514.0,0.0001820226,-0.0001357982,0.02574,0.02574,0.02572,0.02574,18295.0
2024-08-21 11:55:00,ANKRUSDT,66c5d5b55421c7fdf1dca06a,Binance,5m,114171121.0,2941978.57159615,0.6288,2024-08-21 19:55:33,71790800.8848,-104023.4909999967,-56436.0,-0.0014468843,-0.0004940664,0.02576,0.02576,0.02574,0.02576,74274.0
2024-08-21 12:00:00,ANKRUSDT,66c5d6de4c1e6610b6c52ded,Binance,5m,114119640.0,2939390.979444,0.629,2024-08-21 20:00:30,71781253.56,-9547.3247999996,-51481.0,-0.0001329881,-0.0004509109,0.02574,0.02577,0.02573,0.02577,263862.0
2024-08-21 12:05:00,ANKRUSDT,66c5d815194a37119a33e09c,Binance,5m,114070649.0,2934368.20406037,0.6262,2024-08-21 20:05:41,71431040.4038,-350213.1562000066,-48991.0,-0.0048788944,-0.0004292951,0.02573,0.02575,0.02572,0.02575,58765.0
2024-08-21 12:10:00,ANKRUSDT,66c5d93a030d4af13f438191,Binance,5m,113695449.0,2923109.99379,0.6286,2024-08-21 20:10:34,71468959.2414,37918.8376000077,-375200.0,0.0005308454,-0.0032891897,0.02571,0.02571,0.02568,0.02568,75128.0
2024-08-21 12:15:00,ANKRUSDT,66c5da621a353e7689c38d63,Binance,5m,113583957.0,2916881.4493428,0.6288,2024-08-21 20:15:30,71421592.16160001,-47367.0797999948,-111492.0,-0.0006627644,-0.0009806197,0.02567,0.02568,0.02567,0.02567,47043.0
