datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,APEUSDT,66c5c37133a1faa0652bd135,Binance,5m,16382944.0,10075766.9530736,0.695,2024-08-21 18:37:37,11386146.08,5506.2731999997,14988.0,0.0004838281,0.0009156916,0.615,0.6153,0.615,0.6153,14912.0
2024-08-21 10:40:00,APEUSDT,66c5c43e75fa436123578ee6,Binance,5m,16510122.0,10094657.5920267,0.6999,2024-08-21 18:41:02,11555434.3878,169288.3077999987,127178.0,0.0148679199,0.0077628294,0.6116,0.6119,0.6114,0.6119,13054.0
2024-08-21 10:45:00,APEUSDT,66c5c54a32c70d8ca7f02e13,Binance,5m,16503930.0,10098512.159229,0.7,2024-08-21 18:45:30,11552751.0,-2683.3877999987,-6192.0,-0.0002322187,-0.0003750427,0.612,0.612,0.6116,0.6119,25794.0
2024-08-21 10:50:00,APEUSDT,66c5c6770d2848928364823c,Binance,5m,16436617.0,10087069.17671649,0.701,2024-08-21 18:50:31,11522068.517,-30682.4830000009,-67313.0,-0.0026558595,-0.0040786043,0.6138,0.6143,0.6137,0.6143,47893.0
2024-08-21 10:55:00,APEUSDT,66c5c7a40788cec8cdab265c,Binance,5m,16407139.0,10081468.44688319,0.6999,2024-08-21 18:55:32,11483356.5861,-38711.9309,-29478.0,-0.0033598074,-0.0017934347,0.6144,0.6153,0.6144,0.6149,20676.0
2024-08-21 11:00:00,APEUSDT,66c5c8d3d0a6235fd39c1ee6,Binance,5m,16398593.0,10077544.77021588,0.6999,2024-08-21 19:00:35,11477375.2407,-5981.3454,-8546.0,-0.0005208708,-0.0005208708,0.6148,0.6154,0.6148,0.615,37849.0
2024-08-21 11:05:00,APEUSDT,66c5ca00cd9cfc74bfecfea3,Binance,5m,16368601.0,10077789.98176815,0.7002,2024-08-21 19:05:36,11461294.4202,-16080.8204999976,-29992.0,-0.0014010887,-0.0018289374,0.6156,0.6156,0.6141,0.6142,36261.0
2024-08-21 11:10:00,APEUSDT,66c5cb29b4d7755ce8dab4f6,Binance,5m,16383764.0,10087952.0704504,0.7006,2024-08-21 19:10:33,11478465.0584,17170.6381999981,15163.0,0.0014981413,0.0009263467,0.6159,0.6161,0.6158,0.6158,19560.0
2024-08-21 11:15:00,APEUSDT,66c5cc5df5f1cc5b477258f9,Binance,5m,16384018.0,10081810.28515542,0.7004,2024-08-21 19:15:41,11475366.2072,-3098.8511999995,254.0,-0.0002699709,1.55032e-05,0.615,0.6151,0.6139,0.6139,26226.0
2024-08-21 11:20:00,APEUSDT,66c5cd7d43e6d4110ddc6510,Binance,5m,16388440.0,10084270.10543,0.7023,2024-08-21 19:20:29,11509601.412,34235.2048000004,4422.0,0.0029833649,0.0002698972,0.6151,0.6151,0.6144,0.6147,132196.0
