datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,APTUSDT,66c5c37033a1faa0652bd126,Binance,5m,5218990.8,32374752.9557649,0.5176,2024-08-21 18:37:36,2701349.6380799995,-33593.7848400008,22442.3999999994,-0.0122831736,0.0043187128,6.204,6.204,6.198,6.202,10479.7
2024-08-21 10:40:00,APTUSDT,66c5c43c75fa436123578ec9,Binance,5m,5223337.4,32353351.8556,0.5179,2024-08-21 18:41:00,2705166.4394600005,3816.801380001,4346.6000000006,0.0014129239,0.000832843,6.196,6.196,6.189,6.189,6076.4
2024-08-21 10:45:00,APTUSDT,66c5c54832c70d8ca7f02df5,Binance,5m,5227215.8,32400716.90189922,0.5177,2024-08-21 18:45:28,2706129.6196600003,963.1801999998,3878.3999999994,0.0003560521,0.0007425138,6.197,6.213,6.196,6.211,15925.9
2024-08-21 10:50:00,APTUSDT,66c5c67b0d28489283648275,Binance,5m,5233764.7,32527335.27727352,0.5175,2024-08-21 18:50:35,2708473.23225,2343.6125899996,6548.9000000004,0.0008660386,0.0012528467,6.212,6.218,6.21,6.215,8461.1
2024-08-21 10:55:00,APTUSDT,66c5c7a00788cec8cdab262b,Binance,5m,5230428.1,32587281.33580978,0.5197,2024-08-21 18:55:28,2718253.48357,9780.2513200003,-3336.6000000006,0.0036109832,-0.0006375143,6.23,6.234,6.228,6.23,5172.3
2024-08-21 11:00:00,APTUSDT,66c5c8dbd0a6235fd39c1f49,Binance,5m,5223180.6,32592646.944,0.5198,2024-08-21 19:00:43,2715009.27588,-3244.2076900001,-7247.5,-0.0011934898,-0.0013856418,6.24,6.253,6.239,6.245,16607.3
2024-08-21 11:10:00,APTUSDT,66c5cb2bb4d7755ce8dab50f,Binance,5m,5204668.5,32409235.08211032,0.5193,2024-08-21 19:10:35,2702784.35205,-1356.4258300001,-4618.2999999998,-0.0005016107,-0.0008865513,6.226,6.229,6.225,6.227,2216.0
2024-08-21 11:15:00,APTUSDT,66c5cc51f5f1cc5b47725864,Binance,5m,5205744.2,32439429.0231749,0.5199,2024-08-21 19:15:29,2706466.40958,3682.0575300003,1075.7000000002,0.0013623201,0.0002066798,6.231,6.233,6.219,6.221,12163.6
2024-08-21 11:20:00,APTUSDT,66c5cd8243e6d4110ddc6544,Binance,5m,5211641.6,32350026.32055885,0.5218,2024-08-21 19:20:34,2719434.58688,12968.1772999996,5897.3999999994,0.004791553,0.001132864,6.201,6.201,6.19,6.198,14520.0
2024-08-21 11:25:00,APTUSDT,66c5ceb55e8107c04793f367,Binance,5m,5198699.1,32218561.0784872,0.5217,2024-08-21 19:25:41,2712161.32047,-7273.2664099997,-12942.5,-0.002674551,-0.0024833826,6.197,6.203,6.192,6.194,8014.7
2024-08-21 11:30:00,APTUSDT,66c5cfd57bc94cd7f1c05f15,Binance,5m,5194823.5,32084485.1612023,0.5257,2024-08-21 19:30:29,2730918.71395,18757.3934799996,-3875.5999999996,0.0069160316,-0.0007454942,6.177,6.181,6.174,6.177,7912.7
2024-08-21 11:35:00,APTUSDT,66c5d1024a4d6639b17eb326,Binance,5m,5190067.8,32092843.97898038,0.5248,2024-08-21 19:35:30,2723747.5814400003,-7171.1325099994,-4755.7000000002,-0.0026259048,-0.000915469,6.183,6.194,6.183,6.191,8139.3
2024-08-21 11:40:00,APTUSDT,66c5d22f59906877aa08d0b9,Binance,5m,5191473.0,32090793.9163917,0.5248,2024-08-21 19:40:31,2724485.0304,737.4489599997,1405.2000000002,0.0002707479,0.0002707479,6.185,6.195,6.184,6.191,9578.8
2024-08-21 11:45:00,APTUSDT,66c5d369f0e99417ad49da02,Binance,5m,5185494.5,32093025.4605,0.5245,2024-08-21 19:45:45,2719791.86525,-4693.1651500002,-5978.5,-0.001722588,-0.0011515999,6.188,6.188,6.181,6.183,4362.7
2024-08-21 11:50:00,APTUSDT,66c5d49771bfb838c7807c8b,Binance,5m,5193957.9,32077883.9904,0.5245,2024-08-21 19:50:47,2724230.91855,4439.0533000003,8463.4000000004,0.0016321298,0.0016321298,6.175,6.179,6.174,6.177,4817.9
2024-08-21 11:55:00,APTUSDT,66c5d5b65421c7fdf1dca074,Binance,5m,5192016.1,32110179.74629429,0.5244,2024-08-21 19:55:34,2722693.2428399995,-1537.6757100006,-1941.8000000007,-0.000564444,-0.0003738575,6.185,6.185,6.181,6.181,1675.4
2024-08-21 12:00:00,APTUSDT,66c5d6e94c1e6610b6c52e80,Binance,5m,5188946.9,32041102.27706874,0.5239,2024-08-21 20:00:41,2718489.28091,-4203.9619299993,-3069.1999999993,-0.0015440454,-0.0005911384,6.177,6.179,6.169,6.172,21631.5
2024-08-21 12:05:00,APTUSDT,66c5d80b194a37119a33e025,Binance,5m,5193091.5,32030988.372,0.524,2024-08-21 20:05:31,2721179.946,2690.6650899998,4144.5999999996,0.0009897648,0.0007987363,6.168,6.174,6.165,6.17,10523.0
2024-08-21 12:10:00,APTUSDT,66c5d93e030d4af13f4381c1,Binance,5m,5188411.0,31955012.47873291,0.5243,2024-08-21 20:10:38,2720283.8873,-896.0586999999,-4680.5,-0.0003292905,-0.0009012936,6.157,6.158,6.148,6.149,7639.5
2024-08-21 12:15:00,APTUSDT,66c5da6a1a353e7689c38dce,Binance,5m,5184791.4,31858036.72114141,0.5238,2024-08-21 20:15:38,2715793.7353200004,-4490.1519799996,-3619.5999999996,-0.0016506189,-0.0006976317,6.147,6.148,6.139,6.142,16806.1
2024-08-21 12:20:00,APTUSDT,66c5db9187429915e1a27ab0,Binance,5m,5183438.4,31767054.13803298,0.5229,2024-08-21 20:20:33,2710419.93936,-5373.7959600003,-1353.0,-0.0019787202,-0.0002609555,6.128,6.129,6.113,6.118,21666.6
2024-08-21 12:25:00,APTUSDT,66c5dcb94410e87fb65785dc,Binance,5m,5181988.7,31852502.57909742,0.522,2024-08-21 20:25:29,2704998.1014,-5421.8379600001,-1449.7000000002,-0.0020003682,-0.0002796792,6.145,6.149,6.141,6.147,7732.7
2024-08-21 12:30:00,APTUSDT,66c5dded2a76f630801dddad,Binance,5m,5180362.7,31943357.41588841,0.5206,2024-08-21 20:30:37,2696896.82162,-8101.27978,-1626.0,-0.0029949299,-0.0003137791,6.167,6.193,6.167,6.184,36640.6
2024-08-21 12:35:00,APTUSDT,66c5df1db57aac33cb36d67b,Binance,5m,5172747.6,31969807.39793413,0.5217,2024-08-21 20:35:41,2698622.4229200003,1725.6013000002,-7615.1000000006,0.000639847,-0.0014699936,6.178,6.178,6.171,6.176,25252.3
2024-08-21 12:40:00,APTUSDT,66c5e044ceb837855906c249,Binance,5m,5162347.0,31893900.16084663,0.5229,2024-08-21 20:40:36,2699391.2463,768.82338,-10400.5999999996,0.0002848948,-0.0020106529,6.175,6.176,6.171,6.171,2455.6
2024-08-21 12:45:00,APTUSDT,66c5e1732c2ea1d744f1174c,Binance,5m,5164235.0,31881723.45744185,0.5223,2024-08-21 20:45:39,2697279.9405,-2111.3058000002,1888.0,-0.0007821415,0.0003657251,6.169,6.186,6.168,6.182,7372.8
2024-08-21 12:50:00,APTUSDT,66c5e297955bb0ecdeb7acc4,Binance,5m,5159888.1,31960832.69486462,0.5222,2024-08-21 20:50:31,2694493.56582,-2786.3746800004,-4346.9000000004,-0.0010330313,-0.0008417316,6.19,6.196,6.19,6.193,7926.5
2024-08-21 12:55:00,APTUSDT,66c5e3c4696867b8fc080b6a,Binance,5m,5167235.4,31892176.8888,0.5224,2024-08-21 20:55:32,2699363.77296,4870.2071400005,7347.3000000007,0.0018074666,0.0014239262,6.172,6.174,6.168,6.174,6161.2
2024-08-21 13:00:00,APTUSDT,66c5e4f53890c4e5e7392185,Binance,5m,5162216.5,31866362.4545,0.5232,2024-08-21 21:00:37,2700871.6728,1507.8998399996,-5018.9000000004,0.0005586131,-0.0009712931,6.173,6.183,6.168,6.183,11184.8
2024-08-21 13:05:00,APTUSDT,66c5e61f1e6164822dc0fe9a,Binance,5m,5157390.8,31931029.1126674,0.5215,2024-08-21 21:05:35,2689579.3022,-11292.3706,-4825.7000000002,-0.0041810097,-0.0009348116,6.192,6.196,6.19,6.195,5059.0
2024-08-21 13:10:00,APTUSDT,66c5e74766773cb51866f5b5,Binance,5m,5156952.5,31786575.33076445,0.5216,2024-08-21 21:10:31,2689866.424,287.1217999998,-438.2999999998,0.0001067534,-8.49848e-05,6.165,6.168,6.159,6.161,7382.2
2024-08-21 13:15:00,APTUSDT,66c5e87e9cc3e32362720885,Binance,5m,5154576.8,31821133.64550658,0.5225,2024-08-21 21:15:42,2693266.378,3399.9539999999,-2375.7000000002,0.0012639862,-0.0004606791,6.172,6.177,6.167,6.173,10112.3
2024-08-21 13:20:00,APTUSDT,66c5e9a0156fd08044090b04,Binance,5m,5152298.1,31851055.71897836,0.5222,2024-08-21 21:20:32,2690530.06782,-2736.3101799996,-2278.7000000002,-0.001015982,-0.0004420731,6.179,6.182,6.175,6.177,4828.5
2024-08-21 13:25:00,APTUSDT,66c5eace7865dee90f0ea363,Binance,5m,5149505.5,31880588.5505,0.5229,2024-08-21 21:25:34,2692676.42595,2146.3581300001,-2792.5999999996,0.0007977455,-0.0005420106,6.191,6.195,6.181,6.183,11317.6
2024-08-21 13:30:00,APTUSDT,66c5ebfd6d602c4022f2a355,Binance,5m,5148122.9,31729820.83355889,0.523,2024-08-21 21:30:37,2692468.2767000003,-208.1492499998,-1382.5999999996,-7.7302e-05,-0.0002684918,6.165,6.173,6.161,6.173,11464.8
2024-08-21 13:35:00,APTUSDT,66c5ed20872760fff3842973,Binance,5m,5150999.6,31544463.53683004,0.5253,2024-08-21 21:35:28,2705820.08988,13351.8131799996,2876.6999999993,0.0049589491,0.0005587862,6.124,6.131,6.118,6.123,31570.1
2024-08-21 13:40:00,APTUSDT,66c5ee51956c2c6506ba24ce,Binance,5m,5157359.2,31601023.28597984,0.5252,2024-08-21 21:40:33,2708645.0518400003,2824.9619600005,6359.6000000006,0.0010440317,0.0012346341,6.121,6.128,6.115,6.115,13264.6
2024-08-21 13:45:00,APTUSDT,66c5ef793c950f493078a07f,Binance,5m,5145029.4,31416312.88441208,0.5242,2024-08-21 21:45:29,2697024.41148,-11620.6403600001,-12329.7999999998,-0.0042902042,-0.0023907197,6.103,6.108,6.088,6.095,42931.4
2024-08-21 13:50:00,APTUSDT,66c5f0a355cd5a2e2a86a3e3,Binance,5m,5138897.5,31331858.0575,0.5255,2024-08-21 21:50:27,2700490.63625,3466.2247699997,-6131.9000000004,0.0012852033,-0.0011918105,6.097,6.097,6.062,6.065,204645.6
2024-08-21 13:55:00,APTUSDT,66c5f1db3356402175af6010,Binance,5m,5159583.6,31321960.75781995,0.5331,2024-08-21 21:55:39,2750574.01716,50083.3809099998,20686.0999999996,0.0185460302,0.0040253965,6.07,6.088,6.069,6.082,35331.4
2024-08-21 14:00:00,APTUSDT,66c5f30759e3fd272d1e21c1,Binance,5m,5137570.5,31726051.64432202,0.5299,2024-08-21 22:00:39,2722398.60795,-28175.4092099997,-22013.0999999996,-0.0102434652,-0.0042664489,6.177,6.195,6.169,6.174,88369.3
2024-08-21 14:05:00,APTUSDT,66c5f427d026c2e610a4a36d,Binance,5m,5100414.1,31675273.77320173,0.5285,2024-08-21 22:05:27,2695568.85185,-26829.7561000003,-37156.4000000004,-0.0098551902,-0.00723229,6.209,6.216,6.202,6.214,44126.4
2024-08-21 14:10:00,APTUSDT,66c5f5554e6d3f54b06a1057,Binance,5m,5082938.5,31570131.0235,0.5274,2024-08-21 22:10:29,2680741.7649,-14827.0869499999,-17475.5999999996,-0.005500541,-0.00342631,6.211,6.248,6.211,6.244,62009.2
2024-08-21 14:15:00,APTUSDT,66c5f6882db98255885f0b19,Binance,5m,5018818.2,30941014.203,0.5302,2024-08-21 22:15:36,2660977.40964,-19764.3552599996,-64120.2999999998,-0.0073727188,-0.0126148093,6.162,6.192,6.159,6.177,62664.4
2024-08-21 14:20:00,APTUSDT,66c5f7afd573cb7f0f95fc93,Binance,5m,5011022.8,30724206.71336792,0.5271,2024-08-21 22:20:31,2641310.11788,-19667.2917600004,-7795.4000000004,-0.0073910029,-0.0015532342,6.131,6.153,6.13,6.15,11986.0
2024-08-21 14:25:00,APTUSDT,66c5f8dc59abe413a4023bed,Binance,5m,4996163.5,30756382.506,0.5269,2024-08-21 22:25:32,2632478.54815,-8831.5697299996,-14859.2999999998,-0.0033436323,-0.0029653228,6.155,6.157,6.142,6.147,18400.7
2024-08-21 14:30:00,APTUSDT,66c5fa033f36f8af0919100e,Binance,5m,4996227.2,30703683.03425555,0.5274,2024-08-21 22:30:27,2635010.22528,2531.6771299997,63.7000000002,0.0009617086,1.27498e-05,6.144,6.156,6.142,6.151,8219.1
2024-08-21 14:35:00,APTUSDT,66c5fb3af5e0bfc10b740e51,Binance,5m,4997054.9,30726890.5801,0.5267,2024-08-21 22:35:38,2631948.81583,-3061.4094500002,827.7000000002,-0.0011618207,0.000165665,6.149,6.149,6.134,6.136,6448.3
2024-08-21 14:40:00,APTUSDT,66c5fc5df2ecdb4699085e4c,Binance,5m,4989988.7,30782404.91629173,0.5268,2024-08-21 22:40:29,2628726.0471600005,-3222.7686699992,-7066.2000000002,-0.00122448,-0.0014140729,6.17,6.187,6.169,6.172,27638.7
2024-08-21 14:45:00,APTUSDT,66c5fd88e511e9a2f1983b17,Binance,5m,4992096.2,30883560.90816615,0.5273,2024-08-21 22:45:28,2632332.32626,3606.2790999995,2107.5,0.0013718733,0.0004223456,6.182,6.185,6.167,6.167,9570.6
2024-08-21 14:50:00,APTUSDT,66c5fec06f542947b29d49f8,Binance,5m,4981193.9,30519775.0253,0.5284,2024-08-21 22:50:40,2632062.85676,-269.4695000001,-10902.2999999998,-0.0001023691,-0.0021839122,6.124,6.128,6.106,6.107,29599.7
2024-08-21 14:55:00,APTUSDT,66c5ffe1a549e168a3ca27b4,Binance,5m,4978294.7,30297901.5442,0.5285,2024-08-21 22:55:29,2631028.74895,-1034.10781,-2899.2000000002,-0.0003928887,-0.0005820291,6.086,6.087,6.068,6.071,29223.2
2024-08-21 15:00:00,APTUSDT,66c6010d2ba97326050c67a1,Binance,5m,4986817.8,30356619.68256215,0.5294,2024-08-21 23:00:29,2640021.34332,8992.5943700001,8523.0999999996,0.0034179005,0.0017120521,6.083,6.086,6.078,6.084,9530.8
2024-08-21 15:05:00,APTUSDT,66c602405a48bb686e204cfa,Binance,5m,4992962.7,30357213.216,0.5292,2024-08-21 23:05:36,2642275.86084,2254.5175200002,6144.9000000004,0.000853977,0.0012322287,6.08,6.082,6.069,6.071,16382.5
2024-08-21 15:10:00,APTUSDT,66c6036ab7b9bbce307ff3f0,Binance,5m,4993395.9,30327902.32106934,0.5301,2024-08-21 23:10:34,2646999.1665900005,4723.3057500003,433.2000000002,0.0017875899,8.67621e-05,6.073,6.092,6.072,6.084,8541.6
2024-08-21 15:15:00,APTUSDT,66c60492fdf8305c09d143c2,Binance,5m,5000492.8,30500974.37977536,0.5303,2024-08-21 23:15:30,2651761.33184,4762.1652499991,7096.8999999994,0.0017990808,0.0014212572,6.1,6.115,6.098,6.11,25042.9
2024-08-21 15:20:00,APTUSDT,66c605becbea794085d02f29,Binance,5m,5004480.7,30512318.8279,0.5288,2024-08-21 23:20:30,2646369.39416,-5391.9376799995,3987.9000000004,-0.002033342,0.0007975014,6.095,6.095,6.085,6.089,4894.6
2024-08-21 15:25:00,APTUSDT,66c606efca1a4a1339aa7205,Binance,5m,5004546.7,30497371.93485283,0.5292,2024-08-21 23:25:35,2648406.11364,2036.71948,66.0,0.0007696278,1.31882e-05,6.089,6.091,6.077,6.081,10376.9
2024-08-21 15:30:00,APTUSDT,66c6081de29bd034ec8bb201,Binance,5m,5008613.7,30492440.2056,0.529,2024-08-21 23:30:37,2649556.6473000003,1150.5336600002,4067.0,0.0004344249,0.000812661,6.087,6.098,6.087,6.098,12189.5
2024-08-21 15:35:00,APTUSDT,66c60942bad63ebcfb5dff71,Binance,5m,5011539.6,30597946.05714412,0.5295,2024-08-21 23:35:30,2653610.2181999995,4053.5708999992,2925.8999999994,0.0015299054,0.0005841736,6.103,6.11,6.103,6.105,6132.3
2024-08-21 15:40:00,APTUSDT,66c60a77ee76296f2acf6b9c,Binance,5m,5014715.9,30643138.51102938,0.5301,2024-08-21 23:40:39,2658300.8985900003,4690.6803900008,3176.3000000007,0.0017676599,0.0006337972,6.112,6.116,6.109,6.115,8671.2
2024-08-21 15:45:00,APTUSDT,66c60b9bb5472ccbd3de3e42,Binance,5m,5006916.8,30648454.62573058,0.5294,2024-08-21 23:45:31,2650661.75392,-7639.1446700008,-7799.1000000006,-0.0028736945,-0.0015552426,6.123,6.136,6.122,6.133,20702.9
2024-08-21 15:50:00,APTUSDT,66c60cc3182c123fd44346dc,Binance,5m,5002161.1,30540402.61990659,0.5291,2024-08-21 23:50:27,2646643.43801,-4018.3159099999,-4755.7000000002,-0.0015159671,-0.000949826,6.103,6.112,6.099,6.109,6853.7
2024-08-21 15:55:00,APTUSDT,66c60df6e6a393c24cadf78e,Binance,5m,5001116.2,30571766.11783067,0.5292,2024-08-21 23:55:34,2646590.6930400003,-52.7449699994,-1044.8999999994,-1.9929e-05,-0.0002088897,6.111,6.114,6.11,6.114,1243.1
2024-08-21 16:00:00,APTUSDT,66c60f1ea617857ac67bac14,Binance,5m,5002307.1,30545299.11156419,0.5299,2024-08-22 00:00:30,2650722.53229,4131.8392499997,1190.8999999994,0.0015611931,0.0002381268,6.105,6.112,6.101,6.106,10642.1
2024-08-21 16:05:00,APTUSDT,66c61049b6ff4e9edd06ce6f,Binance,5m,4990277.9,30350870.1878,0.5294,2024-08-22 00:05:29,2641853.12026,-8869.4120299998,-12029.1999999993,-0.0033460356,-0.0024047304,6.083,6.092,6.08,6.082,8397.4
2024-08-21 16:10:00,APTUSDT,66c61179ef46cc03fb62d39f,Binance,5m,4990472.2,30414822.72849299,0.5295,2024-08-22 00:10:33,2642455.0299,601.9096399997,194.2999999998,0.0002278361,3.89357e-05,6.094,6.105,6.09,6.102,3771.9
2024-08-21 16:15:00,APTUSDT,66c612ad361c817d3490276c,Binance,5m,4987967.4,30381709.4334,0.5299,2024-08-22 00:15:41,2643123.9252600004,668.8953600004,-2504.7999999998,0.0002531341,-0.0005019164,6.091,6.093,6.08,6.081,4308.8
2024-08-21 16:20:00,APTUSDT,66c613d59739905dd3b91775,Binance,5m,4988879.1,30462095.7846,0.5288,2024-08-22 00:20:37,2638119.26808,-5004.6571800006,911.6999999993,-0.0018934629,0.0001827799,6.106,6.114,6.105,6.112,8471.4
2024-08-21 16:25:00,APTUSDT,66c614fe90eac82b10dcd3c3,Binance,5m,4988640.4,30583045.49973648,0.5284,2024-08-22 00:25:34,2635997.58736,-2121.6807199996,-238.6999999993,-0.0008042399,-4.78464e-05,6.132,6.135,6.131,6.134,6358.5
2024-08-21 16:30:00,APTUSDT,66c6162e04f10571b7bf40e7,Binance,5m,4983371.4,30506902.93789429,0.5287,2024-08-22 00:30:38,2634708.45918,-1289.1281800005,-5269.0,-0.0004890476,-0.0010561996,6.122,6.13,6.12,6.128,4899.3
2024-08-21 16:35:00,APTUSDT,66c6175dd4991cdf7dc658dd,Binance,5m,4979910.4,30519805.22456519,0.5291,2024-08-22 00:35:41,2634870.5926400004,162.1334600006,-3461.0,6.15375e-05,-0.0006945097,6.131,6.132,6.12,6.12,3917.3
2024-08-21 16:40:00,APTUSDT,66c6188c492d5ebe22e7a0e6,Binance,5m,4980101.5,30521905.58453669,0.5286,2024-08-22 00:40:44,2632481.6529,-2388.9397400008,191.0999999996,-0.000906663,3.83742e-05,6.126,6.127,6.123,6.125,2071.7
2024-08-21 16:45:00,APTUSDT,66c619aba9848de6582948de,Binance,5m,4979369.4,30529215.73310432,0.5288,2024-08-22 00:45:31,2633090.5387200005,608.8858200009,-732.0999999996,0.0002312973,-0.000147005,6.132,6.133,6.124,6.129,4814.3
2024-08-21 16:50:00,APTUSDT,66c61adf541b4a119c81ea49,Binance,5m,4977117.8,30530074.34101627,0.5306,2024-08-22 00:50:39,2640858.7046799995,7768.165959999,-2251.6000000006,0.0029502085,-0.0004521858,6.133,6.139,6.125,6.139,3809.0
2024-08-21 16:55:00,APTUSDT,66c61c0b7a08d05ca69c2655,Binance,5m,4973952.0,30515195.52,0.5307,2024-08-22 00:55:39,2639676.3264,-1182.3782799998,-3165.7999999998,-0.0004477249,-0.0006360709,6.134,6.142,6.134,6.142,3821.9
2024-08-21 17:00:00,APTUSDT,66c61d32975ea776864b6dd3,Binance,5m,4975380.0,30542003.744643,0.5301,2024-08-22 01:00:34,2637448.938,-2227.3883999996,1428.0,-0.0008438112,0.0002870957,6.141,6.142,6.133,6.135,5345.2
2024-08-21 17:05:00,APTUSDT,66c61e5a745e43fbb8642d01,Binance,5m,4978887.2,30505641.8744,0.5304,2024-08-22 01:05:30,2640801.77088,3352.8328800001,3507.2000000002,0.0012712409,0.000704911,6.126,6.126,6.121,6.122,3553.3
2024-08-21 17:10:00,APTUSDT,66c61f895d49a3228a48440b,Binance,5m,4977712.7,30468579.4367,0.5301,2024-08-22 01:10:33,2638685.50227,-2116.2686100001,-1174.5,-0.0008013735,-0.0002358961,6.122,6.133,6.122,6.132,3346.6
2024-08-21 17:15:00,APTUSDT,66c620af2ffbd544df5ddb7a,Binance,5m,4978635.0,30603137.47742295,0.5282,2024-08-22 01:15:27,2629715.007,-8970.4952699998,922.2999999998,-0.0033996076,0.0001852859,6.145,6.146,6.137,6.139,4550.4
2024-08-21 17:20:00,APTUSDT,66c621efe5d10d4860511489,Binance,5m,4976151.7,30623237.5618,0.5285,2024-08-22 01:20:47,2629896.17345,181.1664499999,-2483.2999999998,6.8892e-05,-0.0004987913,6.154,6.173,6.154,6.173,30635.8
2024-08-21 17:25:00,APTUSDT,66c6230dffeab887e21681b7,Binance,5m,4976512.0,30790279.36393088,0.5247,2024-08-22 01:25:33,2611175.8464,-18720.32705,360.2999999998,-0.0071182761,7.24053e-05,6.182,6.187,6.173,6.179,8124.2
2024-08-21 17:30:00,APTUSDT,66c6243bada8b74558f1b0ee,Binance,5m,4962349.6,30709789.35797022,0.5256,2024-08-22 01:30:35,2608210.94976,-2964.8966400004,-14162.4000000004,-0.0011354642,-0.0028458487,6.187,6.194,6.183,6.192,13393.1
2024-08-21 17:35:00,APTUSDT,66c6257727b05f725499eee0,Binance,5m,4955915.5,30582590.93497977,0.5255,2024-08-22 01:35:51,2604333.59525,-3877.35451,-6434.0999999996,-0.0014865954,-0.0012965834,6.169,6.171,6.161,6.162,4774.4
2024-08-21 17:40:00,APTUSDT,66c62697ef1278ca21f109b1,Binance,5m,4955776.8,30532069.02529087,0.5263,2024-08-22 01:40:39,2608225.32984,3891.73459,-138.7000000002,0.0014943303,-2.79868e-05,6.161,6.166,6.161,6.164,4309.9
2024-08-21 17:45:00,APTUSDT,66c627b7c0ad0e4434082114,Binance,5m,4963749.3,30659862.71187158,0.526,2024-08-22 01:45:27,2610932.1318,2706.8019600003,7972.5,0.0010377945,0.0016087286,6.175,6.18,6.171,6.171,12867.7
