datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,ARPAUSDT,66c5c37233a1faa0652bd147,Binance,5m,210742961.0,8403451.43734096,0.7013,2024-08-21 18:37:38,147794038.5493,-256529.4095000029,-65195.0,-0.0017327148,-0.0003092622,0.03989,0.03991,0.03987,0.03987,313921.0
2024-08-21 10:40:00,ARPAUSDT,66c5c43e75fa436123578ee5,Binance,5m,210305975.0,8380693.10375,0.6998,2024-08-21 18:41:02,147172121.305,-621917.2443000078,-436986.0,-0.0042079995,-0.0020735497,0.03986,0.03989,0.03985,0.03988,394565.0
2024-08-21 10:45:00,ARPAUSDT,66c5c55632c70d8ca7f02eb4,Binance,5m,210224289.0,8399433.68400807,0.6986,2024-08-21 18:45:42,146862688.2954,-309433.0096000135,-81686.0,-0.0021025246,-0.000388415,0.03993,0.03994,0.03986,0.03991,584703.0
2024-08-21 10:50:00,ARPAUSDT,66c5c6830d284892836482d1,Binance,5m,210330214.0,8419518.46642,0.6998,2024-08-21 18:50:43,147189083.7572,326395.461800009,105925.0,0.0022224533,0.0005038666,0.04004,0.04008,0.04004,0.04007,426951.0
2024-08-21 10:55:00,ARPAUSDT,66c5c7a00788cec8cdab262a,Binance,5m,210383476.0,8427692.75771072,0.7,2024-08-21 18:55:28,147268433.2,79349.4427999854,53262.0,0.0005390987,0.0002532304,0.04003,0.04009,0.04002,0.04006,199023.0
2024-08-21 11:00:00,ARPAUSDT,66c5c8ccd0a6235fd39c1e8a,Binance,5m,210658887.0,8452283.37581196,0.6985,2024-08-21 19:00:28,147145232.5695,-123200.6304999888,275411.0,-0.0008365719,0.0013090905,0.04011,0.04012,0.04007,0.04007,817332.0
2024-08-21 11:10:00,ARPAUSDT,66c5cb2bb4d7755ce8dab50d,Binance,5m,210757865.0,8438005.15449385,0.6973,2024-08-21 19:10:35,146961459.2645,219244.7084999979,133185.0,0.0014940807,0.0006323333,0.04003,0.04007,0.04003,0.04007,630650.0
2024-08-21 11:15:00,ARPAUSDT,66c5cc4ef5f1cc5b47725843,Binance,5m,210525162.0,8432229.57638622,0.6976,2024-08-21 19:15:26,146862353.0112,-99106.2532999814,-232703.0,-0.000674369,-0.0011041249,0.04003,0.04005,0.03999,0.04,273014.0
2024-08-21 11:20:00,ARPAUSDT,66c5cd7c43e6d4110ddc6502,Binance,5m,210295444.0,8420229.57776,0.6964,2024-08-21 19:20:28,146449747.20160002,-412605.8095999956,-229718.0,-0.002809473,-0.0010911665,0.04005,0.04006,0.03998,0.03999,309028.0
2024-08-21 11:25:00,ARPAUSDT,66c5ceb45e8107c04793f355,Binance,5m,210129468.0,8449305.90828,0.6968,2024-08-21 19:25:40,146418213.3024,-31533.8992000222,-165976.0,-0.0002153223,-0.0007892515,0.04021,0.04095,0.04021,0.04093,16819642.0
