datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,ARUSDT,66c5c37333a1faa0652bd150,Binance,5m,625635.3,14602095.64115123,0.4984,2024-08-21 18:37:39,311816.63352,-880.3086399999,-259.2999999999,-0.0028152135,-0.000414287,23.32,23.338,23.315,23.326,341.0
2024-08-21 10:40:00,ARUSDT,66c5c43275fa436123578e4e,Binance,5m,625415.8,14574689.8032,0.4978,2024-08-21 18:40:50,311331.98524,-484.64828,-219.5,-0.0015542733,-0.0003508434,23.31,23.329,23.306,23.327,155.2
2024-08-21 10:45:00,ARUSDT,66c5c55532c70d8ca7f02ea1,Binance,5m,625272.8,14576587.51932652,0.4996,2024-08-21 18:45:41,312386.29088,1054.30564,-143.0,0.0033864353,-0.0002286479,23.309,23.322,23.309,23.31,341.8
2024-08-21 10:50:00,ARUSDT,66c5c6770d28489283648240,Binance,5m,625092.8,14571331.60512032,0.5004,2024-08-21 18:50:31,312796.43712,410.14624,-180.0,0.0013129457,-0.0002878743,23.311,23.338,23.311,23.336,594.6
2024-08-21 10:55:00,ARUSDT,66c5c7a30788cec8cdab264c,Binance,5m,625001.0,14624382.73647494,0.5005,2024-08-21 18:55:31,312813.0005,16.5633799999,-91.8,5.29526e-05,-0.0001468582,23.382,23.391,23.354,23.361,460.8
2024-08-21 11:00:00,ARUSDT,66c5c8dad0a6235fd39c1f39,Binance,5m,624615.9,14587201.91395118,0.5031,2024-08-21 19:00:42,314244.25929,1431.2587900001,-385.1,0.0045754454,-0.000616159,23.352,23.362,23.328,23.336,927.0
2024-08-21 11:10:00,ARUSDT,66c5cb34b4d7755ce8dab57b,Binance,5m,624262.0,14541233.98726184,0.505,2024-08-21 19:10:44,315252.31,856.9910500001,-157.7,0.0027258391,-0.0002525545,23.29,23.291,23.281,23.284,231.4
2024-08-21 11:15:00,ARUSDT,66c5cc55f5f1cc5b4772589e,Binance,5m,624072.9,14495341.2483,0.502,2024-08-21 19:15:33,313284.5958,-1967.7142,-189.1,-0.0062417122,-0.0003029177,23.226,23.231,23.201,23.206,1415.3
2024-08-21 11:20:00,ARUSDT,66c5cd7e43e6d4110ddc651a,Binance,5m,623228.4,14458862.94465046,0.4998,2024-08-21 19:20:30,311489.5543200001,-1795.04148,-844.5,-0.005729747,-0.0013532073,23.208,23.209,23.184,23.194,960.1
2024-08-21 11:25:00,ARUSDT,66c5ceaa5e8107c04793f2d5,Binance,5m,622707.9,14464412.33716003,0.4978,2024-08-21 19:25:30,309983.99262,-1505.5617,-520.5,-0.004833426,-0.0008351673,23.23,23.242,23.219,23.232,297.6
2024-08-21 11:30:00,ARUSDT,66c5cfdd7bc94cd7f1c05f71,Binance,5m,622649.5,14466015.8335,0.4986,2024-08-21 19:30:37,310453.0407,469.04808,-58.4,0.0015131365,-9.37839e-05,23.232,23.244,23.209,23.242,461.4
2024-08-21 11:35:00,ARUSDT,66c5d1024a4d6639b17eb322,Binance,5m,621932.1,14477924.46191123,0.4991,2024-08-21 19:35:30,310406.31111,-46.72959,-717.4,-0.0001505206,-0.0011521731,23.266,23.271,23.256,23.269,282.0
2024-08-21 11:40:00,ARUSDT,66c5d23559906877aa08d10c,Binance,5m,622316.5,14488772.753,0.4979,2024-08-21 19:40:37,309851.38535,-554.92576,384.4,-0.0017877399,0.0006180739,23.279,23.319,23.277,23.317,415.9
2024-08-21 11:45:00,ARUSDT,66c5d361f0e99417ad49d9ad,Binance,5m,622136.4,14467159.8456,0.4996,2024-08-21 19:45:37,310819.34544,967.96009,-180.1,0.0031239495,-0.0002894026,23.255,23.256,23.234,23.25,287.6
2024-08-21 11:50:00,ARUSDT,66c5d48c71bfb838c7807c10,Binance,5m,621998.7,14500519.36342493,0.4983,2024-08-21 19:50:36,309941.95221,-877.39323,-137.7000000001,-0.0028228398,-0.0002213341,23.313,23.316,23.287,23.312,299.6
