datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,AXLUSDT,66c5c37933a1faa0652bd1ac,Binance,5m,5453141.2,2993197.74005528,0.6393,2024-08-21 18:37:45,3486193.16916,2861.5743399998,2771.0,0.000821505,0.0005084058,0.5491,0.5491,0.5484,0.5486,4390.6
2024-08-21 10:40:00,AXLUSDT,66c5c43e75fa436123578eea,Binance,5m,5455577.0,2990952.9866529,0.6387,2024-08-21 18:41:02,3484477.0299000004,-1716.1392599996,2435.7999999998,-0.0004922674,0.0004466783,0.5482,0.5482,0.5477,0.5479,4055.2
2024-08-21 10:45:00,AXLUSDT,66c5c55732c70d8ca7f02ec2,Binance,5m,5457171.1,2994363.04349577,0.6391,2024-08-21 18:45:43,3487678.05001,3201.0201099995,1594.0999999996,0.0009186515,0.0002921964,0.5487,0.5488,0.5486,0.5486,207.4
2024-08-21 10:50:00,AXLUSDT,66c5c67c0d2848928364827c,Binance,5m,5456892.2,3004080.70984402,0.6387,2024-08-21 18:50:36,3485317.048140001,-2361.0018699993,-278.8999999994,-0.0006769552,-5.11071e-05,0.5504,0.5507,0.5504,0.5507,1280.8
2024-08-21 10:55:00,AXLUSDT,66c5c7a30788cec8cdab2648,Binance,5m,5456926.4,3007871.03744189,0.6392,2024-08-21 18:55:31,3488067.35488,2750.3067399994,34.2000000002,0.0007891124,6.2673e-06,0.5509,0.551,0.5509,0.551,2147.1
2024-08-21 11:00:00,AXLUSDT,66c5c8cdd0a6235fd39c1e93,Binance,5m,5454843.6,3005974.91579021,0.6394,2024-08-21 19:00:29,3487826.9978399994,-240.3570400006,-2082.8000000007,-6.89084e-05,-0.0003816801,0.5507,0.5513,0.5507,0.5511,5662.1
2024-08-21 11:05:00,AXLUSDT,66c5c9fdcd9cfc74bfecfe84,Binance,5m,5453847.2,3001834.80319485,0.639,2024-08-21 19:05:33,3485008.3608000004,-2818.637039999,-996.3999999994,-0.0008081356,-0.0001826633,0.5502,0.5502,0.5498,0.55,729.4
2024-08-21 11:10:00,AXLUSDT,66c5cb31b4d7755ce8dab556,Binance,5m,5452499.3,2999419.86493,0.6391,2024-08-21 19:10:41,3484692.30263,-316.0581700006,-1347.9000000004,-9.06908e-05,-0.0002471466,0.55,0.55,0.5497,0.5497,1673.0
2024-08-21 11:15:00,AXLUSDT,66c5cc5af5f1cc5b477258db,Binance,5m,5451737.9,2999001.01879,0.6378,2024-08-21 19:15:38,3477118.432620001,-7573.8700099993,-761.3999999994,-0.0021734688,-0.0001396424,0.5502,0.5502,0.5494,0.5494,865.4
2024-08-21 11:20:00,AXLUSDT,66c5cd8343e6d4110ddc6551,Binance,5m,5451371.8,2990547.4495766,0.6376,2024-08-21 19:20:35,3475794.65968,-1323.772940001,-366.1000000006,-0.0003807098,-6.71529e-05,0.5483,0.5486,0.5482,0.5484,3091.8
2024-08-21 11:25:00,AXLUSDT,66c5ceaa5e8107c04793f2d2,Binance,5m,5452491.3,2993962.97283,0.6384,2024-08-21 19:25:30,3480870.44592,5075.7862400003,1119.5,0.001460324,0.0002053612,0.5492,0.5492,0.5479,0.5479,13474.1
2024-08-21 11:30:00,AXLUSDT,66c5cfe47bc94cd7f1c05fca,Binance,5m,5456911.3,2991478.77466,0.6417,2024-08-21 19:30:44,3501699.9812100003,20829.5352900005,4420.0,0.0059840019,0.0008106386,0.5482,0.5487,0.548,0.5487,2135.5
2024-08-21 11:35:00,AXLUSDT,66c5d1024a4d6639b17eb321,Binance,5m,5449865.2,2996335.88696,0.6377,2024-08-21 19:35:30,3475379.0380400005,-26320.9431699999,-7046.0999999996,-0.0075166186,-0.0012912249,0.5495,0.55,0.5495,0.55,6369.6
2024-08-21 11:40:00,AXLUSDT,66c5d23259906877aa08d0e4,Binance,5m,5446311.0,2995471.05,0.6354,2024-08-21 19:40:34,3460586.0094,-14793.0286400006,-3554.2000000002,-0.0042565224,-0.0006521629,0.5501,0.5511,0.55,0.5511,12194.6
