datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,AXSUSDT,66c5c37233a1faa0652bd148,Binance,5m,2328826.0,11115486.498,0.7617,2024-08-21 18:37:38,1773866.7642,995.2782000001,2223.0,0.0005613933,0.0009554703,4.774,4.775,4.77,4.775,10646.0
2024-08-21 10:40:00,AXSUSDT,66c5c43875fa436123578e9d,Binance,5m,2332597.0,11135818.078,0.7615,2024-08-21 18:40:56,1776272.6154999998,2405.8512999997,3771.0,0.0013562751,0.0016192708,4.774,4.774,4.768,4.768,1423.0
2024-08-21 10:45:00,AXSUSDT,66c5c55032c70d8ca7f02e5b,Binance,5m,2331369.0,11108973.285,0.7613,2024-08-21 18:45:36,1774871.2197,-1401.3957999998,-1228.0,-0.0007889531,-0.0005264518,4.764,4.767,4.764,4.767,735.0
2024-08-21 10:50:00,AXSUSDT,66c5c67d0d28489283648283,Binance,5m,2332492.0,11137649.3,0.7618,2024-08-21 18:50:37,1776892.4056000002,2021.1859000002,1123.0,0.0011387789,0.0004816912,4.775,4.786,4.775,4.785,2845.0
2024-08-21 10:55:00,AXSUSDT,66c5c7af0788cec8cdab26e3,Binance,5m,2327452.0,11126465.32787864,0.7617,2024-08-21 18:55:43,1772820.1884,-4072.2172000001,-5040.0,-0.0022917635,-0.0021607791,4.78,4.78,4.778,4.778,620.0
2024-08-21 11:00:00,AXSUSDT,66c5c8d1d0a6235fd39c1ec8,Binance,5m,2328378.0,11138203.5127311,0.7614,2024-08-21 19:00:33,1772827.0092,6.8207999999,926.0,3.8474e-06,0.00039786,4.783,4.791,4.783,4.787,1170.0
2024-08-21 11:05:00,AXSUSDT,66c5c9f9cd9cfc74bfecfe4b,Binance,5m,2328224.0,11155470.6337472,0.7612,2024-08-21 19:05:29,1772244.1088,-582.9003999999,-154.0,-0.0003287971,-6.61405e-05,4.79,4.79,4.784,4.786,3215.0
2024-08-21 11:10:00,AXSUSDT,66c5cb25b4d7755ce8dab4c1,Binance,5m,2327021.0,11139449.527,0.7602,2024-08-21 19:10:29,1769001.3642,-3242.7446000001,-1203.0,-0.0018297392,-0.0005167029,4.786,4.787,4.783,4.783,978.0
2024-08-21 11:15:00,AXSUSDT,66c5cc51f5f1cc5b4772586b,Binance,5m,2326819.0,11136449.00626676,0.7602,2024-08-21 19:15:29,1768847.8038,-153.5604000001,-202.0,-8.68063e-05,-8.68063e-05,4.786,4.786,4.781,4.783,1042.0
2024-08-21 11:20:00,AXSUSDT,66c5cd8443e6d4110ddc655e,Binance,5m,2327006.0,11125415.686,0.7592,2024-08-21 19:20:36,1766662.9552,-2184.8485999999,187.0,-0.0012351818,8.03672e-05,4.78,4.782,4.779,4.781,2212.0
2024-08-21 11:25:00,AXSUSDT,66c5cea75e8107c04793f2a8,Binance,5m,2326650.0,11118402.4897125,0.7601,2024-08-21 19:25:27,1768486.665,1823.7098000001,-356.0,0.0010322907,-0.0001529863,4.779,4.78,4.777,4.777,600.0
