datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,BOMEUSDT,66c5c37533a1faa0652bd170,Binance,5m,4427913992.0,31114951.621784,0.6343,2024-08-21 18:37:41,2808625845.1256,355818.5486998558,-3630945.0,0.0001267038,-0.0008193407,0.007026,0.007031,0.007024,0.007031,15946620.0
2024-08-21 10:40:00,BOMEUSDT,66c5c43275fa436123578e51,Binance,5m,4433730722.0,31234302.8172734,0.6318,2024-08-21 18:40:50,2801231070.1596003,-7394774.965999603,5816730.0,-0.0026328801,0.0013136502,0.007047,0.007048,0.007039,0.007041,5932100.0
2024-08-21 10:45:00,BOMEUSDT,66c5c55632c70d8ca7f02eb5,Binance,5m,4432195393.0,31257659.11154713,0.6313,2024-08-21 18:45:42,2798044951.6009,-3186118.558700561,-1535329.0,-0.0011373994,-0.0003462838,0.007052,0.007052,0.007048,0.00705,4065585.0
2024-08-21 10:50:00,BOMEUSDT,66c5c67f0d2848928364829d,Binance,5m,4452779233.0,31463338.060378,0.6331,2024-08-21 18:50:39,2819054532.4123,21009580.811400414,20583840.0,0.0075086645,0.0046441635,0.007066,0.007076,0.007062,0.007074,7569647.0
2024-08-21 10:55:00,BOMEUSDT,66c5c7aa0788cec8cdab26a7,Binance,5m,4457857908.0,31580669.04190716,0.6199,2024-08-21 18:55:38,2763426117.1692,-55628415.24310017,5078675.0,-0.0197330043,0.0011405629,0.007082,0.007091,0.007082,0.007089,4031377.0
2024-08-21 11:00:00,BOMEUSDT,66c5c8d8d0a6235fd39c1f1c,Binance,5m,4453269784.0,31587042.577912,0.62,2024-08-21 19:00:40,2761027266.08,-2398851.08920002,-4588124.0,-0.0008680714,-0.0010292217,0.007093,0.007097,0.007086,0.007086,11872226.0
2024-08-21 11:05:00,BOMEUSDT,66c5c9fdcd9cfc74bfecfe7a,Binance,5m,4453907095.0,31645009.909975,0.6208,2024-08-21 19:05:33,2764985524.576,3958258.49600029,637311.0,0.001433618,0.0001431108,0.007104,0.007104,0.007082,0.007088,9132446.0
2024-08-21 11:10:00,BOMEUSDT,66c5cb26b4d7755ce8dab4d0,Binance,5m,4442972076.0,31438470.409776,0.6233,2024-08-21 19:10:30,2769304494.9708,4318970.394799709,-10935019.0,0.0015620228,-0.002455152,0.007076,0.007076,0.007069,0.00707,12419253.0
2024-08-21 11:15:00,BOMEUSDT,66c5cc55f5f1cc5b47725898,Binance,5m,4435829144.0,31372889.56214584,0.6227,2024-08-21 19:15:33,2762190807.9688,-7113687.001999855,-7142932.0,-0.002568763,-0.0016076923,0.007073,0.00708,0.00706,0.00706,6589602.0
2024-08-21 11:20:00,BOMEUSDT,66c5cd7d43e6d4110ddc6505,Binance,5m,4435822003.0,31282969.30285705,0.6217,2024-08-21 19:20:29,2757750539.2651,-4440268.703700066,-7141.0,-0.001607517,-1.6098e-06,0.007051,0.007054,0.007046,0.007048,8556108.0
