datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,BONDUSDT,66c5c37133a1faa0652bd131,Binance,5m,3366428.3,7000675.59754199,0.5437,2024-08-21 18:37:37,1830327.06671,-8856.0735400002,-189.2000000002,-0.0048152211,-5.61988e-05,2.08,2.08,2.069,2.069,10671.9
2024-08-21 10:40:00,BONDUSDT,66c5c43a75fa436123578eae,Binance,5m,3367176.8,6949852.9152,0.549,2024-08-21 18:40:58,1848580.0632,18252.9964900003,748.5,0.0099725327,0.0002223425,2.064,2.064,2.06,2.061,1466.7
2024-08-21 10:45:00,BONDUSDT,66c5c54d32c70d8ca7f02e3b,Binance,5m,3362184.8,6929462.8728,0.5486,2024-08-21 18:45:33,1844494.58128,-4085.4819200002,-4992.0,-0.0022100649,-0.0014825476,2.06,2.067,2.06,2.067,1326.1
2024-08-21 10:50:00,BONDUSDT,66c5c6850d284892836482e4,Binance,5m,3360793.3,6933316.5779,0.5478,2024-08-21 18:50:45,1841042.56974,-3452.0115400001,-1391.5,-0.0018715216,-0.0004138678,2.064,2.067,2.064,2.066,956.4
2024-08-21 10:55:00,BONDUSDT,66c5c7ab0788cec8cdab26b2,Binance,5m,3357340.3,6936265.0598,0.5452,2024-08-21 18:55:39,1830421.93156,-10620.6381799998,-3453.0,-0.0057688173,-0.001027436,2.065,2.066,2.065,2.066,773.1
2024-08-21 11:00:00,BONDUSDT,66c5c8cbd0a6235fd39c1e83,Binance,5m,3357743.6,6922147.924221,0.5475,2024-08-21 19:00:27,1838364.621,7942.6894400001,403.3000000003,0.004339267,0.0001201249,2.064,2.065,2.06,2.065,4438.5
2024-08-21 11:05:00,BONDUSDT,66c5c9ffcd9cfc74bfecfe97,Binance,5m,3359353.8,6987455.904,0.5427,2024-08-21 19:05:35,1823121.30726,-15243.3137400004,1610.1999999997,-0.0082917793,0.0004795482,2.08,2.087,2.078,2.08,15349.0
2024-08-21 11:10:00,BONDUSDT,66c5cb27b4d7755ce8dab4dc,Binance,5m,3361969.4,6996560.3607309,0.546,2024-08-21 19:10:31,1835635.2924,12513.9851400005,2615.6000000001,0.0068640441,0.0007786021,2.081,2.083,2.081,2.081,3055.4
2024-08-21 11:15:00,BONDUSDT,66c5cc5cf5f1cc5b477258ef,Binance,5m,3360113.9,6984948.62781673,0.5467,2024-08-21 19:15:40,1836974.26913,1338.9767299998,-1855.5,0.0007294351,-0.0005519087,2.078,2.082,2.078,2.08,4569.7
2024-08-21 11:20:00,BONDUSDT,66c5cd7a43e6d4110ddc64ea,Binance,5m,3361986.9,7004237.43295125,0.5459,2024-08-21 19:20:26,1835308.64871,-1665.6204199998,1873.0,-0.0009067195,0.0005574216,2.084,2.087,2.083,2.086,678.4
2024-08-21 11:25:00,BONDUSDT,66c5ceb15e8107c04793f332,Binance,5m,3361149.5,7031524.754,0.5467,2024-08-21 19:25:37,1837540.43165,2231.7829399998,-837.3999999999,0.0012160259,-0.0002490789,2.092,2.092,2.086,2.086,4073.6
2024-08-21 11:30:00,BONDUSDT,66c5cfd47bc94cd7f1c05f0b,Binance,5m,3365328.6,7026806.1168,0.5488,2024-08-21 19:30:28,1846892.33568,9351.9040299999,4179.1000000001,0.0050893596,0.0012433544,2.088,2.088,2.086,2.088,2736.2
2024-08-21 11:35:00,BONDUSDT,66c5d10e4a4d6639b17eb3bf,Binance,5m,3365600.0,7035809.248552,0.5492,2024-08-21 19:35:42,1848387.52,1495.1843200002,271.3999999999,0.0008095677,8.06459e-05,2.094,2.096,2.091,2.095,9355.8
2024-08-21 11:40:00,BONDUSDT,66c5d22d59906877aa08d0a2,Binance,5m,3366710.1,7030613.73970812,0.5509,2024-08-21 19:40:29,1854720.59409,6333.0740899998,1110.1000000001,0.0034262697,0.0003298372,2.09,2.091,2.088,2.089,1093.7
2024-08-21 11:45:00,BONDUSDT,66c5d35ef0e99417ad49d989,Binance,5m,3363185.1,7021134.9773925,0.5518,2024-08-21 19:45:34,1855805.53818,1084.9440900001,-3525.0,0.0005849636,-0.0010470162,2.086,2.088,2.086,2.088,476.9
2024-08-21 11:50:00,BONDUSDT,66c5d49571bfb838c7807c73,Binance,5m,3360516.0,6999344.32305828,0.5549,2024-08-21 19:50:45,1864750.3284,8944.7902199998,-2669.1000000001,0.0048198963,-0.0007936227,2.082,2.082,2.078,2.079,4610.8
2024-08-21 11:55:00,BONDUSDT,66c5d5b65421c7fdf1dca079,Binance,5m,3361880.1,7007718.61228602,0.5537,2024-08-21 19:55:34,1861473.01137,-3277.3170299998,1364.1000000001,-0.0017575098,0.0004059198,2.086,2.087,2.084,2.084,1195.3
2024-08-21 12:00:00,BONDUSDT,66c5d6e24c1e6610b6c52e26,Binance,5m,3362436.7,7000318.59919471,0.5529,2024-08-21 20:00:34,1859091.25143,-2381.75994,556.6000000001,-0.0012795028,0.0001655621,2.084,2.086,2.08,2.082,2978.3
2024-08-21 12:05:00,BONDUSDT,66c5d818194a37119a33e0b9,Binance,5m,3360909.8,7002951.3024955,0.5553,2024-08-21 20:05:44,1866313.21194,7221.9605099999,-1526.9000000004,0.0038846724,-0.0004541052,2.084,2.086,2.082,2.086,7892.6
2024-08-21 12:10:00,BONDUSDT,66c5d942030d4af13f438204,Binance,5m,3352004.1,6950355.36131925,0.5568,2024-08-21 20:10:42,1866395.88288,82.6709400001,-8905.6999999997,4.42964e-05,-0.0026497885,2.076,2.077,2.075,2.075,1459.1
2024-08-21 12:15:00,BONDUSDT,66c5da6d1a353e7689c38dfd,Binance,5m,3350811.7,6938944.6386525,0.5531,2024-08-21 20:15:41,1853333.9512700003,-13061.9316099996,-1192.3999999999,-0.0069984786,-0.0003557275,2.072,2.074,2.071,2.071,1680.0
2024-08-21 12:20:00,BONDUSDT,66c5db8b87429915e1a27a68,Binance,5m,3350613.0,6928064.61098619,0.5549,2024-08-21 20:20:27,1859255.1537,5921.2024299996,-198.7000000002,0.0031948923,-5.92991e-05,2.065,2.067,2.062,2.062,5512.2
2024-08-21 12:25:00,BONDUSDT,66c5dcc64410e87fb6578679,Binance,5m,3353484.1,6951772.5393,0.553,2024-08-21 20:25:42,1854476.7073,-4778.4463999998,2871.1000000001,-0.0025700864,0.000856888,2.073,2.078,2.073,2.076,3415.4
2024-08-21 12:30:00,BONDUSDT,66c5dde92a76f630801ddd77,Binance,5m,3359221.4,6946855.84724676,0.552,2024-08-21 20:30:33,1854290.2128,-186.4945,5737.2999999998,-0.0001005645,0.0017108475,2.069,2.073,2.068,2.073,1875.3
2024-08-21 12:35:00,BONDUSDT,66c5df1ab57aac33cb36d653,Binance,5m,3361331.9,6984847.6882,0.5502,2024-08-21 20:35:38,1849404.81138,-4885.40142,2110.5,-0.0026346477,0.0006282706,2.077,2.078,2.076,2.076,1820.6
2024-08-21 12:40:00,BONDUSDT,66c5e040ceb837855906c21a,Binance,5m,3363767.4,6989409.70958156,0.5525,2024-08-21 20:40:32,1858481.4885,9076.6771199999,2435.5,0.0049078909,0.000724564,2.078,2.078,2.075,2.075,2293.0
2024-08-21 12:45:00,BONDUSDT,66c5e1732c2ea1d744f11748,Binance,5m,3365912.4,6980565.72636,0.5523,2024-08-21 20:45:39,1858993.41852,511.9300200001,2145.0,0.0002754561,0.0006376779,2.075,2.075,2.074,2.075,118.8
2024-08-21 12:50:00,BONDUSDT,66c5e2a0955bb0ecdeb7ad2b,Binance,5m,3366743.1,7000095.79169223,0.5521,2024-08-21 20:50:40,1858778.86551,-214.5530099999,830.7000000002,-0.0001154135,0.0002467979,2.082,2.083,2.073,2.074,7441.5
2024-08-21 12:55:00,BONDUSDT,66c5e3c8696867b8fc080b9d,Binance,5m,3367523.0,6983232.4451,0.551,2024-08-21 20:55:36,1855505.173,-3273.69251,779.8999999999,-0.001761206,0.0002316482,2.073,2.074,2.07,2.07,1627.6
2024-08-21 13:00:00,BONDUSDT,66c5e4f73890c4e5e7392199,Binance,5m,3367910.8,6978311.1776,0.5517,2024-08-21 21:00:39,1858076.38836,2571.2153599996,387.7999999998,0.0013857226,0.0001151588,2.071,2.074,2.069,2.07,3555.1
2024-08-21 13:05:00,BONDUSDT,66c5e6201e6164822dc0fea2,Binance,5m,3366803.0,6957955.71235149,0.549,2024-08-21 21:05:36,1848374.847,-9701.5413599997,-1107.7999999998,-0.0052212823,-0.000328928,2.065,2.065,2.057,2.059,12239.7
2024-08-21 13:10:00,BONDUSDT,66c5e74b66773cb51866f5e5,Binance,5m,3359331.7,6920223.302,0.5494,2024-08-21 21:10:35,1845616.83598,-2758.0110199999,-7471.2999999998,-0.0014921275,-0.0022191082,2.061,2.064,2.061,2.064,2315.4
2024-08-21 13:15:00,BONDUSDT,66c5e87a9cc3e32362720847,Binance,5m,3357658.3,6938584.0886585,0.5471,2024-08-21 21:15:38,1836974.85593,-8641.9800500001,-1673.4000000004,-0.0046824346,-0.0004981348,2.067,2.067,2.064,2.065,1729.3
2024-08-21 13:20:00,BONDUSDT,66c5e9a5156fd08044090b4b,Binance,5m,3359344.4,6933608.46809515,0.5504,2024-08-21 21:20:37,1848983.15776,12008.3018299998,1686.1000000001,0.0065369985,0.0005021655,2.065,2.066,2.063,2.063,1245.4
2024-08-21 13:25:00,BONDUSDT,66c5eacb7865dee90f0ea33e,Binance,5m,3358832.0,6925911.584,0.5496,2024-08-21 21:25:31,1846014.0672,-2969.0905599999,-512.3999999999,-0.0016057964,-0.0001525298,2.062,2.065,2.062,2.063,1079.2
2024-08-21 13:30:00,BONDUSDT,66c5ebfd6d602c4022f2a35d,Binance,5m,3357777.8,6923737.8236,0.5493,2024-08-21 21:30:37,1844427.34554,-1586.72166,-1054.2000000002,-0.0008595393,-0.0003138591,2.063,2.066,2.063,2.066,1161.2
2024-08-21 13:35:00,BONDUSDT,66c5ed22872760fff3842993,Binance,5m,3358138.0,6899719.89634046,0.5499,2024-08-21 21:35:30,1846640.0862000005,2212.7406600004,360.2000000002,0.0011996898,0.0001072733,2.057,2.058,2.055,2.057,2517.4
2024-08-21 13:40:00,BONDUSDT,66c5ee59956c2c6506ba252b,Binance,5m,3352383.6,6881714.387367,0.5504,2024-08-21 21:40:41,1845151.93344,-1488.1527600002,-5754.3999999999,-0.0008058705,-0.0017135687,2.052,2.054,2.051,2.052,2973.6
2024-08-21 13:45:00,BONDUSDT,66c5ef783c950f493078a06a,Binance,5m,3333214.0,6806406.32193,0.5473,2024-08-21 21:45:28,1824268.0222,-20883.91124,-19169.6000000001,-0.011318261,-0.0057182,2.045,2.049,2.044,2.047,7686.0
2024-08-21 13:50:00,BONDUSDT,66c5f0a455cd5a2e2a86a3e8,Binance,5m,3332805.0,6837152.23957815,0.5446,2024-08-21 21:50:28,1815045.603,-9222.4192000001,-409.0,-0.005055408,-0.0001227044,2.053,2.053,2.05,2.05,2580.9
2024-08-21 13:55:00,BONDUSDT,66c5f1d73356402175af5fe0,Binance,5m,3338377.3,6836306.76796341,0.5495,2024-08-21 21:55:35,1834438.32635,19392.7233499999,5572.2999999998,0.0106844276,0.001671955,2.049,2.058,2.049,2.058,19863.8
2024-08-21 14:00:00,BONDUSDT,66c5f30259e3fd272d1e217d,Binance,5m,3334784.7,6932728.36551005,0.5419,2024-08-21 22:00:34,1807119.8289300003,-27318.4974199994,-3592.5999999996,-0.0148920228,-0.0010761516,2.082,2.084,2.077,2.078,14091.1
2024-08-21 14:05:00,BONDUSDT,66c5f42ed026c2e610a4a3c8,Binance,5m,3336555.7,6931502.61479725,0.54,2024-08-21 22:05:34,1801740.078,-5379.7509300001,1771.0,-0.0029769752,0.0005310688,2.082,2.083,2.078,2.082,4681.5
2024-08-21 14:10:00,BONDUSDT,66c5f55c4e6d3f54b06a10b3,Binance,5m,3337766.8,6975932.612,0.5402,2024-08-21 22:10:36,1803061.62536,1321.5473599997,1211.0999999996,0.0007334839,0.0003629791,2.091,2.096,2.091,2.092,15083.6
2024-08-21 14:15:00,BONDUSDT,66c5f67e2db98255885f0aa2,Binance,5m,3333256.1,6977957.31698277,0.5397,2024-08-21 22:15:26,1798958.31717,-4103.30819,-4510.6999999997,-0.0022757448,-0.0013514126,2.091,2.103,2.091,2.103,16603.5
2024-08-21 14:20:00,BONDUSDT,66c5f7b4d573cb7f0f95fcd5,Binance,5m,3334720.4,6973839.64709507,0.5368,2024-08-21 22:20:36,1790077.91072,-8880.4064499999,1464.2999999998,-0.0049364159,0.0004393002,2.089,2.091,2.088,2.089,3769.3
2024-08-21 14:25:00,BONDUSDT,66c5f8e159abe413a4023c2e,Binance,5m,3335299.5,6970083.01317588,0.5375,2024-08-21 22:25:37,1792723.48125,2645.5705299999,579.1000000001,0.001477908,0.0001736577,2.093,2.095,2.092,2.093,5739.8
2024-08-21 14:30:00,BONDUSDT,66c5fa0f3f36f8af091910af,Binance,5m,3336091.7,6985776.0198,0.5368,2024-08-21 22:30:39,1790814.0245600005,-1909.4566899997,792.2000000002,-0.001065115,0.0002375199,2.094,2.096,2.09,2.09,6325.7
2024-08-21 14:35:00,BONDUSDT,66c5fb36f5e0bfc10b740e23,Binance,5m,3335335.5,6964180.524,0.5378,2024-08-21 22:35:34,1793743.4318999995,2929.4073399995,-756.2000000002,0.0016357965,-0.0002266724,2.087,2.088,2.075,2.08,15243.3
2024-08-21 14:40:00,BONDUSDT,66c5fc65f2ecdb4699085eb1,Binance,5m,3330862.5,6943943.41708463,0.5313,2024-08-21 22:40:37,1769687.24625,-24056.1856499997,-4473.0,-0.0134111631,-0.0013410945,2.087,2.091,2.085,2.091,7936.4
2024-08-21 14:45:00,BONDUSDT,66c5fd97e511e9a2f1983bd1,Binance,5m,3337716.0,6985839.588,0.5333,2024-08-21 22:45:43,1780003.9428,10316.69655,6853.5,0.0058296722,0.0020575752,2.094,2.095,2.086,2.086,8347.4
2024-08-21 14:50:00,BONDUSDT,66c5febe6f542947b29d49ea,Binance,5m,3333644.4,6952915.452192,0.5341,2024-08-21 22:50:38,1780499.47404,495.5312399999,-4071.6000000001,0.0002783877,-0.0012198761,2.086,2.086,2.083,2.086,1785.6
2024-08-21 14:55:00,BONDUSDT,66c5ffe6a549e168a3ca27f8,Binance,5m,3325362.1,6914187.08582829,0.5353,2024-08-21 22:55:34,1780066.33213,-433.14191,-8282.2999999998,-0.0002432699,-0.0024844582,2.08,2.081,2.08,2.081,1989.3
2024-08-21 15:00:00,BONDUSDT,66c601132ba97326050c67e9,Binance,5m,3327352.6,6924217.99889734,0.5363,2024-08-21 23:00:35,1784459.19938,4392.8672500001,1990.5,0.002467811,0.0005985814,2.082,2.09,2.082,2.087,9203.9
