datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,C98USDT,66c5c37733a1faa0652bd18d,Binance,5m,31648935.0,3931267.08070605,0.7177,2024-08-21 18:37:43,22714440.6495,-27320.9235999994,6022.0,-0.0012013548,0.0001903112,0.1241,0.1241,0.1239,0.124,53829.0
2024-08-21 10:40:00,C98USDT,66c5c43475fa436123578e64,Binance,5m,31639922.0,3925403.7589378,0.7162,2024-08-21 18:40:52,22660512.1364,-53928.513100002,-9013.0,-0.0023741951,-0.0002847805,0.124,0.124,0.1238,0.124,110676.0
2024-08-21 10:45:00,C98USDT,66c5c55432c70d8ca7f02e98,Binance,5m,31675214.0,3925408.86059162,0.7163,2024-08-21 18:45:40,22688955.7882,28443.6518000029,35292.0,0.0012552078,0.0011154263,0.1238,0.124,0.1237,0.124,80578.0
2024-08-21 10:50:00,C98USDT,66c5c6860d284892836482f0,Binance,5m,31671234.0,3930970.85503668,0.7146,2024-08-21 18:50:46,22632263.8164,-56691.9718000032,-3980.0,-0.0024986594,-0.0001256503,0.1241,0.1243,0.1241,0.1243,69189.0
2024-08-21 10:55:00,C98USDT,66c5c7ab0788cec8cdab26b0,Binance,5m,31752536.0,3945850.81577824,0.716,2024-08-21 18:55:39,22734815.776,102551.9596000016,81302.0,0.0045312285,0.0025670613,0.1242,0.1242,0.1241,0.1241,14371.0
2024-08-21 11:00:00,C98USDT,66c5c8dad0a6235fd39c1f3b,Binance,5m,31741293.0,3939094.4613,0.7165,2024-08-21 19:00:42,22742636.4345,7820.6585000008,-11243.0,0.0003439948,-0.000354082,0.1241,0.1243,0.1241,0.1242,35045.0
2024-08-21 11:05:00,C98USDT,66c5ca04cd9cfc74bfecfed9,Binance,5m,31728820.0,3943988.7816128,0.7165,2024-08-21 19:05:40,22733699.53,-8936.9045000002,-12473.0,-0.0003929582,-0.0003929582,0.1242,0.1242,0.124,0.124,22262.0
2024-08-21 11:10:00,C98USDT,66c5cb2ab4d7755ce8dab4fe,Binance,5m,31717365.0,3929193.4835529,0.7172,2024-08-21 19:10:34,22747694.178,13994.6479999982,-11455.0,0.0006155904,-0.0003610282,0.1238,0.124,0.1238,0.124,21807.0
2024-08-21 11:15:00,C98USDT,66c5cc5df5f1cc5b477258ff,Binance,5m,31741108.0,3936839.78549652,0.7167,2024-08-21 19:15:41,22748852.1036,1157.9255999997,23743.0,5.0903e-05,0.0007485805,0.1239,0.1239,0.1237,0.1237,69391.0
2024-08-21 11:20:00,C98USDT,66c5cd8a43e6d4110ddc65b3,Binance,5m,31626973.0,3904978.87734297,0.7175,2024-08-21 19:20:42,22692353.1275,-56498.9760999978,-114135.0,-0.0024835968,-0.0035958102,0.1234,0.1235,0.1234,0.1234,10695.0
