datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,CELOUSDT,66c5c37533a1faa0652bd16e,Binance,5m,10001205.2,4632404.23007992,0.7179,2024-08-21 18:37:41,7179865.213079999,1628.8621499985,-14472.7000000011,0.0002269168,-0.0014450045,0.462,0.463,0.462,0.463,16140.7
2024-08-21 10:40:00,CELOUSDT,66c5c43f75fa436123578ef9,Binance,5m,10002084.7,4623474.65486817,0.7179,2024-08-21 18:41:03,7180496.606129999,631.3930500001,879.5,8.79394e-05,8.79394e-05,0.463,0.463,0.462,0.463,1803.7
2024-08-21 10:45:00,CELOUSDT,66c5c54b32c70d8ca7f02e1d,Binance,5m,10022427.8,4640384.0714,0.7182,2024-08-21 18:45:31,7198107.64596,17611.0398300011,20343.1000000015,0.0024526214,0.002033886,0.462,0.463,0.462,0.462,358.5
2024-08-21 10:50:00,CELOUSDT,66c5c6760d28489283648235,Binance,5m,10020410.7,4648854.40974606,0.7175,2024-08-21 18:50:30,7189644.67725,-8462.9687100006,-2017.1000000015,-0.0011757213,-0.0002012586,0.464,0.464,0.464,0.464,464.5
2024-08-21 10:55:00,CELOUSDT,66c5c7a60788cec8cdab2676,Binance,5m,10010657.9,4649556.77526821,0.7169,2024-08-21 18:55:34,7176640.64851,-13004.02874,-9752.7999999989,-0.0018087165,-0.0009732934,0.465,0.465,0.464,0.464,453.0
2024-08-21 11:00:00,CELOUSDT,66c5c8d5d0a6235fd39c1ef9,Binance,5m,10009567.3,4649309.38216982,0.7167,2024-08-21 19:00:37,7173856.88391,-2783.7645999994,-1090.5999999996,-0.0003878924,-0.0001089439,0.465,0.465,0.464,0.464,1970.8
2024-08-21 11:05:00,CELOUSDT,66c5c9ffcd9cfc74bfecfe95,Binance,5m,10008814.3,4650537.51337206,0.7164,2024-08-21 19:05:35,7170314.5645200005,-3542.3193899998,-753.0,-0.0004937817,-7.5228e-05,0.464,0.465,0.464,0.464,28662.5
2024-08-21 11:10:00,CELOUSDT,66c5cb33b4d7755ce8dab575,Binance,5m,10009955.7,4649715.9136451,0.716,2024-08-21 19:10:43,7167128.281199999,-3186.2833200013,1141.3999999985,-0.0004443715,0.0001140395,0.464,0.464,0.464,0.464,43.5
2024-08-21 11:15:00,CELOUSDT,66c5cc5af5f1cc5b477258dc,Binance,5m,10009942.3,4649708.58812897,0.716,2024-08-21 19:15:38,7167118.6868,-9.5943999989,-13.3999999985,-1.3387e-06,-1.3387e-06,0.464,0.465,0.463,0.463,54853.5
2024-08-21 11:20:00,CELOUSDT,66c5cd8443e6d4110ddc6567,Binance,5m,10011245.8,4639714.16859653,0.7157,2024-08-21 19:20:36,7165048.61906,-2070.0677399999,1303.5,-0.0002888284,0.0001302205,0.464,0.464,0.463,0.464,706.0
2024-08-21 11:25:00,CELOUSDT,66c5cea95e8107c04793f2c9,Binance,5m,10011309.8,4630792.71731907,0.7166,2024-08-21 19:25:29,7174104.6026800005,9055.9836200001,64.0,0.001263911,6.3928e-06,0.463,0.464,0.462,0.462,50593.8
2024-08-21 11:30:00,CELOUSDT,66c5cfdc7bc94cd7f1c05f62,Binance,5m,10015782.8,4637307.4364,0.7154,2024-08-21 19:30:36,7165291.015120001,-8813.5875599999,4473.0,-0.0012285279,0.0004467947,0.463,0.464,0.462,0.463,64112.4
2024-08-21 11:35:00,CELOUSDT,66c5d10e4a4d6639b17eb3c1,Binance,5m,10024875.0,4648170.033045,0.7165,2024-08-21 19:35:42,7182822.9375,17531.9223799994,9092.1999999993,0.0024467844,0.0009077873,0.463,0.464,0.463,0.464,22186.2
