datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,CTSIUSDT,66c5c37833a1faa0652bd19c,Binance,5m,21970146.0,2972173.63982748,0.6763,2024-08-21 18:37:44,14858409.7398,-46420.2873999979,-16622.0,-0.0031144459,-0.0007560002,0.1352,0.1352,0.1351,0.1352,8790.0
2024-08-21 10:40:00,CTSIUSDT,66c5c43975fa436123578ea2,Binance,5m,21962162.0,2964891.87,0.6747,2024-08-21 18:40:57,14817870.7014,-40539.0384000018,-7984.0,-0.0027283565,-0.0003634022,0.135,0.135,0.135,0.135,713.0
2024-08-21 10:45:00,CTSIUSDT,66c5c55632c70d8ca7f02eb3,Binance,5m,21955304.0,2968357.1008,0.6751,2024-08-21 18:45:42,14822025.730400002,4155.0290000029,-6858.0,0.0002804066,-0.0003122643,0.1351,0.1351,0.1351,0.1351,13067.0
2024-08-21 10:50:00,CTSIUSDT,66c5c67d0d28489283648288,Binance,5m,21949541.0,2971319.68145427,0.6748,2024-08-21 18:50:37,14811550.2668,-10475.4636000022,-5763.0,-0.0007067498,-0.0002624878,0.1354,0.1355,0.1354,0.1355,3236.0
2024-08-21 10:55:00,CTSIUSDT,66c5c7ab0788cec8cdab26b3,Binance,5m,21952497.0,2979068.87398428,0.6747,2024-08-21 18:55:39,14811349.7259,-200.5408999994,2956.0,-1.35395e-05,0.0001346725,0.1357,0.1357,0.1356,0.1356,7728.0
2024-08-21 11:00:00,CTSIUSDT,66c5c8ced0a6235fd39c1ea1,Binance,5m,21929753.0,2976543.79568252,0.6756,2024-08-21 19:00:30,14815741.1268,4391.4008999988,-22744.0,0.0002964889,-0.0010360553,0.1357,0.1361,0.1357,0.1359,101815.0
2024-08-21 11:05:00,CTSIUSDT,66c5c9fccd9cfc74bfecfe74,Binance,5m,21902644.0,2980362.41948792,0.6747,2024-08-21 19:05:32,14777713.9068,-38027.2199999988,-27109.0,-0.0025666769,-0.0012361744,0.136,0.136,0.1357,0.1358,37472.0
2024-08-21 11:10:00,CTSIUSDT,66c5cb2fb4d7755ce8dab53a,Binance,5m,21914148.0,2975941.2984,0.6756,2024-08-21 19:10:39,14805198.3888,27484.4819999989,11504.0,0.0018598602,0.0005252334,0.1358,0.1358,0.1357,0.1358,332.0
2024-08-21 11:15:00,CTSIUSDT,66c5cc52f5f1cc5b47725870,Binance,5m,21908235.0,2970756.666,0.6756,2024-08-21 19:15:30,14801203.566,-3994.8227999993,-5913.0,-0.0002698257,-0.0002698257,0.1355,0.1356,0.1353,0.1353,15454.0
2024-08-21 11:20:00,CTSIUSDT,66c5cd8343e6d4110ddc6558,Binance,5m,21891542.0,2961925.6326,0.6753,2024-08-21 19:20:35,14783358.3126,-17845.2533999998,-16693.0,-0.0012056623,-0.0007619509,0.1352,0.1352,0.1352,0.1352,384.0
2024-08-21 11:25:00,CTSIUSDT,66c5cea85e8107c04793f2bb,Binance,5m,21894650.0,2960156.68,0.6749,2024-08-21 19:25:28,14776699.285000002,-6659.0275999978,3108.0,-0.0004504408,0.0001419726,0.1352,0.1352,0.1352,0.1352,15880.0
2024-08-21 11:30:00,CTSIUSDT,66c5cfe67bc94cd7f1c05fd7,Binance,5m,21924179.0,2958489.71247473,0.6752,2024-08-21 19:30:46,14803205.6608,26506.3757999986,29529.0,0.0017937954,0.0013486856,0.1349,0.1351,0.1348,0.135,82718.0
2024-08-21 11:35:00,CTSIUSDT,66c5d1034a4d6639b17eb332,Binance,5m,21897289.0,2960513.4728,0.6742,2024-08-21 19:35:31,14763152.2438,-40053.4169999994,-26890.0,-0.0027057259,-0.0012264997,0.1352,0.1352,0.1352,0.1352,9503.0
2024-08-21 11:40:00,CTSIUSDT,66c5d23b59906877aa08d155,Binance,5m,21887835.0,2957046.5085,0.6741,2024-08-21 19:40:43,14754589.5735,-8562.6703000013,-9454.0,-0.0005800028,-0.0004317429,0.1352,0.1354,0.1352,0.1354,28629.0
2024-08-21 11:45:00,CTSIUSDT,66c5d361f0e99417ad49d9ab,Binance,5m,21890131.0,2955167.685,0.6747,2024-08-21 19:45:37,14769271.3857,14681.8121999986,2296.0,0.0009950675,0.0001048985,0.1349,0.135,0.1349,0.135,11632.0
2024-08-21 11:50:00,CTSIUSDT,66c5d49071bfb838c7807c41,Binance,5m,21885314.0,2954776.51211776,0.6746,2024-08-21 19:50:40,14763832.8244,-5438.5612999983,-4817.0,-0.0003682349,-0.0002200535,0.135,0.135,0.135,0.135,1914.0
2024-08-21 11:55:00,CTSIUSDT,66c5d5be5421c7fdf1dca0e1,Binance,5m,21882296.0,2955055.05636424,0.6747,2024-08-21 19:55:42,14763985.1112,152.286799999,-3018.0,1.03149e-05,-0.0001379007,0.135,0.135,0.135,0.135,0.0
2024-08-21 12:00:00,CTSIUSDT,66c5d6e14c1e6610b6c52e1c,Binance,5m,21881325.0,2951450.269083,0.6748,2024-08-21 20:00:33,14765518.11,1532.9988000002,-971.0,0.0001038337,-4.43738e-05,0.1347,0.1349,0.1347,0.1349,58805.0
2024-08-21 12:05:00,CTSIUSDT,66c5d811194a37119a33e06f,Binance,5m,21852313.0,2952247.4863,0.6737,2024-08-21 20:05:37,14721903.2681,-43614.8419000003,-29012.0,-0.0029538308,-0.0013258795,0.1351,0.1351,0.135,0.135,4901.0
2024-08-21 12:10:00,CTSIUSDT,66c5d940030d4af13f4381e4,Binance,5m,21880866.0,2951728.8234,0.6734,2024-08-21 20:10:40,14734575.1644,12671.8963000011,28553.0,0.0008607512,0.0013066351,0.135,0.135,0.1348,0.1348,3183.0
2024-08-21 12:15:00,CTSIUSDT,66c5da661a353e7689c38d98,Binance,5m,21882962.0,2949099.60804666,0.6742,2024-08-21 20:15:34,14753492.9804,18917.8159999996,2096.0,0.0012839064,9.57915e-05,0.1347,0.1348,0.1345,0.1346,59035.0
2024-08-21 12:20:00,CTSIUSDT,66c5db9987429915e1a27b14,Binance,5m,21859350.0,2937896.64,0.675,2024-08-21 20:20:41,14755061.250000002,1568.2696000021,-23612.0,0.0001062982,-0.001079013,0.1343,0.1343,0.1341,0.1342,58417.0
2024-08-21 12:25:00,CTSIUSDT,66c5dcbe4410e87fb6578613,Binance,5m,21852848.0,2939493.89125184,0.676,2024-08-21 20:25:34,14772525.248000002,17463.9979999997,-6502.0,0.0011835937,-0.0002974471,0.1345,0.1345,0.1344,0.1345,24439.0
2024-08-21 12:30:00,CTSIUSDT,66c5dde92a76f630801ddd71,Binance,5m,21863429.0,2945003.8863,0.6754,2024-08-21 20:30:33,14766559.9466,-5965.3014000021,10581.0,-0.0004038105,0.0004841932,0.1347,0.1349,0.1346,0.1349,22550.0
2024-08-21 12:35:00,CTSIUSDT,66c5df1bb57aac33cb36d669,Binance,5m,21907732.0,2955353.0468,0.6745,2024-08-21 20:35:39,14776765.234,10205.2873999998,44303.0,0.000691108,0.0020263519,0.1349,0.1349,0.1349,0.1349,0.0
2024-08-21 12:40:00,CTSIUSDT,66c5e044ceb837855906c24d,Binance,5m,21897588.0,2952884.267403,0.6746,2024-08-21 20:40:36,14772112.8648,-4652.3692000005,-10144.0,-0.0003148435,-0.0004630329,0.1349,0.1349,0.1349,0.1349,921.0
2024-08-21 12:45:00,CTSIUSDT,66c5e1672c2ea1d744f116a7,Binance,5m,21885585.0,2952900.08134155,0.6751,2024-08-21 20:45:27,14774958.4335,2845.5687000025,-12003.0,0.0001926311,-0.0005481426,0.1348,0.1348,0.1348,0.1348,7352.0
2024-08-21 12:50:00,CTSIUSDT,66c5e298955bb0ecdeb7acce,Binance,5m,21882928.0,2947630.4016,0.6759,2024-08-21 20:50:32,14790671.035199998,15712.6016999967,-2657.0,0.0010634617,-0.0001214041,0.1347,0.1347,0.1347,0.1347,9685.0
2024-08-21 12:55:00,CTSIUSDT,66c5e3ca696867b8fc080bb0,Binance,5m,21888199.0,2943233.8884733,0.6767,2024-08-21 20:55:37,14811744.2633,21073.2281000018,5271.0,0.0014247648,0.0002408727,0.1343,0.1345,0.1342,0.1345,29997.0
2024-08-21 13:00:00,CTSIUSDT,66c5e4f23890c4e5e739215b,Binance,5m,21902956.0,2945947.582,0.6771,2024-08-21 21:00:34,14830491.5076,18747.2443000004,14757.0,0.0012657013,0.0006741989,0.1344,0.1344,0.1342,0.1343,100787.0
2024-08-21 13:05:00,CTSIUSDT,66c5e6251e6164822dc0fee3,Binance,5m,21989803.0,2959827.4838,0.6764,2024-08-21 21:05:41,14873902.7492,43411.2415999994,86847.0,0.0029271614,0.0039650812,0.1345,0.1346,0.1345,0.1346,2822.0
2024-08-21 13:10:00,CTSIUSDT,66c5e74f66773cb51866f621,Binance,5m,21995143.0,2956186.37055454,0.6761,2024-08-21 21:10:39,14870916.1823,-2986.5668999981,5340.0,-0.0002007924,0.0002428398,0.1343,0.1343,0.1342,0.1342,23006.0
2024-08-21 13:15:00,CTSIUSDT,66c5e8729cc3e323627207da,Binance,5m,22037352.0,2948597.6976,0.6781,2024-08-21 21:15:30,14943528.3912,72612.208899999,42209.0,0.0048828336,0.0019190146,0.1337,0.134,0.1337,0.134,25846.0
2024-08-21 13:20:00,CTSIUSDT,66c5e9a2156fd08044090b1b,Binance,5m,22029001.0,2956291.9342,0.6785,2024-08-21 21:20:34,14946677.1785,3148.7873,-8351.0,0.0002107124,-0.0003789475,0.1342,0.1342,0.134,0.1341,15045.0
2024-08-21 13:25:00,CTSIUSDT,66c5eace7865dee90f0ea368,Binance,5m,22032401.0,2957157.79653459,0.6789,2024-08-21 21:25:34,14957797.0389,11119.8603999987,3400.0,0.0007439687,0.000154342,0.1342,0.1343,0.1342,0.1343,24663.0
2024-08-21 13:30:00,CTSIUSDT,66c5ebf56d602c4022f2a2f8,Binance,5m,22028490.0,2948491.5782949,0.6784,2024-08-21 21:30:29,14944127.616,-13669.4228999987,-3911.0,-0.0009138661,-0.0001775113,0.1338,0.1338,0.1337,0.1338,52000.0
2024-08-21 13:35:00,CTSIUSDT,66c5ed20872760fff3842978,Binance,5m,22024813.0,2933705.0916,0.6749,2024-08-21 21:35:28,14864546.293700002,-79581.3222999983,-3677.0,-0.0053252571,-0.0001669202,0.1332,0.1334,0.1331,0.1334,66421.0
2024-08-21 13:40:00,CTSIUSDT,66c5ee51956c2c6506ba24c5,Binance,5m,22056111.0,2940079.5963,0.6765,2024-08-21 21:40:33,14920959.0915,56412.797799997,31298.0,0.0037951241,0.0014210336,0.1333,0.1336,0.1333,0.1333,90906.0
2024-08-21 13:45:00,CTSIUSDT,66c5ef7e3c950f493078a0c1,Binance,5m,22030925.0,2927419.74441875,0.674,2024-08-21 21:45:34,14848843.45,-72115.641499998,-25186.0,-0.0048331773,-0.0011419058,0.1328,0.1329,0.1325,0.1326,53423.0
