datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,CYBERUSDT,66c5c37233a1faa0652bd149,Binance,5m,1031094.4,3273681.72336352,0.6837,2024-08-21 18:37:38,704959.24128,595.6036799999,1323.0,0.0008455912,0.0012847512,3.173,3.174,3.171,3.173,1150.3
2024-08-21 10:40:00,CYBERUSDT,66c5c43675fa436123578e82,Binance,5m,1031721.6,3269525.7504,0.6838,2024-08-21 18:40:54,705491.2300799999,531.9887999999,627.2,0.0007546377,0.0006082857,3.168,3.168,3.167,3.168,454.8
2024-08-21 10:45:00,CYBERUSDT,66c5c55432c70d8ca7f02e94,Binance,5m,1031993.4,3272451.0714,0.6841,2024-08-21 18:45:40,705986.6849400001,495.4548600002,271.8,0.0007022835,0.0002634432,3.171,3.173,3.171,3.172,107.0
2024-08-21 10:50:00,CYBERUSDT,66c5c67f0d284892836482a1,Binance,5m,1031749.1,3277315.62715587,0.6852,2024-08-21 18:50:39,706954.48332,967.7983799999,-244.3,0.0013708451,-0.0002367263,3.176,3.18,3.176,3.18,467.7
2024-08-21 10:55:00,CYBERUSDT,66c5c7ae0788cec8cdab26de,Binance,5m,1032179.5,3282900.170534,0.6848,2024-08-21 18:55:42,706836.5216,-117.96172,430.4,-0.000166859,0.0004171557,3.179,3.18,3.178,3.178,100.4
2024-08-21 11:00:00,CYBERUSDT,66c5c8d1d0a6235fd39c1ecd,Binance,5m,1032278.1,3276659.13731673,0.686,2024-08-21 19:00:33,708142.7766,1306.255,98.6,0.0018480299,9.5526e-05,3.175,3.18,3.173,3.178,1504.1
2024-08-21 11:05:00,CYBERUSDT,66c5c9fccd9cfc74bfecfe76,Binance,5m,1033489.2,3290365.78367702,0.683,2024-08-21 19:05:32,705873.1236,-2269.6529999999,1211.1,-0.0032050782,0.0011732304,3.183,3.184,3.179,3.179,680.5
2024-08-21 11:10:00,CYBERUSDT,66c5cb28b4d7755ce8dab4ef,Binance,5m,1033995.5,3283969.708,0.6849,2024-08-21 19:10:32,708183.51795,2310.39435,506.3,0.0032731015,0.0004898938,3.176,3.18,3.176,3.178,323.6
2024-08-21 11:15:00,CYBERUSDT,66c5cc5ef5f1cc5b4772590d,Binance,5m,1034386.7,3286100.36637156,0.6839,2024-08-21 19:15:42,707417.06413,-766.4538200001,391.2,-0.0010822814,0.0003783382,3.176,3.176,3.172,3.172,503.2
2024-08-21 11:20:00,CYBERUSDT,66c5cd8343e6d4110ddc655b,Binance,5m,1034673.1,3279155.64271309,0.6827,2024-08-21 19:20:35,706371.32537,-1045.73876,286.4,-0.0014782493,0.000276879,3.169,3.169,3.168,3.168,34.8
2024-08-21 11:25:00,CYBERUSDT,66c5ceae5e8107c04793f306,Binance,5m,1034840.5,3283246.60889314,0.6813,2024-08-21 19:25:34,705036.83265,-1334.49272,167.4,-0.0018892227,0.0001617902,3.172,3.172,3.168,3.172,284.8
2024-08-21 11:30:00,CYBERUSDT,66c5cfda7bc94cd7f1c05f4a,Binance,5m,1034361.7,3280359.42820131,0.6823,2024-08-21 19:30:34,705744.98791,708.15526,-478.8,0.0010044231,-0.00046268,3.169,3.173,3.169,3.172,125.8
2024-08-21 11:35:00,CYBERUSDT,66c5d1044a4d6639b17eb345,Binance,5m,1034734.7,3286044.51661757,0.6813,2024-08-21 19:35:32,704964.75111,-780.2368000001,373.0,-0.0011055506,0.0003606089,3.174,3.178,3.174,3.178,416.2
2024-08-21 11:40:00,CYBERUSDT,66c5d23059906877aa08d0c6,Binance,5m,1035054.3,3290383.63126771,0.6815,2024-08-21 19:40:32,705389.50545,424.7543400001,319.6000000001,0.0006025186,0.0003088714,3.178,3.184,3.178,3.184,84.9
2024-08-21 11:45:00,CYBERUSDT,66c5d359f0e99417ad49d94e,Binance,5m,1035067.6,3289578.77054744,0.6823,2024-08-21 19:45:29,706226.62348,837.1180299999,13.2999999999,0.0011867458,1.28496e-05,3.177,3.177,3.175,3.177,82.3
2024-08-21 11:50:00,CYBERUSDT,66c5d48f71bfb838c7807c32,Binance,5m,1035231.7,3286771.20348112,0.6828,2024-08-21 19:50:39,706856.2047599999,629.5812799999,164.1,0.000891472,0.0001585404,3.174,3.175,3.174,3.175,249.2
2024-08-21 11:55:00,CYBERUSDT,66c5d5b75421c7fdf1dca08a,Binance,5m,1034789.4,3290124.06267763,0.6899,2024-08-21 19:55:35,713901.2070599999,7045.0023000001,-442.2999999999,0.0099666697,-0.0004272473,3.18,3.18,3.178,3.179,548.0
2024-08-21 12:00:00,CYBERUSDT,66c5d6e14c1e6610b6c52e17,Binance,5m,1034919.9,3289553.87963051,0.6907,2024-08-21 20:00:33,714819.17493,917.9678700001,130.5,0.0012858472,0.0001261126,3.176,3.179,3.175,3.178,940.2
2024-08-21 12:05:00,CYBERUSDT,66c5d817194a37119a33e0ab,Binance,5m,1034907.3,3289970.3067,0.6914,2024-08-21 20:05:43,715534.90722,715.7322900001,-12.6,0.0010012774,-1.21749e-05,3.18,3.181,3.177,3.178,225.7
