datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,DENTUSDT,66c5c36f33a1faa0652bd114,Binance,5m,3805606277.0,3170831.1499964,0.691,2024-08-21 18:37:35,2629673937.407,3544831.393199444,5679919.0,0.0013498313,0.0014947445,0.000832,0.000832,0.000831,0.000831,242798.0
2024-08-21 10:40:00,DENTUSDT,66c5c43d75fa436123578ede,Binance,5m,3787735923.0,3132457.608321,0.6937,2024-08-21 18:41:01,2627552409.7851,-2121527.621899605,-17870354.0,-0.0008067645,-0.0046957969,0.000826,0.000827,0.000826,0.000827,3743747.0
2024-08-21 10:45:00,DENTUSDT,66c5c55232c70d8ca7f02e7c,Binance,5m,3786698712.0,3139589.76910632,0.6927,2024-08-21 18:45:38,2623046197.8024,-4506211.982699871,-1037211.0,-0.0017149846,-0.000273834,0.000829,0.000829,0.000828,0.000829,789626.0
2024-08-21 10:50:00,DENTUSDT,66c5c6810d284892836482b8,Binance,5m,3783995840.0,3132883.6758112,0.6937,2024-08-21 18:50:41,2624957914.208,1911716.405599594,-2702872.0,0.0007288154,-0.0007137806,0.000827,0.000828,0.000827,0.000827,539054.0
2024-08-21 10:55:00,DENTUSDT,66c5c7a00788cec8cdab2625,Binance,5m,3783627453.0,3134054.29186896,0.6947,2024-08-21 18:55:28,2628485991.5991,3528077.391100406,-368387.0,0.001344051,-9.7354e-05,0.000828,0.000828,0.000824,0.000825,32589448.0
2024-08-21 11:00:00,DENTUSDT,66c5c8d4d0a6235fd39c1eea,Binance,5m,3779437961.0,3129374.631708,0.6977,2024-08-21 19:00:36,2636913865.3897,8427873.790599823,-4189492.0,0.0032063606,-0.0011072686,0.000828,0.000828,0.000826,0.000827,7989609.0
2024-08-21 11:05:00,DENTUSDT,66c5ca02cd9cfc74bfecfec2,Binance,5m,3785029137.0,3134004.125436,0.6951,2024-08-21 19:05:38,2630973753.1287003,-5940112.26099968,5591176.0,-0.0022526759,0.0014793671,0.000827,0.000828,0.000826,0.000827,3410895.0
2024-08-21 11:10:00,DENTUSDT,66c5cb27b4d7755ce8dab4de,Binance,5m,3785294224.0,3141869.91180448,0.6945,2024-08-21 19:10:31,2628886838.568,-2086914.5607004168,265087.0,-0.00079321,7.00357e-05,0.000831,0.000831,0.000831,0.000831,744709.0
2024-08-21 11:15:00,DENTUSDT,66c5cc5ef5f1cc5b4772590f,Binance,5m,3783718836.0,3144270.352716,0.6947,2024-08-21 19:15:42,2628549475.3692,-337363.198800087,-1575388.0,-0.0001283293,-0.0004161864,0.00083,0.00083,0.000828,0.000828,17412924.0
2024-08-21 11:20:00,DENTUSDT,66c5cd8043e6d4110ddc652c,Binance,5m,3781207192.0,3127058.347784,0.6964,2024-08-21 19:20:32,2633232688.5088,4683213.139600277,-2511644.0,0.0017816721,-0.000663803,0.000827,0.000831,0.000826,0.00083,50200834.0
2024-08-21 11:25:00,DENTUSDT,66c5ceac5e8107c04793f2f0,Binance,5m,3777444550.0,3130141.651912,0.6958,2024-08-21 19:25:32,2628345917.89,-4886770.618800163,-3762642.0,-0.0018558066,-0.0009950901,0.000828,0.000828,0.000827,0.000827,3697047.0
2024-08-21 11:30:00,DENTUSDT,66c5cfe37bc94cd7f1c05fb8,Binance,5m,3772473306.0,3124777.36409286,0.6961,2024-08-21 19:30:43,2626018668.3066,-2327249.5833997726,-4971244.0,-0.0008854427,-0.0013160336,0.000828,0.000829,0.000822,0.000822,42982409.0
2024-08-21 11:35:00,DENTUSDT,66c5d1074a4d6639b17eb368,Binance,5m,3773807696.0,3111127.0645824,0.6987,2024-08-21 19:35:35,2636759437.1952,10740768.888599873,1334390.0,0.0040901342,0.0003537175,0.000823,0.000825,0.000822,0.000824,16613643.0
2024-08-21 11:40:00,DENTUSDT,66c5d23459906877aa08d0f7,Binance,5m,3775762542.0,3110624.21260128,0.6985,2024-08-21 19:40:36,2637370135.587,610698.3917999268,1954846.0,0.0002316094,0.0005180036,0.000823,0.000824,0.000823,0.000823,3111981.0
2024-08-21 11:45:00,DENTUSDT,66c5d365f0e99417ad49d9da,Binance,5m,3770301908.0,3100432.36800564,0.6989,2024-08-21 19:45:41,2635064003.5012,-2306132.085800171,-5460634.0,-0.0008744059,-0.0014462334,0.000822,0.000822,0.000821,0.000822,1511316.0
2024-08-21 11:50:00,DENTUSDT,66c5d49471bfb838c7807c6c,Binance,5m,3770609907.0,3096085.50073677,0.7015,2024-08-21 19:50:44,2645082849.7605,10018846.259300232,307999.0,0.0038021263,8.16908e-05,0.000821,0.000821,0.00082,0.000821,5111749.0
2024-08-21 11:55:00,DENTUSDT,66c5d5b35421c7fdf1dca053,Binance,5m,3770728931.0,3099539.181282,0.702,2024-08-21 19:55:31,2647051709.562,1968859.801499844,119024.0,0.0007443471,3.15662e-05,0.000821,0.000822,0.000821,0.000821,520448.0
2024-08-21 12:00:00,DENTUSDT,66c5d6eb4c1e6610b6c52e93,Binance,5m,3771205475.0,3095782.5744275,0.7021,2024-08-21 20:00:43,2647763363.9975,711654.435500145,476544.0,0.000268848,0.0001263798,0.000821,0.000822,0.000821,0.000822,13531558.0
