datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,DYMUSDT,66c5c36d33a1faa0652bd0ff,Binance,5m,4416687.6,5887831.030965,0.672,2024-08-21 18:37:33,2968014.0672,1446.1592600001,1495.0,0.0004874856,0.0003386036,1.3328,1.3328,1.3317,1.3326,4862.9
2024-08-21 10:40:00,DYMUSDT,66c5c43f75fa436123578efb,Binance,5m,4420407.3,5886893.07001684,0.672,2024-08-21 18:41:03,2970513.7056,2499.6384000001,3719.7000000002,0.0008421922,0.0008421922,1.332,1.3323,1.3313,1.3323,2043.6
2024-08-21 10:45:00,DYMUSDT,66c5c55532c70d8ca7f02ea2,Binance,5m,4416100.7,5892844.77408,0.6711,2024-08-21 18:45:41,2963645.1797700003,-6868.5258299997,-4306.5999999996,-0.002312235,-0.0009742541,1.3342,1.3344,1.3341,1.3341,528.3
2024-08-21 10:50:00,DYMUSDT,66c5c6740d28489283648220,Binance,5m,4415481.2,5901421.6311272,0.6738,2024-08-21 18:50:28,2975151.23256,11506.0527899996,-619.5,0.0038823989,-0.0001402821,1.3373,1.3376,1.3371,1.3373,6491.8
2024-08-21 10:55:00,DYMUSDT,66c5c7ab0788cec8cdab26ac,Binance,5m,4410792.7,5899876.31552,0.6727,2024-08-21 18:55:39,2967140.24929,-8010.9832699997,-4688.5,-0.0026926306,-0.0010618322,1.3376,1.3386,1.3376,1.3381,1581.7
2024-08-21 11:00:00,DYMUSDT,66c5c8dad0a6235fd39c1f3a,Binance,5m,4409206.7,5898467.98291959,0.6738,2024-08-21 19:00:42,2970923.47446,3783.2251699995,-1586.0,0.0012750409,-0.0003595726,1.3378,1.3388,1.3378,1.3379,8889.6
2024-08-21 11:05:00,DYMUSDT,66c5ca01cd9cfc74bfecfeab,Binance,5m,4406279.4,5891923.82765923,0.673,2024-08-21 19:05:37,2965426.0362000004,-5497.4382599993,-2927.2999999998,-0.001850414,-0.0006639063,1.3374,1.3374,1.3358,1.3365,6561.6
2024-08-21 11:10:00,DYMUSDT,66c5cb24b4d7755ce8dab4be,Binance,5m,4406993.6,5886421.35152,0.6733,2024-08-21 19:10:28,2967228.79088,1802.7546799993,714.1999999993,0.0006079243,0.0001620869,1.3358,1.3358,1.3349,1.3349,1096.6
2024-08-21 11:15:00,DYMUSDT,66c5cc55f5f1cc5b47725899,Binance,5m,4405326.0,5872888.63819272,0.6727,2024-08-21 19:15:33,2963462.8002,-3765.9906799998,-1667.5999999996,-0.0012691946,-0.0003783986,1.3325,1.3327,1.3305,1.3305,3834.9
2024-08-21 11:20:00,DYMUSDT,66c5cd7b43e6d4110ddc64f4,Binance,5m,4404698.0,5861117.47218324,0.6692,2024-08-21 19:20:27,2947623.9016,-15838.8986,-628.0,-0.0053447266,-0.0001425547,1.3297,1.3297,1.3287,1.3293,5178.9
