datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,EOSUSDT,66c5c37133a1faa0652bd139,Binance,5m,44339124.5,22300710.72940233,0.6385,2024-08-21 18:37:37,28310530.99325,-17893.3086200058,13628.799999997,-0.000631638,0.0003074709,0.502,0.503,0.502,0.503,4813.3
2024-08-21 10:40:00,EOSUSDT,66c5c43575fa436123578e78,Binance,5m,44347569.8,22306530.48068234,0.6383,2024-08-21 18:40:53,28307053.803339995,-3477.1899100021,8445.299999997,-0.0001228232,0.0001904706,0.503,0.503,0.502,0.502,50816.7
2024-08-21 10:45:00,EOSUSDT,66c5c54a32c70d8ca7f02e12,Binance,5m,44385894.1,22324845.94834333,0.6381,2024-08-21 18:45:30,28322639.02521,15585.2218700051,38324.3000000045,0.0005505773,0.0008641804,0.502,0.503,0.502,0.502,20587.9
2024-08-21 10:50:00,EOSUSDT,66c5c6800d284892836482af,Binance,5m,44421543.1,22343480.02158039,0.6388,2024-08-21 18:50:40,28376481.73228,53842.7070700005,35649.0,0.0019010484,0.0008031606,0.502,0.503,0.502,0.502,8389.2
2024-08-21 10:55:00,EOSUSDT,66c5c7a50788cec8cdab2664,Binance,5m,44448904.3,22330185.87008171,0.6389,2024-08-21 18:55:33,28398404.95727,21923.2249899991,27361.1999999955,0.0007725843,0.0006159444,0.503,0.503,0.502,0.502,9009.1
2024-08-21 11:00:00,EOSUSDT,66c5c8d9d0a6235fd39c1f2f,Binance,5m,44485997.0,22400638.18924926,0.6381,2024-08-21 19:00:41,28386514.6857,-11890.2715700008,37092.700000003,-0.000418695,0.000834502,0.504,0.504,0.503,0.504,7754.8
2024-08-21 11:05:00,EOSUSDT,66c5c9fccd9cfc74bfecfe6e,Binance,5m,44451576.2,22401394.94080962,0.6383,2024-08-21 19:05:32,28373441.08846,-13073.5972399972,-34420.799999997,-0.0004605566,-0.0007737446,0.503,0.504,0.502,0.502,127885.4
2024-08-21 11:10:00,EOSUSDT,66c5cb29b4d7755ce8dab4fb,Binance,5m,44410012.1,22338236.0863,0.6385,2024-08-21 19:10:33,28355792.72585,-17648.3626100048,-41564.1000000015,-0.0006220029,-0.0009350422,0.502,0.503,0.502,0.503,4010.7
2024-08-21 11:15:00,EOSUSDT,66c5cc5df5f1cc5b47725903,Binance,5m,44392905.0,22305334.9780935,0.6385,2024-08-21 19:15:41,28344869.8425,-10922.8833499998,-17107.1000000015,-0.0003852082,-0.0003852082,0.502,0.503,0.502,0.502,157744.6
2024-08-21 11:20:00,EOSUSDT,66c5cd7e43e6d4110ddc6519,Binance,5m,44492204.5,22350194.43196002,0.6371,2024-08-21 19:20:30,28345983.48695,1113.6444500014,99299.5,3.92891e-05,0.0022368327,0.503,0.503,0.502,0.502,164478.9
2024-08-21 11:25:00,EOSUSDT,66c5ceb15e8107c04793f32c,Binance,5m,44461444.6,22340246.84416986,0.6361,2024-08-21 19:25:37,28281924.91006,-64058.5768899992,-30759.8999999985,-0.002259882,-0.0006913548,0.502,0.503,0.502,0.503,1220.0
2024-08-21 11:30:00,EOSUSDT,66c5cfd97bc94cd7f1c05f3e,Binance,5m,44454972.0,22340106.89241564,0.6353,2024-08-21 19:30:33,28242243.7116,-39681.1984600015,-6472.6000000015,-0.0014030586,-0.0001455778,0.502,0.503,0.502,0.502,3437.5
2024-08-21 11:35:00,EOSUSDT,66c5d10c4a4d6639b17eb3a9,Binance,5m,44400849.0,22378027.896,0.6326,2024-08-21 19:35:40,28087977.077400003,-154266.6341999955,-54123.0,-0.0054622655,-0.0012174791,0.503,0.504,0.503,0.504,4994.0
