datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,ETHFIUSDT,66c5c36d33a1faa0652bd0fc,Binance,5m,13871044.6,19276803.8785755,0.7616,2024-08-21 18:37:33,10564187.56736,24748.5321600009,10656.5999999996,0.0023481831,0.0007688529,1.388,1.39,1.388,1.39,1391.5
2024-08-21 10:40:00,ETHFIUSDT,66c5c43f75fa436123578ef5,Binance,5m,13865041.8,19247309.18738239,0.7616,2024-08-21 18:41:03,10559615.834880002,-4571.7324799988,-6002.7999999989,-0.0004327576,-0.0004327576,1.388,1.388,1.386,1.387,24190.5
2024-08-21 10:45:00,ETHFIUSDT,66c5c55032c70d8ca7f02e59,Binance,5m,13873100.4,19287155.38173123,0.7621,2024-08-21 18:45:36,10572689.81484,13073.9799599983,8058.5999999996,0.0012381113,0.0005812171,1.39,1.391,1.389,1.39,8884.1
2024-08-21 10:50:00,ETHFIUSDT,66c5c67f0d284892836482a3,Binance,5m,13872974.5,19321152.25934086,0.7625,2024-08-21 18:50:39,10578143.05625,5453.2414099984,-125.9000000004,0.0005157856,-9.0751e-06,1.393,1.396,1.393,1.396,61105.3
2024-08-21 10:55:00,ETHFIUSDT,66c5c7a70788cec8cdab2682,Binance,5m,13889611.8,19396322.85163421,0.7597,2024-08-21 18:55:35,10551938.08446,-26204.9717899971,16637.3000000007,-0.0024772752,0.0011992598,1.397,1.398,1.396,1.397,29138.9
2024-08-21 11:00:00,ETHFIUSDT,66c5c8d0d0a6235fd39c1ebe,Binance,5m,13897350.8,19416095.39536064,0.7592,2024-08-21 19:00:32,10550868.72736,-1069.3571000006,7739.0,-0.0001013422,0.000557179,1.398,1.402,1.397,1.401,41000.6
2024-08-21 11:05:00,ETHFIUSDT,66c5c9ffcd9cfc74bfecfe94,Binance,5m,13896407.4,19468866.7674,0.7584,2024-08-21 19:05:35,10539035.37216,-11833.355200002,-943.4000000004,-0.0011215527,-6.78834e-05,1.4,1.4,1.398,1.4,51855.6
2024-08-21 11:10:00,ETHFIUSDT,66c5cb29b4d7755ce8dab4f1,Binance,5m,13913587.6,19465786.92238787,0.7588,2024-08-21 19:10:33,10557630.27088,18594.8987200018,17180.1999999993,0.0017643834,0.0012363051,1.399,1.4,1.398,1.398,2706.2
2024-08-21 11:15:00,ETHFIUSDT,66c5cc5ef5f1cc5b4772590a,Binance,5m,13911575.0,19404406.66584625,0.7586,2024-08-21 19:15:42,10553320.795,-4309.4758800007,-2012.5999999996,-0.0004081859,-0.00014465,1.395,1.395,1.392,1.392,26655.8
2024-08-21 11:20:00,ETHFIUSDT,66c5cd8843e6d4110ddc6591,Binance,5m,13901195.8,19333714.72475667,0.7597,2024-08-21 19:20:40,10560738.449260002,7417.6542600021,-10379.1999999993,0.0007028739,-0.0007460837,1.391,1.391,1.389,1.39,17002.8
