datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,FETUSDT,66c5c37433a1faa0652bd163,Binance,5m,25596448.0,22858077.53762688,0.7016,2024-08-21 18:37:40,17958467.9168,42475.9237999991,13138.0,0.0023708385,0.0005135379,0.8925,0.8936,0.8923,0.8934,27715.0
2024-08-21 10:40:00,FETUSDT,66c5c43e75fa436123578ee2,Binance,5m,25587938.0,22827640.72352628,0.7018,2024-08-21 18:41:02,17957614.8884,-853.0284000002,-8510.0,-4.75001e-05,-0.000332468,0.8919,0.8925,0.8916,0.8924,18536.0
2024-08-21 10:45:00,FETUSDT,66c5c55532c70d8ca7f02ea0,Binance,5m,25576523.0,22828122.01452692,0.7012,2024-08-21 18:45:41,17934257.9276,-23356.9607999995,-11415.0,-0.0013006717,-0.0004461086,0.8924,0.8934,0.8923,0.8923,36388.0
2024-08-21 10:50:00,FETUSDT,66c5c6830d284892836482c8,Binance,5m,25564977.0,22893773.08294755,0.7002,2024-08-21 18:50:43,17900596.895400003,-33661.0321999975,-11546.0,-0.0018769125,-0.0004514296,0.895,0.8968,0.8949,0.8964,39274.0
2024-08-21 10:55:00,FETUSDT,66c5c7af0788cec8cdab26e4,Binance,5m,25541425.0,22943627.86263275,0.6989,2024-08-21 18:55:43,17850901.932499997,-49694.9629000053,-23552.0,-0.0027761623,-0.0009212604,0.8981,0.8988,0.8974,0.8977,25549.0
2024-08-21 11:00:00,FETUSDT,66c5c8dbd0a6235fd39c1f40,Binance,5m,25520621.0,22948142.4032,0.6998,2024-08-21 19:00:43,17859330.575799998,8428.6433000006,-20804.0,0.000472169,-0.0008145199,0.8992,0.9008,0.8987,0.8992,75783.0
2024-08-21 11:10:00,FETUSDT,66c5cb24b4d7755ce8dab4b7,Binance,5m,25499541.0,22842488.8278,0.7019,2024-08-21 19:10:28,17898127.8279,23499.3388999999,-13774.0,0.0013146757,-0.000539875,0.8959,0.8961,0.8951,0.8954,16190.0
2024-08-21 11:15:00,FETUSDT,66c5cc52f5f1cc5b47725871,Binance,5m,25485928.0,22829930.10848888,0.702,2024-08-21 19:15:30,17891121.456,-7006.3718999997,-13613.0,-0.0003914584,-0.0005338527,0.8959,0.896,0.8935,0.894,50925.0
2024-08-21 11:20:00,FETUSDT,66c5cd8a43e6d4110ddc65ae,Binance,5m,25526664.0,22811656.18549248,0.7019,2024-08-21 19:20:42,17917165.4616,26044.0055999979,40736.0,0.0014556944,0.0015983722,0.8933,0.8937,0.8928,0.8935,24735.0
2024-08-21 11:25:00,FETUSDT,66c5cea85e8107c04793f2b7,Binance,5m,25520054.0,22733264.1032,0.7036,2024-08-21 19:25:28,17955909.9944,38744.5328000002,-6610.0,0.0021624254,-0.0002589449,0.8907,0.8912,0.8901,0.8901,31354.0
2024-08-21 11:30:00,FETUSDT,66c5cfdb7bc94cd7f1c05f5f,Binance,5m,25484422.0,22724459.0974,0.7037,2024-08-21 19:30:35,17933387.7614,-22522.2329999991,-35632.0,-0.0012543075,-0.0013962353,0.8918,0.8922,0.8911,0.8918,27903.0
2024-08-21 11:35:00,FETUSDT,66c5d1094a4d6639b17eb386,Binance,5m,25493772.0,22781234.6592,0.6989,2024-08-21 19:35:37,17817597.2508,-115790.5106000006,9350.0,-0.0064567003,0.0003668908,0.8932,0.8948,0.8932,0.8947,32438.0
2024-08-21 11:40:00,FETUSDT,66c5d22c59906877aa08d091,Binance,5m,25473093.0,22763919.51568824,0.7015,2024-08-21 19:40:28,17869374.7395,51777.4887000024,-20679.0,0.0029059748,-0.0008111393,0.8938,0.8957,0.8935,0.8957,18173.0
2024-08-21 11:45:00,FETUSDT,66c5d35cf0e99417ad49d96c,Binance,5m,25472820.0,22716660.876,0.7019,2024-08-21 19:45:32,17879372.358,9997.618499998,-273.0,0.0005594834,-1.07172e-05,0.892,0.892,0.8902,0.8911,25330.0
2024-08-21 11:50:00,FETUSDT,66c5d49771bfb838c7807c8d,Binance,5m,25460527.0,22690430.31897918,0.7018,2024-08-21 19:50:47,17868197.8486,-11174.5093999989,-12293.0,-0.0006249945,-0.0004825928,0.8911,0.8929,0.8909,0.8929,41391.0
2024-08-21 11:55:00,FETUSDT,66c5d5be5421c7fdf1dca0d9,Binance,5m,25453839.0,22748363.94322467,0.7006,2024-08-21 19:55:42,17832959.6034,-35238.2452000007,-6688.0,-0.0019721208,-0.0002626811,0.8935,0.8942,0.8932,0.8937,13604.0
2024-08-21 12:00:00,FETUSDT,66c5d6e94c1e6610b6c52e7f,Binance,5m,25447270.0,22686168.6802805,0.6993,2024-08-21 20:00:41,17795275.911000002,-37683.6923999973,-6569.0,-0.0021131485,-0.000258075,0.8913,0.8929,0.8907,0.8928,59993.0
2024-08-21 12:05:00,FETUSDT,66c5d810194a37119a33e065,Binance,5m,25435033.0,22749093.5152,0.6984,2024-08-21 20:05:36,17763827.0472,-31448.8638000004,-12237.0,-0.0017672591,-0.0004808767,0.8945,0.8948,0.8941,0.8944,11995.0
2024-08-21 12:10:00,FETUSDT,66c5d941030d4af13f4381ed,Binance,5m,25414661.0,22763911.8577,0.6955,2024-08-21 20:10:41,17675896.7255,-87930.321700003,-20372.0,-0.004949965,-0.0008009425,0.8958,0.8961,0.8938,0.8938,41089.0
2024-08-21 12:15:00,FETUSDT,66c5da641a353e7689c38d86,Binance,5m,25415363.0,22723876.0583,0.6964,2024-08-21 20:15:32,17699258.7932,23362.0677000023,702.0,0.0013216907,2.76219e-05,0.8941,0.8943,0.8925,0.8933,32298.0
2024-08-21 12:20:00,FETUSDT,66c5db8c87429915e1a27a6b,Binance,5m,25424269.0,22629607.927251,0.6965,2024-08-21 20:20:28,17708003.3585,8744.565299999,8906.0,0.0004940639,0.000350418,0.8899,0.8899,0.8888,0.889,86284.0
2024-08-21 12:25:00,FETUSDT,66c5dcc14410e87fb6578638,Binance,5m,25397687.0,22658372.22891718,0.6961,2024-08-21 20:25:37,17679329.920700002,-28673.4377999976,-26582.0,-0.0016192361,-0.0010455365,0.8919,0.8924,0.8904,0.8904,94147.0
2024-08-21 12:30:00,FETUSDT,66c5ddef2a76f630801dddc2,Binance,5m,25399323.0,22673975.6421,0.6958,2024-08-21 20:30:39,17672848.9434,-6480.9773000032,1636.0,-0.000366585,6.44153e-05,0.8929,0.8933,0.8919,0.8929,31328.0
2024-08-21 12:35:00,FETUSDT,66c5df1eb57aac33cb36d688,Binance,5m,25402286.0,22743802.64602992,0.6945,2024-08-21 20:35:42,17641887.627,-30961.316399999,2963.0,-0.0017519143,0.0001166567,0.8951,0.8953,0.894,0.894,32081.0
2024-08-21 12:40:00,FETUSDT,66c5e044ceb837855906c251,Binance,5m,25426840.0,22794410.1883412,0.695,2024-08-21 20:40:36,17671653.799999997,29766.1729999967,24554.0,0.0016872442,0.0009666059,0.8962,0.8967,0.8957,0.8967,29194.0
2024-08-21 12:45:00,FETUSDT,66c5e16f2c2ea1d744f11713,Binance,5m,25437222.0,22901001.74551224,0.6915,2024-08-21 20:45:35,17589839.013,-81814.7869999968,10382.0,-0.0046297188,0.0004083087,0.8999,0.902,0.8999,0.902,50767.0
2024-08-21 12:50:00,FETUSDT,66c5e29f955bb0ecdeb7ad1a,Binance,5m,25507869.0,22980039.1821,0.6918,2024-08-21 20:50:39,17646343.7742,56504.7611999996,70647.0,0.0032123524,0.002777308,0.901,0.902,0.9008,0.9012,54706.0
2024-08-21 12:55:00,FETUSDT,66c5e3cc696867b8fc080bcd,Binance,5m,25542268.0,22928062.08001436,0.6937,2024-08-21 20:55:40,17718671.3116,72327.5373999998,34399.0,0.0040987265,0.0013485642,0.8975,0.8985,0.8966,0.8985,43981.0
2024-08-21 13:00:00,FETUSDT,66c5e4f93890c4e5e73921b8,Binance,5m,25541928.0,22923171.33607872,0.695,2024-08-21 21:00:41,17751639.959999997,32968.6483999975,-340.0,0.0018606727,-1.33113e-05,0.8972,0.9016,0.897,0.9014,63457.0
2024-08-21 13:05:00,FETUSDT,66c5e6261e6164822dc0fefd,Binance,5m,25587677.0,23190181.51945821,0.6938,2024-08-21 21:05:42,17752730.3026,1090.3426000029,45749.0,6.14221e-05,0.0017911334,0.906,0.9091,0.9059,0.9081,111747.0
2024-08-21 13:10:00,FETUSDT,66c5e74e66773cb51866f615,Binance,5m,25591008.0,23187028.63045248,0.6911,2024-08-21 21:10:38,17685945.6288,-66784.6737999991,3331.0,-0.0037619382,0.0001301799,0.906,0.9067,0.9045,0.9046,54996.0
2024-08-21 13:15:00,FETUSDT,66c5e8709cc3e323627207bc,Binance,5m,25512873.0,23019225.65832525,0.6932,2024-08-21 21:15:28,17685523.5636,-422.065200001,-78135.0,-2.38644e-05,-0.0030532209,0.9022,0.9032,0.9005,0.9021,60205.0
2024-08-21 13:20:00,FETUSDT,66c5e99e156fd08044090aea,Binance,5m,25492690.0,22935773.193,0.6973,2024-08-21 21:20:30,17776052.737,90529.1733999997,-20183.0,0.0051188291,-0.0007910908,0.8995,0.9,0.8974,0.8976,59924.0
2024-08-21 13:25:00,FETUSDT,66c5ead77865dee90f0ea3d5,Binance,5m,25492213.0,22908326.11415195,0.699,2024-08-21 21:25:43,17819056.887,43004.1499999985,-477.0,0.0024192182,-1.87112e-05,0.8983,0.8991,0.8962,0.897,74615.0
2024-08-21 13:30:00,FETUSDT,66c5ebf76d602c4022f2a312,Binance,5m,25493121.0,22801047.4224,0.6989,2024-08-21 21:30:31,17817142.2669,-1914.620099999,908.0,-0.0001074479,3.56187e-05,0.8945,0.8947,0.8936,0.8946,86968.0
2024-08-21 13:35:00,FETUSDT,66c5ed2a872760fff38429f6,Binance,5m,25408279.0,22509194.3661,0.7,2024-08-21 21:35:38,17785795.299999997,-31346.9669000022,-84842.0,-0.0017593712,-0.003328035,0.8854,0.8886,0.8853,0.888,120180.0
2024-08-21 13:40:00,FETUSDT,66c5ee59956c2c6506ba2525,Binance,5m,25416925.0,22507104.4334085,0.7018,2024-08-21 21:40:41,17837597.965,51802.6650000028,8646.0,0.0029125864,0.0003402828,0.8851,0.8874,0.8848,0.8851,113596.0
2024-08-21 13:45:00,FETUSDT,66c5ef843c950f493078a10f,Binance,5m,25243058.0,22204987.8134434,0.7096,2024-08-21 21:45:40,17912473.9568,74875.991799999,-173867.0,0.0041976499,-0.0068405993,0.8797,0.8806,0.8778,0.8791,209944.0
2024-08-21 13:50:00,FETUSDT,66c5f0ab55cd5a2e2a86a442,Binance,5m,25298502.0,22349666.8643517,0.7107,2024-08-21 21:50:35,17979645.3714,67171.4145999998,55444.0,0.0037499797,0.0021964058,0.8826,0.8826,0.8793,0.8803,136284.0
2024-08-21 13:55:00,FETUSDT,66c5f1d63356402175af5fc8,Binance,5m,25346071.0,22398322.9427,0.7087,2024-08-21 21:55:33,17962760.5177,-16884.8536999971,47569.0,-0.0009391094,0.001880309,0.8839,0.8879,0.8838,0.8867,103805.0
2024-08-21 14:00:00,FETUSDT,66c5f30c59e3fd272d1e2208,Binance,5m,25331220.0,22883537.671938,0.6964,2024-08-21 22:00:44,17640661.608,-322098.9097000025,-14851.0,-0.0179314816,-0.0005859291,0.9035,0.9058,0.9009,0.9019,379677.0
2024-08-21 14:05:00,FETUSDT,66c5f436d026c2e610a4a42c,Binance,5m,25353370.0,22941746.5436509,0.696,2024-08-21 22:05:42,17645945.52,5283.9120000005,22150.0,0.0002995303,0.000874415,0.9044,0.914,0.9042,0.9129,561987.0
2024-08-21 14:10:00,FETUSDT,66c5f5564e6d3f54b06a1059,Binance,5m,25421644.0,23286225.904,0.6932,2024-08-21 22:10:30,17622283.6208,-23661.8991999999,68274.0,-0.0013409255,0.0026928964,0.9161,0.9186,0.9151,0.9162,247256.0
