datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,FILUSDT,66c5c37033a1faa0652bd12d,Binance,5m,10677923.3,39138980.0836779,0.7099,2024-08-21 18:37:36,7580257.75067,3327.76425,9196.2000000011,0.0004391969,0.0008619772,3.664,3.668,3.662,3.667,52436.1
2024-08-21 10:40:00,FILUSDT,66c5c43d75fa436123578ed8,Binance,5m,10661032.9,39032070.02824021,0.7102,2024-08-21 18:41:01,7571465.565580001,-8792.1850899989,-16890.4000000004,-0.0011598794,-0.0015818057,3.662,3.662,3.659,3.661,5678.9
2024-08-21 10:45:00,FILUSDT,66c5c55132c70d8ca7f02e68,Binance,5m,10650485.3,39030802.48599777,0.7103,2024-08-21 18:45:37,7565039.708590001,-6425.8569900002,-10547.5999999996,-0.0008486939,-0.00098936,3.664,3.664,3.663,3.664,1979.0
2024-08-21 10:50:00,FILUSDT,66c5c6740d2848928364821e,Binance,5m,10648287.8,39111161.0894,0.7106,2024-08-21 18:50:28,7566673.310680001,1633.6020900002,-2197.5,0.000215941,-0.0002063286,3.673,3.675,3.672,3.674,9074.2
2024-08-21 10:55:00,FILUSDT,66c5c7aa0788cec8cdab26a4,Binance,5m,10644475.5,39130889.68346719,0.7102,2024-08-21 18:55:38,7559706.500100001,-6966.8105800003,-3812.3000000007,-0.0009207231,-0.00035802,3.675,3.677,3.675,3.677,1707.8
2024-08-21 11:00:00,FILUSDT,66c5c8d7d0a6235fd39c1f10,Binance,5m,10636619.3,39110725.14311896,0.7097,2024-08-21 19:00:39,7548808.71721,-10897.7828900004,-7856.1999999993,-0.0014415616,-0.0007380542,3.677,3.679,3.676,3.676,11010.5
2024-08-21 11:05:00,FILUSDT,66c5ca00cd9cfc74bfecfe9c,Binance,5m,10638872.2,39138131.87098604,0.7095,2024-08-21 19:05:36,7548279.8259,-528.8913100008,2252.8999999985,-7.00629e-05,0.000211806,3.678,3.678,3.676,3.676,3781.6
2024-08-21 11:10:00,FILUSDT,66c5cb27b4d7755ce8dab4e1,Binance,5m,10642019.9,39132838.34320518,0.7091,2024-08-21 19:10:31,7546256.31109,-2023.5148099996,3147.7000000011,-0.0002680763,0.0002958678,3.678,3.678,3.675,3.676,3738.4
2024-08-21 11:15:00,FILUSDT,66c5cc59f5f1cc5b477258c7,Binance,5m,10645105.5,39125647.96431606,0.7092,2024-08-21 19:15:37,7549508.8206,3252.5095100002,3085.5999999996,0.0004310097,0.000289945,3.676,3.676,3.672,3.672,10202.1
2024-08-21 11:20:00,FILUSDT,66c5cd7f43e6d4110ddc651f,Binance,5m,10649172.7,39114411.3271,0.7087,2024-08-21 19:20:31,7547068.692489999,-2440.1281100009,4067.1999999993,-0.0003232168,0.0003820723,3.673,3.674,3.671,3.673,7948.5
