datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,FLOWUSDT,66c5c36d33a1faa0652bd0f9,Binance,5m,7967251.8,4350119.4828,0.5996,2024-08-21 18:37:33,4777164.17928,6201.3639599988,6359.3999999994,0.0012998139,0.00079883,0.545,0.547,0.545,0.547,10578.3
2024-08-21 10:40:00,FLOWUSDT,66c5c43175fa436123578e40,Binance,5m,7966351.7,4349628.0282,0.5988,2024-08-21 18:40:49,4770251.39796,-6912.7813200001,-900.0999999996,-0.001447047,-0.000112975,0.545,0.546,0.545,0.546,392.6
2024-08-21 10:45:00,FLOWUSDT,66c5c54d32c70d8ca7f02e34,Binance,5m,7963776.6,4350976.69392594,0.5984,2024-08-21 18:45:33,4765523.91744,-4727.4805199997,-2575.1000000006,-0.0009910338,-0.0003232471,0.546,0.547,0.546,0.547,3817.4
2024-08-21 10:50:00,FLOWUSDT,66c5c6800d284892836482aa,Binance,5m,7962742.1,4357673.9180247,0.5981,2024-08-21 18:50:40,4762516.050009999,-3007.8674300006,-1034.5,-0.0006311725,-0.0001299007,0.547,0.548,0.547,0.547,6818.9
2024-08-21 10:55:00,FLOWUSDT,66c5c7a30788cec8cdab2650,Binance,5m,7958809.7,4365312.88814315,0.5977,2024-08-21 18:55:31,4756980.55769,-5535.4923199993,-3932.3999999994,-0.0011623042,-0.00049385,0.549,0.549,0.548,0.548,105.3
2024-08-21 11:00:00,FLOWUSDT,66c5c8ced0a6235fd39c1ea9,Binance,5m,7958380.2,4366156.38924975,0.5978,2024-08-21 19:00:30,4757519.68356,539.1258699996,-429.5,0.0001133336,-5.39654e-05,0.548,0.549,0.548,0.548,22377.9
2024-08-21 11:05:00,FLOWUSDT,66c5c9fecd9cfc74bfecfe8c,Binance,5m,7968473.5,4382660.425,0.5976,2024-08-21 19:05:34,4761959.7636,4440.0800400004,10093.2999999998,0.0009332762,0.0012682606,0.549,0.55,0.549,0.549,912.5
2024-08-21 11:10:00,FLOWUSDT,66c5cb23b4d7755ce8dab4ad,Binance,5m,7970391.8,4382175.69000816,0.5975,2024-08-21 19:10:27,4762309.1005,349.3368999995,1918.2999999998,7.33599e-05,0.0002407362,0.55,0.55,0.549,0.55,617.2
2024-08-21 11:15:00,FLOWUSDT,66c5cc58f5f1cc5b477258b8,Binance,5m,7967189.2,4382564.42636461,0.5974,2024-08-21 19:15:36,4759598.82808,-2710.2724199994,-3202.5999999996,-0.0005691089,-0.0004018121,0.55,0.551,0.55,0.55,20787.3
2024-08-21 11:20:00,FLOWUSDT,66c5cd8743e6d4110ddc658f,Binance,5m,7969993.1,4380896.47295071,0.5976,2024-08-21 19:20:39,4762867.87656,3269.0484799994,2803.8999999994,0.0006868328,0.0003519309,0.55,0.55,0.55,0.55,203.0
2024-08-21 11:25:00,FLOWUSDT,66c5ceb55e8107c04793f360,Binance,5m,7970444.6,4383744.53,0.597,2024-08-21 19:25:41,4758355.4262,-4512.4503600001,451.5,-0.000947423,5.665e-05,0.55,0.55,0.549,0.55,1546.6
2024-08-21 11:30:00,FLOWUSDT,66c5cfdf7bc94cd7f1c05f88,Binance,5m,7974670.7,4382694.64233342,0.598,2024-08-21 19:30:39,4768853.0786,10497.6524,4226.1000000006,0.0022061514,0.0005302214,0.549,0.55,0.548,0.55,7495.3
2024-08-21 11:35:00,FLOWUSDT,66c5d1104a4d6639b17eb3db,Binance,5m,7972207.0,4384713.85,0.5978,2024-08-21 19:35:44,4765785.3446,-3067.7339999992,-2463.7000000002,-0.0006432855,-0.0003089407,0.549,0.55,0.549,0.549,8697.9
2024-08-21 11:40:00,FLOWUSDT,66c5d23659906877aa08d11b,Binance,5m,7965333.2,4377298.43950084,0.5976,2024-08-21 19:40:38,4760083.120320001,-5702.2242799997,-6873.7999999998,-0.0011964921,-0.0008622205,0.55,0.551,0.549,0.551,24877.4
2024-08-21 11:45:00,FLOWUSDT,66c5d366f0e99417ad49d9e5,Binance,5m,7961831.0,4376725.82618188,0.5975,2024-08-21 19:45:42,4757194.0225,-2889.0978200007,-3502.2000000002,-0.0006069427,-0.0004396803,0.55,0.55,0.549,0.55,1931.5
2024-08-21 11:50:00,FLOWUSDT,66c5d48871bfb838c7807bde,Binance,5m,7954916.1,4372528.61671557,0.5976,2024-08-21 19:50:32,4753857.86136,-3336.1611400004,-6914.9000000004,-0.0007012876,-0.0008685063,0.55,0.55,0.55,0.55,14142.5
2024-08-21 11:55:00,FLOWUSDT,66c5d5b45421c7fdf1dca064,Binance,5m,7949788.0,4380333.188,0.5977,2024-08-21 19:55:32,4751588.2876,-2269.5737599991,-5128.0999999996,-0.0004774173,-0.0006446454,0.55,0.55,0.55,0.55,127.8
2024-08-21 12:00:00,FLOWUSDT,66c5d6ec4c1e6610b6c52ea4,Binance,5m,7948239.2,4371862.60416268,0.5981,2024-08-21 20:00:44,4753841.86552,2253.5779199991,-1548.7999999998,0.0004742789,-0.0001948228,0.55,0.55,0.549,0.549,6471.0
2024-08-21 12:05:00,FLOWUSDT,66c5d819194a37119a33e0c6,Binance,5m,7957812.3,4372725.70738357,0.5988,2024-08-21 20:05:45,4765138.00524,11296.1397200003,9573.0999999996,0.0023762128,0.0012044303,0.55,0.55,0.549,0.55,1606.6
2024-08-21 12:10:00,FLOWUSDT,66c5d93c030d4af13f4381a9,Binance,5m,7940410.4,4355761.43486858,0.5998,2024-08-21 20:10:36,4762658.15792,-2479.8473199997,-17401.8999999994,-0.0005204146,-0.0021867693,0.549,0.549,0.548,0.548,414.3
2024-08-21 12:15:00,FLOWUSDT,66c5da671a353e7689c38dae,Binance,5m,7939596.6,4354929.71120189,0.6,2024-08-21 20:15:35,4763757.96,1099.8020799998,-813.8000000007,0.0002309219,-0.0001024884,0.549,0.549,0.548,0.548,28007.5
2024-08-21 12:20:00,FLOWUSDT,66c5db9487429915e1a27acc,Binance,5m,7943414.9,4350470.76078393,0.6007,2024-08-21 20:20:36,4771609.33043,7851.3704300001,3818.3000000007,0.0016481464,0.0004809186,0.547,0.548,0.547,0.547,305.5
2024-08-21 12:25:00,FLOWUSDT,66c5dcc64410e87fb6578677,Binance,5m,7935334.8,4355563.07052038,0.6016,2024-08-21 20:25:42,4773897.41568,2288.0852499995,-8080.1000000006,0.0004795207,-0.0010172073,0.549,0.549,0.548,0.548,537.7
2024-08-21 12:30:00,FLOWUSDT,66c5ddf32a76f630801dddf4,Binance,5m,7938100.5,4365623.85930413,0.5996,2024-08-21 20:30:43,4759685.0598,-14212.3558799997,2765.7000000002,-0.002977097,0.0003485297,0.55,0.55,0.549,0.55,2605.3
2024-08-21 12:35:00,FLOWUSDT,66c5df16b57aac33cb36d628,Binance,5m,7942248.1,4366675.32671346,0.5992,2024-08-21 20:35:34,4758995.061519999,-689.9982800009,4147.5999999996,-0.0001449672,0.0005224928,0.55,0.55,0.549,0.549,435.6
2024-08-21 12:40:00,FLOWUSDT,66c5e03eceb837855906c1fd,Binance,5m,7935367.9,4362461.59925493,0.6001,2024-08-21 20:40:30,4762014.27679,3019.2152700005,-6880.1999999993,0.0006344229,-0.0008662787,0.55,0.55,0.549,0.549,63.9
2024-08-21 12:45:00,FLOWUSDT,66c5e1692c2ea1d744f116c4,Binance,5m,7937561.5,4362546.98338954,0.5996,2024-08-21 20:45:29,4759361.8754,-2652.4013899993,2193.5999999996,-0.0005569915,0.0002764333,0.55,0.55,0.549,0.549,277.2
2024-08-21 12:50:00,FLOWUSDT,66c5e29e955bb0ecdeb7ad18,Binance,5m,7937681.1,4361701.94697214,0.5995,2024-08-21 20:50:38,4758639.81945,-722.05595,119.5999999996,-0.0001517128,1.50676e-05,0.549,0.55,0.549,0.55,307.0
2024-08-21 12:55:00,FLOWUSDT,66c5e3bf696867b8fc080b20,Binance,5m,7941169.0,4359473.79003801,0.5994,2024-08-21 20:55:27,4759936.698600001,1296.8791500004,3487.9000000004,0.0002725315,0.0004394104,0.548,0.549,0.547,0.549,66555.0
2024-08-21 13:00:00,FLOWUSDT,66c5e4f53890c4e5e7392182,Binance,5m,7922573.9,4345618.45710847,0.6014,2024-08-21 21:00:37,4764635.943460001,4699.24486,-18595.0999999996,0.0009872494,-0.0023416074,0.548,0.549,0.548,0.549,770.2
2024-08-21 13:05:00,FLOWUSDT,66c5e61b1e6164822dc0fe65,Binance,5m,7910840.5,4343051.4345,0.5986,2024-08-21 21:05:31,4735429.1233,-29206.8201600006,-11733.4000000004,-0.0061299164,-0.0014810086,0.55,0.55,0.549,0.549,664.7
2024-08-21 13:10:00,FLOWUSDT,66c5e74e66773cb51866f614,Binance,5m,7913415.3,4338503.11174713,0.5965,2024-08-21 21:10:38,4720352.22645,-15076.8968500001,2574.7999999998,-0.0031838502,0.0003254774,0.548,0.548,0.548,0.548,129.8
2024-08-21 13:15:00,FLOWUSDT,66c5e8779cc3e32362720827,Binance,5m,7911930.2,4336911.32620657,0.5969,2024-08-21 21:15:35,4722631.13638,2278.9099300001,-1485.0999999996,0.0004827839,-0.0001876687,0.548,0.55,0.548,0.55,15881.8
2024-08-21 13:20:00,FLOWUSDT,66c5e99f156fd08044090b00,Binance,5m,7914396.2,4352917.91,0.5963,2024-08-21 21:20:31,4719354.45406,-3276.6823199997,2466.0,-0.0006938256,0.0003116812,0.549,0.55,0.549,0.549,745.7
2024-08-21 13:25:00,FLOWUSDT,66c5ead57865dee90f0ea3bd,Binance,5m,7915212.7,4348435.88664003,0.5964,2024-08-21 21:25:41,4720632.854280001,1278.4002200002,816.5,0.0002708846,0.0001031664,0.55,0.55,0.549,0.549,132.1
2024-08-21 13:30:00,FLOWUSDT,66c5ebfa6d602c4022f2a332,Binance,5m,7913048.7,4339377.98264116,0.5954,2024-08-21 21:30:34,4711429.19598,-9203.6583000002,-2164.0,-0.0019496662,-0.0002733976,0.549,0.55,0.548,0.55,22078.9
2024-08-21 13:35:00,FLOWUSDT,66c5ed2f872760fff3842a32,Binance,5m,7903281.0,4317771.37304964,0.5951,2024-08-21 21:35:43,4703242.5231,-8186.6728800004,-9767.7000000002,-0.0017376198,-0.0012343789,0.546,0.548,0.546,0.547,65082.1
2024-08-21 13:40:00,FLOWUSDT,66c5ee51956c2c6506ba24cd,Binance,5m,7935883.3,4337071.64325153,0.5964,2024-08-21 21:40:33,4732960.80012,29718.2770199999,32602.2999999998,0.0063186784,0.0041251602,0.546,0.547,0.546,0.546,12787.7
2024-08-21 13:45:00,FLOWUSDT,66c5ef7e3c950f493078a0c3,Binance,5m,7753961.0,4224177.51812753,0.5895,2024-08-21 21:45:34,4570960.009500001,-162000.7906199992,-181922.2999999998,-0.034228213,-0.022924014,0.545,0.545,0.543,0.543,24454.9
2024-08-21 13:50:00,FLOWUSDT,66c5f0ad55cd5a2e2a86a460,Binance,5m,7740266.2,4216658.7029637,0.5912,2024-08-21 21:50:37,4576045.37744,5085.3679399993,-13694.7999999998,0.0011125383,-0.0017661683,0.545,0.545,0.544,0.544,10089.1
2024-08-21 13:55:00,FLOWUSDT,66c5f1d63356402175af5fc9,Binance,5m,7708729.7,4201252.4445638,0.5909,2024-08-21 21:55:34,4555088.37973,-20956.9977099998,-31536.5,-0.0045797181,-0.0040743431,0.545,0.547,0.545,0.547,57485.0
2024-08-21 14:00:00,FLOWUSDT,66c5f30c59e3fd272d1e2202,Binance,5m,7738358.7,4279312.3611,0.5915,2024-08-21 22:00:44,4577239.17105,22150.7913199998,29629.0,0.0048628675,0.0038435645,0.553,0.555,0.552,0.553,72348.7
2024-08-21 14:05:00,FLOWUSDT,66c5f429d026c2e610a4a37b,Binance,5m,7749266.6,4293093.6964,0.5924,2024-08-21 22:05:29,4590665.53384,13426.3627899997,10907.8999999994,0.0029332884,0.0014095883,0.555,0.555,0.554,0.555,54036.9
