datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,GLMUSDT,66c5c36f33a1faa0652bd11b,Binance,5m,12982633.0,3936334.3256,0.5873,2024-08-21 18:37:35,7624700.360900001,-8718.8640999999,-10421.0,-0.0011421964,-0.0008020439,0.3031,0.3032,0.303,0.3032,9633.0
2024-08-21 10:40:00,GLMUSDT,66c5c43a75fa436123578eb7,Binance,5m,12986231.0,3930932.1237,0.5893,2024-08-21 18:40:58,7652785.928300001,28085.5674000001,3598.0,0.0036834979,0.0002771395,0.3027,0.3028,0.3027,0.3028,5352.0
2024-08-21 10:45:00,GLMUSDT,66c5c54d32c70d8ca7f02e3a,Binance,5m,12993255.0,3938332.2507045,0.5896,2024-08-21 18:45:33,7660823.148,8037.2196999993,7024.0,0.0010502345,0.0005408806,0.3032,0.3033,0.3032,0.3033,5913.0
2024-08-21 10:50:00,GLMUSDT,66c5c6780d28489283648248,Binance,5m,13010693.0,3950208.76824864,0.59,2024-08-21 18:50:32,7676308.869999999,15485.7219999991,17438.0,0.0020214175,0.0013420809,0.3036,0.304,0.3036,0.3039,46805.0
2024-08-21 10:55:00,GLMUSDT,66c5c7ab0788cec8cdab26b1,Binance,5m,12989339.0,3944862.2543,0.5901,2024-08-21 18:55:39,7665008.943899999,-11299.9260999998,-21354.0,-0.001472052,-0.0016412654,0.3036,0.3036,0.3035,0.3035,1389.0
2024-08-21 11:00:00,GLMUSDT,66c5c8cdd0a6235fd39c1e9b,Binance,5m,12990825.0,3946847.509116,0.5907,2024-08-21 19:00:29,7673680.3275,8671.3836000003,1486.0,0.0011312946,0.0001144015,0.3039,0.304,0.3036,0.3037,62748.0
2024-08-21 11:05:00,GLMUSDT,66c5c9f9cd9cfc74bfecfe48,Binance,5m,13015564.0,3953201.11442064,0.5954,2024-08-21 19:05:29,7749466.805600001,75786.4781000009,24739.0,0.0098761578,0.001904344,0.3037,0.3037,0.3032,0.3033,16827.0
2024-08-21 11:10:00,GLMUSDT,66c5cb23b4d7755ce8dab4b0,Binance,5m,13015316.0,3946243.8112,0.5947,2024-08-21 19:10:27,7740208.4252,-9258.3804000001,-248.0,-0.0011947119,-1.90541e-05,0.3032,0.3033,0.3031,0.3033,14431.0
2024-08-21 11:15:00,GLMUSDT,66c5cc4ff5f1cc5b47725853,Binance,5m,13012625.0,3944453.2543875,0.5954,2024-08-21 19:15:27,7747716.925000001,7508.4998000003,-2691.0,0.0009700643,-0.0002067564,0.3031,0.3031,0.3029,0.3029,2047.0
2024-08-21 11:20:00,GLMUSDT,66c5cd8443e6d4110ddc655f,Binance,5m,13008229.0,3939443.68035647,0.5953,2024-08-21 19:20:36,7743798.723700001,-3918.2012999998,-4396.0,-0.0005057233,-0.0003378258,0.3027,0.3027,0.3026,0.3026,9717.0
2024-08-21 11:25:00,GLMUSDT,66c5ceb55e8107c04793f35f,Binance,5m,13000634.0,3930871.69624,0.5948,2024-08-21 19:25:41,7732777.1032,-11021.6205000011,-7595.0,-0.0014232834,-0.0005838612,0.3024,0.3025,0.3023,0.3023,5461.0
