datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,GMXUSDT,66c5c37533a1faa0652bd16b,Binance,5m,187688.95,4678093.43161742,0.6205,2024-08-21 18:37:41,116460.993475,572.903088,137.42,0.004943589,0.0007327053,24.896,24.899,24.894,24.896,57.43
2024-08-21 10:40:00,GMXUSDT,66c5c43275fa436123578e4d,Binance,5m,187738.29,4674120.20613,0.6216,2024-08-21 18:40:50,116698.121064,237.127589,49.34,0.0020361117,0.0002628818,24.891,24.892,24.888,24.892,23.03
2024-08-21 10:45:00,GMXUSDT,66c5c55832c70d8ca7f02ec9,Binance,5m,187703.12,4675836.37768987,0.6216,2024-08-21 18:45:44,116676.259392,-21.861672,-35.17,-0.0001873353,-0.0001873353,24.917,24.921,24.916,24.921,14.92
2024-08-21 10:50:00,GMXUSDT,66c5c6790d28489283648252,Binance,5m,187735.7,4685240.35132162,0.6229,2024-08-21 18:50:33,116940.56753,264.308138,32.58,0.0022653121,0.000173572,24.959,24.98,24.959,24.98,104.81
2024-08-21 10:55:00,GMXUSDT,66c5c7ab0788cec8cdab26ad,Binance,5m,187716.21,4692203.0130442,0.6151,2024-08-21 18:55:39,115464.240771,-1476.326759,-19.49,-0.0126245903,-0.0001038162,24.988,25.001,24.988,24.996,38.67
2024-08-21 11:00:00,GMXUSDT,66c5c8d1d0a6235fd39c1ecf,Binance,5m,187653.62,4696575.31353156,0.6141,2024-08-21 19:00:33,115238.088042,-226.152729,-62.59,-0.0019586387,-0.0003334288,25.024,25.056,25.014,25.045,218.03
2024-08-21 11:05:00,GMXUSDT,66c5c9fdcd9cfc74bfecfe7d,Binance,5m,187562.23,4690346.6658042,0.6132,2024-08-21 19:05:33,115013.159436,-224.928606,-91.39,-0.0019518599,-0.0004870143,24.995,25.007,24.988,25.007,21.03
2024-08-21 11:10:00,GMXUSDT,66c5cb2ab4d7755ce8dab506,Binance,5m,187588.01,4690450.60204,0.6148,2024-08-21 19:10:34,115329.108548,315.949112,25.78,0.0027470692,0.0001374477,24.997,24.997,24.982,24.985,20.04
2024-08-21 11:15:00,GMXUSDT,66c5cc5df5f1cc5b477258f8,Binance,5m,187618.96,4684029.9735332,0.614,2024-08-21 19:15:41,115198.04144,-131.067108,30.95,-0.0011364616,0.0001649892,24.956,24.961,24.925,24.926,58.55
2024-08-21 11:20:00,GMXUSDT,66c5cd7f43e6d4110ddc6529,Binance,5m,187653.09,4675050.57376121,0.6118,2024-08-21 19:20:31,114806.160462,-391.880978,34.13,-0.0034018024,0.0001819113,24.904,24.904,24.898,24.902,65.17
2024-08-21 11:25:00,GMXUSDT,66c5ceb35e8107c04793f34e,Binance,5m,187626.97,4668534.26754,0.616,2024-08-21 19:25:39,115578.21352,772.053058,-26.12,0.00672484,-0.000139193,24.885,24.901,24.88,24.884,53.99
2024-08-21 11:30:00,GMXUSDT,66c5cfe17bc94cd7f1c05fa0,Binance,5m,187649.04,4666826.738419,0.6152,2024-08-21 19:30:41,115441.689408,-136.524112,22.07,-0.001181227,0.000117627,24.864,24.882,24.854,24.878,125.28
2024-08-21 11:35:00,GMXUSDT,66c5d10e4a4d6639b17eb3be,Binance,5m,187682.75,4668862.11016097,0.6175,2024-08-21 19:35:42,115894.098125,452.408717,33.71,0.0039189371,0.0001796439,24.876,24.89,24.874,24.89,25.88
2024-08-21 11:40:00,GMXUSDT,66c5d22e59906877aa08d0a7,Binance,5m,187741.72,4670676.03972983,0.6159,2024-08-21 19:40:30,115630.125348,-263.972777,58.97,-0.0022777068,0.0003142004,24.877,24.891,24.877,24.891,54.7
2024-08-21 11:45:00,GMXUSDT,66c5d35bf0e99417ad49d968,Binance,5m,187793.53,4667044.80756,0.6159,2024-08-21 19:45:31,115662.035127,31.909779,51.81,0.0002759642,0.0002759642,24.848,24.849,24.833,24.833,37.87
2024-08-21 11:50:00,GMXUSDT,66c5d48671bfb838c7807bbf,Binance,5m,187824.83,4671203.5221,0.6141,2024-08-21 19:50:30,115343.228103,-318.807024,31.3,-0.0027563671,0.0001666724,24.86,24.867,24.853,24.867,9.4
2024-08-21 11:55:00,GMXUSDT,66c5d5b65421c7fdf1dca073,Binance,5m,187832.72,4674809.75175859,0.6148,2024-08-21 19:55:34,115479.556256,136.328153,7.89,0.0011819346,4.20072e-05,24.891,24.909,24.891,24.901,43.95
2024-08-21 12:00:00,GMXUSDT,66c5d6e54c1e6610b6c52e45,Binance,5m,187839.63,4671875.91708456,0.6145,2024-08-21 20:00:37,115427.452635,-52.103621,6.91,-0.0004511935,3.67881e-05,24.866,24.874,24.847,24.867,234.38
2024-08-21 12:05:00,GMXUSDT,66c5d811194a37119a33e069,Binance,5m,187795.86,4666727.121,0.6156,2024-08-21 20:05:37,115607.131416,179.678781,-43.77,0.0015566382,-0.0002330179,24.844,24.867,24.844,24.858,92.23
2024-08-21 12:10:00,GMXUSDT,66c5d937030d4af13f438169,Binance,5m,187816.26,4667046.24474,0.6154,2024-08-21 20:10:31,115582.126404,-25.005012,20.4,-0.000216293,0.0001086286,24.85,24.853,24.817,24.817,96.76
2024-08-21 12:15:00,GMXUSDT,66c5da6e1a353e7689c38e01,Binance,5m,187849.69,4659987.25983,0.6173,2024-08-21 20:15:42,115959.613637,377.487233,33.43,0.0032659655,0.0001779931,24.805,24.822,24.789,24.793,172.7
2024-08-21 12:20:00,GMXUSDT,66c5db9687429915e1a27aed,Binance,5m,187668.2,4648165.9776,0.6153,2024-08-21 20:20:38,115472.24346,-487.370177,-181.49,-0.0042029303,-0.0009661448,24.765,24.765,24.733,24.754,156.04
2024-08-21 12:25:00,GMXUSDT,66c5dcc14410e87fb6578639,Binance,5m,187636.05,4649742.63696449,0.6155,2024-08-21 20:25:37,115489.988775,17.745315,-32.15,0.000153676,-0.000171313,24.786,24.786,24.754,24.754,113.24
2024-08-21 12:30:00,GMXUSDT,66c5ddee2a76f630801dddb3,Binance,5m,187689.43,4653196.34856,0.6154,2024-08-21 20:30:38,115504.075222,14.086447,53.38,0.0001219712,0.0002844869,24.793,24.809,24.783,24.803,163.66
2024-08-21 12:35:00,GMXUSDT,66c5df18b57aac33cb36d639,Binance,5m,187586.48,4656368.29238352,0.6174,2024-08-21 20:35:36,115815.892752,311.81753,-102.95,0.0026996236,-0.0005485125,24.813,24.813,24.79,24.799,21.84
2024-08-21 12:40:00,GMXUSDT,66c5e03aceb837855906c1d2,Binance,5m,187556.4,4648629.56603897,0.6173,2024-08-21 20:40:26,115778.56572,-37.327032,-30.08,-0.0003222963,-0.0001603527,24.78,24.794,24.778,24.793,58.21
2024-08-21 12:45:00,GMXUSDT,66c5e1732c2ea1d744f11744,Binance,5m,187558.5,4656256.47827897,0.6163,2024-08-21 20:45:39,115592.30355,-186.26217,2.1,-0.0016087794,1.11966e-05,24.812,24.818,24.807,24.818,29.02
2024-08-21 12:50:00,GMXUSDT,66c5e2a2955bb0ecdeb7ad45,Binance,5m,187589.4,4653484.97109831,0.6151,2024-08-21 20:50:42,115386.23994,-206.06361,30.9,-0.0017826759,0.0001647486,24.803,24.805,24.795,24.795,17.82
2024-08-21 12:55:00,GMXUSDT,66c5e3c3696867b8fc080b59,Binance,5m,187594.15,4643705.5891,0.6133,2024-08-21 20:55:31,115051.492195,-334.747745,4.75,-0.0029011063,2.53213e-05,24.748,24.762,24.744,24.753,75.87
2024-08-21 13:00:00,GMXUSDT,66c5e4ea3890c4e5e73920eb,Binance,5m,187533.02,4643880.17426,0.6154,2024-08-21 21:00:26,115407.820508,356.328313,-61.13,0.0030971203,-0.000325863,24.75,24.766,24.743,24.766,81.31
2024-08-21 13:05:00,GMXUSDT,66c5e6241e6164822dc0fee1,Binance,5m,187747.93,4650891.72196,0.6175,2024-08-21 21:05:40,115934.346775,526.526267,214.91,0.0045623101,0.0011459849,24.762,24.782,24.758,24.782,69.16
2024-08-21 13:10:00,GMXUSDT,66c5e75366773cb51866f64a,Binance,5m,187743.63,4643231.06330125,0.6162,2024-08-21 21:10:43,115687.624806,-246.721969,-4.3,-0.002128118,-2.2903e-05,24.731,24.735,24.728,24.728,21.29
2024-08-21 13:15:00,GMXUSDT,66c5e8799cc3e32362720842,Binance,5m,187725.84,4642835.47488,0.6131,2024-08-21 21:15:37,115094.712504,-592.912302,-17.79,-0.0051251143,-9.47569e-05,24.734,24.777,24.731,24.777,56.93
2024-08-21 13:20:00,GMXUSDT,66c5e99f156fd08044090b01,Binance,5m,187696.33,4652428.93171,0.6133,2024-08-21 21:20:31,115114.159189,19.446685,-29.51,0.0001689625,-0.0001571973,24.792,24.792,24.779,24.78,40.21
2024-08-21 13:25:00,GMXUSDT,66c5eac97865dee90f0ea32c,Binance,5m,187721.53,4654430.76809712,0.6135,2024-08-21 21:25:29,115167.158655,52.999466,25.2,0.0004604079,0.0001342594,24.802,24.802,24.776,24.776,158.07
