datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,GTCUSDT,66c5c36e33a1faa0652bd109,Binance,5m,6317706.5,3961201.9755,0.6857,2024-08-21 18:37:34,4332051.34705,840.7415300002,304.7999999998,0.0001941124,4.82477e-05,0.626,0.627,0.626,0.627,1203.4
2024-08-21 10:40:00,GTCUSDT,66c5c43b75fa436123578ec3,Binance,5m,6328339.0,3971047.46752987,0.6857,2024-08-21 18:40:59,4339342.0523,7290.7052499996,10632.5,0.0016829683,0.0016829683,0.627,0.628,0.627,0.627,3859.6
2024-08-21 10:45:00,GTCUSDT,66c5c54c32c70d8ca7f02e29,Binance,5m,6321525.0,3976239.225,0.6847,2024-08-21 18:45:32,4328348.1675,-10993.8848000001,-6814.0,-0.0025335373,-0.0010767438,0.628,0.629,0.628,0.629,594.2
2024-08-21 10:50:00,GTCUSDT,66c5c67c0d2848928364827b,Binance,5m,6314243.8,3978280.46624868,0.6911,2024-08-21 18:50:36,4363773.89018,35425.7226800006,-7281.2000000002,0.0081845825,-0.0011518107,0.629,0.63,0.629,0.63,136.2
2024-08-21 10:55:00,GTCUSDT,66c5c7ac0788cec8cdab26c2,Binance,5m,6312840.0,3983402.04,0.6914,2024-08-21 18:55:40,4364697.576,923.6858200002,-1403.7999999998,0.0002116713,-0.0002223227,0.631,0.631,0.63,0.63,5195.7
2024-08-21 11:00:00,GTCUSDT,66c5c8d7d0a6235fd39c1f16,Binance,5m,6305795.9,3966345.6211,0.6917,2024-08-21 19:00:39,4361719.02403,-2978.5519700004,-7044.0999999996,-0.0006824189,-0.0011158369,0.629,0.63,0.628,0.63,8624.1
2024-08-21 11:10:00,GTCUSDT,66c5cb27b4d7755ce8dab4e3,Binance,5m,6311871.7,3964941.25888855,0.6898,2024-08-21 19:10:31,4353929.09866,1103.9116599998,3429.4000000004,0.0002536081,0.0005436207,0.628,0.629,0.628,0.629,11452.1
2024-08-21 11:15:00,GTCUSDT,66c5cc5cf5f1cc5b477258f1,Binance,5m,6311324.5,3970629.44531812,0.6897,2024-08-21 19:15:40,4352920.50765,-1008.5910099996,-547.2000000002,-0.0002316508,-8.66938e-05,0.629,0.63,0.628,0.628,7825.3
2024-08-21 11:20:00,GTCUSDT,66c5cd8643e6d4110ddc6578,Binance,5m,6306367.3,3967412.16466535,0.69,2024-08-21 19:20:38,4351393.437,-1527.0706500001,-4957.2000000002,-0.0003508152,-0.0007854453,0.629,0.629,0.628,0.628,369.4
2024-08-21 11:25:00,GTCUSDT,66c5cea75e8107c04793f2a6,Binance,5m,6305970.6,3964399.13038734,0.69,2024-08-21 19:25:27,4351119.714,-273.7230000002,-396.7000000002,-6.29047e-05,-6.29047e-05,0.629,0.629,0.627,0.627,5596.3
2024-08-21 11:30:00,GTCUSDT,66c5cfe07bc94cd7f1c05f91,Binance,5m,6301993.3,3951349.7991,0.6898,2024-08-21 19:30:40,4347114.97834,-4004.7356599998,-3977.2999999998,-0.000920392,-0.0006307197,0.627,0.627,0.627,0.627,913.0
2024-08-21 11:35:00,GTCUSDT,66c5d1124a4d6639b17eb3f6,Binance,5m,6308498.7,3955639.7672665,0.6927,2024-08-21 19:35:46,4369897.04949,22782.0711500002,6505.4000000004,0.0052407335,0.0010322766,0.626,0.627,0.626,0.627,277.4
2024-08-21 11:40:00,GTCUSDT,66c5d23559906877aa08d10b,Binance,5m,6308540.7,3955455.0189,0.6928,2024-08-21 19:40:37,4370556.99696,659.94747,42.0,0.0001510213,6.6577e-06,0.627,0.627,0.626,0.626,6706.9
2024-08-21 11:45:00,GTCUSDT,66c5d368f0e99417ad49d9fe,Binance,5m,6311366.4,3950915.3664,0.6937,2024-08-21 19:45:44,4378194.87168,7637.8747199997,2825.7000000002,0.0017475747,0.0004479166,0.626,0.626,0.625,0.626,22902.8
2024-08-21 11:50:00,GTCUSDT,66c5d48b71bfb838c7807bf8,Binance,5m,6302161.1,3946050.27634064,0.6936,2024-08-21 19:50:35,4371178.93896,-7015.9327199999,-9205.3000000007,-0.0016024715,-0.0014585273,0.625,0.626,0.625,0.625,5435.0
2024-08-21 11:55:00,GTCUSDT,66c5d5b95421c7fdf1dca099,Binance,5m,6291535.2,3932320.23101952,0.6947,2024-08-21 19:55:37,4370729.50344,-449.4355199998,-10625.8999999994,-0.0001028179,-0.0016860724,0.625,0.626,0.625,0.626,1129.3
2024-08-21 12:00:00,GTCUSDT,66c5d6e34c1e6610b6c52e31,Binance,5m,6288080.2,3926666.50904438,0.6947,2024-08-21 20:00:35,4368329.31494,-2400.1885000002,-3455.0,-0.0005491505,-0.0005491505,0.624,0.625,0.624,0.625,14105.6
