datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,HBARUSDT,66c5c37a33a1faa0652bd1b7,Binance,5m,184862510.0,9770190.6995112,0.7119,2024-08-21 18:37:46,131603620.869,27593.9559000134,38761.0,0.0002097187,0.0002097187,0.05278,0.0528,0.05274,0.05279,249691.0
2024-08-21 10:40:00,HBARUSDT,66c5c43475fa436123578e63,Binance,5m,184984554.0,9763484.76012,0.7114,2024-08-21 18:40:52,131598011.7156,-5609.1534000039,122044.0,-4.26216e-05,0.0006601879,0.05279,0.0528,0.05276,0.05279,42828.0
2024-08-21 10:45:00,HBARUSDT,66c5c55732c70d8ca7f02ec3,Binance,5m,184963540.0,9771564.6298672,0.7115,2024-08-21 18:45:43,131601558.71,3546.9944000095,-21014.0,2.69533e-05,-0.0001135987,0.05283,0.05284,0.05281,0.05281,67720.0
2024-08-21 10:50:00,HBARUSDT,66c5c6780d2848928364824b,Binance,5m,184936157.0,9794106.06366423,0.7114,2024-08-21 18:50:32,131563582.0898,-37976.6202000082,-27383.0,-0.0002885727,-0.0001480454,0.05293,0.05299,0.05293,0.05297,160294.0
2024-08-21 10:55:00,HBARUSDT,66c5c7a80788cec8cdab2690,Binance,5m,184928661.0,9806642.99062713,0.7115,2024-08-21 18:55:36,131576742.3015,13160.2117000073,-7496.0,0.0001000293,-4.05329e-05,0.05298,0.053,0.05297,0.05299,35708.0
2024-08-21 11:00:00,HBARUSDT,66c5c8d1d0a6235fd39c1ece,Binance,5m,184874727.0,9802058.02554,0.7126,2024-08-21 19:00:33,131741730.4602,164988.1586999893,-53934.0,0.001253931,-0.0002916476,0.05301,0.05318,0.053,0.0531,1835944.0
2024-08-21 11:05:00,HBARUSDT,66c5ca00cd9cfc74bfecfea4,Binance,5m,184380783.0,9801486.98065002,0.7108,2024-08-21 19:05:36,131057860.5564,-683869.9037999958,-493944.0,-0.0051909892,-0.0026717768,0.05316,0.05317,0.05309,0.05314,388688.0
2024-08-21 11:10:00,HBARUSDT,66c5cb33b4d7755ce8dab570,Binance,5m,184163793.0,9771730.85658,0.7113,2024-08-21 19:10:43,130995705.9609,-62154.5954999924,-216990.0,-0.0004742531,-0.001176858,0.05304,0.05306,0.05304,0.05305,35238.0
2024-08-21 11:15:00,HBARUSDT,66c5cc5cf5f1cc5b477258eb,Binance,5m,184197640.0,9766669.1002628,0.7113,2024-08-21 19:15:40,131019781.332,24075.3710999936,33847.0,0.0001837875,0.0001837875,0.05298,0.05299,0.05295,0.05296,76626.0
2024-08-21 11:20:00,HBARUSDT,66c5cd8a43e6d4110ddc65ad,Binance,5m,184171211.0,9757390.75878,0.7112,2024-08-21 19:20:42,130982565.2632,-37216.0687999874,-26429.0,-0.0002840492,-0.0001434818,0.05297,0.05297,0.05294,0.05294,98392.0
