datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,HIFIUSDT,66c5c37633a1faa0652bd186,Binance,5m,7592488.0,3414241.02535936,0.6,2024-08-21 18:37:42,4555492.8,-4581.6978000002,-3838.0,-0.0010047419,-0.0005052442,0.4493,0.4493,0.449,0.4493,3084.0
2024-08-21 10:40:00,HIFIUSDT,66c5c43875fa436123578e9e,Binance,5m,7591307.0,3408496.843,0.599,2024-08-21 18:40:56,4547192.893,-8299.9069999997,-1181.0,-0.0018219559,-0.0001555485,0.4489,0.4489,0.4488,0.4488,2018.0
2024-08-21 10:45:00,HIFIUSDT,66c5c55132c70d8ca7f02e69,Binance,5m,7588104.0,3411115.2963984,0.599,2024-08-21 18:45:37,4545274.296,-1918.5970000001,-3203.0,-0.00042193,-0.00042193,0.4491,0.4495,0.4491,0.4492,4433.0
2024-08-21 10:50:00,HIFIUSDT,66c5c6760d28489283648237,Binance,5m,7587010.0,3415323.9617214,0.5969,2024-08-21 18:50:30,4528686.269,-16588.0269999998,-1094.0,-0.0036495107,-0.000144173,0.4502,0.4506,0.4502,0.4506,2285.0
2024-08-21 10:55:00,HIFIUSDT,66c5c7a60788cec8cdab2677,Binance,5m,7579523.0,3415590.38860585,0.5995,2024-08-21 18:55:34,4543924.0385,15237.7694999995,-7487.0,0.0033647218,-0.0009868183,0.4505,0.4507,0.4504,0.4504,161.0
2024-08-21 11:00:00,HIFIUSDT,66c5c8d7d0a6235fd39c1f14,Binance,5m,7577461.0,3411881.61715693,0.5992,2024-08-21 19:00:39,4540414.6312,-3509.4073000001,-2062.0,-0.0007723297,-0.0002720488,0.4502,0.4507,0.4501,0.4505,11339.0
2024-08-21 11:10:00,HIFIUSDT,66c5cb26b4d7755ce8dab4d1,Binance,5m,7568020.0,3410149.812,0.5993,2024-08-21 19:10:30,4535514.386000001,-9261.3503999989,-5344.0,-0.0020378014,-0.0007056309,0.4506,0.4507,0.4505,0.4507,493.0
2024-08-21 11:15:00,HIFIUSDT,66c5cc57f5f1cc5b477258b7,Binance,5m,7561344.0,3403866.7883136,0.5999,2024-08-21 19:15:35,4536050.2656,535.8795999987,-6676.0,0.0001181519,-0.000882133,0.45,0.4508,0.45,0.4504,30477.0
2024-08-21 11:20:00,HIFIUSDT,66c5cd8943e6d4110ddc659e,Binance,5m,7552149.0,3405214.06439511,0.5962,2024-08-21 19:20:41,4502591.2338,-33459.0318,-9195.0,-0.007376248,-0.0012160537,0.4504,0.4507,0.4499,0.45,10882.0
2024-08-21 11:25:00,HIFIUSDT,66c5ceb45e8107c04793f35a,Binance,5m,7551771.0,3390745.179,0.5978,2024-08-21 19:25:40,4514448.7038,11857.4700000007,-378.0,0.0026334769,-5.0052e-05,0.449,0.4492,0.449,0.449,1728.0
2024-08-21 11:30:00,HIFIUSDT,66c5cfdc7bc94cd7f1c05f63,Binance,5m,7558951.0,3398504.3696,0.5973,2024-08-21 19:30:36,4514961.4323,512.7285000002,7180.0,0.000113575,0.0009507704,0.4496,0.45,0.4495,0.45,6499.0
2024-08-21 11:35:00,HIFIUSDT,66c5d1094a4d6639b17eb383,Binance,5m,7562380.0,3406130.738948,0.5974,2024-08-21 19:35:37,4517765.812,2804.3796999995,3429.0,0.0006211304,0.0004536344,0.4504,0.4508,0.4503,0.4508,3742.0
