datetime,symbol,_id,timestamp,exchange,inserted_datetime,interval,longAccount,long_OI,long_OI_change,long_OI_pct_change,sumOpenInterest,sumOpenInterestValue,sum_OI_change,sum_OI_pct_change,open,high,low,close,volume,price_change,price_pct_change
2024-08-07 16:00:00,ICPUSDT,66b4c11274a4db6d2d3db51d,1723046400000,Binance,2024-08-08 23:53:00,15m,0.6572,875521.1828,,,1332199.0,9756656.97643461,,,7.322,7.333,7.316,7.316,3853.0,-0.0060000000000002,-0.0008194482381863
2024-08-07 16:15:00,ICPUSDT,66b4ea1174a4db6d2d4237d1,1723047300000,Binance,2024-08-08 23:53:00,15m,0.6582,874581.2754,-939.9073999999,-0.0010735404,1328747.0,9659990.69,-3452.0,-0.0025912045,7.267,7.285,7.261,7.272,2188.0,0.0049999999999998,0.0006880418329434
2024-08-07 16:30:00,ICPUSDT,66b4ea1274a4db6d2d4237d7,1723048200000,Binance,2024-08-08 23:53:00,15m,0.6562,872107.5174,-2473.758,-0.0028285056,1329027.0,9665071.15730835,280.0,0.0002107248,7.267,7.27,7.256,7.256,1911.0,-0.0110000000000001,-0.0015136920324755
2024-08-07 16:45:00,ICPUSDT,66b4ea1274a4db6d2d4237d9,1723049100000,Binance,2024-08-08 23:53:00,15m,0.6604,878420.4935999999,6312.9761999999,0.0072387591,1330134.0,9647262.23558526,1107.0,0.0008329402,7.252,7.264,7.248,7.26,2212.0,0.008,0.0011031439602868
2024-08-07 17:00:00,ICPUSDT,66b4c11274a4db6d2d3db521,1723050000000,Binance,2024-08-08 23:53:00,15m,0.6574,872793.823,-5626.6706,-0.0064054409,1327645.0,9617708.8089324,-2489.0,-0.00187124,7.244,7.263,7.236,7.259,3390.0,0.0150000000000005,0.002070679182772
2024-08-07 17:15:00,ICPUSDT,66b4ea1274a4db6d2d4237dc,1723050900000,Binance,2024-08-08 23:53:00,15m,0.6624,882873.8783999999,10080.0554,0.0115491828,1332841.0,9600453.723,5196.0,0.0039136968,7.203,7.206,7.196,7.204,2574.0,0.0009999999999994,0.000138831042621
2024-08-07 17:30:00,ICPUSDT,66b4ea1274a4db6d2d4237de,1723051800000,Binance,2024-08-08 23:53:00,15m,0.6573,877368.6411,-5505.2372999999,-0.0062355875,1334807.0,9630816.12105092,1966.0,0.0014750447,7.215,7.234,7.215,7.222,5166.0,0.0070000000000005,0.000970200970201
2024-08-07 17:45:00,ICPUSDT,66b4ea1274a4db6d2d4237e3,1723052700000,Binance,2024-08-08 23:53:00,15m,0.6579,876827.4093,-541.2318,-0.0006168807,1332767.0,9665226.284,-2040.0,-0.0015283108,7.252,7.274,7.247,7.269,5682.0,0.0170000000000003,0.0023441809156095
2024-08-07 18:00:00,ICPUSDT,66b4c11274a4db6d2d3db52d,1723053600000,Binance,2024-08-08 23:53:00,15m,0.6534,875086.2054,-1741.2039000001,-0.0019858,1339281.0,9681861.2322285,6514.0,0.004887576,7.226,7.244,7.224,7.225,8555.0,-0.0010000000000003,-0.0001383891502906
2024-08-07 18:15:00,ICPUSDT,66b4ea1274a4db6d2d4237e7,1723054500000,Binance,2024-08-08 23:53:00,15m,0.6543,875100.7323,14.5269000001,1.66005e-05,1337461.0,9676530.335,-1820.0,-0.0013589381,7.236,7.246,7.23,7.246,1799.0,0.0100000000000006,0.0013819789939193
