datetime,symbol,_id,timestamp,exchange,inserted_datetime,interval,longAccount,long_OI,long_OI_change,long_OI_pct_change,sumOpenInterest,sumOpenInterestValue,sum_OI_change,sum_OI_pct_change,open,high,low,close,volume,price_change,price_pct_change
2024-08-07 16:45:00,ILVUSDT,66b4f47874a4db6d2d4352ac,1723049100000,Binance,2024-08-09 00:37:23,15m,0.6324,33365.04456,,,52759.4,2152768.73873242,,,40.82,40.89,40.8,40.85,122.6,0.0300000000000011,0.0007349338559529
2024-08-07 17:00:00,ILVUSDT,66b4c4ce74a4db6d2d3e1e5b,1723050000000,Binance,2024-08-09 00:37:23,15m,0.6293,33263.09889,-101.94567,-0.0030554633,52857.3,2156212.44382798,97.9,0.0018555935,40.77,40.92,40.75,40.92,313.4,0.1499999999999985,0.0036791758646062
2024-08-07 17:15:00,ILVUSDT,66b4f47874a4db6d2d4352af,1723050900000,Binance,2024-08-09 00:37:23,15m,0.6305,33451.6819,188.58301,0.005669436,53055.8,2148759.9,198.5,0.0037553942,40.51,40.51,40.47,40.5,67.4,-0.009999999999998,-0.0002468526289804
2024-08-07 17:30:00,ILVUSDT,66b4f47874a4db6d2d4352b4,1723051800000,Binance,2024-08-09 00:37:23,15m,0.6391,34149.28594,697.60404,0.0208540797,53433.4,2165966.18959472,377.6,0.0071170353,40.52,40.64,40.52,40.57,99.9,0.0499999999999971,0.001233958538993
2024-08-07 17:45:00,ILVUSDT,66b4f47874a4db6d2d4352b6,1723052700000,Binance,2024-08-09 00:37:23,15m,0.639,34077.6144,-71.67154,-0.0020987713,53329.6,2168898.29715752,-103.8,-0.0019426052,40.65,40.77,40.65,40.76,49.0,0.1099999999999994,0.0027060270602705
2024-08-07 18:00:00,ILVUSDT,66b4c4ce74a4db6d2d3e1e60,1723053600000,Binance,2024-08-09 00:37:23,15m,0.6376,34038.53104,-39.08336,-0.0011468925,53385.4,2162177.79191853,55.8,0.0010463232,40.5,40.59,40.46,40.46,223.3,-0.0399999999999991,-0.0009876543209876
2024-08-07 18:15:00,ILVUSDT,66b4f47874a4db6d2d4352ba,1723054500000,Binance,2024-08-09 00:37:23,15m,0.6381,34084.36674,45.8357,0.0013465828,53415.4,2156379.698,30.0,0.0005619514,40.38,40.4,40.32,40.36,355.5,-0.0200000000000031,-0.0004952947003467
2024-08-07 18:30:00,ILVUSDT,66b4f47874a4db6d2d4352bc,1723055400000,Binance,2024-08-09 00:37:23,15m,0.6352,34033.12672,-51.24002,-0.0015033291,53578.6,2146343.88169302,163.2,0.0030552987,40.04,40.12,40.02,40.05,181.2,0.009999999999998,0.0002497502497502
2024-08-07 18:45:00,ILVUSDT,66b4f47874a4db6d2d4352c6,1723056300000,Binance,2024-08-09 00:37:23,15m,0.6323,33657.9613,-375.16542,-0.0110235367,53231.0,2131588.60282176,-347.6,-0.0064876649,39.99,40.06,39.97,40.02,54.8,0.0300000000000011,0.0007501875468867
2024-08-07 19:00:00,ILVUSDT,66b4c4ce74a4db6d2d3e1e62,1723057200000,Binance,2024-08-09 00:37:23,15m,0.6288,33504.41328,-153.54802,-0.0045620119,53283.1,2128127.014,52.1,0.000978753,39.97,40.0,39.88,39.95,127.3,-0.019999999999996,-0.0005003752814609
