datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,LPTUSDT,66c5c37833a1faa0652bd1a2,Binance,5m,528623.1,5983060.85502526,0.6486,2024-08-21 18:37:44,342864.9426599999,513.711,-431.5,0.0015005379,-0.0008156058,11.311,11.311,11.303,11.309,745.0
2024-08-21 10:40:00,LPTUSDT,66c5c43675fa436123578e84,Binance,5m,528548.5,5963084.177,0.6477,2024-08-21 18:40:54,342340.86345,-524.0792099999,-74.6,-0.0015285296,-0.0001411213,11.281,11.282,11.275,11.28,302.5
2024-08-21 10:45:00,LPTUSDT,66c5c54f32c70d8ca7f02e4c,Binance,5m,528485.2,5964683.32238714,0.6448,2024-08-21 18:45:35,340767.25696,-1573.60649,-63.3,-0.0045966072,-0.000119762,11.28,11.293,11.279,11.288,225.2
2024-08-21 10:50:00,LPTUSDT,66c5c67e0d28489283648291,Binance,5m,528488.9,5982823.27949136,0.6517,2024-08-21 18:50:38,344416.21613,3648.95917,3.7000000001,0.0107080686,7.0011e-06,11.317,11.327,11.317,11.324,582.1
2024-08-21 10:55:00,LPTUSDT,66c5c7a20788cec8cdab2641,Binance,5m,528867.2,6003551.53597382,0.6463,2024-08-21 18:55:30,341806.87136,-2609.34477,378.2999999999,-0.007576138,0.0007158145,11.35,11.363,11.35,11.354,169.4
2024-08-21 11:00:00,LPTUSDT,66c5c8cbd0a6235fd39c1e7b,Binance,5m,528887.0,6010271.868,0.6471,2024-08-21 19:00:27,342242.7777,435.90634,19.8,0.0012753001,3.74385e-05,11.366,11.379,11.364,11.369,763.8
2024-08-21 11:05:00,LPTUSDT,66c5c9fccd9cfc74bfecfe6f,Binance,5m,528847.1,6009934.42056903,0.6495,2024-08-21 19:05:32,343486.19145,1243.41375,-39.9,0.0036331336,-7.54414e-05,11.355,11.356,11.346,11.348,148.2
2024-08-21 11:10:00,LPTUSDT,66c5cb24b4d7755ce8dab4bb,Binance,5m,528767.0,5996217.78,0.65,2024-08-21 19:10:28,343698.55,212.35855,-80.1,0.0006182448,-0.0001514615,11.339,11.344,11.336,11.338,118.0
2024-08-21 11:15:00,LPTUSDT,66c5cc5df5f1cc5b477258fe,Binance,5m,528806.4,5987700.84217037,0.649,2024-08-21 19:15:41,343195.3536,-503.1964,39.4,-0.0014640632,7.4513e-05,11.318,11.323,11.3,11.3,302.9
2024-08-21 11:20:00,LPTUSDT,66c5cd8543e6d4110ddc6570,Binance,5m,529091.3,5980116.6076414,0.6483,2024-08-21 19:20:37,343009.88979,-185.46381,284.9,-0.000540403,0.0005387605,11.291,11.298,11.289,11.298,292.1
2024-08-21 11:25:00,LPTUSDT,66c5ceae5e8107c04793f30e,Binance,5m,528904.2,5970270.6096,0.6487,2024-08-21 19:25:34,343100.15454,90.26475,-187.1000000001,0.0002631549,-0.0003536252,11.283,11.289,11.278,11.278,427.9
2024-08-21 11:30:00,LPTUSDT,66c5cfdc7bc94cd7f1c05f65,Binance,5m,529099.0,5968236.72,0.6493,2024-08-21 19:30:36,343543.9807,443.82616,194.8,0.0012935761,0.0003683087,11.276,11.286,11.272,11.279,153.1
2024-08-21 11:35:00,LPTUSDT,66c5d1114a4d6639b17eb3e7,Binance,5m,528504.1,5966811.289,0.6509,2024-08-21 19:35:45,344003.31869,459.33799,-594.9,0.0013370573,-0.0011243642,11.287,11.299,11.287,11.296,145.3
2024-08-21 11:40:00,LPTUSDT,66c5d23659906877aa08d11a,Binance,5m,528562.0,5960593.674,0.6517,2024-08-21 19:40:38,344463.8554,460.53671,57.9,0.0013387566,0.0001095545,11.279,11.293,11.279,11.293,114.3
2024-08-21 11:45:00,LPTUSDT,66c5d361f0e99417ad49d9a5,Binance,5m,528615.1,5955906.3317,0.6514,2024-08-21 19:45:37,344339.8761399999,-123.9792600001,53.1,-0.0003599195,0.0001004613,11.268,11.271,11.248,11.261,1256.1
2024-08-21 11:50:00,LPTUSDT,66c5d49671bfb838c7807c89,Binance,5m,528390.9,5951081.30490101,0.6541,2024-08-21 19:50:46,345620.48769,1280.6115500001,-224.2,0.0037190335,-0.0004241271,11.261,11.27,11.261,11.27,187.7
2024-08-21 11:55:00,LPTUSDT,66c5d5b65421c7fdf1dca07b,Binance,5m,528174.6,5956753.1388,0.6539,2024-08-21 19:55:34,345373.37094,-247.11675,-216.3,-0.0007149945,-0.000409356,11.276,11.289,11.276,11.277,522.8
2024-08-21 12:00:00,LPTUSDT,66c5d6dc4c1e6610b6c52dd3,Binance,5m,528194.2,5951525.91196448,0.6537,2024-08-21 20:00:28,345280.5485399999,-92.8224000001,19.6,-0.0002687596,3.71089e-05,11.26,11.269,11.258,11.264,705.5
2024-08-21 12:05:00,LPTUSDT,66c5d809194a37119a33e008,Binance,5m,527507.2,5948415.50743475,0.6543,2024-08-21 20:05:29,345147.9609599999,-132.58758,-687.0,-0.0003839996,-0.001300658,11.275,11.284,11.275,11.277,258.0
2024-08-21 12:10:00,LPTUSDT,66c5d935030d4af13f438153,Binance,5m,528102.8,5952774.7616,0.6541,2024-08-21 20:10:29,345432.04148,284.0805200001,595.6000000001,0.0008230688,0.0011290841,11.271,11.272,11.246,11.246,244.0
2024-08-21 12:15:00,LPTUSDT,66c5da691a353e7689c38dc0,Binance,5m,528207.7,5940752.0019,0.6529,2024-08-21 20:15:37,344866.80733,-565.23415,104.8999999999,-0.0016363107,0.0001986356,11.24,11.24,11.23,11.236,270.6
