datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,LTCUSDT,66c5c36c33a1faa0652bd0f1,Binance,5m,902489.229,56429431.0919297,0.7101,2024-08-21 18:37:32,640857.6015129,1300.7141528999,2212.079,0.002033774,0.0024571089,62.53,62.58,62.51,62.58,2568.015
2024-08-21 10:40:00,LTCUSDT,66c5c43475fa436123578e6a,Binance,5m,903827.714,56380772.79932,0.7109,2024-08-21 18:40:52,642531.1218826,1673.5203697,1338.485,0.0026113763,0.0014831036,62.38,62.4,62.37,62.4,477.695
2024-08-21 10:45:00,LTCUSDT,66c5c55432c70d8ca7f02e91,Binance,5m,903725.894,56408668.8913108,0.7108,2024-08-21 18:45:40,642368.3654552,-162.7564274,-101.8200000001,-0.0002533051,-0.0001126542,62.42,62.44,62.38,62.39,531.557
2024-08-21 10:50:00,LTCUSDT,66c5c67e0d28489283648298,Binance,5m,904198.812,56467215.8094,0.7107,2024-08-21 18:50:38,642614.0956884,245.7302332,472.9180000001,0.0003825379,0.0005232981,62.45,62.51,62.44,62.47,1885.637
2024-08-21 10:55:00,LTCUSDT,66c5c7a80788cec8cdab2686,Binance,5m,904396.911,56470543.12284,0.7108,2024-08-21 18:55:36,642845.3243387999,231.2286503999,198.0989999999,0.0003598251,0.0002190879,62.45,62.49,62.42,62.47,1517.17
2024-08-21 11:00:00,LTCUSDT,66c5c8cfd0a6235fd39c1ead,Binance,5m,904280.203,56525457.8651768,0.7107,2024-08-21 19:00:31,642671.9402721,-173.3840666999,-116.708,-0.0002697135,-0.0001290451,62.5,62.53,62.49,62.52,933.505
2024-08-21 11:05:00,LTCUSDT,66c5c9f8cd9cfc74bfecfe33,Binance,5m,905040.964,56561133.18675311,0.7113,2024-08-21 19:05:28,643755.6376932,1083.6974211,760.7610000001,0.0016862373,0.000841289,62.49,62.49,62.42,62.47,1897.969
2024-08-21 11:10:00,LTCUSDT,66c5cb2fb4d7755ce8dab541,Binance,5m,905235.607,56537596.30466744,0.7108,2024-08-21 19:10:39,643441.4694556,-314.1682376,194.6429999999,-0.0004880241,0.0002150654,62.44,62.5,62.44,62.5,806.841
2024-08-21 11:15:00,LTCUSDT,66c5cc57f5f1cc5b477258b2,Binance,5m,905387.69,56650107.7633,0.7112,2024-08-21 19:15:35,643911.725128,470.2556724,152.083,0.0007308445,0.0001680038,62.57,62.57,62.52,62.52,808.788
2024-08-21 11:20:00,LTCUSDT,66c5cd7e43e6d4110ddc6511,Binance,5m,905476.806,56628519.44724,0.7115,2024-08-21 19:20:30,644246.747469,335.022341,89.116,0.0005202923,9.84286e-05,62.53,62.58,62.53,62.57,676.026
2024-08-21 11:25:00,LTCUSDT,66c5ceb45e8107c04793f35d,Binance,5m,905534.43,56632123.2522,0.7114,2024-08-21 19:25:40,644197.1935020001,-49.553967,57.6240000001,-7.69177e-05,6.36394e-05,62.54,62.6,62.53,62.59,693.209
