datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,MAGICUSDT,66c5c37233a1faa0652bd145,Binance,5m,9121676.3,3207823.18822447,0.6783,2024-08-21 18:37:38,6187233.034290001,-11272.1573099997,-4509.1999999993,-0.0018185283,-0.0004940947,0.3513,0.3513,0.3511,0.3513,8058.0
2024-08-21 10:40:00,MAGICUSDT,66c5c43b75fa436123578ebc,Binance,5m,9126581.7,3201604.86036,0.6795,2024-08-21 18:40:59,6201512.265149999,14279.2308599986,4905.3999999985,0.0023078541,0.000537774,0.3509,0.3509,0.3504,0.3506,28627.1
2024-08-21 10:45:00,MAGICUSDT,66c5c54932c70d8ca7f02e09,Binance,5m,9130880.5,3202199.79135,0.6841,2024-08-21 18:45:29,6246435.3500500005,44923.0849000011,4298.8000000007,0.007243892,0.0004710197,0.3507,0.3507,0.3505,0.3507,9133.7
2024-08-21 10:50:00,MAGICUSDT,66c5c6750d28489283648229,Binance,5m,9132245.0,3208951.8085252,0.6848,2024-08-21 18:50:29,6253761.375999999,7326.0259499988,1364.5,0.0011728331,0.0001494379,0.3517,0.3517,0.3515,0.3515,8280.5
2024-08-21 10:55:00,MAGICUSDT,66c5c7b00788cec8cdab26f1,Binance,5m,9131874.7,3211680.33199,0.6851,2024-08-21 18:55:44,6256247.35697,2485.9809700008,-370.3000000007,0.0003975177,-4.05486e-05,0.3517,0.3517,0.3516,0.3516,1875.1
2024-08-21 11:00:00,MAGICUSDT,66c5c8d4d0a6235fd39c1ef4,Binance,5m,9133261.1,3212557.55378853,0.6854,2024-08-21 19:00:36,6259937.157939999,3689.8009699993,1386.4000000004,0.0005897786,0.0001518199,0.3517,0.3523,0.3516,0.3521,29328.5
2024-08-21 11:10:00,MAGICUSDT,66c5cb32b4d7755ce8dab562,Binance,5m,9140331.9,3212826.66285,0.6826,2024-08-21 19:10:42,6239190.55494,-4127.0207699994,-2028.0,-0.0006610301,-0.0002218246,0.3515,0.3516,0.3514,0.3516,407.2
2024-08-21 11:15:00,MAGICUSDT,66c5cc55f5f1cc5b4772589f,Binance,5m,9138741.4,3202214.98656,0.6826,2024-08-21 19:15:33,6238104.87964,-1085.6753000002,-1590.5,-0.000174009,-0.000174009,0.3502,0.3502,0.3498,0.35,3809.6
2024-08-21 11:20:00,MAGICUSDT,66c5cd8543e6d4110ddc6572,Binance,5m,9128459.4,3192407.10348285,0.6828,2024-08-21 19:20:37,6232912.07832,-5192.8013199996,-10282.0,-0.0008324325,-0.0011251002,0.3493,0.3495,0.3492,0.3495,5951.7
2024-08-21 11:25:00,MAGICUSDT,66c5ceac5e8107c04793f2f1,Binance,5m,9123096.4,3186697.57252,0.6838,2024-08-21 19:25:32,6238373.31832,5461.2399999993,-5363.0,0.000876194,-0.0005875033,0.3492,0.3494,0.3491,0.3491,3518.6
