datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,MANAUSDT,66c5c37833a1faa0652bd1a0,Binance,5m,28508215.0,7768488.5875,0.7224,2024-08-21 18:37:44,20594334.516000003,11284.3963000029,11676.0,0.0005482373,0.000409734,0.2724,0.2725,0.2723,0.2725,9791.0
2024-08-21 10:40:00,MANAUSDT,66c5c43b75fa436123578ec6,Binance,5m,28468635.0,7752009.3105,0.7227,2024-08-21 18:40:59,20574282.5145,-20052.001500003,-39580.0,-0.0009736659,-0.0013883717,0.2723,0.2723,0.2722,0.2722,8428.0
2024-08-21 10:45:00,MANAUSDT,66c5c54832c70d8ca7f02df6,Binance,5m,28463013.0,7750478.4399,0.7228,2024-08-21 18:45:28,20573065.7964,-1216.7181000002,-5622.0,-5.91378e-05,-0.0001974805,0.2723,0.2723,0.2722,0.2722,616.0
2024-08-21 10:50:00,MANAUSDT,66c5c6860d284892836482ec,Binance,5m,28469354.0,7755052.0296,0.7235,2024-08-21 18:50:46,20597577.619000003,24511.8226000033,6341.0,0.0011914521,0.0002227804,0.2725,0.2727,0.2725,0.2727,6828.0
2024-08-21 10:55:00,MANAUSDT,66c5c7a90788cec8cdab2695,Binance,5m,28494529.0,7783574.65988928,0.7228,2024-08-21 18:55:37,20595845.5612,-1732.0578000024,25175.0,-8.40904e-05,0.0008842842,0.2731,0.2731,0.273,0.273,10557.0
2024-08-21 11:00:00,MANAUSDT,66c5c8d2d0a6235fd39c1edb,Binance,5m,28483447.0,7784526.0651,0.7228,2024-08-21 19:00:34,20587835.4916,-8010.069600001,-11082.0,-0.0003889168,-0.0003889168,0.2733,0.2737,0.2733,0.2733,147421.0
2024-08-21 11:05:00,MANAUSDT,66c5c9f7cd9cfc74bfecfe31,Binance,5m,28521163.0,7791981.7316,0.7206,2024-08-21 19:05:27,20552350.0578,-35485.4338000007,37716.0,-0.0017236117,0.0013241375,0.2731,0.2731,0.2727,0.2728,11526.0
2024-08-21 11:10:00,MANAUSDT,66c5cb25b4d7755ce8dab4c4,Binance,5m,28504342.0,7770415.60430346,0.7207,2024-08-21 19:10:29,20543079.2794,-9270.7784000002,-16821.0,-0.0004510812,-0.0005897726,0.2727,0.2727,0.2726,0.2726,13652.0
2024-08-21 11:15:00,MANAUSDT,66c5cc5af5f1cc5b477258d3,Binance,5m,28501004.0,7765677.68020128,0.7205,2024-08-21 19:15:38,20534973.382,-8105.8973999992,-3338.0,-0.0003945804,-0.000117105,0.2723,0.2723,0.2722,0.2722,12847.0
2024-08-21 11:20:00,MANAUSDT,66c5cd8143e6d4110ddc6539,Binance,5m,28498562.0,7760960.09714906,0.7213,2024-08-21 19:20:33,20556012.7706,21039.388600003,-2442.0,0.0010245637,-8.56812e-05,0.2721,0.2722,0.2721,0.2722,4207.0
