datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,MANTAUSDT,66c5c37133a1faa0652bd137,Binance,5m,10695284.4,7618905.30866675,0.757,2024-08-21 18:37:37,8096330.290800001,7840.6619100003,-8023.2999999989,0.0009693604,-0.0007496094,0.7119,0.712,0.7114,0.7119,13880.2
2024-08-21 10:40:00,MANTAUSDT,66c5c43475fa436123578e62,Binance,5m,10677208.6,7593716.60107714,0.7574,2024-08-21 18:40:52,8086917.793639999,-9412.4971600017,-18075.8000000007,-0.0011625634,-0.0016900719,0.711,0.711,0.7107,0.711,1807.3
2024-08-21 10:45:00,MANTAUSDT,66c5c55732c70d8ca7f02eba,Binance,5m,10672456.3,7601631.81450919,0.7562,2024-08-21 18:45:43,8070511.45406,-16406.3395799985,-4752.2999999989,-0.0020287506,-0.0004450882,0.7122,0.7131,0.7122,0.7123,37051.3
2024-08-21 10:50:00,MANTAUSDT,66c5c6810d284892836482b9,Binance,5m,10665115.5,7621170.38058792,0.756,2024-08-21 18:50:41,8062827.318,-7684.1360600004,-7340.8000000007,-0.000952125,-0.0006878267,0.7142,0.7151,0.714,0.7148,3424.8
2024-08-21 10:55:00,MANTAUSDT,66c5c7ad0788cec8cdab26ce,Binance,5m,10679488.7,7662836.97370352,0.7524,2024-08-21 18:55:41,8035247.297879999,-27580.0201200014,14373.1999999993,-0.0034206388,0.0013476835,0.7172,0.7178,0.7171,0.7174,16092.1
2024-08-21 11:00:00,MANTAUSDT,66c5c8cad0a6235fd39c1e76,Binance,5m,10687363.6,7664977.17392,0.7525,2024-08-21 19:00:26,8042241.108999999,6993.8111200007,7874.9000000004,0.0008703915,0.0007373855,0.7173,0.7188,0.7172,0.7181,10635.0
2024-08-21 11:05:00,MANTAUSDT,66c5c9f8cd9cfc74bfecfe3b,Binance,5m,10691349.9,7665693.17410604,0.7535,2024-08-21 19:05:28,8055932.14965,13691.0406500008,3986.3000000007,0.0017023912,0.0003729919,0.7168,0.7168,0.716,0.7164,8216.9
2024-08-21 11:10:00,MANTAUSDT,66c5cb2fb4d7755ce8dab53c,Binance,5m,10695495.0,7654866.7369728,0.7532,2024-08-21 19:10:39,8055846.834,-85.3156500002,4145.0999999996,-1.05904e-05,0.000387706,0.7158,0.7158,0.7154,0.7156,5023.9
2024-08-21 11:15:00,MANTAUSDT,66c5cc56f5f1cc5b477258a5,Binance,5m,10690704.5,7639586.95042701,0.7529,2024-08-21 19:15:34,8049031.41805,-6815.4159499994,-4790.5,-0.000846021,-0.0004478989,0.7145,0.7147,0.7138,0.7138,3531.4
2024-08-21 11:20:00,MANTAUSDT,66c5cd8043e6d4110ddc6532,Binance,5m,10696695.0,7633161.552,0.7524,2024-08-21 19:20:32,8048193.318,-838.1000500005,5990.5,-0.0001041243,0.0005603466,0.7132,0.7133,0.7122,0.7127,8904.0
2024-08-21 11:25:00,MANTAUSDT,66c5ceab5e8107c04793f2dd,Binance,5m,10694374.6,7620446.87567363,0.754,2024-08-21 19:25:31,8063558.4484,15365.1304000001,-2320.4000000004,0.0019091403,-0.0002169268,0.7122,0.7127,0.712,0.7123,9499.5
2024-08-21 11:30:00,MANTAUSDT,66c5cfe57bc94cd7f1c05fd4,Binance,5m,10695759.8,7619049.6232114,0.7557,2024-08-21 19:30:45,8082785.680860001,19227.2324600006,1385.2000000011,0.00238446,0.000129526,0.7118,0.712,0.7118,0.7119,880.7
2024-08-21 11:35:00,MANTAUSDT,66c5d10b4a4d6639b17eb395,Binance,5m,10701317.7,7630039.5201,0.7553,2024-08-21 19:35:39,8082705.25881,-80.4220500011,5557.8999999985,-9.9498e-06,0.0005196358,0.7128,0.7138,0.7128,0.7138,1266.4
2024-08-21 11:40:00,MANTAUSDT,66c5d23959906877aa08d13b,Binance,5m,10697857.0,7627572.041,0.7565,2024-08-21 19:40:41,8092928.820499999,10223.5616899999,-3460.6999999993,0.0012648688,-0.0003233901,0.713,0.7145,0.713,0.7145,3517.7
2024-08-21 11:45:00,MANTAUSDT,66c5d35af0e99417ad49d95d,Binance,5m,10690961.0,7618378.8086,0.7569,2024-08-21 19:45:30,8091988.3809,-940.4395999992,-6896.0,-0.0001162051,-0.0006446151,0.7126,0.7129,0.7123,0.7129,7006.9
2024-08-21 11:50:00,MANTAUSDT,66c5d48d71bfb838c7807c13,Binance,5m,10690758.2,7631544.60800175,0.7553,2024-08-21 19:50:37,8074729.668459999,-17258.7124400008,-202.8000000007,-0.0021328148,-1.89693e-05,0.7137,0.7143,0.7137,0.7143,7992.5
2024-08-21 11:55:00,MANTAUSDT,66c5d5ba5421c7fdf1dca0a4,Binance,5m,10687352.9,7641073.11316325,0.7557,2024-08-21 19:55:38,8076432.586530001,1702.9180700015,-3405.2999999989,0.0002108947,-0.0003185275,0.715,0.7151,0.7146,0.7148,15694.1
2024-08-21 12:00:00,MANTAUSDT,66c5d6dd4c1e6610b6c52de5,Binance,5m,10674896.5,7612268.69415,0.758,2024-08-21 20:00:29,8091571.547,15138.9604699994,-12456.4000000004,0.0018744613,-0.0011655272,0.713,0.713,0.712,0.713,21765.4
2024-08-21 12:05:00,MANTAUSDT,66c5d812194a37119a33e075,Binance,5m,10682321.3,7618631.55116,0.7604,2024-08-21 20:05:38,8122837.116520001,31265.5695200004,7424.8000000007,0.0038639675,0.0006955384,0.7131,0.7131,0.7118,0.7118,15336.3
2024-08-21 12:10:00,MANTAUSDT,66c5d942030d4af13f438203,Binance,5m,10669179.7,7586424.35687887,0.7627,2024-08-21 20:10:42,8137383.35719,14546.2406699993,-13141.6000000015,0.0017907833,-0.0012302195,0.7111,0.7117,0.7102,0.7103,39239.7
2024-08-21 12:15:00,MANTAUSDT,66c5da651a353e7689c38d8b,Binance,5m,10642274.3,7569222.02825179,0.7595,2024-08-21 20:15:33,8082807.33085,-54576.0263399994,-26905.3999999985,-0.0067068275,-0.0025217871,0.7106,0.7106,0.7086,0.7095,66125.8
2024-08-21 12:20:00,MANTAUSDT,66c5db8d87429915e1a27a7c,Binance,5m,10633515.2,7531718.81616,0.7567,2024-08-21 20:20:29,8046380.95184,-36426.3790100003,-8759.1000000015,-0.0045066494,-0.0008230478,0.7079,0.7079,0.706,0.706,32259.1
2024-08-21 12:25:00,MANTAUSDT,66c5dcc34410e87fb6578657,Binance,5m,10641415.7,7531589.44583509,0.7576,2024-08-21 20:25:39,8061936.53432,15555.5824799994,7900.5,0.0019332396,0.000742981,0.7072,0.7072,0.7062,0.7065,26151.9
2024-08-21 12:30:00,MANTAUSDT,66c5ddee2a76f630801dddb6,Binance,5m,10643303.5,7530506.33601538,0.7591,2024-08-21 20:30:38,8079331.68685,17395.1525300005,1887.8000000007,0.0021576891,0.0001774012,0.7075,0.7082,0.7068,0.7078,28246.3
2024-08-21 12:35:00,MANTAUSDT,66c5df1eb57aac33cb36d691,Binance,5m,10631050.8,7538478.12228,0.7575,2024-08-21 20:35:42,8053020.981,-26310.7058500005,-12252.6999999993,-0.0032565448,-0.0011512121,0.7092,0.7092,0.7077,0.7086,25871.1
2024-08-21 12:40:00,MANTAUSDT,66c5e045ceb837855906c25e,Binance,5m,10626982.7,7531342.63949,0.7594,2024-08-21 20:40:37,8070130.662379999,17109.681379999,-4068.1000000015,0.0021246289,-0.0003826621,0.7083,0.7083,0.7079,0.7083,9319.2
2024-08-21 12:45:00,MANTAUSDT,66c5e16e2c2ea1d744f11704,Binance,5m,10628189.3,7540209.49856813,0.7582,2024-08-21 20:45:34,8058293.12726,-11837.5351199983,1206.6000000015,-0.0014668331,0.0001135412,0.7084,0.7093,0.7082,0.7093,20915.1
2024-08-21 12:50:00,MANTAUSDT,66c5e2a3955bb0ecdeb7ad54,Binance,5m,10628427.1,7534491.97119,0.7582,2024-08-21 20:50:43,8058473.42722,180.2999599995,237.7999999989,2.23745e-05,2.23745e-05,0.7089,0.7089,0.7082,0.7088,7071.1
2024-08-21 12:55:00,MANTAUSDT,66c5e3c2696867b8fc080b46,Binance,5m,10631496.1,7517311.77717538,0.7587,2024-08-21 20:55:30,8066116.09107,7642.6638500001,3069.0,0.0009484009,0.0002887539,0.7067,0.7071,0.7064,0.7071,12474.5
2024-08-21 13:00:00,MANTAUSDT,66c5e4ed3890c4e5e739211c,Binance,5m,10630790.6,7510653.5589,0.759,2024-08-21 21:00:29,8068770.0654,2653.9743299996,-705.5,0.0003290275,-6.63594e-05,0.7065,0.7072,0.7063,0.7072,13537.2
2024-08-21 13:05:00,MANTAUSDT,66c5e6181e6164822dc0fe3d,Binance,5m,10634234.7,7525985.92955641,0.7591,2024-08-21 21:05:28,8072447.560769999,3677.4953699997,3444.0999999996,0.000455769,0.000323974,0.7074,0.7082,0.7074,0.7082,5335.7
2024-08-21 13:10:00,MANTAUSDT,66c5e74466773cb51866f58e,Binance,5m,10642063.5,7513296.831,0.7585,2024-08-21 21:10:28,8072005.164749999,-442.3960199999,7828.8000000007,-5.48032e-05,0.0007361884,0.7061,0.7071,0.7058,0.7065,5121.1
2024-08-21 13:15:00,MANTAUSDT,66c5e87c9cc3e32362720864,Binance,5m,10645926.3,7507507.22676,0.7571,2024-08-21 21:15:40,8060030.80173,-11974.3630199991,3862.8000000007,-0.0014834434,0.0003629747,0.7051,0.7064,0.705,0.7063,14147.4
2024-08-21 13:20:00,MANTAUSDT,66c5e9a2156fd08044090b1d,Binance,5m,10645218.7,7524227.50720037,0.7586,2024-08-21 21:20:34,8075462.90582,15432.1040899996,-707.6000000015,0.0019146458,-6.64667e-05,0.7075,0.7076,0.7066,0.7066,2758.6
2024-08-21 13:25:00,MANTAUSDT,66c5ead27865dee90f0ea395,Binance,5m,10644574.1,7532011.3251833,0.7584,2024-08-21 21:25:38,8072844.997439999,-2617.9083800009,-644.5999999996,-0.0003241806,-6.0553e-05,0.7073,0.7077,0.7065,0.7065,5195.6
2024-08-21 13:30:00,MANTAUSDT,66c5ebf86d602c4022f2a31b,Binance,5m,10651713.3,7519044.41847,0.7585,2024-08-21 21:30:32,8079324.53805,6479.5406100005,7139.2000000011,0.0008026341,0.0006706891,0.7058,0.7065,0.7058,0.7065,8627.1
