datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,MATICUSDT,66c5c36e33a1faa0652bd106,Binance,5m,105275199.0,49487353.91989191,0.6833,2024-08-21 18:37:34,71934543.47670001,31944.2337000072,77541.0,0.0004442709,0.0007370982,0.47,0.47,0.4697,0.4699,216661.0
2024-08-21 10:40:00,MATICUSDT,66c5c43875fa436123578e9b,Binance,5m,105486883.0,49663224.5164,0.6827,2024-08-21 18:40:56,72015895.02409999,81351.5473999828,211684.0,0.0011309107,0.002010768,0.4707,0.4707,0.4702,0.4705,91802.0
2024-08-21 10:45:00,MATICUSDT,66c5c55332c70d8ca7f02e84,Binance,5m,105538319.0,49692810.37487072,0.6828,2024-08-21 18:45:39,72061564.2132,45669.1891000122,51436.0,0.0006341543,0.0004876056,0.4708,0.4718,0.4707,0.4718,243113.0
2024-08-21 10:50:00,MATICUSDT,66c5c6770d2848928364823f,Binance,5m,105578093.0,49953984.36319425,0.6831,2024-08-21 18:50:31,72120395.3283,58831.1150999963,39774.0,0.0008164008,0.0003768679,0.4731,0.4737,0.473,0.4737,141197.0
2024-08-21 10:55:00,MATICUSDT,66c5c7a10788cec8cdab262f,Binance,5m,105934115.0,50468361.9866251,0.6824,2024-08-21 18:55:29,72289440.076,169044.7477000058,356022.0,0.0023439243,0.00337212,0.4763,0.4764,0.4751,0.4754,1550858.0
2024-08-21 11:00:00,MATICUSDT,66c5c8d3d0a6235fd39c1edd,Binance,5m,106103142.0,50453597.37099888,0.6841,2024-08-21 19:00:35,72585159.4422,295719.3662,169027.0,0.0040907685,0.0015955861,0.4754,0.4765,0.4753,0.4761,497983.0
2024-08-21 11:05:00,MATICUSDT,66c5ca01cd9cfc74bfecfeb1,Binance,5m,107178618.0,51372179.9544666,0.6807,2024-08-21 19:05:37,72956485.2726,371325.8303999901,1075476.0,0.0051157266,0.0101361372,0.4795,0.4796,0.478,0.4785,952795.0
2024-08-21 11:10:00,MATICUSDT,66c5cb24b4d7755ce8dab4bf,Binance,5m,107926379.0,51599601.7999,0.681,2024-08-21 19:10:28,73497864.099,541378.8264000118,747761.0,0.0074205717,0.006976774,0.4781,0.4783,0.4777,0.4777,146419.0
2024-08-21 11:15:00,MATICUSDT,66c5cc51f5f1cc5b47725869,Binance,5m,107910648.0,51602871.8736,0.6807,2024-08-21 19:15:29,73454778.09359999,-43086.0054000169,-15731.0,-0.0005862212,-0.0001457568,0.4781,0.4782,0.4777,0.4778,295196.0
2024-08-21 11:20:00,MATICUSDT,66c5cd7b43e6d4110ddc64ed,Binance,5m,107961562.0,51526519.96067574,0.6802,2024-08-21 19:20:27,73435454.47240001,-19323.6211999804,50914.0,-0.0002630683,0.0004718163,0.4772,0.4775,0.4768,0.4772,160780.0
2024-08-21 11:25:00,MATICUSDT,66c5cead5e8107c04793f2fc,Binance,5m,108412063.0,51822955.47535605,0.6786,2024-08-21 19:25:33,73568425.9518,132971.479399994,450501.0,0.0018107259,0.0041727907,0.478,0.4788,0.4778,0.4783,559227.0
2024-08-21 11:30:00,MATICUSDT,66c5cfe47bc94cd7f1c05fc9,Binance,5m,108745085.0,51958401.613,0.6767,2024-08-21 19:30:44,73587799.0195,19373.0676999986,333022.0,0.000263334,0.0030718168,0.4779,0.4786,0.4778,0.4784,291107.0
2024-08-21 11:35:00,MATICUSDT,66c5d1074a4d6639b17eb36d,Binance,5m,108772801.0,51935953.78633588,0.6754,2024-08-21 19:35:35,73465149.7954,-122649.2241000086,27716.0,-0.001666706,0.0002548713,0.4774,0.4783,0.477,0.4782,495844.0
2024-08-21 11:40:00,MATICUSDT,66c5d23859906877aa08d136,Binance,5m,109401247.0,52457897.9365,0.6702,2024-08-21 19:40:40,73320715.7394,-144434.0559999943,628446.0,-0.0019660214,0.0057776024,0.4795,0.4808,0.4794,0.4807,1631834.0
2024-08-21 11:45:00,MATICUSDT,66c5d364f0e99417ad49d9c9,Binance,5m,109500485.0,52472632.412,0.6711,2024-08-21 19:45:40,73485775.4835,165059.7441000044,99238.0,0.002251202,0.0009071012,0.4793,0.4794,0.4784,0.4787,589764.0
2024-08-21 11:50:00,MATICUSDT,66c5d48571bfb838c7807bbe,Binance,5m,109251272.0,52303333.05919384,0.6716,2024-08-21 19:50:29,73373154.2752,-112621.2083000094,-249213.0,-0.0015325579,-0.0022759077,0.4786,0.4791,0.4786,0.479,268208.0
2024-08-21 11:55:00,MATICUSDT,66c5d5b15421c7fdf1dca034,Binance,5m,109359311.0,52510760.71835786,0.6701,2024-08-21 19:55:29,73281674.3011,-91479.9740999937,108039.0,-0.0012467772,0.0009889038,0.48,0.4807,0.4799,0.4802,284633.0
2024-08-21 12:00:00,MATICUSDT,66c5d6e74c1e6610b6c52e61,Binance,5m,109486743.0,52367509.1769,0.6707,2024-08-21 20:00:39,73432758.5301,151084.2290000021,127432.0,0.0020616918,0.0011652597,0.4782,0.4782,0.4772,0.4781,933664.0
2024-08-21 12:05:00,MATICUSDT,66c5d816194a37119a33e0a3,Binance,5m,109564958.0,52404919.4114,0.6714,2024-08-21 20:05:42,73561912.8012,129154.2710999995,78215.0,0.00175881,0.0007143787,0.4783,0.4792,0.4781,0.4787,375793.0
2024-08-21 12:10:00,MATICUSDT,66c5d93e030d4af13f4381c9,Binance,5m,109638595.0,52407248.41,0.6713,2024-08-21 20:10:38,73600388.8235,38476.022300005,73637.0,0.0005230427,0.0006720853,0.478,0.4783,0.4774,0.4774,308720.0
2024-08-21 12:15:00,MATICUSDT,66c5da621a353e7689c38d6b,Binance,5m,109468950.0,52238582.94,0.6706,2024-08-21 20:15:30,73409877.86999999,-190510.9535000175,-169645.0,-0.0025884504,-0.001547311,0.4772,0.4774,0.4769,0.4774,498456.0
2024-08-21 12:20:00,MATICUSDT,66c5db9b87429915e1a27b2e,Binance,5m,109224997.0,52045711.0705,0.6688,2024-08-21 20:20:43,73049677.9936,-360199.8763999939,-243953.0,-0.0049066949,-0.0022285132,0.4765,0.4765,0.4759,0.4761,300330.0
2024-08-21 12:25:00,MATICUSDT,66c5dcc84410e87fb6578690,Binance,5m,109443486.0,52281153.2622,0.668,2024-08-21 20:25:44,73108248.648,58570.6544000059,218489.0,0.0008017921,0.0020003571,0.4778,0.4778,0.4771,0.4771,177633.0
2024-08-21 12:30:00,MATICUSDT,66c5ddf12a76f630801dddd5,Binance,5m,109560756.0,52326217.0656,0.6668,2024-08-21 20:30:41,73055112.1008,-53136.5472000092,117270.0,-0.0007268201,0.0010715119,0.4776,0.4779,0.4772,0.4778,601250.0
2024-08-21 12:35:00,MATICUSDT,66c5df21b57aac33cb36d6ad,Binance,5m,109827682.0,52726829.18901216,0.668,2024-08-21 20:35:45,73364891.576,309779.4752000123,266926.0,0.0042403532,0.0024363286,0.4799,0.4802,0.4792,0.4795,433327.0
2024-08-21 12:40:00,MATICUSDT,66c5e043ceb837855906c240,Binance,5m,110197700.0,52802081.987175,0.6679,2024-08-21 20:40:35,73601043.83,236152.2539999932,370018.0,0.0032188728,0.0033690778,0.479,0.4799,0.479,0.4799,130438.0
2024-08-21 12:45:00,MATICUSDT,66c5e1682c2ea1d744f116b8,Binance,5m,110284902.0,52959402.17032374,0.6681,2024-08-21 20:45:28,73681343.0262,80299.1961999983,87202.0,0.0010910062,0.0007913232,0.4801,0.4803,0.4799,0.4802,153480.0
2024-08-21 12:50:00,MATICUSDT,66c5e296955bb0ecdeb7acb5,Binance,5m,110424878.0,53141471.20855388,0.6692,2024-08-21 20:50:30,73896328.3576,214985.331400007,139976.0,0.0029177716,0.0012692218,0.4812,0.4816,0.4807,0.4816,544140.0
2024-08-21 12:55:00,MATICUSDT,66c5e3c1696867b8fc080b40,Binance,5m,110935741.0,53249810.2008719,0.6691,2024-08-21 20:55:29,74227104.3031,330775.9455000013,510863.0,0.0044762162,0.0046263397,0.4799,0.4799,0.4793,0.4799,274612.0
2024-08-21 13:00:00,MATICUSDT,66c5e4ed3890c4e5e7392111,Binance,5m,110888943.0,53386032.28886499,0.6676,2024-08-21 21:00:29,74029458.3468,-197645.9563000053,-46798.0,-0.0026627195,-0.0004218478,0.4812,0.4815,0.481,0.4812,557063.0
2024-08-21 13:05:00,MATICUSDT,66c5e61a1e6164822dc0fe51,Binance,5m,110723044.0,53257784.164,0.6674,2024-08-21 21:05:30,73896559.5656,-132898.7812000066,-165899.0,-0.0017952148,-0.0014960824,0.481,0.482,0.481,0.4815,450670.0
2024-08-21 13:10:00,MATICUSDT,66c5e74d66773cb51866f5fe,Binance,5m,110627021.0,53067781.9737,0.6682,2024-08-21 21:10:37,73920975.4322,24415.8666000068,-96023.0,0.000330406,-0.0008672359,0.4797,0.4799,0.4793,0.4795,372201.0
2024-08-21 13:15:00,MATICUSDT,66c5e8719cc3e323627207cd,Binance,5m,110177253.0,52708797.8352,0.6662,2024-08-21 21:15:29,73400085.9486,-520889.4836000055,-449768.0,-0.0070465721,-0.0040656252,0.4784,0.4795,0.4783,0.4795,523068.0
2024-08-21 13:20:00,MATICUSDT,66c5e9a0156fd08044090b03,Binance,5m,110318626.0,52902221.4916965,0.6652,2024-08-21 21:20:32,73383950.0152,-16135.9333999902,141373.0,-0.0002198353,0.0012831414,0.4793,0.4794,0.479,0.4791,238570.0
2024-08-21 13:25:00,MATICUSDT,66c5ead57865dee90f0ea3ba,Binance,5m,110398693.0,52944063.48808871,0.6647,2024-08-21 21:25:41,73382011.23709999,-1938.7781000137,80067.0,-2.64196e-05,0.0007257795,0.4795,0.4799,0.4791,0.4791,380158.0
2024-08-21 13:30:00,MATICUSDT,66c5ebfd6d602c4022f2a353,Binance,5m,110326427.0,52550970.5573502,0.6696,2024-08-21 21:30:37,73874575.5192,492564.2821000069,-72266.0,0.0067123301,-0.0006545911,0.4763,0.4769,0.4761,0.4768,1115952.0
2024-08-21 13:35:00,MATICUSDT,66c5ed28872760fff38429de,Binance,5m,109224985.0,51783565.3885,0.6678,2024-08-21 21:35:36,72940444.983,-934130.5362000018,-1101442.0,-0.0126448176,-0.0099834829,0.4739,0.475,0.4734,0.4746,1346122.0
