datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,MINAUSDT,66c5c37833a1faa0652bd197,Binance,5m,13630711.0,5978877.20453502,0.7164,2024-08-21 18:37:44,9765041.3604,5709.3284000009,359.0,0.0005850122,2.63383e-05,0.4384,0.4385,0.4383,0.4385,6604.0
2024-08-21 10:40:00,MINAUSDT,66c5c43c75fa436123578eca,Binance,5m,13628712.0,5962561.5,0.7176,2024-08-21 18:41:00,9779963.7312,14922.3707999997,-1999.0,0.0015281421,-0.0001466541,0.4375,0.4375,0.4374,0.4374,6784.0
2024-08-21 10:45:00,MINAUSDT,66c5c55132c70d8ca7f02e72,Binance,5m,13642909.0,5973852.89752433,0.7158,2024-08-21 18:45:37,9765594.2622,-14369.4690000005,14197.0,-0.0014692763,0.0010416979,0.4379,0.4385,0.4379,0.4384,10947.0
2024-08-21 10:50:00,MINAUSDT,66c5c6860d284892836482ef,Binance,5m,13642136.0,5985492.6268544,0.7172,2024-08-21 18:50:46,9784139.9392,18545.6769999992,-773.0,0.0018990833,-5.66595e-05,0.4389,0.4395,0.4389,0.4395,5766.0
2024-08-21 10:55:00,MINAUSDT,66c5c7a10788cec8cdab2636,Binance,5m,13638075.0,5999389.1925,0.7166,2024-08-21 18:55:29,9773044.545,-11095.394199999,-4061.0,-0.0011340183,-0.0002976807,0.4398,0.4399,0.4397,0.4397,2310.0
2024-08-21 11:00:00,MINAUSDT,66c5c8d5d0a6235fd39c1eff,Binance,5m,13640699.0,6007363.8396,0.7166,2024-08-21 19:00:37,9774924.9034,1880.3584000003,2624.0,0.0001924025,0.0001924025,0.4404,0.441,0.4403,0.4403,31427.0
2024-08-21 11:10:00,MINAUSDT,66c5cb28b4d7755ce8dab4ee,Binance,5m,13625276.0,5986946.2744,0.7164,2024-08-21 19:10:32,9761147.7264,-9226.9295999985,-5269.0,-0.0009443783,-0.0003865583,0.4394,0.4399,0.4394,0.4394,22724.0
2024-08-21 11:15:00,MINAUSDT,66c5cc55f5f1cc5b47725895,Binance,5m,13639914.0,5989286.2374,0.7154,2024-08-21 19:15:33,9757994.4756,-3153.2508000005,14638.0,-0.000323041,0.0010743269,0.439,0.439,0.4385,0.4385,15451.0
2024-08-21 11:20:00,MINAUSDT,66c5cd7e43e6d4110ddc6513,Binance,5m,13621113.0,5968771.7166,0.7174,2024-08-21 19:20:30,9771786.4662,13791.9905999992,-18801.0,0.0014134042,-0.0013783811,0.4378,0.438,0.4376,0.4379,6786.0
2024-08-21 11:25:00,MINAUSDT,66c5cea95e8107c04793f2be,Binance,5m,13628212.0,5963705.5712,0.7175,2024-08-21 19:25:29,9778242.11,6455.6438000016,7099.0,0.0006606411,0.0005211762,0.4375,0.4376,0.4373,0.4374,8444.0
2024-08-21 11:30:00,MINAUSDT,66c5cfdf7bc94cd7f1c05f8d,Binance,5m,13650384.0,5972043.0,0.7163,2024-08-21 19:30:39,9777770.0592,-472.0508000012,22172.0,-4.82756e-05,0.0016269192,0.4375,0.4375,0.4374,0.4375,620.0
