datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,MOVRUSDT,66c5c37433a1faa0652bd162,Binance,5m,236226.22,2008395.32244,0.6954,2024-08-21 18:37:40,164271.713388,208.165768,61.62,0.0012688118,0.0002609197,8.506,8.515,8.505,8.515,296.39
2024-08-21 10:40:00,MOVRUSDT,66c5c43475fa436123578e6b,Binance,5m,236310.63,2010870.71144049,0.6955,2024-08-21 18:40:52,164354.043165,82.329777,84.41,0.0005011805,0.000357327,8.512,8.512,8.492,8.495,563.93
2024-08-21 10:45:00,MOVRUSDT,66c5c55532c70d8ca7f02eaa,Binance,5m,236089.04,2011478.6208,0.6918,2024-08-21 18:45:41,163326.397872,-1027.645293,-221.59,-0.0062526317,-0.0009377064,8.518,8.524,8.518,8.524,124.47
2024-08-21 10:50:00,MOVRUSDT,66c5c6800d284892836482ab,Binance,5m,235827.6,2021042.532,0.691,2024-08-21 18:50:40,162956.8716,-369.526272,-261.44,-0.0022625018,-0.0011073788,8.569,8.581,8.566,8.574,1911.2
2024-08-21 10:55:00,MOVRUSDT,66c5c7af0788cec8cdab26e9,Binance,5m,235354.7,2018872.6166,0.6936,2024-08-21 18:55:43,163242.01992,285.14832,-472.9,0.0017498392,-0.0020052784,8.585,8.585,8.552,8.569,2945.28
2024-08-21 11:00:00,MOVRUSDT,66c5c8ccd0a6235fd39c1e8f,Binance,5m,234951.66,2012126.01624,0.6912,2024-08-21 19:00:28,162398.587392,-843.432528,-403.04,-0.0051667612,-0.0017124791,8.565,8.598,8.565,8.586,896.57
2024-08-21 11:05:00,MOVRUSDT,66c5c9fbcd9cfc74bfecfe65,Binance,5m,233936.61,2005612.19843546,0.6948,2024-08-21 19:05:31,162539.156628,140.569236,-1015.05,0.0008655816,-0.0043202504,8.569,8.583,8.568,8.58,675.14
2024-08-21 11:10:00,MOVRUSDT,66c5cb25b4d7755ce8dab4c9,Binance,5m,232950.81,2010300.19185845,0.6921,2024-08-21 19:10:29,161225.255601,-1313.901027,-985.8,-0.0080835969,-0.0042139621,8.631,8.631,8.618,8.621,518.54
2024-08-21 11:15:00,MOVRUSDT,66c5cc51f5f1cc5b47725868,Binance,5m,232765.21,2001607.06539195,0.6903,2024-08-21 19:15:29,160677.824463,-547.431138,-185.6,-0.0033954428,-0.0007967347,8.595,8.595,8.576,8.578,429.9
2024-08-21 11:20:00,MOVRUSDT,66c5cd7c43e6d4110ddc64fe,Binance,5m,232912.66,1990984.23312466,0.6922,2024-08-21 19:20:28,161222.143252,544.318789,147.45,0.003387641,0.000633471,8.545,8.547,8.542,8.543,246.07
2024-08-21 11:25:00,MOVRUSDT,66c5ceaf5e8107c04793f310,Binance,5m,233551.97,1992002.74402896,0.6955,2024-08-21 19:25:35,162435.395135,1213.251883,639.31,0.0075253427,0.0027448486,8.527,8.536,8.527,8.529,292.45
2024-08-21 11:30:00,MOVRUSDT,66c5cfd77bc94cd7f1c05f30,Binance,5m,233460.78,1988596.57483953,0.6937,2024-08-21 19:30:31,161951.743086,-483.652049,-91.19,-0.0029775041,-0.0003904484,8.52,8.522,8.514,8.521,260.93
2024-08-21 11:35:00,MOVRUSDT,66c5d10c4a4d6639b17eb3a7,Binance,5m,233802.29,1991937.30104386,0.6923,2024-08-21 19:35:40,161861.325367,-90.417719,341.51,-0.0005583004,0.0014628153,8.513,8.522,8.513,8.522,140.88
2024-08-21 11:40:00,MOVRUSDT,66c5d23359906877aa08d0f1,Binance,5m,233622.78,1989064.34892,0.6924,2024-08-21 19:40:35,161760.412872,-100.912495,-179.51,-0.0006234503,-0.0007677855,8.516,8.532,8.513,8.532,558.71
2024-08-21 11:45:00,MOVRUSDT,66c5d360f0e99417ad49d997,Binance,5m,232904.4,1983142.72542656,0.6937,2024-08-21 19:45:36,161565.78228,-194.630592,-718.38,-0.0012032029,-0.003074957,8.516,8.531,8.516,8.531,206.86
2024-08-21 11:50:00,MOVRUSDT,66c5d48971bfb838c7807be9,Binance,5m,232904.15,1985223.35838228,0.6947,2024-08-21 19:50:33,161798.513005,232.730725,-0.25,0.0014404704,-1.0734e-06,8.524,8.53,8.522,8.524,135.74
2024-08-21 11:55:00,MOVRUSDT,66c5d5b45421c7fdf1dca05c,Binance,5m,232697.92,1986030.43798694,0.6945,2024-08-21 19:55:32,161608.70544,-189.807565,-206.23,-0.0011731107,-0.0008854716,8.532,8.548,8.529,8.548,814.98
2024-08-21 12:00:00,MOVRUSDT,66c5d6ea4c1e6610b6c52e86,Binance,5m,232575.33,1985495.59221,0.6897,2024-08-21 20:00:42,160407.205101,-1201.500339,-122.59,-0.0074346263,-0.0005268204,8.535,8.555,8.531,8.535,1085.06
2024-08-21 12:05:00,MOVRUSDT,66c5d809194a37119a33e00f,Binance,5m,232782.15,1985864.52165,0.6889,2024-08-21 20:05:29,160363.623135,-43.581966,206.82,-0.0002716958,0.0008892603,8.531,8.541,8.531,8.539,182.76
2024-08-21 12:10:00,MOVRUSDT,66c5d93d030d4af13f4381b7,Binance,5m,232701.0,1984664.25169803,0.6889,2024-08-21 20:10:37,160307.7189,-55.904235,-81.15,-0.0003486092,-0.0003486092,8.53,8.53,8.519,8.519,231.75
2024-08-21 12:15:00,MOVRUSDT,66c5da631a353e7689c38d79,Binance,5m,232641.0,1978817.52947193,0.6895,2024-08-21 20:15:31,160405.9695,98.2506,-60.0,0.0006128875,-0.0002578416,8.502,8.516,8.5,8.5,1594.24
2024-08-21 12:20:00,MOVRUSDT,66c5db8c87429915e1a27a69,Binance,5m,231588.11,1964107.62147109,0.6892,2024-08-21 20:20:28,159610.525412,-795.444088,-1052.89,-0.0049589432,-0.0045258145,8.48,8.48,8.46,8.467,541.83
2024-08-21 12:25:00,MOVRUSDT,66c5dcc94410e87fb657869b,Binance,5m,234817.73,1986557.9958,0.6933,2024-08-21 20:25:45,162799.132209,3188.606797,3229.62,0.0199774218,0.0139455346,8.462,8.466,8.451,8.451,673.75
2024-08-21 12:30:00,MOVRUSDT,66c5ddf22a76f630801ddde9,Binance,5m,233955.79,1978708.88319374,0.6928,2024-08-21 20:30:42,162084.571312,-714.560897,-861.94,-0.0043892181,-0.0036706768,8.456,8.47,8.45,8.461,1079.29
2024-08-21 12:35:00,MOVRUSDT,66c5df1fb57aac33cb36d692,Binance,5m,233744.42,1983087.65928,0.6935,2024-08-21 20:35:43,162101.75527,17.183958,-211.37,0.0001060185,-0.0009034613,8.485,8.494,8.485,8.493,280.95
2024-08-21 12:40:00,MOVRUSDT,66c5e046ceb837855906c265,Binance,5m,233267.17,1978109.94270203,0.6921,2024-08-21 20:40:38,161444.208357,-657.546913,-477.25,-0.0040563837,-0.00204176,8.472,8.475,8.469,8.475,83.95
