datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,NTRNUSDT,66c5c36f33a1faa0652bd11d,Binance,5m,5161351.0,1996039.25920906,0.6948,2024-08-21 18:37:35,3586106.6748,334.6149999998,-3235.0,9.33174e-05,-0.0006263813,0.3864,0.3865,0.3864,0.3865,1254.0
2024-08-21 10:40:00,NTRNUSDT,66c5c43375fa436123578e60,Binance,5m,5158145.0,1992642.01490245,0.6942,2024-08-21 18:40:51,3580784.259,-5322.4157999996,-3206.0,-0.0014841767,-0.0006211552,0.3863,0.3866,0.3861,0.3866,11297.0
2024-08-21 10:45:00,NTRNUSDT,66c5c55232c70d8ca7f02e80,Binance,5m,5148547.0,1992520.79415721,0.6927,2024-08-21 18:45:38,3566398.5069,-14385.7521000002,-9598.0,-0.0040174864,-0.0018607465,0.3869,0.387,0.3868,0.3869,581.0
2024-08-21 10:50:00,NTRNUSDT,66c5c6790d28489283648259,Binance,5m,5149350.0,1994407.518888,0.6929,2024-08-21 18:50:33,3567984.615,1586.1080999998,803.0,0.0004447366,0.0001559663,0.3876,0.3879,0.3876,0.3878,3480.0
2024-08-21 10:55:00,NTRNUSDT,66c5c7aa0788cec8cdab26a6,Binance,5m,5147999.0,1997193.80532464,0.6943,2024-08-21 18:55:38,3574255.7057000003,6271.0907000005,-1351.0,0.0017576003,-0.0002623632,0.3877,0.3877,0.3877,0.3877,4.0
2024-08-21 11:00:00,NTRNUSDT,66c5c8dad0a6235fd39c1f35,Binance,5m,5147700.0,1996406.134776,0.6941,2024-08-21 19:00:42,3573018.5700000003,-1237.1357,-299.0,-0.000346124,-5.80808e-05,0.3879,0.3882,0.3879,0.3881,9599.0
2024-08-21 11:05:00,NTRNUSDT,66c5ca04cd9cfc74bfecfed5,Binance,5m,5156714.0,2001136.76341162,0.6917,2024-08-21 19:05:40,3566899.0738,-6119.4962000004,9014.0,-0.0017126964,0.0017510733,0.388,0.388,0.3876,0.3876,3690.0
2024-08-21 11:10:00,NTRNUSDT,66c5cb31b4d7755ce8dab554,Binance,5m,5157764.0,1999527.44207884,0.6906,2024-08-21 19:10:41,3561951.8184,-4947.2554000001,1050.0,-0.0013869906,0.000203618,0.3877,0.3878,0.3877,0.3878,2413.0
2024-08-21 11:15:00,NTRNUSDT,66c5cc59f5f1cc5b477258cd,Binance,5m,5147490.0,1995628.5964785,0.6893,2024-08-21 19:15:37,3548164.8570000003,-13786.9613999994,-10274.0,-0.0038706198,-0.0019919484,0.3873,0.3874,0.3873,0.3873,986.0
2024-08-21 11:20:00,NTRNUSDT,66c5cd7d43e6d4110ddc6506,Binance,5m,5145383.0,1989720.01773064,0.6898,2024-08-21 19:20:29,3549285.1934,1120.3363999994,-2107.0,0.0003157509,-0.0004093257,0.3864,0.3864,0.3859,0.3859,3306.0
2024-08-21 11:25:00,NTRNUSDT,66c5cea75e8107c04793f2ad,Binance,5m,5139442.0,1986908.2772,0.6886,2024-08-21 19:25:27,3539019.7612,-10265.4321999997,-5941.0,-0.0028922534,-0.0011546274,0.3864,0.3866,0.3862,0.3865,1215.0
2024-08-21 11:30:00,NTRNUSDT,66c5cfd77bc94cd7f1c05f26,Binance,5m,5142020.0,1985848.124,0.6918,2024-08-21 19:30:31,3557249.436,18229.6747999997,2578.0,0.005151052,0.0005016109,0.3862,0.3862,0.386,0.3861,1722.0
2024-08-21 11:35:00,NTRNUSDT,66c5d1074a4d6639b17eb36e,Binance,5m,5141468.0,1987071.77624728,0.69,2024-08-21 19:35:35,3547612.92,-9636.5159999998,-552.0,-0.0027089796,-0.0001073508,0.3864,0.3864,0.3864,0.3864,0.0
2024-08-21 11:40:00,NTRNUSDT,66c5d22d59906877aa08d0a3,Binance,5m,5141620.0,1987750.292,0.6892,2024-08-21 19:40:29,3543604.504,-4008.4159999997,152.0,-0.001129891,2.95635e-05,0.3867,0.3871,0.3866,0.3871,957.0
2024-08-21 11:45:00,NTRNUSDT,66c5d356f0e99417ad49d933,Binance,5m,5142840.0,1986679.092,0.6889,2024-08-21 19:45:26,3542902.476,-702.0280000004,1220.0,-0.0001981113,0.0002372793,0.3862,0.3862,0.3861,0.3862,479.0
2024-08-21 11:50:00,NTRNUSDT,66c5d49371bfb838c7807c65,Binance,5m,5144965.0,1988944.94292025,0.6882,2024-08-21 19:50:43,3540764.913,-2137.5629999996,2125.0,-0.0006033367,0.0004131958,0.3866,0.3868,0.3865,0.3868,1353.0
2024-08-21 11:55:00,NTRNUSDT,66c5d5bd5421c7fdf1dca0cb,Binance,5m,5146334.0,1992660.5248,0.6875,2024-08-21 19:55:41,3538104.625,-2660.2880000002,1369.0,-0.0007513314,0.0002660854,0.387,0.3872,0.387,0.3872,192.0
