datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,ONTUSDT,66c5c37433a1faa0652bd15f,Binance,5m,18811425.7,3319836.64525086,0.7174,2024-08-21 18:37:40,13495316.79718,-100853.1298199985,-98407.3000000007,-0.0074177603,-0.005204028,0.1764,0.1764,0.1762,0.1762,27927.5
2024-08-21 10:40:00,ONTUSDT,66c5c43975fa436123578ea4,Binance,5m,18792120.6,3307413.2256,0.7177,2024-08-21 18:40:57,13487104.954620002,-8211.8425599989,-19305.0999999978,-0.0006084957,-0.0010262433,0.1759,0.1759,0.1758,0.1758,3899.9
2024-08-21 10:45:00,ONTUSDT,66c5c54f32c70d8ca7f02e50,Binance,5m,18783003.6,3308336.07456442,0.7174,2024-08-21 18:45:35,13474926.782640005,-12178.1719799992,-9117.0,-0.0009029493,-0.0004851501,0.1762,0.1762,0.1761,0.1761,1336.3
2024-08-21 10:50:00,ONTUSDT,66c5c6830d284892836482ca,Binance,5m,18789171.3,3317541.97217571,0.718,2024-08-21 18:50:43,13490624.9934,15698.2107599974,6167.6999999993,0.0011649941,0.000328366,0.1765,0.1769,0.1765,0.1769,28326.3
2024-08-21 10:55:00,ONTUSDT,66c5c7ae0788cec8cdab26d7,Binance,5m,18791366.7,3323575.47283391,0.7165,2024-08-21 18:55:42,13464014.24055,-26610.7528499998,2195.3999999985,-0.0019725367,0.0001168439,0.1769,0.1769,0.1769,0.1769,3244.5
2024-08-21 11:00:00,ONTUSDT,66c5c8d5d0a6235fd39c1f00,Binance,5m,18786634.3,3325234.2711,0.7166,2024-08-21 19:00:37,13462502.13938,-1512.1011699997,-4732.3999999985,-0.0001123069,-0.0002518391,0.1769,0.1773,0.1769,0.1771,44238.4
2024-08-21 11:05:00,ONTUSDT,66c5ca04cd9cfc74bfecfed4,Binance,5m,18783141.9,3327675.32662125,0.7162,2024-08-21 19:05:40,13452486.228779998,-10015.9106000029,-3492.4000000022,-0.0007439858,-0.0001858981,0.177,0.177,0.1768,0.1769,6177.8
2024-08-21 11:10:00,ONTUSDT,66c5cb23b4d7755ce8dab4b3,Binance,5m,18786179.7,3314040.27871307,0.717,2024-08-21 19:10:27,13469690.8449,17204.6161200013,3037.8000000007,0.0012789172,0.0001617301,0.1765,0.1766,0.1765,0.1765,11047.0
2024-08-21 11:15:00,ONTUSDT,66c5cc5af5f1cc5b477258da,Binance,5m,18790498.1,3314643.86484,0.7167,2024-08-21 19:15:38,13467149.98827,-2540.8566299975,4318.4000000022,-0.0001886351,0.0002298711,0.1764,0.1764,0.1763,0.1763,3066.2
2024-08-21 11:20:00,ONTUSDT,66c5cd8643e6d4110ddc6582,Binance,5m,18777977.8,3308059.45175327,0.7179,2024-08-21 19:20:38,13480710.26262,13560.2743499987,-12520.3000000007,0.0010069149,-0.0006663102,0.176,0.176,0.176,0.176,12305.6
