datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,OPUSDT,66c5c37433a1faa0652bd166,Binance,5m,19566753.5,26751518.63454875,0.7044,2024-08-21 18:37:40,13782821.1654,14493.3124299999,6691.1999999993,0.001052656,0.0003420848,1.3672,1.3681,1.3669,1.3681,6359.8
2024-08-21 10:40:00,OPUSDT,66c5c43a75fa436123578eb5,Binance,5m,19503080.4,26643158.13444,0.7061,2024-08-21 18:40:58,13771125.070439998,-11696.0949600022,-63673.1000000015,-0.0008485995,-0.0032541474,1.3667,1.367,1.3663,1.3669,9713.5
2024-08-21 10:45:00,OPUSDT,66c5c54a32c70d8ca7f02e0e,Binance,5m,19555332.4,26759225.48170724,0.7048,2024-08-21 18:45:30,13782598.27552,11473.2050800007,52252.0,0.0008331349,0.0026791665,1.3683,1.3684,1.3676,1.3677,13689.0
2024-08-21 10:50:00,OPUSDT,66c5c6840d284892836482da,Binance,5m,19564067.6,26818657.06976579,0.7045,2024-08-21 18:50:44,13782885.6242,287.3486800026,8735.200000003,2.08487e-05,0.0004466915,1.3711,1.3728,1.3709,1.3728,16602.7
2024-08-21 10:55:00,OPUSDT,66c5c7a30788cec8cdab2649,Binance,5m,19585966.9,26904909.96495237,0.7045,2024-08-21 18:55:31,13798313.68105,15428.0568499975,21899.299999997,0.0011193633,0.0011193633,1.3733,1.374,1.3727,1.3727,23396.2
2024-08-21 11:00:00,OPUSDT,66c5c8d7d0a6235fd39c1f12,Binance,5m,19604259.6,26956641.70851179,0.705,2024-08-21 19:00:39,13821003.018,22689.3369500022,18292.700000003,0.0016443558,0.0009339697,1.3749,1.3768,1.3747,1.3757,45501.9
2024-08-21 11:05:00,OPUSDT,66c5c9ffcd9cfc74bfecfe92,Binance,5m,19621705.6,26991618.22336,0.7055,2024-08-21 19:05:35,13843113.3008,22110.2828000002,17446.0,0.0015997596,0.0008899086,1.3755,1.3755,1.3737,1.3746,18746.4
2024-08-21 11:10:00,OPUSDT,66c5cb27b4d7755ce8dab4da,Binance,5m,19666773.9,27021516.62516103,0.7057,2024-08-21 19:10:31,13878842.34123,35729.0404299982,45068.299999997,0.0025809975,0.0022968595,1.3735,1.3735,1.3723,1.3725,29165.1
2024-08-21 11:15:00,OPUSDT,66c5cc51f5f1cc5b47725865,Binance,5m,19682904.7,27018723.28169,0.7056,2024-08-21 19:15:29,13888257.55632,9415.215090001,16130.8000000007,0.0006783862,0.0008202057,1.3728,1.3732,1.3704,1.3709,45464.5
2024-08-21 11:20:00,OPUSDT,66c5cd8743e6d4110ddc6586,Binance,5m,19696407.1,26995056.1103894,0.7052,2024-08-21 19:20:39,13889906.286920002,1648.7306000013,13502.4000000022,0.000118714,0.0006859963,1.3701,1.3705,1.3689,1.37,79441.4
2024-08-21 11:25:00,OPUSDT,66c5ceb65e8107c04793f375,Binance,5m,19728921.0,26989163.928,0.7062,2024-08-21 19:25:42,13932564.0102,42657.7232799996,32513.8999999985,0.0030711311,0.0016507528,1.368,1.3683,1.3676,1.3678,12294.6
2024-08-21 11:30:00,OPUSDT,66c5cfe17bc94cd7f1c05fa4,Binance,5m,19745590.5,26996171.3316,0.7055,2024-08-21 19:30:41,13930514.09775,-2049.9124500006,16669.5,-0.000147131,0.0008449271,1.3675,1.368,1.3668,1.3677,16199.0
2024-08-21 11:35:00,OPUSDT,66c5d10d4a4d6639b17eb3b5,Binance,5m,19750356.6,26984090.41024188,0.7057,2024-08-21 19:35:41,13937826.65262,7312.5548700001,4766.1000000015,0.0005249307,0.0002413754,1.366,1.3669,1.3657,1.3669,39207.8
2024-08-21 11:40:00,OPUSDT,66c5d23459906877aa08d102,Binance,5m,19772830.6,27033657.00440807,0.7057,2024-08-21 19:40:36,13953686.554420002,15859.901800001,22474.0,0.0011379035,0.0011379035,1.367,1.3684,1.367,1.3684,41719.7
2024-08-21 11:45:00,OPUSDT,66c5d35df0e99417ad49d97f,Binance,5m,19761169.8,26977949.01096,0.7073,2024-08-21 19:45:33,13977075.399540002,23388.8451199997,-11660.8000000007,0.0016761768,-0.0005897385,1.3653,1.3659,1.3641,1.3657,33617.9
2024-08-21 11:50:00,OPUSDT,66c5d49471bfb838c7807c6e,Binance,5m,19777448.8,27018024.62259586,0.7065,2024-08-21 19:50:44,13972767.5772,-4307.8223400004,16279.0,-0.0003082063,0.0008237873,1.3662,1.3666,1.3651,1.3666,24401.5
2024-08-21 11:55:00,OPUSDT,66c5d5b95421c7fdf1dca09e,Binance,5m,19777204.0,27055215.072,0.7061,2024-08-21 19:55:37,13964683.744399998,-8083.8328000028,-244.8000000007,-0.000578542,-1.23777e-05,1.3682,1.3682,1.3677,1.3677,3012.7
2024-08-21 12:00:00,OPUSDT,66c5d6e34c1e6610b6c52e30,Binance,5m,19766938.1,27009936.00055314,0.7064,2024-08-21 20:00:35,13963365.073840002,-1318.6705599967,-10265.8999999985,-9.4429e-05,-0.0005190774,1.3654,1.3662,1.3649,1.3659,49233.5
2024-08-21 12:05:00,OPUSDT,66c5d80f194a37119a33e050,Binance,5m,19779564.9,27052129.36592308,0.705,2024-08-21 20:05:35,13944593.254499998,-18771.8193400037,12626.799999997,-0.0013443621,0.0006387838,1.3675,1.3679,1.3674,1.3677,9274.1
2024-08-21 12:10:00,OPUSDT,66c5d93b030d4af13f43819b,Binance,5m,19769629.2,27038568.5735662,0.7048,2024-08-21 20:10:35,13933634.66016,-10958.5943399984,-9935.6999999993,-0.0007858669,-0.0005023215,1.3677,1.3679,1.3654,1.3655,30861.2
2024-08-21 12:15:00,OPUSDT,66c5da6d1a353e7689c38dfc,Binance,5m,19756488.8,27001193.24296,0.7042,2024-08-21 20:15:41,13912519.412960002,-21115.2471999973,-13140.3999999985,-0.0015154156,-0.0006646761,1.3666,1.3669,1.3657,1.3669,20743.6
2024-08-21 12:20:00,OPUSDT,66c5db8e87429915e1a27a86,Binance,5m,19763606.2,26951629.77494,0.7055,2024-08-21 20:20:30,13943224.1741,30704.7611399982,7117.3999999985,0.0022069878,0.0003602563,1.3636,1.3637,1.3605,1.3622,97236.7
2024-08-21 12:25:00,OPUSDT,66c5dcbb4410e87fb65785ef,Binance,5m,19759470.2,27002224.3711451,0.7069,2024-08-21 20:25:31,13967969.48438,24745.3102799989,-4136.0,0.0017747194,-0.0002092735,1.3666,1.3667,1.3653,1.3653,12201.3
2024-08-21 12:30:00,OPUSDT,66c5dded2a76f630801ddda5,Binance,5m,19753672.7,26995369.11182,0.7081,2024-08-21 20:30:37,13987575.63887,19606.1544899996,-5797.5,0.001403651,-0.0002934036,1.3669,1.369,1.3663,1.3685,50259.5
2024-08-21 12:35:00,OPUSDT,66c5df12b57aac33cb36d5f1,Binance,5m,19747386.5,26980854.17495,0.7082,2024-08-21 20:35:30,13985099.1193,-2476.5195699986,-6286.1999999993,-0.0001770514,-0.0003182294,1.3662,1.3662,1.3644,1.3648,16099.7
2024-08-21 12:40:00,OPUSDT,66c5e048ceb837855906c27d,Binance,5m,19764314.3,26975115.26590971,0.7074,2024-08-21 20:40:40,13981275.93582,-3823.1834800001,16927.8000000007,-0.0002733755,0.0008572172,1.3646,1.3654,1.3646,1.3652,20864.7
2024-08-21 12:45:00,OPUSDT,66c5e1742c2ea1d744f11754,Binance,5m,19775188.1,27004818.10165958,0.7069,2024-08-21 20:45:40,13979080.46789,-2195.4679300003,10873.8000000007,-0.0001570292,0.0005501734,1.3645,1.3661,1.3645,1.3659,24710.4
2024-08-21 12:50:00,OPUSDT,66c5e29c955bb0ecdeb7acff,Binance,5m,19776588.3,26994541.49522071,0.707,2024-08-21 20:50:36,13982047.9281,2967.4602099992,1400.1999999993,0.0002122786,7.08059e-05,1.3654,1.3654,1.3644,1.3652,6788.3
2024-08-21 12:55:00,OPUSDT,66c5e3cd696867b8fc080be2,Binance,5m,19760566.9,26912591.67489231,0.708,2024-08-21 20:55:41,13990481.365199998,8433.4370999988,-16021.4000000022,0.0006031618,-0.0008101195,1.3618,1.3627,1.361,1.3625,45765.0
2024-08-21 13:00:00,OPUSDT,66c5e4ef3890c4e5e739212f,Binance,5m,19765664.2,26910951.8083,0.709,2024-08-21 21:00:31,14013855.917799998,23374.5526000001,5097.3000000007,0.0016707468,0.0002579531,1.3616,1.362,1.3606,1.362,57538.8
2024-08-21 13:05:00,OPUSDT,66c5e61a1e6164822dc0fe56,Binance,5m,19770556.1,26954288.09335999,0.6914,2024-08-21 21:05:30,13669362.48754,-344493.430259997,4891.9000000022,-0.0245823442,0.0002474948,1.363,1.3669,1.363,1.3668,52611.1
2024-08-21 13:10:00,OPUSDT,66c5e75066773cb51866f629,Binance,5m,19880123.0,27130448.19077429,0.6902,2024-08-21 21:10:40,13721260.8946,51898.4070599992,109566.8999999985,0.0037966955,0.005541923,1.3648,1.3657,1.3642,1.3642,27294.1
2024-08-21 13:15:00,OPUSDT,66c5e8719cc3e323627207d4,Binance,5m,19909061.7,27118408.0848027,0.6902,2024-08-21 21:15:29,13741234.38534,19973.4907399993,28938.6999999993,0.00145566,0.00145566,1.3621,1.3641,1.362,1.3641,16417.3
