datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,PENDLEUSDT,66c5c37a33a1faa0652bd1b6,Binance,5m,6405678.0,17686717.5258,0.6468,2024-08-21 18:37:46,4143192.5304,-3673.5679000001,-6671.0,-0.0008858661,-0.0010403364,2.761,2.7627,2.7606,2.7623,7347.0
2024-08-21 10:40:00,PENDLEUSDT,66c5c42f75fa436123578e2d,Binance,5m,6401874.0,17672373.177,0.6509,2024-08-21 18:40:47,4166979.7866,23787.2562000002,-3804.0,0.0057412867,-0.0005938481,2.7605,2.7605,2.7544,2.7556,12516.0
2024-08-21 10:45:00,PENDLEUSDT,66c5c54c32c70d8ca7f02e27,Binance,5m,6404094.0,17670917.69484426,0.6502,2024-08-21 18:45:32,4163941.9188,-3037.8678000001,2220.0,-0.0007290335,0.0003467735,2.7593,2.7599,2.7561,2.7568,3508.0
2024-08-21 10:50:00,PENDLEUSDT,66c5c6840d284892836482dc,Binance,5m,6406446.0,17665134.2004,0.6535,2024-08-21 18:50:44,4186612.461,22670.5421999996,2352.0,0.0054444905,0.0003672651,2.7576,2.7615,2.7576,2.7606,5064.0
2024-08-21 10:55:00,PENDLEUSDT,66c5c7af0788cec8cdab26e5,Binance,5m,6403188.0,17687949.20699928,0.6514,2024-08-21 18:55:43,4171036.6632,-15575.7977999998,-3258.0,-0.003720382,-0.0005085503,2.7617,2.7631,2.7617,2.763,1407.0
2024-08-21 11:00:00,PENDLEUSDT,66c5c8d4d0a6235fd39c1eed,Binance,5m,6399340.0,17699489.8798568,0.648,2024-08-21 19:00:36,4146772.32,-24264.3431999995,-3848.0,-0.0058173411,-0.0006009507,2.7658,2.7705,2.7658,2.7665,12917.0
2024-08-21 11:05:00,PENDLEUSDT,66c5c9fccd9cfc74bfecfe6b,Binance,5m,6401462.0,17725648.278,0.645,2024-08-21 19:05:32,4128942.99,-17829.3300000001,2122.0,-0.0042995681,0.0003315967,2.769,2.769,2.7669,2.7683,3097.0
2024-08-21 11:10:00,PENDLEUSDT,66c5cb30b4d7755ce8dab553,Binance,5m,6397475.0,17678782.415,0.6436,2024-08-21 19:10:40,4117414.91,-11528.0800000005,-3987.0,-0.0027920172,-0.0006228265,2.7631,2.7654,2.762,2.7622,4544.0
2024-08-21 11:15:00,PENDLEUSDT,66c5cc53f5f1cc5b47725887,Binance,5m,6398789.0,17693931.3428,0.6409,2024-08-21 19:15:31,4100983.8701,-16431.0398999997,1314.0,-0.0039906204,0.0002053935,2.7654,2.7656,2.7615,2.7625,10931.0
2024-08-21 11:20:00,PENDLEUSDT,66c5cd7f43e6d4110ddc6520,Binance,5m,6395832.0,17645310.2829564,0.6425,2024-08-21 19:20:31,4109322.06,8338.1898999996,-2957.0,0.0020332169,-0.0004621187,2.7586,2.7594,2.7555,2.7574,7241.0
2024-08-21 11:25:00,PENDLEUSDT,66c5cea95e8107c04793f2cb,Binance,5m,6392615.0,17616129.1555,0.6421,2024-08-21 19:25:29,4104698.0915,-4623.9684999995,-3217.0,-0.0011252388,-0.0005029838,2.7546,2.7558,2.7528,2.7528,3488.0
2024-08-21 11:30:00,PENDLEUSDT,66c5cfd77bc94cd7f1c05f2b,Binance,5m,6390839.0,17590784.3475,0.6437,2024-08-21 19:30:31,4113783.0643,9084.9728000001,-1776.0,0.0022133108,-0.0002778206,2.7527,2.7559,2.751,2.7548,5674.0
2024-08-21 11:35:00,PENDLEUSDT,66c5d1094a4d6639b17eb380,Binance,5m,6388993.0,17601639.74496941,0.642,2024-08-21 19:35:37,4101733.506,-12049.5583000001,-1846.0,-0.0029290699,-0.000288851,2.7539,2.7561,2.7523,2.7561,2031.0
2024-08-21 11:40:00,PENDLEUSDT,66c5d23159906877aa08d0d3,Binance,5m,6390459.0,17579997.99598761,0.6429,2024-08-21 19:40:33,4108426.0911,6692.5851000003,1466.0,0.001631648,0.0002294571,2.7513,2.7568,2.7513,2.7566,3320.0
2024-08-21 11:45:00,PENDLEUSDT,66c5d361f0e99417ad49d9a6,Binance,5m,6396275.0,17596152.525,0.6427,2024-08-21 19:45:37,4110885.9425,2459.8514,5816.0,0.0005987333,0.0009101068,2.751,2.7514,2.7483,2.7502,3684.0
2024-08-21 11:50:00,PENDLEUSDT,66c5d49371bfb838c7807c5d,Binance,5m,6393360.0,17631934.6529616,0.6422,2024-08-21 19:50:43,4105815.792,-5070.1505000005,-2915.0,-0.0012333474,-0.000455734,2.7562,2.7562,2.7536,2.7556,3921.0
2024-08-21 11:55:00,PENDLEUSDT,66c5d5bb5421c7fdf1dca0bc,Binance,5m,6391637.0,17608189.29532691,0.6437,2024-08-21 19:55:39,4114296.7369,8480.9449000005,-1723.0,0.0020655931,-0.0002694984,2.7548,2.7548,2.7539,2.7539,2371.0
2024-08-21 12:00:00,PENDLEUSDT,66c5d6e44c1e6610b6c52e42,Binance,5m,6391582.0,17588755.26888574,0.6446,2024-08-21 20:00:36,4120013.7572,5717.0202999995,-55.0,0.0013895498,-8.605e-06,2.7507,2.7508,2.7487,2.7508,8272.0
2024-08-21 12:05:00,PENDLEUSDT,66c5d80e194a37119a33e043,Binance,5m,6390549.0,17606761.9526799,0.64,2024-08-21 20:05:34,4089951.36,-30062.3972,-1033.0,-0.007296674,-0.0001616188,2.7551,2.7567,2.7545,2.7558,4098.0
2024-08-21 12:10:00,PENDLEUSDT,66c5d934030d4af13f438141,Binance,5m,6387183.0,17592218.1369,0.6437,2024-08-21 20:10:28,4111429.697100001,21478.3371000006,-3366.0,0.0052514896,-0.0005267153,2.7543,2.7544,2.7481,2.7482,5372.0
2024-08-21 12:15:00,PENDLEUSDT,66c5da641a353e7689c38d84,Binance,5m,6379405.0,17514941.7144916,0.643,2024-08-21 20:15:32,4101957.415,-9472.2821000004,-7778.0,-0.0023038901,-0.0012177512,2.7454,2.7454,2.7394,2.7411,35716.0
2024-08-21 12:20:00,PENDLEUSDT,66c5db9887429915e1a27b09,Binance,5m,6349049.0,17345954.43069097,0.6468,2024-08-21 20:20:40,4106564.8932,4607.4782000002,-30356.0,0.0011232389,-0.0047584375,2.7313,2.7319,2.724,2.7283,41925.0
2024-08-21 12:25:00,PENDLEUSDT,66c5dcc54410e87fb6578672,Binance,5m,6334910.0,17318042.0946574,0.6509,2024-08-21 20:25:41,4123392.919,16828.0257999999,-14139.0,0.0040978351,-0.0022269477,2.733,2.7347,2.7307,2.732,10207.0
2024-08-21 12:30:00,PENDLEUSDT,66c5dde72a76f630801ddd5f,Binance,5m,6338554.0,17354960.852,0.6478,2024-08-21 20:30:31,4106115.2812,-17277.6378000001,3644.0,-0.0041901507,0.0005752252,2.7384,2.7466,2.7371,2.7444,19555.0
2024-08-21 12:35:00,PENDLEUSDT,66c5df19b57aac33cb36d649,Binance,5m,6340209.0,17412115.9767,0.6436,2024-08-21 20:35:37,4080558.5124,-25556.7688000002,1655.0,-0.0062240748,0.0002611006,2.7461,2.7468,2.7431,2.7448,3297.0
2024-08-21 12:40:00,PENDLEUSDT,66c5e04aceb837855906c29a,Binance,5m,6344208.0,17412325.39423728,0.6513,2024-08-21 20:40:42,4131982.6704,51424.1579999998,3999.0,0.0126022352,0.0006307363,2.7437,2.7452,2.7429,2.7429,3425.0
2024-08-21 12:45:00,PENDLEUSDT,66c5e1712c2ea1d744f1172f,Binance,5m,6341226.0,17396336.21038086,0.6473,2024-08-21 20:45:37,4104675.5898,-27307.0806,-2982.0,-0.0066087113,-0.000470035,2.7424,2.7472,2.7424,2.7471,3726.0
2024-08-21 12:50:00,PENDLEUSDT,66c5e29f955bb0ecdeb7ad20,Binance,5m,6341005.0,17417851.726099,0.6449,2024-08-21 20:50:39,4089314.1245,-15361.4652999993,-221.0,-0.003742431,-3.48513e-05,2.7466,2.7476,2.745,2.7464,2467.0
2024-08-21 12:55:00,PENDLEUSDT,66c5e3cd696867b8fc080bdb,Binance,5m,6338946.0,17343746.03778954,0.6452,2024-08-21 20:55:41,4089887.9592,573.8346999995,-2059.0,0.0001403254,-0.0003247119,2.7352,2.7364,2.7326,2.7364,7570.0
2024-08-21 13:00:00,PENDLEUSDT,66c5e4f83890c4e5e73921a7,Binance,5m,6338633.0,17339964.4348,0.6458,2024-08-21 21:00:40,4093489.1914,3601.2322000004,-313.0,0.000880521,-4.93773e-05,2.7353,2.7375,2.7332,2.7342,14407.0
2024-08-21 13:05:00,PENDLEUSDT,66c5e61f1e6164822dc0fe9e,Binance,5m,6348793.0,17375376.6824,0.6478,2024-08-21 21:05:35,4112748.1054,19258.9139999999,10160.0,0.0047047673,0.0016028693,2.7361,2.7428,2.7361,2.7423,7134.0
2024-08-21 13:10:00,PENDLEUSDT,66c5e74466773cb51866f589,Binance,5m,6349647.0,17380253.7684,0.6442,2024-08-21 21:10:28,4090442.5974,-22305.5080000004,854.0,-0.0054235045,0.0001345138,2.7371,2.7389,2.7357,2.736,1360.0
2024-08-21 13:15:00,PENDLEUSDT,66c5e87b9cc3e3236272085d,Binance,5m,6353947.0,17364701.7563,0.6443,2024-08-21 21:15:39,4093848.0521,3405.4547000001,4300.0,0.0008325394,0.000677203,2.7323,2.7342,2.7303,2.7341,8022.0
2024-08-21 13:20:00,PENDLEUSDT,66c5e9a4156fd08044090b3a,Binance,5m,6352660.0,17396759.41,0.646,2024-08-21 21:20:36,4103818.36,9970.3079000004,-1287.0,0.0024354367,-0.0002025513,2.7374,2.7382,2.7342,2.735,1796.0
2024-08-21 13:25:00,PENDLEUSDT,66c5ead77865dee90f0ea3d7,Binance,5m,6359685.0,17442072.081,0.6449,2024-08-21 21:25:43,4101360.8565,-2457.5035000001,7025.0,-0.0005988334,0.001105836,2.7426,2.7432,2.739,2.739,3410.0
2024-08-21 13:30:00,PENDLEUSDT,66c5ebf76d602c4022f2a30f,Binance,5m,6356823.0,17377918.02646449,0.6453,2024-08-21 21:30:31,4102057.8819,697.0253999997,-2862.0,0.0001699498,-0.0004500223,2.733,2.7352,2.7323,2.7352,2119.0
2024-08-21 13:35:00,PENDLEUSDT,66c5ed23872760fff384299f,Binance,5m,6329792.0,17162598.0288,0.6392,2024-08-21 21:35:31,4046003.0464,-56054.8355,-27031.0,-0.0136650523,-0.0042522814,2.7117,2.721,2.7106,2.7175,36670.0
2024-08-21 13:40:00,PENDLEUSDT,66c5ee5d956c2c6506ba2559,Binance,5m,6319633.0,17184304.66000385,0.6392,2024-08-21 21:40:45,4039509.4136,-6493.6327999998,-10159.0,-0.0016049501,-0.0016049501,2.7181,2.7199,2.7141,2.7145,4205.0
2024-08-21 13:45:00,PENDLEUSDT,66c5ef833c950f493078a103,Binance,5m,6277475.0,16922817.105,0.6472,2024-08-21 21:45:39,4062781.82,23272.4063999997,-42158.0,0.0057611962,-0.006670957,2.6959,2.6973,2.6884,2.6902,34754.0
2024-08-21 13:50:00,PENDLEUSDT,66c5f0a955cd5a2e2a86a42d,Binance,5m,6299497.0,16966435.2701,0.6445,2024-08-21 21:50:33,4060025.8165,-2756.0035000001,22022.0,-0.0006783538,0.0035080984,2.6929,2.6953,2.6899,2.6924,18013.0
2024-08-21 13:55:00,PENDLEUSDT,66c5f1e03356402175af6049,Binance,5m,6305844.0,17045005.82282352,0.6463,2024-08-21 21:55:44,4075466.9772,15441.1607000004,6347.0,0.0038032174,0.0010075408,2.7044,2.718,2.7037,2.7155,25418.0
2024-08-21 14:00:00,PENDLEUSDT,66c5f30a59e3fd272d1e21ec,Binance,5m,6350579.0,17604091.27210132,0.6457,2024-08-21 22:00:42,4100568.8603,25101.8831000002,44735.0,0.0061592655,0.0070942129,2.7702,2.7851,2.7702,2.7728,71202.0
2024-08-21 14:05:00,PENDLEUSDT,66c5f42cd026c2e610a4a3ad,Binance,5m,6354979.0,17557341.26464344,0.6505,2024-08-21 22:05:32,4133913.8395,33344.9791999995,4400.0,0.0081317935,0.0006928502,2.7611,2.7699,2.7559,2.7681,79324.0
2024-08-21 14:10:00,PENDLEUSDT,66c5f5534e6d3f54b06a1038,Binance,5m,6360764.0,17600870.0644,0.6441,2024-08-21 22:10:27,4096968.0924,-36945.7470999998,5785.0,-0.008937232,0.0009103099,2.7671,2.7792,2.7671,2.772,25091.0
2024-08-21 14:15:00,PENDLEUSDT,66c5f6802db98255885f0ab2,Binance,5m,6354137.0,17400168.7608,0.6477,2024-08-21 22:15:28,4115574.5349,18606.4425000004,-6627.0,0.0045415151,-0.001041856,2.7382,2.7522,2.7368,2.7449,36983.0
2024-08-21 14:20:00,PENDLEUSDT,66c5f7b2d573cb7f0f95fcc0,Binance,5m,6338783.0,17321230.95287387,0.6455,2024-08-21 22:20:34,4091684.4265,-23890.1084000007,-15354.0,-0.0058048052,-0.0024163785,2.7326,2.7411,2.73,2.7382,26716.0
2024-08-21 14:25:00,PENDLEUSDT,66c5f8e759abe413a4023c87,Binance,5m,6350603.0,17455267.4058,0.6483,2024-08-21 22:25:43,4117095.9249,25411.4984000004,11820.0,0.0062105226,0.0018647113,2.7474,2.7493,2.7394,2.7408,16569.0
2024-08-21 14:30:00,PENDLEUSDT,66c5fa123f36f8af091910d3,Binance,5m,6350557.0,17401911.04596499,0.6509,2024-08-21 22:30:42,4133577.5513,16481.6264000004,-46.0,0.0040032165,-7.2434e-06,2.74,2.745,2.7371,2.7428,7904.0
2024-08-21 14:35:00,PENDLEUSDT,66c5fb34f5e0bfc10b740e02,Binance,5m,6346860.0,17382145.482,0.647,2024-08-21 22:35:32,4106418.42,-27159.1313000005,-3697.0,-0.0065703694,-0.0005821537,2.7389,2.7389,2.7264,2.7303,39440.0
2024-08-21 14:40:00,PENDLEUSDT,66c5fc65f2ecdb4699085eb2,Binance,5m,6341621.0,17447701.8573,0.647,2024-08-21 22:40:37,4103028.787,-3389.6329999999,-5239.0,-0.0008254475,-0.0008254475,2.7527,2.7655,2.7481,2.758,80200.0
2024-08-21 14:45:00,PENDLEUSDT,66c5fd91e511e9a2f1983b86,Binance,5m,6380362.0,17658738.34684498,0.6383,2024-08-21 22:45:37,4072585.0646,-30443.7224000003,38741.0,-0.0074198169,0.0061090059,2.7672,2.769,2.7629,2.7631,13110.0
2024-08-21 14:50:00,PENDLEUSDT,66c5febd6f542947b29d49da,Binance,5m,6382922.0,17552397.2078,0.6439,2024-08-21 22:50:37,4109963.4758,37378.4112000004,2560.0,0.0091780554,0.0004012312,2.7512,2.7517,2.7407,2.7419,12932.0
2024-08-21 14:55:00,PENDLEUSDT,66c5ffeaa549e168a3ca2827,Binance,5m,6343910.0,17292426.6026491,0.6492,2024-08-21 22:55:38,4118466.372,8502.8961999998,-39012.0,0.0020688496,-0.0061119343,2.7242,2.7246,2.7191,2.7194,27280.0
2024-08-21 15:00:00,PENDLEUSDT,66c601102ba97326050c67c6,Binance,5m,6340023.0,17300654.7624,0.646,2024-08-21 23:00:32,4095654.858,-22811.514,-3887.0,-0.005538837,-0.0006127136,2.7284,2.7288,2.7234,2.7257,12189.0
2024-08-21 15:05:00,PENDLEUSDT,66c602485a48bb686e204d5b,Binance,5m,6333367.0,17289093.1380241,0.6452,2024-08-21 23:05:44,4086288.3884,-9366.4696,-6656.0,-0.0022869284,-0.0010498385,2.7279,2.7342,2.7242,2.7255,9666.0
2024-08-21 15:10:00,PENDLEUSDT,66c60364b7b9bbce307ff3a6,Binance,5m,6338937.0,17316074.2029,0.6432,2024-08-21 23:10:28,4077204.2784,-9084.1099999999,5570.0,-0.0022230712,0.000879469,2.7321,2.7458,2.7316,2.7428,20183.0
2024-08-21 15:15:00,PENDLEUSDT,66c6049dfdf8305c09d1444e,Binance,5m,6371264.0,17570671.8592,0.6388,2024-08-21 23:15:41,4069963.4432,-7240.8352000001,32327.0,-0.0017759314,0.005099751,2.7576,2.7641,2.7566,2.76,13190.0
2024-08-21 15:20:00,PENDLEUSDT,66c605c0cbea794085d02f49,Binance,5m,6362510.0,17518455.9480007,0.6409,2024-08-21 23:20:32,4077732.659,7769.2157999999,-8754.0,0.0019089154,-0.0013739817,2.752,2.7528,2.7461,2.7527,8064.0
2024-08-21 15:25:00,PENDLEUSDT,66c606eeca1a4a1339aa71f7,Binance,5m,6341422.0,17390054.40931384,0.6493,2024-08-21 23:25:34,4117485.3046,39752.6455999999,-21088.0,0.0097487131,-0.0033144152,2.7413,2.742,2.7337,2.7374,62823.0
2024-08-21 15:30:00,PENDLEUSDT,66c60817e29bd034ec8bb1b9,Binance,5m,6316972.0,17273825.56733908,0.6527,2024-08-21 23:30:31,4123087.6244,5602.3197999997,-24450.0,0.0013606168,-0.0038556021,2.735,2.7352,2.7315,2.7335,6369.0
2024-08-21 15:35:00,PENDLEUSDT,66c6094cbad63ebcfb5dfffb,Binance,5m,6319013.0,17276813.4433,0.6533,2024-08-21 23:35:40,4128211.1929,5123.5685000005,2041.0,0.0012426533,0.0003230978,2.7346,2.7382,2.7327,2.7343,5308.0
2024-08-21 15:40:00,PENDLEUSDT,66c60a69ee76296f2acf6ae9,Binance,5m,6317861.0,17284404.1238,0.6503,2024-08-21 23:40:25,4108505.0083,-19706.1846000003,-1152.0,-0.0047735408,-0.000182307,2.7361,2.7422,2.7361,2.7403,18350.0
2024-08-21 15:45:00,PENDLEUSDT,66c60ba2b5472ccbd3de3eac,Binance,5m,6309493.0,17305046.4511,0.6532,2024-08-21 23:45:38,4121360.8276,12855.8193000001,-8368.0,0.0031290748,-0.0013244989,2.7423,2.7467,2.7409,2.7448,4678.0
2024-08-21 15:50:00,PENDLEUSDT,66c60cc7182c123fd4434712,Binance,5m,6308534.0,17239552.98528214,0.6545,2024-08-21 23:50:31,4128935.503,7574.6754000001,-959.0,0.0018379064,-0.0001519932,2.7334,2.7348,2.7304,2.7333,3562.0
2024-08-21 15:55:00,PENDLEUSDT,66c60dfce6a393c24cadf7e9,Binance,5m,6310842.0,17283657.41170374,0.6541,2024-08-21 23:55:40,4127921.7522,-1013.7508,2308.0,-0.0002455235,0.0003658536,2.7377,2.7413,2.7377,2.7402,6213.0
2024-08-21 16:00:00,PENDLEUSDT,66c60f20a617857ac67bac38,Binance,5m,6309725.0,17248444.5919405,0.6532,2024-08-22 00:00:32,4121512.37,-6409.3821999999,-1117.0,-0.0015526898,-0.000176997,2.733,2.7369,2.7315,2.7346,6966.0
2024-08-21 16:05:00,PENDLEUSDT,66c6104db6ff4e9edd06ce9f,Binance,5m,6267912.0,16981027.1904,0.6617,2024-08-22 00:05:33,4147477.3704,25965.0003999998,-41813.0,0.006299872,-0.0066267547,2.7093,2.7145,2.707,2.7122,40320.0
2024-08-21 16:10:00,PENDLEUSDT,66c61177ef46cc03fb62d386,Binance,5m,6264016.0,17030056.46963456,0.6561,2024-08-22 00:10:31,4109820.8976,-37656.4727999996,-3896.0,-0.0090793679,-0.0006215786,2.7188,2.7255,2.7184,2.7237,11560.0
2024-08-21 16:15:00,PENDLEUSDT,66c612a5361c817d3490270e,Binance,5m,6266187.0,17025856.6977,0.655,2024-08-22 00:15:33,4104352.485,-5468.4125999999,2171.0,-0.001330572,0.0003465828,2.7157,2.7157,2.7104,2.7104,5564.0
2024-08-21 16:20:00,PENDLEUSDT,66c613d69739905dd3b9177d,Binance,5m,6262546.0,17066064.1046,0.6559,2024-08-22 00:20:38,4107603.9214,3251.4364,-3641.0,0.0007921923,-0.0005810551,2.7252,2.7292,2.7246,2.7266,6083.0
2024-08-21 16:25:00,PENDLEUSDT,66c614fd90eac82b10dcd3c0,Binance,5m,6262393.0,17095094.68965604,0.658,2024-08-22 00:25:33,4120654.594,13050.6725999997,-153.0,0.0031771984,-2.4431e-05,2.7292,2.7304,2.7263,2.7268,2277.0
2024-08-21 16:30:00,PENDLEUSDT,66c6162a04f10571b7bf40b2,Binance,5m,6264153.0,17066058.4332,0.6539,2024-08-22 00:30:34,4096129.6467,-24524.9472999997,1760.0,-0.0059517115,0.0002810427,2.7245,2.7276,2.7214,2.7273,10145.0
2024-08-21 16:35:00,PENDLEUSDT,66c61757d4991cdf7dc6588e,Binance,5m,6264623.0,17123264.25570691,0.6571,2024-08-22 00:35:35,4116483.7733,20354.1265999996,470.0,0.0049691119,7.50301e-05,2.7328,2.7328,2.7269,2.7271,2459.0
2024-08-21 16:40:00,PENDLEUSDT,66c61883492d5ebe22e7a077,Binance,5m,6266833.0,17136385.42734933,0.6552,2024-08-22 00:40:35,4106028.9816,-10454.7916999999,2210.0,-0.0025397383,0.0003527746,2.7346,2.7368,2.7346,2.7362,7107.0
2024-08-21 16:45:00,PENDLEUSDT,66c619b4a9848de658294956,Binance,5m,6270572.0,17203314.282,0.6567,2024-08-22 00:45:40,4117884.6324,11855.6507999995,3739.0,0.0028873763,0.0005966331,2.7432,2.7438,2.7393,2.743,17018.0
2024-08-21 16:50:00,PENDLEUSDT,66c61add541b4a119c81ea30,Binance,5m,6284703.0,17236671.86545215,0.6556,2024-08-22 00:50:37,4120251.2868,2366.6544000003,14131.0,0.0005747258,0.0022535424,2.7413,2.7443,2.7388,2.7426,6769.0
2024-08-21 16:55:00,PENDLEUSDT,66c61c0d7a08d05ca69c266f,Binance,5m,6293284.0,17287651.148,0.6531,2024-08-22 00:55:41,4110143.7804,-10107.5063999998,8581.0,-0.0024531286,0.0013653788,2.747,2.753,2.747,2.7527,2477.0
2024-08-21 17:00:00,PENDLEUSDT,66c61d3a975ea776864b6e3d,Binance,5m,6294912.0,17333921.66852736,0.6515,2024-08-22 01:00:42,4101135.168,-9008.6124000004,1628.0,-0.0021917998,0.0002586885,2.7541,2.7564,2.7497,2.7513,11074.0
2024-08-21 17:05:00,PENDLEUSDT,66c61e5d745e43fbb8642d31,Binance,5m,6307440.0,17341675.536,0.6503,2024-08-22 01:05:33,4101728.232,593.0640000002,12528.0,0.0001446097,0.0019901787,2.7494,2.7504,2.7475,2.7491,3474.0
2024-08-21 17:10:00,PENDLEUSDT,66c61f865d49a3228a4843df,Binance,5m,6307397.0,17315606.1575832,0.6512,2024-08-22 01:10:30,4107376.9264,5648.6944000004,-43.0,0.0013771498,-6.8173e-06,2.7449,2.7512,2.7448,2.7503,3509.0
2024-08-21 17:15:00,PENDLEUSDT,66c620b72ffbd544df5ddbb7,Binance,5m,6320247.0,17467585.93277844,0.6483,2024-08-22 01:15:35,4097416.1301,-9960.7963000005,12850.0,-0.0024250992,0.0020372905,2.7622,2.7645,2.7599,2.7607,18423.0
2024-08-21 17:20:00,PENDLEUSDT,66c621e0e5d10d486051140e,Binance,5m,6321032.0,17483974.512,0.6514,2024-08-22 01:20:32,4117520.2448,20104.1147000003,785.0,0.0049065348,0.000124204,2.7657,2.775,2.7657,2.7748,29210.0
2024-08-21 17:25:00,PENDLEUSDT,66c62314ffeab887e216821e,Binance,5m,6367892.0,17764000.72772868,0.6428,2024-08-22 01:25:40,4093280.9776,-24239.2671999997,46860.0,-0.0058868605,0.0074133464,2.7883,2.7891,2.7807,2.784,7733.0
2024-08-21 17:30:00,PENDLEUSDT,66c62436ada8b74558f1b0c6,Binance,5m,6362996.0,17749577.342,0.6439,2024-08-22 01:30:30,4097133.1244,3852.1467999998,-4896.0,0.0009410902,-0.0007688573,2.7892,2.794,2.7883,2.7923,12756.0
2024-08-21 17:35:00,PENDLEUSDT,66c6257127b05f725499eeb4,Binance,5m,6360878.0,17738226.55934808,0.643,2024-08-22 01:35:45,4090044.554,-7088.5704000001,-2118.0,-0.0017301294,-0.0003328621,2.788,2.789,2.7856,2.7877,5030.0
2024-08-21 17:40:00,PENDLEUSDT,66c62695ef1278ca21f1098e,Binance,5m,6358114.0,17696262.30898442,0.6424,2024-08-22 01:40:37,4084452.4336,-5592.1204000004,-2764.0,-0.0013672517,-0.0004345312,2.7813,2.7885,2.7808,2.7885,9271.0
2024-08-21 17:45:00,PENDLEUSDT,66c627c1c0ad0e4434082192,Binance,5m,6331341.0,17701581.41618646,0.6484,2024-08-22 01:45:37,4105241.5044,20789.0708000003,-26773.0,0.0050898061,-0.0042108399,2.7958,2.7981,2.7954,2.7954,6582.0
2024-08-21 17:50:00,PENDLEUSDT,66c628f017da308b13a48ec3,Binance,5m,6344128.0,17804844.398992,0.6399,2024-08-22 01:50:40,4059607.5072,-45633.9971999996,12787.0,-0.0111160323,0.0020196353,2.8073,2.81,2.8062,2.8088,24226.0
2024-08-21 17:55:00,PENDLEUSDT,66c62a1ce560085b06b65767,Binance,5m,6347537.0,17763394.21697869,0.642,2024-08-22 01:55:40,4075118.754,15511.2467999998,3409.0,0.0038208735,0.0005373473,2.7986,2.8023,2.7976,2.7976,6917.0
2024-08-21 18:00:00,PENDLEUSDT,66c62b46904afe70cc19195d,Binance,5m,6356175.0,17806188.645,0.643,2024-08-22 02:00:38,4087020.525,11901.7709999997,8638.0,0.0029205949,0.0013608428,2.8007,2.8027,2.7943,2.8027,22972.0
2024-08-21 18:05:00,PENDLEUSDT,66c62c6e26fc057ab5ae1067,Binance,5m,6354507.0,17781265.11271212,0.6488,2024-08-22 02:05:34,4122804.1416,35783.6166000003,-1668.0,0.0087554287,-0.000262422,2.7993,2.8,2.7935,2.7948,8452.0
2024-08-21 18:10:00,PENDLEUSDT,66c62da339823e3859136c22,Binance,5m,6368472.0,17890311.5424,0.6465,2024-08-22 02:10:43,4117217.148,-5586.9936000006,13965.0,-0.0013551441,0.0021976528,2.8093,2.8131,2.8089,2.8116,4552.0
2024-08-21 18:15:00,PENDLEUSDT,66c62ec555c9ab744a2d12b4,Binance,5m,6372280.0,17918494.2574288,0.6403,2024-08-22 02:15:33,4080170.884,-37046.2639999995,3808.0,-0.0089978893,0.0005979456,2.8115,2.8186,2.8115,2.8138,14742.0
2024-08-21 18:20:00,PENDLEUSDT,66c62febda378b09038ee918,Binance,5m,6377324.0,18017618.4928106,0.6409,2024-08-22 02:20:27,4087226.9516,7056.0676000002,5044.0,0.0017293559,0.0007915534,2.8253,2.8273,2.8232,2.8252,13382.0
2024-08-21 18:25:00,PENDLEUSDT,66c631211dfc4553ea3d1157,Binance,5m,6377309.0,18031203.4666,0.644,2024-08-22 02:25:37,4106986.996,19760.0444,-15.0,0.0048345846,-2.3521e-06,2.8267,2.8288,2.8238,2.8269,4978.0
2024-08-21 18:30:00,PENDLEUSDT,66c6325232b2bdd8457f6215,Binance,5m,6371678.0,18159178.37793182,0.644,2024-08-22 02:30:42,4103360.632,-3626.3640000001,-5631.0,-0.0008829743,-0.0008829743,2.8475,2.849,2.8392,2.8446,22733.0
2024-08-21 18:35:00,PENDLEUSDT,66c6337558f899a12b058c6f,Binance,5m,6372954.0,18114835.72682448,0.6428,2024-08-22 02:35:33,4096534.8312,-6825.8007999999,1276.0,-0.001663466,0.0002002612,2.8425,2.8447,2.8403,2.8408,10548.0
2024-08-21 18:40:00,PENDLEUSDT,66c634a1bae6b3bc57171443,Binance,5m,6370099.0,18086074.262186,0.6431,2024-08-22 02:40:33,4096610.6669,75.8356999997,-2855.0,1.85122e-05,-0.0004479869,2.8363,2.8393,2.8342,2.8364,7074.0
2024-08-21 18:45:00,PENDLEUSDT,66c635c9b40b29cae5cede17,Binance,5m,6374693.0,18071814.99242379,0.6336,2024-08-22 02:45:29,4039005.4848,-57605.1820999999,4594.0,-0.0140616687,0.0007211819,2.8352,2.8445,2.8347,2.8439,25123.0
