datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,PHBUSDT,66c5c37333a1faa0652bd14f,Binance,5m,2733073.0,3549492.63093488,0.6495,2024-08-21 18:37:39,1775130.9134999998,27160.9578999998,73350.0,0.0155385725,0.0275780598,1.2968,1.2968,1.2941,1.2957,19741.0
2024-08-21 10:40:00,PHBUSDT,66c5c43775fa436123578e8b,Binance,5m,2674860.0,3439067.502,0.6566,2024-08-21 18:40:55,1756313.076,-18817.8374999999,-58213.0,-0.0106008167,-0.0212994677,1.2856,1.2868,1.2848,1.2868,5776.0
2024-08-21 10:45:00,PHBUSDT,66c5c54f32c70d8ca7f02e55,Binance,5m,2675667.0,3444572.81038659,0.6567,2024-08-21 18:45:35,1757110.5188999998,797.4428999999,807.0,0.0004540437,0.000301698,1.2862,1.2878,1.286,1.2878,1673.0
2024-08-21 10:50:00,PHBUSDT,66c5c67c0d2848928364827f,Binance,5m,2679649.0,3468994.94770185,0.654,2024-08-21 18:50:36,1752490.446,-4620.0728999998,3982.0,-0.0026293582,0.001488227,1.2943,1.299,1.2943,1.2982,13408.0
2024-08-21 10:55:00,PHBUSDT,66c5c7a90788cec8cdab2697,Binance,5m,2683195.0,3478762.3175,0.6529,2024-08-21 18:55:37,1751858.0155000002,-632.4304999998,3546.0,-0.0003608753,0.0013233076,1.2961,1.2974,1.2947,1.2957,5263.0
2024-08-21 11:00:00,PHBUSDT,66c5c8d3d0a6235fd39c1ee7,Binance,5m,2678614.0,3465590.7932,0.656,2024-08-21 19:00:35,1757170.784,5312.7684999998,-4581.0,0.0030326479,-0.001707293,1.2943,1.2965,1.2942,1.2949,2891.0
2024-08-21 11:10:00,PHBUSDT,66c5cb27b4d7755ce8dab4d8,Binance,5m,2679936.0,3465157.248,0.6549,2024-08-21 19:10:31,1755090.0864,714.8421000002,-1365.0,0.0004074625,-0.0005090812,1.293,1.2935,1.2926,1.2927,2267.0
2024-08-21 11:15:00,PHBUSDT,66c5cc4ef5f1cc5b47725846,Binance,5m,2682323.0,3469572.00581929,0.6549,2024-08-21 19:15:26,1756653.3327,1563.2463,2387.0,0.0008906929,0.0008906929,1.2932,1.2935,1.2898,1.29,2851.0
2024-08-21 11:20:00,PHBUSDT,66c5cd8243e6d4110ddc654f,Binance,5m,2680232.0,3453504.15298312,0.6543,2024-08-21 19:20:34,1753675.7976,-2977.5351000002,-2091.0,-0.0016950044,-0.0007795482,1.2878,1.2879,1.2843,1.2856,18705.0
2024-08-21 11:25:00,PHBUSDT,66c5ceaf5e8107c04793f317,Binance,5m,2668959.0,3433615.7535,0.6586,2024-08-21 19:25:35,1757776.3974,4100.5998,-11273.0,0.0023382884,-0.0042059792,1.2866,1.287,1.2859,1.2859,1596.0
2024-08-21 11:30:00,PHBUSDT,66c5cfd97bc94cd7f1c05f45,Binance,5m,2669413.0,3430882.33141186,0.6578,2024-08-21 19:30:33,1755939.8714,-1836.5259999998,454.0,-0.0010448007,0.0001701038,1.2856,1.2856,1.2838,1.2853,1343.0
2024-08-21 11:35:00,PHBUSDT,66c5d10b4a4d6639b17eb39e,Binance,5m,2670983.0,3434850.35006505,0.6557,2024-08-21 19:35:39,1751363.5531,-4576.3183000002,1570.0,-0.0026061931,0.0005881443,1.2853,1.2878,1.2853,1.2874,1415.0
2024-08-21 11:40:00,PHBUSDT,66c5d22d59906877aa08d09d,Binance,5m,2673301.0,3439960.25892574,0.6563,2024-08-21 19:40:29,1754487.4463,3123.8932,2318.0,0.001783692,0.0008678453,1.2864,1.2888,1.2864,1.2888,2660.0
2024-08-21 11:45:00,PHBUSDT,66c5d368f0e99417ad49d9f4,Binance,5m,2668780.0,3437388.64,0.6567,2024-08-21 19:45:44,1752587.826,-1899.6203000001,-4521.0,-0.0010827209,-0.0016911676,1.2882,1.2884,1.2857,1.287,2394.0
2024-08-21 11:50:00,PHBUSDT,66c5d48c71bfb838c7807c05,Binance,5m,2668449.0,3436161.7773,0.6547,2024-08-21 19:50:36,1747033.5602999998,-5554.2657000001,-331.0,-0.0031691797,-0.0001240267,1.2875,1.2888,1.2867,1.2885,1265.0
2024-08-21 11:55:00,PHBUSDT,66c5d5b95421c7fdf1dca098,Binance,5m,2670013.0,3444583.7713,0.6544,2024-08-21 19:55:37,1747256.5072,222.9469000001,1564.0,0.0001276145,0.0005861083,1.2899,1.2904,1.2893,1.2897,443.0
2024-08-21 12:00:00,PHBUSDT,66c5d6e94c1e6610b6c52e7e,Binance,5m,2670569.0,3441380.69831369,0.6543,2024-08-21 20:00:41,1747353.2967,96.7895000002,556.0,5.53951e-05,0.0002082387,1.2874,1.2901,1.2874,1.29,6417.0
2024-08-21 12:05:00,PHBUSDT,66c5d814194a37119a33e08f,Binance,5m,2674698.0,3447953.1918,0.6568,2024-08-21 20:05:40,1756741.6464000002,9388.3497000001,4129.0,0.0053728972,0.0015461125,1.2889,1.2889,1.2878,1.2878,1047.0
2024-08-21 12:10:00,PHBUSDT,66c5d941030d4af13f4381f1,Binance,5m,2658130.0,3412507.294,0.6581,2024-08-21 20:10:41,1749315.353,-7426.2934000001,-16568.0,-0.0042273111,-0.0061943442,1.2835,1.2849,1.2822,1.2822,9139.0
2024-08-21 12:15:00,PHBUSDT,66c5da681a353e7689c38db1,Binance,5m,2661832.0,3414016.42607136,0.6579,2024-08-21 20:15:36,1751219.2728000002,1903.9198,3702.0,0.00108838,0.0013927084,1.2822,1.2825,1.2798,1.2812,6887.0
2024-08-21 12:20:00,PHBUSDT,66c5db9b87429915e1a27b2c,Binance,5m,2662290.0,3395938.9857885,0.6584,2024-08-21 20:20:43,1752851.736,1632.4631999999,458.0,0.0009321866,0.0001720619,1.2755,1.2764,1.2731,1.2747,11975.0
2024-08-21 12:25:00,PHBUSDT,66c5dcc84410e87fb657868d,Binance,5m,2660530.0,3400418.8967043,0.6565,2024-08-21 20:25:44,1746637.9449999998,-6213.7910000002,-1760.0,-0.003544961,-0.000661085,1.279,1.2793,1.2779,1.2779,3556.0
2024-08-21 12:30:00,PHBUSDT,66c5dde52a76f630801ddd3f,Binance,5m,2657935.0,3400013.68043015,0.6575,2024-08-21 20:30:29,1747592.2625,954.3175000001,-2595.0,0.000546374,-0.0009753696,1.2802,1.2831,1.2789,1.2817,10868.0
2024-08-21 12:35:00,PHBUSDT,66c5df20b57aac33cb36d6a0,Binance,5m,2661178.0,3413570.64716226,0.6536,2024-08-21 20:35:44,1739345.9408,-8246.3217,3243.0,-0.004718676,0.0012201201,1.2831,1.2833,1.2815,1.2821,2922.0
2024-08-21 12:40:00,PHBUSDT,66c5e03bceb837855906c1df,Binance,5m,2658151.0,3409790.53691931,0.6538,2024-08-21 20:40:27,1737899.1238000002,-1446.8169999998,-3027.0,-0.0008318167,-0.0011374662,1.2826,1.2833,1.2823,1.2823,2824.0
2024-08-21 12:45:00,PHBUSDT,66c5e1712c2ea1d744f1172b,Binance,5m,2657940.0,3413508.9890016,0.6542,2024-08-21 20:45:37,1738824.348,925.2241999998,-211.0,0.0005323808,-7.93785e-05,1.2842,1.2865,1.2842,1.2862,2442.0
2024-08-21 12:50:00,PHBUSDT,66c5e2a5955bb0ecdeb7ad69,Binance,5m,2662654.0,3426569.4326,0.6527,2024-08-21 20:50:45,1737914.2658,-910.0822000001,4714.0,-0.0005233894,0.001773554,1.287,1.2872,1.2849,1.2865,2383.0
2024-08-21 12:55:00,PHBUSDT,66c5e3cb696867b8fc080bc3,Binance,5m,2661922.0,3410551.81288754,0.6516,2024-08-21 20:55:39,1734508.3752,-3405.8906,-732.0,-0.0019597575,-0.0002749137,1.2807,1.2821,1.2803,1.2821,2096.0
2024-08-21 13:00:00,PHBUSDT,66c5e4f43890c4e5e7392172,Binance,5m,2645291.0,3383390.01466125,0.6533,2024-08-21 21:00:36,1728168.6103,-6339.7648999998,-16631.0,-0.0036550789,-0.0062477413,1.2792,1.2826,1.2786,1.2824,13017.0
2024-08-21 13:05:00,PHBUSDT,66c5e6211e6164822dc0feb0,Binance,5m,2645281.0,3401432.53698363,0.6503,2024-08-21 21:05:37,1720226.2343,-7942.3760000002,-10.0,-0.004595834,-3.7803e-06,1.2856,1.2894,1.284,1.2889,30059.0
2024-08-21 13:10:00,PHBUSDT,66c5e74966773cb51866f5c7,Binance,5m,2644150.0,3397629.7603575,0.6517,2024-08-21 21:10:33,1723192.555,2966.3207,-1131.0,0.0017243782,-0.0004275538,1.2851,1.2866,1.2851,1.2853,5248.0
2024-08-21 13:15:00,PHBUSDT,66c5e8769cc3e3236272080f,Binance,5m,2648921.0,3408896.4349,0.6522,2024-08-21 21:15:34,1727626.2762,4433.7212,4771.0,0.0025729691,0.0018043606,1.2869,1.2897,1.2867,1.2894,7098.0
2024-08-21 13:20:00,PHBUSDT,66c5e9aa156fd08044090b7d,Binance,5m,2649377.0,3408688.4482,0.6565,2024-08-21 21:20:42,1739316.0004999998,11689.7242999999,456.0,0.0067663501,0.0001721456,1.2864,1.2873,1.2843,1.2843,2608.0
2024-08-21 13:25:00,PHBUSDT,66c5ead97865dee90f0ea3eb,Binance,5m,2650116.0,3404339.0136,0.6558,2024-08-21 21:25:45,1737946.0728000002,-1369.9276999997,739.0,-0.0007876244,0.0002789335,1.2846,1.2873,1.2846,1.2855,3120.0
2024-08-21 13:30:00,PHBUSDT,66c5ebf86d602c4022f2a319,Binance,5m,2626891.0,3354014.4288,0.6611,2024-08-21 21:30:32,1736637.6401,-1308.4327000002,-23225.0,-0.0007528615,-0.0087637673,1.277,1.2793,1.277,1.2793,10799.0
2024-08-21 13:35:00,PHBUSDT,66c5ed2b872760fff38429fd,Binance,5m,2620298.0,3322229.42872242,0.6637,2024-08-21 21:35:39,1739091.7825999998,2454.1424999998,-6593.0,0.0014131575,-0.002509811,1.2677,1.2713,1.2673,1.2703,9233.0
2024-08-21 13:40:00,PHBUSDT,66c5ee5b956c2c6506ba2549,Binance,5m,2625483.0,3330687.7338,0.6639,2024-08-21 21:40:43,1743058.1637000002,3966.3811000003,5185.0,0.0022807198,0.0019787826,1.2683,1.2695,1.2644,1.2654,9951.0
2024-08-21 13:45:00,PHBUSDT,66c5ef833c950f493078a105,Binance,5m,2616489.0,3303840.6603,0.6615,2024-08-21 21:45:39,1730807.4734999998,-12250.6902000003,-8994.0,-0.0070282739,-0.0034256554,1.2628,1.2633,1.258,1.2594,16332.0
2024-08-21 13:50:00,PHBUSDT,66c5f0b255cd5a2e2a86a4a3,Binance,5m,2625078.0,3324811.59896628,0.6566,2024-08-21 21:50:42,1723626.2148,-7181.2586999999,8589.0,-0.00414908,0.0032826433,1.2667,1.2667,1.2634,1.2646,1582.0
2024-08-21 13:55:00,PHBUSDT,66c5f1d73356402175af5fe1,Binance,5m,2626509.0,3328458.92159274,0.6581,2024-08-21 21:55:35,1728505.5729,4879.3581000001,1431.0,0.0028308679,0.0005451267,1.2675,1.2732,1.2675,1.2716,15543.0
2024-08-21 14:00:00,PHBUSDT,66c5f30559e3fd272d1e21a7,Binance,5m,2615704.0,3364161.17636144,0.6572,2024-08-21 22:00:37,1719040.6688,-9464.9040999999,-10805.0,-0.005475773,-0.0041138256,1.2865,1.2887,1.283,1.2839,16853.0
2024-08-21 14:05:00,PHBUSDT,66c5f433d026c2e610a4a40d,Binance,5m,2613930.0,3372373.0816776,0.6564,2024-08-21 22:05:39,1715783.652,-3257.0168000001,-1774.0,-0.0018946712,-0.0006782113,1.2903,1.293,1.2881,1.293,37258.0
2024-08-21 14:10:00,PHBUSDT,66c5f5524e6d3f54b06a1031,Binance,5m,2626368.0,3391675.95578304,0.6545,2024-08-21 22:10:26,1718957.856,3174.2039999999,12438.0,0.0018500025,0.0047583524,1.2911,1.2967,1.2911,1.2951,19411.0
2024-08-21 14:15:00,PHBUSDT,66c5f67e2db98255885f0a9f,Binance,5m,2611446.0,3347351.4828,0.6522,2024-08-21 22:15:26,1703185.0812,-15772.7748,-14922.0,-0.0091757775,-0.0056816105,1.2819,1.2882,1.2808,1.2859,33541.0
2024-08-21 14:20:00,PHBUSDT,66c5f7b9d573cb7f0f95fd11,Binance,5m,2611399.0,3326661.1861,0.6576,2024-08-21 22:20:41,1717255.9824,14070.9012,-47.0,0.0082615221,-1.79977e-05,1.2733,1.2774,1.2723,1.2768,6493.0
2024-08-21 14:25:00,PHBUSDT,66c5f8d959abe413a4023bce,Binance,5m,2603122.0,3324447.1062,0.6546,2024-08-21 22:25:29,1704003.6612,-13252.3211999999,-8277.0,-0.0077171495,-0.0031695654,1.2768,1.2774,1.2741,1.2747,1976.0
2024-08-21 14:30:00,PHBUSDT,66c5fa073f36f8af09191045,Binance,5m,2605168.0,3326278.5024,0.6534,2024-08-21 22:30:31,1702216.7711999998,-1786.8900000001,2046.0,-0.0010486421,0.0007859793,1.277,1.2793,1.2748,1.2784,7730.0
2024-08-21 14:35:00,PHBUSDT,66c5fb3af5e0bfc10b740e54,Binance,5m,2603620.0,3321958.758,0.6509,2024-08-21 22:35:38,1694696.258,-7520.5131999997,-1548.0,-0.0044180702,-0.0005942035,1.2755,1.2762,1.2703,1.2711,24118.0
2024-08-21 14:40:00,PHBUSDT,66c5fc6df2ecdb4699085f09,Binance,5m,2616781.0,3340844.3027,0.6506,2024-08-21 22:40:45,1702477.7185999998,7781.4605999996,13161.0,0.004591655,0.0050548851,1.2775,1.2794,1.2756,1.2772,2192.0
2024-08-21 14:45:00,PHBUSDT,66c5fd92e511e9a2f1983b96,Binance,5m,2623765.0,3359287.48255145,0.6505,2024-08-21 22:45:38,1706759.1324999998,4281.4139,6984.0,0.0025148135,0.002668928,1.2809,1.2811,1.2772,1.2773,10743.0
2024-08-21 14:50:00,PHBUSDT,66c5feb86f542947b29d4995,Binance,5m,2617344.0,3326123.52958464,0.6477,2024-08-21 22:50:32,1695253.7088,-11505.4236999997,-6421.0,-0.006741094,-0.0024472466,1.2698,1.2707,1.2671,1.2688,15012.0
2024-08-21 14:55:00,PHBUSDT,66c5ffeba549e168a3ca283e,Binance,5m,2614535.0,3308694.0425,0.6477,2024-08-21 22:55:39,1693434.3195000002,-1819.3892999999,-2809.0,-0.0010732254,-0.0010732254,1.2623,1.2631,1.2597,1.2609,28800.0
2024-08-21 15:00:00,PHBUSDT,66c601172ba97326050c6825,Binance,5m,2609913.0,3292158.53442411,0.6503,2024-08-21 23:00:39,1697226.4239,3792.1043999998,-4622.0,0.0022392982,-0.0017678096,1.2605,1.2608,1.2587,1.2606,17093.0
2024-08-21 15:05:00,PHBUSDT,66c602395a48bb686e204c90,Binance,5m,2611879.0,3308728.3172,0.6468,2024-08-21 23:05:29,1689363.3372000002,-7863.0866999999,1966.0,-0.0046329038,0.0007532818,1.2665,1.2686,1.261,1.2623,32437.0
2024-08-21 15:10:00,PHBUSDT,66c60364b7b9bbce307ff3a5,Binance,5m,2599166.0,3289273.83960916,0.6458,2024-08-21 23:10:28,1678541.4028,-10821.9344000001,-12713.0,-0.0064059247,-0.0048673771,1.265,1.2678,1.265,1.2667,4499.0
2024-08-21 15:15:00,PHBUSDT,66c60497fdf8305c09d14402,Binance,5m,2596724.0,3294853.74077756,0.6486,2024-08-21 23:15:35,1684235.1863999998,5693.7835999997,-2442.0,0.003392102,-0.0009395321,1.2684,1.2694,1.2678,1.2694,13993.0
2024-08-21 15:20:00,PHBUSDT,66c605c9cbea794085d02fbc,Binance,5m,2600020.0,3296597.5722478,0.6426,2024-08-21 23:20:41,1670772.852,-13462.3343999998,3296.0,-0.007993144,0.0012692916,1.2682,1.2692,1.2671,1.2692,4930.0
2024-08-21 15:25:00,PHBUSDT,66c606ebca1a4a1339aa71d5,Binance,5m,2595027.0,3293867.7711,0.6423,2024-08-21 23:25:31,1666785.8421,-3987.0098999999,-4993.0,-0.0023863267,-0.0019203698,1.2698,1.2701,1.2679,1.2694,5209.0
2024-08-21 15:30:00,PHBUSDT,66c6081fe29bd034ec8bb220,Binance,5m,2594888.0,3289723.105926,0.6436,2024-08-21 23:30:39,1670069.9167999998,3284.0746999998,-139.0,0.0019703039,-5.3564e-05,1.2674,1.2687,1.2664,1.2686,8393.0
2024-08-21 15:35:00,PHBUSDT,66c60948bad63ebcfb5dffc4,Binance,5m,2599698.0,3302817.67645788,0.6418,2024-08-21 23:35:36,1668486.1764,-1583.7403999998,4810.0,-0.0009483078,0.0018536446,1.2701,1.2711,1.27,1.2704,2845.0
2024-08-21 15:40:00,PHBUSDT,66c60a74ee76296f2acf6b6f,Binance,5m,2594933.0,3297900.3497,0.6447,2024-08-21 23:40:36,1672953.3051000002,4467.1287000002,-4765.0,0.0026773543,-0.0018329052,1.2709,1.2718,1.27,1.2717,7797.0
2024-08-21 15:45:00,PHBUSDT,66c60b9fb5472ccbd3de3e83,Binance,5m,2600775.0,3299863.32,0.6453,2024-08-21 23:45:35,1678280.1075,5326.8023999997,5842.0,0.0031840712,0.0022513105,1.2689,1.2708,1.2684,1.2699,5887.0
2024-08-21 15:50:00,PHBUSDT,66c60ccb182c123fd4434742,Binance,5m,2598029.0,3296852.78990641,0.6435,2024-08-21 23:50:35,1671831.6615,-6448.446,-2746.0,-0.0038422942,-0.0010558391,1.2681,1.2688,1.2669,1.2684,4760.0
2024-08-21 15:55:00,PHBUSDT,66c60df5e6a393c24cadf77d,Binance,5m,2592984.0,3293161.1167092,0.6458,2024-08-21 23:55:33,1674549.0672000002,2717.4057000002,-5045.0,0.0016254063,-0.0019418567,1.2693,1.2696,1.2688,1.2688,2284.0
2024-08-21 16:00:00,PHBUSDT,66c60f1ca617857ac67babf2,Binance,5m,2590636.0,3288209.431471,0.6472,2024-08-22 00:00:27,1676659.6192,2110.5519999999,-2348.0,0.0012603704,-0.0009055204,1.2692,1.2705,1.2683,1.2692,15293.0
2024-08-21 16:05:00,PHBUSDT,66c61053b6ff4e9edd06cefc,Binance,5m,2584079.0,3257794.59863252,0.6469,2024-08-22 00:05:39,1671640.7051,-5018.9140999999,-6557.0,-0.0029934007,-0.0025310387,1.2608,1.264,1.2607,1.2623,8948.0
2024-08-21 16:10:00,PHBUSDT,66c6117def46cc03fb62d3d4,Binance,5m,2586380.0,3267632.492,0.647,2024-08-22 00:10:37,1673387.86,1747.1549,2301.0,0.0010451737,0.0008904527,1.263,1.2654,1.2626,1.2654,1031.0
2024-08-21 16:15:00,PHBUSDT,66c612ad361c817d34902770,Binance,5m,2587999.0,3263207.9391,0.6499,2024-08-22 00:15:41,1681940.5501,8552.6901,1619.0,0.0051110028,0.0006259714,1.2605,1.2607,1.2579,1.2579,8826.0
2024-08-21 16:20:00,PHBUSDT,66c613d39739905dd3b91754,Binance,5m,2589367.0,3276326.0651,0.6487,2024-08-22 00:20:35,1679722.3729,-2218.1772,1368.0,-0.0013188202,0.0005285937,1.2655,1.2663,1.265,1.2653,6486.0
2024-08-21 16:25:00,PHBUSDT,66c6150290eac82b10dcd3f6,Binance,5m,2589517.0,3283754.67360731,0.6478,2024-08-22 00:25:38,1677489.1126,-2233.2603,150.0,-0.0013295413,5.79292e-05,1.2685,1.2685,1.2673,1.2681,1017.0
2024-08-21 16:30:00,PHBUSDT,66c6162b04f10571b7bf40bc,Binance,5m,2584314.0,3268411.60956786,0.6488,2024-08-22 00:30:35,1676702.9232,-786.1894,-5203.0,-0.0004686703,-0.002009255,1.265,1.2667,1.2643,1.2667,1552.0
2024-08-21 16:35:00,PHBUSDT,66c61759d4991cdf7dc658ab,Binance,5m,2582873.0,3274762.11951594,0.649,2024-08-22 00:35:37,1676284.577,-418.3462,-1441.0,-0.0002495053,-0.0005575948,1.2689,1.2689,1.267,1.267,2698.0
