datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,PORTALUSDT,66c5c37433a1faa0652bd15d,Binance,5m,17340935.2,4853740.7681814,0.7322,2024-08-21 18:37:40,12697032.753439998,63989.0464399979,56705.1999999993,0.0050652121,0.0032807478,0.2799,0.2801,0.2797,0.2801,11112.8
2024-08-21 10:40:00,PORTALUSDT,66c5c42f75fa436123578e2b,Binance,5m,17344920.7,4843150.3990893,0.7316,2024-08-21 18:40:47,12689543.98412,-7488.7693199981,3985.5,-0.0005898047,0.0002298319,0.2793,0.2794,0.279,0.2792,12054.4
2024-08-21 10:45:00,PORTALUSDT,66c5c54e32c70d8ca7f02e4b,Binance,5m,17350793.5,4845739.15161643,0.7308,2024-08-21 18:45:34,12679959.8898,-9584.0943199992,5872.8000000007,-0.0007552749,0.000338589,0.2793,0.2794,0.2791,0.2793,7510.0
2024-08-21 10:50:00,PORTALUSDT,66c5c6770d28489283648241,Binance,5m,17343243.0,4861228.45906332,0.7304,2024-08-21 18:50:31,12667504.6872,-12455.2026000004,-7550.5,-0.0009822746,-0.0004351674,0.2802,0.2807,0.2802,0.2807,13183.7
2024-08-21 10:55:00,PORTALUSDT,66c5c7a30788cec8cdab264b,Binance,5m,17347347.8,4880160.56687991,0.7312,2024-08-21 18:55:31,12684380.71136,16876.0241599996,4104.8000000007,0.0013322296,0.0002366801,0.2813,0.2813,0.281,0.281,3034.5
2024-08-21 11:00:00,PORTALUSDT,66c5c8d8d0a6235fd39c1f21,Binance,5m,17354104.2,4876503.2802,0.7306,2024-08-21 19:00:40,12678908.52852,-5472.1828400008,6756.3999999985,-0.0004314111,0.0003894774,0.281,0.2814,0.2808,0.2813,20528.2
2024-08-21 11:05:00,PORTALUSDT,66c5c9fecd9cfc74bfecfe8f,Binance,5m,17344498.5,4870657.09269216,0.7302,2024-08-21 19:05:34,12664952.8047,-13955.723819999,-9605.6999999993,-0.0011007039,-0.0005535117,0.2807,0.2807,0.2804,0.2805,6179.6
2024-08-21 11:10:00,PORTALUSDT,66c5cb29b4d7755ce8dab4f0,Binance,5m,17344157.7,4863560.76735446,0.7306,2024-08-21 19:10:33,12671641.61562,6688.8109200001,-340.8000000007,0.0005281355,-1.96489e-05,0.2804,0.2804,0.2802,0.2803,1171.4
2024-08-21 11:15:00,PORTALUSDT,66c5cc5af5f1cc5b477258d2,Binance,5m,17326633.6,4839946.11243517,0.7321,2024-08-21 19:15:38,12684828.45856,13186.8429400008,-17524.0999999978,0.0010406578,-0.0010103748,0.2793,0.2793,0.2788,0.2788,31871.6
2024-08-21 11:20:00,PORTALUSDT,66c5cd8643e6d4110ddc6583,Binance,5m,17330781.1,4828355.61446,0.7319,2024-08-21 19:20:38,12684398.68709,-429.771470001,4147.5,-3.38807e-05,0.0002393714,0.2785,0.2786,0.2784,0.2784,16336.5
2024-08-21 11:25:00,PORTALUSDT,66c5ceb35e8107c04793f344,Binance,5m,17340924.0,4836383.7036,0.7318,2024-08-21 19:25:39,12690088.1832,5689.4961099997,10142.8999999985,0.0004485428,0.0005852535,0.2789,0.2792,0.2789,0.2792,20712.6
2024-08-21 11:30:00,PORTALUSDT,66c5cfda7bc94cd7f1c05f4d,Binance,5m,17332900.7,4834146.00523,0.7338,2024-08-21 19:30:34,12718882.53366,28794.3504600003,-8023.3000000007,0.0022690426,-0.0004626801,0.2788,0.279,0.2787,0.279,6336.4
