datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,POWRUSDT,66c5c37a33a1faa0652bd1b8,Binance,5m,13646701.0,2693558.549978,0.6135,2024-08-21 18:37:46,8372251.0635,-3759.7454999993,7211.0,-0.0004488707,0.0005286855,0.1974,0.1975,0.1974,0.1975,9366.0
2024-08-21 10:40:00,POWRUSDT,66c5c43575fa436123578e70,Binance,5m,13654613.0,2695420.6062,0.6133,2024-08-21 18:40:53,8374374.152899999,2123.089399999,7912.0,0.0002535864,0.0005797738,0.1974,0.1974,0.1972,0.1972,22736.0
2024-08-21 10:45:00,POWRUSDT,66c5c55332c70d8ca7f02e89,Binance,5m,13637369.0,2693380.3775,0.6144,2024-08-21 18:45:39,8378799.513599999,4425.3607000001,-17244.0,0.0005284408,-0.0012628699,0.1975,0.1975,0.1974,0.1975,919.0
2024-08-21 10:50:00,POWRUSDT,66c5c67e0d2848928364828e,Binance,5m,13634506.0,2696905.2868,0.615,2024-08-21 18:50:38,8385221.189999999,6421.6764000002,-2863.0,0.0007664196,-0.0002099379,0.1977,0.1979,0.1977,0.1979,5850.0
2024-08-21 10:55:00,POWRUSDT,66c5c7ab0788cec8cdab26b6,Binance,5m,13635630.0,2698491.177,0.6145,2024-08-21 18:55:39,8379094.635000001,-6126.5549999988,1124.0,-0.0007306373,8.24379e-05,0.1979,0.198,0.1978,0.1979,9288.0
2024-08-21 11:00:00,POWRUSDT,66c5c8dad0a6235fd39c1f3c,Binance,5m,13633176.0,2699698.0892004,0.6148,2024-08-21 19:00:42,8381676.6048,2581.9697999991,-2454.0,0.0003081442,-0.0001799697,0.198,0.1984,0.198,0.1983,66912.0
2024-08-21 11:05:00,POWRUSDT,66c5ca01cd9cfc74bfecfeb5,Binance,5m,13680482.0,2712839.5806,0.6141,2024-08-21 19:05:37,8401183.996199999,19507.3913999991,47306.0,0.0023273854,0.0034699178,0.1984,0.1984,0.1981,0.1981,3792.0
2024-08-21 11:10:00,POWRUSDT,66c5cb2fb4d7755ce8dab53e,Binance,5m,13679712.0,2713078.40295744,0.6145,2024-08-21 19:10:39,8406183.024,4999.0278000012,-770.0,0.0005950385,-5.62846e-05,0.1984,0.1985,0.1983,0.1983,6284.0
2024-08-21 11:15:00,POWRUSDT,66c5cc57f5f1cc5b477258af,Binance,5m,13682954.0,2713329.7782,0.6105,2024-08-21 19:15:35,8353443.417,-52739.6069999998,3242.0,-0.0062739066,0.0002369933,0.1982,0.1982,0.1982,0.1982,21956.0
2024-08-21 11:20:00,POWRUSDT,66c5cd7d43e6d4110ddc6509,Binance,5m,13679674.0,2709505.669832,0.6094,2024-08-21 19:20:29,8336393.335600001,-17050.0813999996,-3280.0,-0.0020410842,-0.0002397143,0.198,0.1981,0.1978,0.198,33694.0
