datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,REEFUSDT,66c5c36d33a1faa0652bd0f8,Binance,5m,6869173321.0,5261786.763886,0.7416,2024-08-21 18:37:33,5094178934.8536005,5960921.472000122,8037920.0,0.0011715146,0.0011715146,0.000767,0.000767,0.000765,0.000766,1576583.0
2024-08-21 10:40:00,REEFUSDT,66c5c43e75fa436123578ee8,Binance,5m,6869381036.0,5248207.111504,0.7419,2024-08-21 18:41:02,5096393790.6084,2214855.754799843,207715.0,0.0004347817,3.02387e-05,0.000765,0.000765,0.000764,0.000765,16915888.0
2024-08-21 10:45:00,REEFUSDT,66c5c55732c70d8ca7f02ec4,Binance,5m,6869636675.0,5266263.475055,0.7419,2024-08-21 18:45:43,5096583449.1825,189658.5740995407,255639.0,3.72143e-05,3.72143e-05,0.000766,0.000767,0.000766,0.000767,885447.0
2024-08-21 10:50:00,REEFUSDT,66c5c6830d284892836482d4,Binance,5m,6879848039.0,5284961.66659902,0.742,2024-08-21 18:50:43,5104847244.938,8263795.75549984,10211364.0,0.0016214383,0.0014864489,0.000769,0.00077,0.000768,0.00077,11715392.0
2024-08-21 10:55:00,REEFUSDT,66c5c7a60788cec8cdab2678,Binance,5m,6860857599.0,5279155.48812654,0.7415,2024-08-21 18:55:34,5087325909.658501,-17521335.279499054,-18990440.0,-0.0034322937,-0.0027602993,0.00077,0.00077,0.000769,0.00077,1447133.0
2024-08-21 11:00:00,REEFUSDT,66c5c8d6d0a6235fd39c1f0d,Binance,5m,6859524217.0,5281833.64709,0.7415,2024-08-21 19:00:38,5086337206.9055,-988702.7530002594,-1333382.0,-0.0001943463,-0.0001943463,0.00077,0.00077,0.000769,0.00077,2843045.0
2024-08-21 11:05:00,REEFUSDT,66c5c9f8cd9cfc74bfecfe40,Binance,5m,6845543381.0,5264222.859989,0.7417,2024-08-21 19:05:28,5077339525.6877,-8997681.21780014,-13980836.0,-0.0017689903,-0.0020381641,0.000769,0.00077,0.000769,0.000769,9170569.0
2024-08-21 11:10:00,REEFUSDT,66c5cb2ab4d7755ce8dab501,Binance,5m,6841505244.0,5242919.12868696,0.7426,2024-08-21 19:10:34,5080501794.1944,3162268.506699562,-4038137.0,0.00062282,-0.0005898928,0.000767,0.000768,0.000767,0.000768,693859.0
2024-08-21 11:15:00,REEFUSDT,66c5cc5bf5f1cc5b477258e0,Binance,5m,6841186480.0,5247190.03016,0.7422,2024-08-21 19:15:39,5077528605.455999,-2973188.73840046,-318764.0,-0.0005852156,-4.65927e-05,0.000767,0.000768,0.000766,0.000767,4867954.0
2024-08-21 11:20:00,REEFUSDT,66c5cd8543e6d4110ddc656c,Binance,5m,6836856600.0,5241134.26956,0.7431,2024-08-21 19:20:37,5080468139.46,2939534.004000664,-4329880.0,0.0005789301,-0.0006329136,0.000767,0.000767,0.000766,0.000766,1006008.0
2024-08-21 11:25:00,REEFUSDT,66c5cead5e8107c04793f2f6,Binance,5m,6834310976.0,5239251.13731136,0.743,2024-08-21 19:25:33,5077893055.168,-2575084.291999817,-2545624.0,-0.0005068596,-0.0003723384,0.000767,0.000767,0.000766,0.000767,1650159.0
2024-08-21 11:30:00,REEFUSDT,66c5cfe47bc94cd7f1c05fc8,Binance,5m,6824335440.0,5220616.6116,0.7431,2024-08-21 19:30:44,5071163665.464,-6729389.704000473,-9975536.0,-0.0013252327,-0.0014596257,0.000766,0.000768,0.000765,0.000767,27064193.0
2024-08-21 11:35:00,REEFUSDT,66c5d1114a4d6639b17eb3e1,Binance,5m,6831012137.0,5259879.34549,0.7431,2024-08-21 19:35:45,5076125119.0047,4961453.540699959,6676697.0,0.0009783659,0.0009783659,0.000771,0.000772,0.00077,0.000772,16546445.0
2024-08-21 11:40:00,REEFUSDT,66c5d23059906877aa08d0c8,Binance,5m,6835350757.0,5263220.08289,0.7413,2024-08-21 19:40:32,5067045516.1641,-9079602.840600014,4338620.0,-0.0017886878,0.0006351357,0.000771,0.000773,0.00077,0.000773,22824863.0
