datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,RENDERUSDT,66c5c37433a1faa0652bd168,Binance,5m,1644957.8,7390967.22769179,0.7043,2024-08-21 18:37:40,1158543.77854,-2512.4632499998,-296.8999999999,-0.0021639462,-0.0001804584,4.492,4.495,4.492,4.495,496.0
2024-08-21 10:40:00,RENDERUSDT,66c5c43875fa436123578e97,Binance,5m,1644584.3,7390761.8442,0.705,2024-08-21 18:40:56,1159431.9315,888.1529599999,-373.5,0.0007666115,-0.0002270575,4.492,4.494,4.49,4.491,675.9
2024-08-21 10:45:00,RENDERUSDT,66c5c55132c70d8ca7f02e6a,Binance,5m,1643708.8,7395045.8912,0.7049,2024-08-21 18:45:37,1158650.33312,-781.5983799999,-875.5,-0.0006741218,-0.0005323534,4.5,4.506,4.5,4.5,4734.3
2024-08-21 10:50:00,RENDERUSDT,66c5c6840d284892836482d9,Binance,5m,1641609.3,7396048.08251283,0.7045,2024-08-21 18:50:44,1156513.75185,-2136.58127,-2099.5,-0.0018440259,-0.0012772944,4.506,4.509,4.506,4.509,371.6
2024-08-21 10:55:00,RENDERUSDT,66c5c7a40788cec8cdab265d,Binance,5m,1640383.9,7417650.67791056,0.6975,2024-08-21 18:55:32,1144167.77025,-12345.9816000001,-1225.4000000001,-0.0106751706,-0.0007464626,4.519,4.52,4.517,4.519,3570.0
2024-08-21 11:00:00,RENDERUSDT,66c5c8d0d0a6235fd39c1ec3,Binance,5m,1639818.5,7413477.2170415,0.7043,2024-08-21 19:00:32,1154924.16955,10756.3992999999,-565.3999999999,0.0094010683,-0.0003446754,4.521,4.528,4.521,4.525,2132.3
2024-08-21 11:05:00,RENDERUSDT,66c5c9fccd9cfc74bfecfe71,Binance,5m,1641735.8,7439356.35056544,0.7016,2024-08-21 19:05:32,1151841.83728,-3082.3322699999,1917.3,-0.0026688612,0.0011692148,4.529,4.529,4.517,4.519,750.0
2024-08-21 11:10:00,RENDERUSDT,66c5cb2db4d7755ce8dab526,Binance,5m,1643453.7,7425123.8166,0.704,2024-08-21 19:10:37,1156991.4048,5149.5675199998,1717.8999999999,0.0044707245,0.0010463925,4.518,4.518,4.507,4.507,2815.4
2024-08-21 11:15:00,RENDERUSDT,66c5cc5df5f1cc5b477258fc,Binance,5m,1642356.4,7398851.66457011,0.7119,2024-08-21 19:15:41,1169193.52116,12202.1163600001,-1097.3,0.0105464192,-0.0006676793,4.505,4.506,4.497,4.5,3625.6
2024-08-21 11:20:00,RENDERUSDT,66c5cd8743e6d4110ddc658e,Binance,5m,1642749.5,7404145.92497913,0.7026,2024-08-21 19:20:39,1154195.7987,-14997.7224600001,393.1000000001,-0.0128274081,0.0002393512,4.503,4.503,4.498,4.501,2948.0
2024-08-21 11:25:00,RENDERUSDT,66c5cead5e8107c04793f2ff,Binance,5m,1642222.8,7394929.2684,0.7023,2024-08-21 19:25:33,1153333.07244,-862.7262599999,-526.7,-0.0007474696,-0.000320621,4.503,4.506,4.503,4.504,1211.8
2024-08-21 11:30:00,RENDERUSDT,66c5cfd67bc94cd7f1c05f1e,Binance,5m,1644071.1,7408744.72535301,0.701,2024-08-21 19:30:30,1152493.8411,-839.2313399999,1848.3,-0.0007276574,0.0011254867,4.508,4.514,4.507,4.514,929.9
2024-08-21 11:35:00,RENDERUSDT,66c5d1044a4d6639b17eb33f,Binance,5m,1642953.6,7411655.65888426,0.7028,2024-08-21 19:35:32,1154667.79008,2173.9489799999,-1117.5,0.0018862999,-0.0006797151,4.51,4.511,4.507,4.511,749.3
2024-08-21 11:40:00,RENDERUSDT,66c5d22e59906877aa08d0b1,Binance,5m,1642396.7,7400639.5302,0.7033,2024-08-21 19:40:30,1155097.59911,429.8090300001,-556.9000000001,0.0003722361,-0.0003389627,4.506,4.51,4.506,4.51,411.8
2024-08-21 11:45:00,RENDERUSDT,66c5d35af0e99417ad49d95c,Binance,5m,1641842.9,7391576.7358,0.7043,2024-08-21 19:45:30,1156349.95447,1252.3553599999,-553.8,0.0010841987,-0.0003371902,4.503,4.503,4.497,4.5,1960.1
2024-08-21 11:50:00,RENDERUSDT,66c5d48971bfb838c7807beb,Binance,5m,1643109.2,7408779.3828,0.7041,2024-08-21 19:50:33,1156913.1877199998,563.2332499998,1266.3,0.0004870785,0.0007712675,4.508,4.512,4.507,4.509,921.4
2024-08-21 11:55:00,RENDERUSDT,66c5d5b75421c7fdf1dca085,Binance,5m,1643688.0,7425348.65613576,0.7042,2024-08-21 19:55:35,1157485.0896,571.9018800003,578.8,0.0004943343,0.000352259,4.516,4.519,4.514,4.515,2385.0
2024-08-21 12:00:00,RENDERUSDT,66c5d6e74c1e6610b6c52e5a,Binance,5m,1644133.4,7413422.8860197,0.7051,2024-08-21 20:00:39,1159278.4603399998,1793.3707399997,445.3999999999,0.0015493683,0.000270976,4.509,4.515,4.509,4.51,3629.8
2024-08-21 12:05:00,RENDERUSDT,66c5d817194a37119a33e0b4,Binance,5m,1643144.8,7404010.4688,0.7081,2024-08-21 20:05:43,1163510.83288,4232.3725400001,-988.5999999999,0.0036508679,-0.0006012894,4.507,4.512,4.507,4.507,4719.7
2024-08-21 12:10:00,RENDERUSDT,66c5d940030d4af13f4381e2,Binance,5m,1640125.1,7372362.3245,0.7095,2024-08-21 20:10:40,1163668.75845,157.9255700002,-3019.7,0.0001357319,-0.0018377565,4.494,4.5,4.494,4.496,5392.0
