datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,RLCUSDT,66c5c37433a1faa0652bd15a,Binance,5m,1317229.7,2118236.02678624,0.641,2024-08-21 18:37:40,844344.2376999999,-1405.5615500001,887.5999999999,-0.0016619118,0.0006742928,1.6069,1.6076,1.6064,1.6073,1227.0
2024-08-21 10:40:00,RLCUSDT,66c5c42f75fa436123578e2f,Binance,5m,1314941.9,2108687.22199023,0.6441,2024-08-21 18:40:47,846954.0777899999,2609.84009,-2287.8,0.0030909669,-0.0017368269,1.6031,1.6034,1.6026,1.603,1632.4
2024-08-21 10:45:00,RLCUSDT,66c5c55532c70d8ca7f02e9f,Binance,5m,1315168.2,2108477.65824,0.6406,2024-08-21 18:45:41,842496.7489199999,-4457.32887,226.3,-0.0052627751,0.0001720989,1.6035,1.6053,1.6035,1.605,723.7
2024-08-21 10:50:00,RLCUSDT,66c5c6820d284892836482bf,Binance,5m,1312899.5,2107789.50012791,0.6425,2024-08-21 18:50:42,843537.92875,1041.17983,-2268.7,0.0012358265,-0.0017250265,1.6055,1.6085,1.6052,1.6085,6684.7
2024-08-21 10:55:00,RLCUSDT,66c5c7a20788cec8cdab2646,Binance,5m,1310548.8,2110900.95216,0.6428,2024-08-21 18:55:30,842420.76864,-1117.1601099999,-2350.7,-0.0013243745,-0.0017904645,1.6111,1.6129,1.6105,1.6127,1460.3
2024-08-21 11:00:00,RLCUSDT,66c5c8d0d0a6235fd39c1ebc,Binance,5m,1311204.1,2114249.85784927,0.6436,2024-08-21 19:00:32,843890.95876,1470.1901199999,655.3,0.0017451969,0.0005000195,1.6119,1.615,1.6117,1.6139,2645.8
2024-08-21 11:05:00,RLCUSDT,66c5c9fdcd9cfc74bfecfe80,Binance,5m,1310903.0,2111976.88075165,0.6432,2024-08-21 19:05:33,843172.8096,-718.1491599999,-301.1000000001,-0.0008509976,-0.0002296363,1.6103,1.6103,1.6078,1.6081,2300.6
2024-08-21 11:10:00,RLCUSDT,66c5cb28b4d7755ce8dab4ec,Binance,5m,1310377.3,2106955.66067,0.6416,2024-08-21 19:10:32,840738.07568,-2434.73392,-525.7,-0.0028875859,-0.0004010213,1.608,1.6096,1.6076,1.6083,2983.0
2024-08-21 11:15:00,RLCUSDT,66c5cc56f5f1cc5b477258a3,Binance,5m,1311775.0,2113663.0575,0.6372,2024-08-21 19:15:34,835863.03,-4875.04568,1397.7,-0.0057985309,0.0010666394,1.6113,1.6117,1.6092,1.6093,2105.9
2024-08-21 11:20:00,RLCUSDT,66c5cd8743e6d4110ddc658a,Binance,5m,1310660.9,2108632.20096652,0.6361,2024-08-21 19:20:39,833711.3984899999,-2151.6315100001,-1114.1000000001,-0.0025741436,-0.0008493072,1.6073,1.6078,1.6067,1.6076,1420.0
2024-08-21 11:25:00,RLCUSDT,66c5ceb45e8107c04793f35c,Binance,5m,1310937.5,2107856.40625,0.6367,2024-08-21 19:25:40,834673.90625,962.5077600001,276.6000000001,0.0011544855,0.0002110386,1.608,1.6097,1.608,1.6086,2153.2
2024-08-21 11:30:00,RLCUSDT,66c5cfd97bc94cd7f1c05f46,Binance,5m,1308838.3,2104350.21874,0.6365,2024-08-21 19:30:33,833075.57795,-1598.3283000001,-2099.2,-0.0019149135,-0.0016012968,1.607,1.607,1.6057,1.6057,1369.5
2024-08-21 11:35:00,RLCUSDT,66c5d1024a4d6639b17eb323,Binance,5m,1309532.5,2105073.49375,0.6382,2024-08-21 19:35:30,835743.6415,2668.0635500001,694.2,0.0032026669,0.000530394,1.6063,1.6088,1.6063,1.6088,439.4
2024-08-21 11:40:00,RLCUSDT,66c5d23359906877aa08d0f5,Binance,5m,1309401.0,2103677.3614752,0.6393,2024-08-21 19:40:35,837100.0593,1356.4177999999,-131.5,0.001623007,-0.0001004175,1.606,1.6066,1.6055,1.6065,678.6
2024-08-21 11:45:00,RLCUSDT,66c5d365f0e99417ad49d9d7,Binance,5m,1309815.1,2099833.11633603,0.636,2024-08-21 19:45:41,833042.4036000001,-4057.6556999999,414.1000000001,-0.0048472768,0.0003162515,1.6035,1.6039,1.603,1.6039,1173.1
