datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,RUNEUSDT,66c5c37133a1faa0652bd130,Binance,5m,4131034.0,15938360.50128216,0.4072,2024-08-21 18:37:37,1682157.0448,-113.2768999999,-1293.0,-6.73357e-05,-0.0003128988,3.857,3.862,3.857,3.862,3946.0
2024-08-21 10:40:00,RUNEUSDT,66c5c43f75fa436123578ef3,Binance,5m,4129610.0,15940294.6,0.4069,2024-08-21 18:41:03,1680338.309,-1818.7358000001,-1424.0,-0.0010811926,-0.0003447079,3.86,3.86,3.858,3.86,433.0
2024-08-21 10:45:00,RUNEUSDT,66c5c54e32c70d8ca7f02e46,Binance,5m,4128370.0,15931772.8095403,0.4068,2024-08-21 18:45:34,1679420.916,-917.3929999999,-1240.0,-0.0005459573,-0.0003002705,3.859,3.859,3.857,3.858,602.0
2024-08-21 10:50:00,RUNEUSDT,66c5c6840d284892836482df,Binance,5m,4128167.0,15955365.455,0.407,2024-08-21 18:50:44,1680163.9689999998,743.0529999998,-203.0,0.000442446,-4.91719e-05,3.864,3.871,3.863,3.869,4437.0
2024-08-21 10:55:00,RUNEUSDT,66c5c7aa0788cec8cdab26a3,Binance,5m,4126172.0,15972140.35114412,0.4071,2024-08-21 18:55:38,1679764.6212000002,-399.3477999996,-1995.0,-0.0002376838,-0.0004832653,3.869,3.869,3.867,3.867,798.0
2024-08-21 11:00:00,RUNEUSDT,66c5c8dcd0a6235fd39c1f4c,Binance,5m,4126241.0,15966859.71458011,0.4077,2024-08-21 19:00:44,1682268.4557,2503.8344999999,69.0,0.0014905865,1.67225e-05,3.87,3.873,3.868,3.869,3527.0
2024-08-21 11:10:00,RUNEUSDT,66c5cb31b4d7755ce8dab55f,Binance,5m,4129217.0,15980069.79,0.4078,2024-08-21 19:10:41,1683894.6926,418.7864000001,2039.0,0.0002487629,0.0004940422,3.87,3.871,3.869,3.87,718.0
2024-08-21 11:15:00,RUNEUSDT,66c5cc52f5f1cc5b47725873,Binance,5m,4129504.0,15960532.96,0.4078,2024-08-21 19:15:30,1684011.7312,117.0386000001,287.0,6.95047e-05,6.95047e-05,3.865,3.866,3.863,3.863,1794.0
2024-08-21 11:20:00,RUNEUSDT,66c5cd8343e6d4110ddc6552,Binance,5m,4128704.0,15953727.93391872,0.4078,2024-08-21 19:20:35,1683685.4912,-326.24,-800.0,-0.0001937279,-0.0001937279,3.863,3.863,3.859,3.862,3556.0
2024-08-21 11:25:00,RUNEUSDT,66c5ceaf5e8107c04793f315,Binance,5m,4127158.0,15922575.564,0.4085,2024-08-21 19:25:35,1685944.0429999998,2258.5517999998,-1546.0,0.0013414333,-0.0003744516,3.858,3.859,3.856,3.858,1653.0
