datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,SNXUSDT,66c5c37333a1faa0652bd157,Binance,5m,4186810.1,5978764.8228,0.6539,2024-08-21 18:37:39,2737755.12439,-1864.6539499997,2267.8999999999,-0.0006806251,0.0005419709,1.428,1.429,1.428,1.428,4882.4
2024-08-21 10:40:00,SNXUSDT,66c5c43a75fa436123578eb8,Binance,5m,4185817.3,5972927.80221101,0.6544,2024-08-21 18:40:58,2739198.84112,1443.71673,-992.8000000003,0.000527336,-0.0002371256,1.426,1.426,1.425,1.425,265.2
2024-08-21 10:45:00,SNXUSDT,66c5c55032c70d8ca7f02e5a,Binance,5m,4186916.0,5962168.384,0.6542,2024-08-21 18:45:36,2739080.4472,-118.3939200002,1098.7000000002,-4.32221e-05,0.0002624816,1.424,1.424,1.423,1.424,179.3
2024-08-21 10:50:00,SNXUSDT,66c5c6780d2848928364824a,Binance,5m,4186846.3,5968815.85719628,0.6546,2024-08-21 18:50:32,2740709.58798,1629.14078,-69.7000000002,0.0005947765,-1.66471e-05,1.426,1.428,1.426,1.428,3066.6
2024-08-21 10:55:00,SNXUSDT,66c5c7a70788cec8cdab2680,Binance,5m,4183301.6,5990888.1913301,0.6531,2024-08-21 18:55:35,2732114.27496,-8595.3130199998,-3544.6999999997,-0.0031361634,-0.0008466277,1.431,1.432,1.431,1.432,267.3
2024-08-21 11:00:00,SNXUSDT,66c5c8cdd0a6235fd39c1e9e,Binance,5m,4184072.4,5983223.532,0.6537,2024-08-21 19:00:29,2735128.12788,3013.8529199995,770.7999999998,0.0011031211,0.0001842564,1.43,1.432,1.43,1.431,16926.5
2024-08-21 11:05:00,SNXUSDT,66c5ca04cd9cfc74bfecfed3,Binance,5m,4181255.3,5979195.079,0.654,2024-08-21 19:05:40,2734540.9662,-587.1616799994,-2817.1000000001,-0.0002146743,-0.0006732914,1.43,1.43,1.427,1.427,3771.7
2024-08-21 11:10:00,SNXUSDT,66c5cb32b4d7755ce8dab56a,Binance,5m,4179410.4,5968198.0512,0.6543,2024-08-21 19:10:42,2734588.22472,47.2585199997,-1844.8999999999,1.72821e-05,-0.0004412311,1.428,1.428,1.427,1.427,50.7
2024-08-21 11:15:00,SNXUSDT,66c5cc58f5f1cc5b477258c0,Binance,5m,4177611.4,5957193.52093278,0.6548,2024-08-21 19:15:36,2735499.94472,911.7200000002,-1799.0,0.000333403,-0.0004304435,1.425,1.427,1.425,1.427,8927.9
2024-08-21 11:20:00,SNXUSDT,66c5cd8a43e6d4110ddc65b6,Binance,5m,4181517.8,5972050.53783401,0.6536,2024-08-21 19:20:42,2733040.03408,-2459.9106400004,3906.3999999999,-0.0008992545,0.0009350798,1.427,1.427,1.426,1.426,5646.3
