datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,STGUSDT,66c5c36f33a1faa0652bd111,Binance,5m,12629607.0,3945489.2268,0.6307,2024-08-21 18:37:35,7965493.134900001,-3242.4360999996,866.0,-0.0004068947,6.85737e-05,0.3122,0.3123,0.3122,0.3123,1792.0
2024-08-21 10:40:00,STGUSDT,66c5c43e75fa436123578ee4,Binance,5m,12631324.0,3944762.4852,0.631,2024-08-21 18:41:02,7970365.444,4872.3090999993,1717.0,0.000611677,0.0001359504,0.3123,0.3123,0.3123,0.3123,30.0
2024-08-21 10:45:00,STGUSDT,66c5c55332c70d8ca7f02e82,Binance,5m,12631162.0,3946098.41525274,0.6314,2024-08-21 18:45:39,7975315.686799999,4950.2427999992,-162.0,0.000621081,-1.28253e-05,0.3122,0.3123,0.3121,0.3123,1691.0
2024-08-21 10:50:00,STGUSDT,66c5c6760d28489283648238,Binance,5m,12631598.0,3945417.23520588,0.6317,2024-08-21 18:50:30,7979380.4566,4064.7698000008,436.0,0.0005096688,3.45178e-05,0.3124,0.3127,0.3124,0.3127,5623.0
2024-08-21 10:55:00,STGUSDT,66c5c7a00788cec8cdab2629,Binance,5m,12637322.0,3950985.93232528,0.6343,2024-08-21 18:55:28,8015853.344599999,36472.8879999993,5724.0,0.0045708922,0.0004531493,0.3126,0.3126,0.3126,0.3126,36.0
2024-08-21 11:00:00,STGUSDT,66c5c8cdd0a6235fd39c1e9a,Binance,5m,12659169.0,3963058.68610284,0.6334,2024-08-21 19:00:29,8018317.644599999,2464.2999999998,21847.0,0.0003074283,0.0017287682,0.3129,0.3132,0.3129,0.313,5078.0
2024-08-21 11:05:00,STGUSDT,66c5ca03cd9cfc74bfecfece,Binance,5m,12658176.0,3958835.050368,0.635,2024-08-21 19:05:39,8037941.76,19624.1154000005,-993.0,0.0024474106,-7.84412e-05,0.3126,0.3127,0.3126,0.3127,6831.0
2024-08-21 11:10:00,STGUSDT,66c5cb30b4d7755ce8dab54e,Binance,5m,12658597.0,3957077.4222,0.6344,2024-08-21 19:10:40,8030613.936799999,-7327.8232000005,421.0,-0.0009116542,3.32591e-05,0.3126,0.3127,0.3126,0.3127,1971.0
2024-08-21 11:15:00,STGUSDT,66c5cc54f5f1cc5b47725889,Binance,5m,12669811.0,3963485.95239443,0.6321,2024-08-21 19:15:32,8008587.5331,-22026.4036999997,11214.0,-0.0027428045,0.0008858802,0.3127,0.3127,0.3126,0.3126,6449.0
2024-08-21 11:20:00,STGUSDT,66c5cd7d43e6d4110ddc650d,Binance,5m,12675529.0,3962020.5207996,0.6319,2024-08-21 19:20:29,8009666.7751,1079.2420000006,5718.0,0.0001347606,0.000451309,0.3124,0.3125,0.3123,0.3125,18056.0
2024-08-21 11:25:00,STGUSDT,66c5ceab5e8107c04793f2e0,Binance,5m,12668253.0,3956295.4119,0.6317,2024-08-21 19:25:31,8002535.420100001,-7131.3549999995,-7276.0,-0.0008903435,-0.0005740194,0.3121,0.3123,0.3121,0.3121,409.0
2024-08-21 11:30:00,STGUSDT,66c5cfde7bc94cd7f1c05f7c,Binance,5m,12664897.0,3956513.8228,0.6312,2024-08-21 19:30:38,7994082.9864,-8452.4337000009,-3356.0,-0.0010562195,-0.0002649142,0.3123,0.3126,0.3122,0.3125,8889.0
2024-08-21 11:35:00,STGUSDT,66c5d1114a4d6639b17eb3e6,Binance,5m,12663715.0,3959943.6805,0.6305,2024-08-21 19:35:45,7984472.307499999,-9610.6789000006,-1182.0,-0.0012022241,-9.33288e-05,0.3127,0.3129,0.3127,0.3129,2527.0
2024-08-21 11:40:00,STGUSDT,66c5d23659906877aa08d11e,Binance,5m,12647193.0,3950302.42127274,0.6332,2024-08-21 19:40:38,8008202.6076,23730.3001000006,-16522.0,0.0029720562,-0.0013046724,0.3123,0.3127,0.3123,0.3127,4273.0
2024-08-21 11:45:00,STGUSDT,66c5d360f0e99417ad49d99c,Binance,5m,12656950.0,3954031.18,0.6323,2024-08-21 19:45:36,8002989.484999999,-5213.1226000004,9757.0,-0.0006509729,0.0007714755,0.3124,0.3124,0.3121,0.3121,715.0
2024-08-21 11:50:00,STGUSDT,66c5d48a71bfb838c7807bf1,Binance,5m,12656643.0,3952069.81058823,0.6326,2024-08-21 19:50:34,8006592.361800001,3602.8768000016,-307.0,0.0004501914,-2.42554e-05,0.3122,0.3123,0.3122,0.3122,1564.0
2024-08-21 11:55:00,STGUSDT,66c5d5af5421c7fdf1dca022,Binance,5m,12652191.0,3955074.9066,0.6323,2024-08-21 19:55:27,7999980.369299999,-6611.9925000016,-4452.0,-0.0008258186,-0.000351752,0.3125,0.3125,0.3124,0.3125,2781.0
2024-08-21 12:00:00,STGUSDT,66c5d6ea4c1e6610b6c52e89,Binance,5m,12653120.0,3951875.2019104,0.6328,2024-08-21 20:00:42,8006894.336,6913.9667000007,929.0,0.000864248,7.3426e-05,0.3121,0.3122,0.3118,0.3122,44882.0
2024-08-21 12:05:00,STGUSDT,66c5d819194a37119a33e0c8,Binance,5m,12641705.0,3948004.4715,0.6328,2024-08-21 20:05:45,7999670.924000001,-7223.4119999995,-11415.0,-0.000902149,-0.000902149,0.3122,0.3123,0.312,0.3121,23721.0
2024-08-21 12:10:00,STGUSDT,66c5d93d030d4af13f4381bf,Binance,5m,12643664.0,3944823.168,0.6325,2024-08-21 20:10:37,7997117.479999999,-2553.4440000011,1959.0,-0.0003191936,0.0001549633,0.3119,0.3121,0.3118,0.3119,22877.0
2024-08-21 12:15:00,STGUSDT,66c5da671a353e7689c38da7,Binance,5m,12589541.0,3924502.3652152,0.6313,2024-08-21 20:15:35,7947777.233299999,-49340.2467,-54123.0,-0.0061697539,-0.0042806421,0.3116,0.312,0.3114,0.3114,31680.0
2024-08-21 12:20:00,STGUSDT,66c5db9787429915e1a27af5,Binance,5m,12583100.0,3917119.03,0.6301,2024-08-21 20:20:39,7928611.31,-19165.9232999999,-6441.0,-0.0024114822,-0.0005116152,0.3112,0.3112,0.3108,0.311,12090.0
2024-08-21 12:25:00,STGUSDT,66c5dcbd4410e87fb6578605,Binance,5m,12581389.0,3916744.16631806,0.6324,2024-08-21 20:25:33,7956470.4036,27859.0936000003,-1711.0,0.0035137419,-0.000135976,0.3114,0.3114,0.3108,0.3108,16414.0
2024-08-21 12:30:00,STGUSDT,66c5ddee2a76f630801dddaf,Binance,5m,12584645.0,3912566.1305,0.6316,2024-08-21 20:30:38,7948461.782000001,-8008.6215999993,3256.0,-0.0010065546,0.000258795,0.3109,0.3113,0.3107,0.3113,9809.0
2024-08-21 12:35:00,STGUSDT,66c5df15b57aac33cb36d616,Binance,5m,12574123.0,3911809.6653,0.6308,2024-08-21 20:35:33,7931756.7884,-16704.9936000006,-10522.0,-0.0021016637,-0.0008360983,0.311,0.311,0.3109,0.311,3977.0
2024-08-21 12:40:00,STGUSDT,66c5e03bceb837855906c1db,Binance,5m,12567675.0,3912951.643734,0.6341,2024-08-21 20:40:27,7969162.7175,37405.9291000003,-6448.0,0.0047159703,-0.0005127992,0.3113,0.3113,0.3113,0.3113,567.0
2024-08-21 12:45:00,STGUSDT,66c5e1742c2ea1d744f11759,Binance,5m,12565473.0,3917168.34361326,0.634,2024-08-21 20:45:40,7966509.882,-2652.8355,-2202.0,-0.0003328876,-0.0001752114,0.3117,0.3117,0.3116,0.3116,3398.0
2024-08-21 12:50:00,STGUSDT,66c5e29f955bb0ecdeb7ad1e,Binance,5m,12581616.0,3920431.5456,0.6341,2024-08-21 20:50:39,7978002.7056,11492.8235999998,16143.0,0.0014426422,0.0012847109,0.3116,0.3116,0.3115,0.3115,759.0
2024-08-21 12:55:00,STGUSDT,66c5e3cb696867b8fc080bc1,Binance,5m,12586024.0,3916419.26700992,0.6326,2024-08-21 20:55:39,7961918.782400001,-16083.9231999991,4408.0,-0.0020160338,0.0003503525,0.3109,0.3112,0.3109,0.3112,2046.0
2024-08-21 13:00:00,STGUSDT,66c5e4f23890c4e5e7392154,Binance,5m,12561151.0,3910397.47248635,0.6334,2024-08-21 21:00:34,7956233.0434,-5685.739000001,-24873.0,-0.0007141167,-0.0019762397,0.3112,0.3115,0.3111,0.3115,8522.0
2024-08-21 13:05:00,STGUSDT,66c5e6251e6164822dc0feec,Binance,5m,12558954.0,3909602.3802,0.6342,2024-08-21 21:05:41,7964888.6268,8655.5833999999,-2197.0,0.0010878997,-0.0001749044,0.3112,0.3113,0.3112,0.3113,3701.0
2024-08-21 13:10:00,STGUSDT,66c5e75266773cb51866f63d,Binance,5m,12556648.0,3905117.528,0.6347,2024-08-21 21:10:42,7969704.4856,4815.8588000005,-2306.0,0.0006046361,-0.000183614,0.311,0.311,0.3109,0.3109,7151.0
2024-08-21 13:15:00,STGUSDT,66c5e8799cc3e32362720838,Binance,5m,12548391.0,3903804.4401,0.6328,2024-08-21 21:15:37,7940621.8248,-29082.6607999997,-8257.0,-0.0036491517,-0.00065758,0.311,0.3111,0.3109,0.3111,7123.0
2024-08-21 13:20:00,STGUSDT,66c5e9a9156fd08044090b7b,Binance,5m,12545376.0,3904527.4813824,0.6336,2024-08-21 21:20:41,7948750.233600001,8128.4088000003,-3015.0,0.0010236489,-0.0002402698,0.3112,0.3113,0.311,0.311,1603.0
2024-08-21 13:25:00,STGUSDT,66c5eacc7865dee90f0ea34f,Binance,5m,12545036.0,3906524.2104,0.6345,2024-08-21 21:25:32,7959825.341999999,11075.1083999984,-340.0,0.0013933144,-2.71016e-05,0.3114,0.3115,0.311,0.311,1416.0
2024-08-21 13:30:00,STGUSDT,66c5ebff6d602c4022f2a378,Binance,5m,12572016.0,3909896.976,0.6318,2024-08-21 21:30:39,7942999.7088,-16825.6331999991,26980.0,-0.0021138194,0.0021506515,0.311,0.3111,0.311,0.3111,5026.0
2024-08-21 13:35:00,STGUSDT,66c5ed2a872760fff38429f7,Binance,5m,12574555.0,3891824.7725,0.6293,2024-08-21 21:35:38,7913167.461499999,-29832.2473000009,2539.0,-0.0037557911,0.0002019565,0.3095,0.3098,0.3095,0.3098,18176.0
2024-08-21 13:40:00,STGUSDT,66c5ee5a956c2c6506ba2534,Binance,5m,12579938.0,3896426.3395323,0.6317,2024-08-21 21:40:42,7946746.834600001,33579.3731000014,5383.0,0.0042434807,0.0004280867,0.3097,0.31,0.3096,0.3096,17102.0
2024-08-21 13:45:00,STGUSDT,66c5ef773c950f493078a069,Binance,5m,12552028.0,3864769.4212,0.6277,2024-08-21 21:45:27,7878907.9756,-67838.8590000002,-27910.0,-0.008536683,-0.0022186119,0.3079,0.3081,0.3076,0.3076,15694.0
