datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,SUSHIUSDT,66c5c37833a1faa0652bd1a3,Binance,5m,9538783.0,5610432.29270678,0.6813,2024-08-21 18:37:44,6498772.8579,4179.3698999994,1935.0,0.0006435152,0.0002028972,0.5879,0.588,0.5878,0.588,4043.0
2024-08-21 10:40:00,SUSHIUSDT,66c5c43075fa436123578e39,Binance,5m,9527117.0,5602220.70130832,0.6812,2024-08-21 18:40:48,6489872.1004,-8900.7575000003,-11666.0,-0.0013696059,-0.0012230072,0.588,0.588,0.5877,0.5878,1007.0
2024-08-21 10:45:00,SUSHIUSDT,66c5c54d32c70d8ca7f02e37,Binance,5m,9528357.0,5609799.69778245,0.6807,2024-08-21 18:45:33,6485952.6099,-3919.4905000003,1240.0,-0.0006039396,0.0001301548,0.5887,0.5896,0.5887,0.5893,10389.0
2024-08-21 10:50:00,SUSHIUSDT,66c5c6820d284892836482bc,Binance,5m,9538638.0,5632612.66909896,0.681,2024-08-21 18:50:41,6495812.478,9859.8681000005,10281.0,0.0015201881,0.0010789898,0.5904,0.591,0.5903,0.591,13553.0
2024-08-21 10:55:00,SUSHIUSDT,66c5c7a70788cec8cdab267c,Binance,5m,9549918.0,5646712.09122594,0.6816,2024-08-21 18:55:35,6509224.1088,13411.6307999995,11280.0,0.0020646579,0.0011825588,0.591,0.5914,0.591,0.5913,3511.0
2024-08-21 11:00:00,SUSHIUSDT,66c5c8d8d0a6235fd39c1f1d,Binance,5m,9550323.0,5653605.65322411,0.6819,2024-08-21 19:00:40,6512365.253699999,3141.1448999997,405.0,0.0004825683,4.24087e-05,0.5921,0.5927,0.5921,0.5924,23078.0
2024-08-21 11:05:00,SUSHIUSDT,66c5c9facd9cfc74bfecfe54,Binance,5m,9555413.0,5663440.06144959,0.6813,2024-08-21 19:05:30,6510102.8769000005,-2262.3767999988,5090.0,-0.0003473971,0.0005329663,0.5923,0.5923,0.5915,0.5918,32855.0
2024-08-21 11:10:00,SUSHIUSDT,66c5cb33b4d7755ce8dab574,Binance,5m,9575763.0,5663106.2382,0.6832,2024-08-21 19:10:43,6542161.2816,32058.4046999998,20350.0,0.0049244083,0.0021296829,0.5914,0.5914,0.5909,0.5909,2945.0
2024-08-21 11:15:00,SUSHIUSDT,66c5cc5cf5f1cc5b477258f2,Binance,5m,9579102.0,5649883.00693986,0.6855,2024-08-21 19:15:40,6566474.421,24313.1393999998,3339.0,0.0037163773,0.0003486928,0.5899,0.5899,0.5891,0.5891,10801.0
2024-08-21 11:20:00,SUSHIUSDT,66c5cd8243e6d4110ddc654c,Binance,5m,9564748.0,5625028.2988,0.685,2024-08-21 19:20:34,6551852.380000001,-14622.0409999993,-14354.0,-0.0022267719,-0.0014984703,0.588,0.5882,0.5879,0.5882,4317.0
2024-08-21 11:25:00,SUSHIUSDT,66c5cead5e8107c04793f2f4,Binance,5m,9566644.0,5626799.22551264,0.6849,2024-08-21 19:25:33,6552194.4756,342.0955999987,1896.0,5.22136e-05,0.0001982279,0.5877,0.5881,0.5875,0.5878,11883.0
2024-08-21 11:30:00,SUSHIUSDT,66c5cfd57bc94cd7f1c05f0f,Binance,5m,9574820.0,5631909.124,0.6843,2024-08-21 19:30:29,6552049.326,-145.1495999992,8176.0,-2.21528e-05,0.0008546362,0.5883,0.5886,0.5882,0.5882,16966.0
2024-08-21 11:35:00,SUSHIUSDT,66c5d1024a4d6639b17eb32d,Binance,5m,9584683.0,5636752.0723,0.6852,2024-08-21 19:35:30,6567424.7916,15375.4655999998,9863.0,0.0023466651,0.0010300977,0.588,0.5885,0.588,0.5884,4377.0
2024-08-21 11:40:00,SUSHIUSDT,66c5d23259906877aa08d0df,Binance,5m,9596345.0,5651528.8226133,0.6834,2024-08-21 19:40:34,6558142.173,-9282.6185999997,11662.0,-0.0014134336,0.001216733,0.5892,0.59,0.5891,0.5897,22285.0
2024-08-21 11:45:00,SUSHIUSDT,66c5d35cf0e99417ad49d96d,Binance,5m,9586660.0,5636956.08,0.6838,2024-08-21 19:45:32,6555358.108,-2784.0650000004,-9685.0,-0.0004245204,-0.0010092384,0.588,0.5883,0.5877,0.5881,7556.0
2024-08-21 11:50:00,SUSHIUSDT,66c5d48c71bfb838c7807c0a,Binance,5m,9529847.0,5601644.0666,0.6873,2024-08-21 19:50:36,6549863.8431,-5494.2648999998,-56813.0,-0.0008381334,-0.0059262559,0.5878,0.5881,0.5874,0.5881,4116.0
2024-08-21 11:55:00,SUSHIUSDT,66c5d5bb5421c7fdf1dca0b3,Binance,5m,9525332.0,5600099.46976472,0.6884,2024-08-21 19:55:39,6557238.5488,7374.7056999998,-4515.0,0.0011259327,-0.0004737747,0.5877,0.5877,0.5874,0.5874,2074.0
2024-08-21 12:00:00,SUSHIUSDT,66c5d6e04c1e6610b6c52e0a,Binance,5m,9510498.0,5588815.618206,0.6876,2024-08-21 20:00:32,6539418.4248,-17820.1239999998,-14834.0,-0.0027176263,-0.001557321,0.5873,0.5877,0.5871,0.5876,21474.0
2024-08-21 12:05:00,SUSHIUSDT,66c5d80e194a37119a33e046,Binance,5m,9505240.0,5589433.1940896,0.6886,2024-08-21 20:05:34,6545308.264,5889.8391999993,-5258.0,0.0009006671,-0.0005528627,0.5878,0.5879,0.5878,0.5878,891.0
2024-08-21 12:10:00,SUSHIUSDT,66c5d93a030d4af13f438198,Binance,5m,9510714.0,5582671.75578924,0.6893,2024-08-21 20:10:34,6555735.1602,10426.8962000003,5474.0,0.0015930336,0.0005758929,0.5867,0.5868,0.5864,0.5864,597.0
2024-08-21 12:15:00,SUSHIUSDT,66c5da6b1a353e7689c38de3,Binance,5m,9506801.0,5570034.7059,0.6881,2024-08-21 20:15:39,6541629.7681,-14105.3920999998,-3913.0,-0.002151611,-0.0004114307,0.5858,0.5861,0.5851,0.5861,74116.0
2024-08-21 12:20:00,SUSHIUSDT,66c5db9387429915e1a27aca,Binance,5m,9522356.0,5581205.30451956,0.6877,2024-08-21 20:20:35,6548524.2212,6894.4530999996,15555.0,0.0010539351,0.0016361971,0.5852,0.5852,0.5846,0.5847,13234.0
2024-08-21 12:25:00,SUSHIUSDT,66c5dcb84410e87fb65785d0,Binance,5m,9517778.0,5580368.8950689,0.6869,2024-08-21 20:25:28,6537761.708199999,-10762.5130000003,-4578.0,-0.0016435021,-0.0004807634,0.5862,0.5862,0.5858,0.5858,830.0
2024-08-21 12:30:00,SUSHIUSDT,66c5dde72a76f630801ddd61,Binance,5m,9509638.0,5574549.7956,0.6891,2024-08-21 20:30:31,6553091.5458,15329.8376000011,-8140.0,0.0023448144,-0.0008552416,0.5863,0.5865,0.5859,0.5861,6892.0
2024-08-21 12:35:00,SUSHIUSDT,66c5df1ab57aac33cb36d654,Binance,5m,9513572.0,5578643.31630736,0.6889,2024-08-21 20:35:38,6553899.7508,808.2049999991,3934.0,0.0001233319,0.0004136856,0.5859,0.5859,0.5856,0.5857,6858.0
2024-08-21 12:40:00,SUSHIUSDT,66c5e047ceb837855906c275,Binance,5m,9482527.0,5557459.21011355,0.6894,2024-08-21 20:40:39,6537254.1138,-16645.6369999992,-31045.0,-0.0025398065,-0.0032632328,0.5859,0.5862,0.5859,0.5862,9362.0
2024-08-21 12:45:00,SUSHIUSDT,66c5e1762c2ea1d744f11768,Binance,5m,9483244.0,5562868.93891876,0.6881,2024-08-21 20:45:42,6525420.196400001,-11833.9173999997,717.0,-0.0018102275,7.56128e-05,0.5865,0.5865,0.586,0.5863,8762.0
2024-08-21 12:50:00,SUSHIUSDT,66c5e2a3955bb0ecdeb7ad4f,Binance,5m,9478535.0,5556940.80981765,0.6902,2024-08-21 20:50:43,6542084.857000001,16664.6606000001,-4709.0,0.0025538065,-0.00049656,0.5861,0.5861,0.5859,0.5859,756.0
2024-08-21 12:55:00,SUSHIUSDT,66c5e3be696867b8fc080b18,Binance,5m,9480443.0,5541968.62825879,0.6896,2024-08-21 20:55:26,6537713.4928,-4371.3642000007,1908.0,-0.0006681913,0.0002012969,0.5844,0.5844,0.584,0.5843,8149.0
2024-08-21 13:00:00,SUSHIUSDT,66c5e4ef3890c4e5e7392131,Binance,5m,9479513.0,5536035.592,0.689,2024-08-21 21:00:31,6531384.457,-6329.0358000007,-930.0,-0.0009680809,-9.80967e-05,0.5839,0.5844,0.5839,0.5844,19347.0
2024-08-21 13:05:00,SUSHIUSDT,66c5e61e1e6164822dc0fe88,Binance,5m,9481455.0,5549574.1179474,0.69,2024-08-21 21:05:34,6542203.949999999,10819.4929999998,1942.0,0.001656539,0.0002048628,0.5854,0.5857,0.5853,0.5857,2384.0
2024-08-21 13:10:00,SUSHIUSDT,66c5e74966773cb51866f5ca,Binance,5m,9481352.0,5541850.244,0.6894,2024-08-21 21:10:33,6536444.0688000005,-5759.8811999988,-103.0,-0.0008804191,-1.08633e-05,0.5846,0.5848,0.5846,0.5847,833.0
2024-08-21 13:15:00,SUSHIUSDT,66c5e87c9cc3e3236272086b,Binance,5m,9480248.0,5540500.85798104,0.6899,2024-08-21 21:15:40,6540423.095199999,3979.0263999989,-1104.0,0.0006087448,-0.0001164391,0.5843,0.5851,0.5842,0.5851,7806.0
2024-08-21 13:20:00,SUSHIUSDT,66c5e99c156fd08044090adb,Binance,5m,9475626.0,5549874.1482,0.69,2024-08-21 21:20:28,6538181.94,-2241.1551999999,-4622.0,-0.0003426621,-0.00048754,0.5858,0.5858,0.5856,0.5856,1876.0
2024-08-21 13:25:00,SUSHIUSDT,66c5eaca7865dee90f0ea339,Binance,5m,9476003.0,5560771.19063998,0.6883,2024-08-21 21:25:30,6522332.8649,-15849.0750999991,377.0,-0.0024240799,3.97863e-05,0.5868,0.587,0.5862,0.5862,12166.0
2024-08-21 13:30:00,SUSHIUSDT,66c5ebfa6d602c4022f2a330,Binance,5m,9474930.0,5553146.9428092,0.688,2024-08-21 21:30:34,6518751.84,-3581.0249000005,-1073.0,-0.0005490405,-0.0001132334,0.5859,0.5863,0.5859,0.5863,5818.0
2024-08-21 13:35:00,SUSHIUSDT,66c5ed30872760fff3842a3c,Binance,5m,9482623.0,5516041.7991,0.6956,2024-08-21 21:35:44,6596112.5588,77360.7187999999,7693.0,0.0118674128,0.0008119321,0.5817,0.5828,0.5817,0.5826,18259.0
2024-08-21 13:40:00,SUSHIUSDT,66c5ee5c956c2c6506ba2550,Binance,5m,9483896.0,5523577.32500608,0.696,2024-08-21 21:40:44,6600791.615999999,4679.0571999997,1273.0,0.0007093659,0.0001342456,0.5822,0.5827,0.5816,0.5816,13345.0
2024-08-21 13:45:00,SUSHIUSDT,66c5ef7a3c950f493078a092,Binance,5m,9432322.0,5462257.6702,0.6975,2024-08-21 21:45:30,6579044.595,-21747.0209999997,-51574.0,-0.003294608,-0.0054380605,0.5791,0.5793,0.5777,0.5782,17014.0
2024-08-21 13:50:00,SUSHIUSDT,66c5f0b155cd5a2e2a86a493,Binance,5m,9431242.0,5461466.91252774,0.7009,2024-08-21 21:50:41,6610357.5178,31312.9227999998,-1080.0,0.0047594939,-0.0001144999,0.5787,0.5787,0.5775,0.5777,9169.0
2024-08-21 13:55:00,SUSHIUSDT,66c5f1d53356402175af5fc7,Binance,5m,9432023.0,5464914.1262,0.7023,2024-08-21 21:55:33,6624109.752900001,13752.2351000011,781.0,0.0020804072,8.28099e-05,0.5794,0.5812,0.5793,0.5808,37482.0
2024-08-21 14:00:00,SUSHIUSDT,66c5f30759e3fd272d1e21bd,Binance,5m,9462938.0,5569172.46368046,0.6948,2024-08-21 22:00:39,6574849.3224,-49260.4305000007,30915.0,-0.007436536,0.0032776638,0.5884,0.5896,0.5875,0.5882,62144.0
2024-08-21 14:05:00,SUSHIUSDT,66c5f42fd026c2e610a4a3d1,Binance,5m,9462931.0,5580792.8923361,0.6956,2024-08-21 22:05:35,6582414.8036,7565.4812000003,-7.0,0.0011506699,-7.397e-07,0.5899,0.5902,0.5888,0.5902,28286.0
2024-08-21 14:10:00,SUSHIUSDT,66c5f5614e6d3f54b06a10f2,Binance,5m,9469059.0,5594320.0572,0.694,2024-08-21 22:10:41,6571526.946,-10887.8576000007,6128.0,-0.0016540826,0.0006475795,0.5908,0.5922,0.5906,0.5922,52443.0
2024-08-21 14:15:00,SUSHIUSDT,66c5f6882db98255885f0b22,Binance,5m,9466641.0,5543664.9696,0.6952,2024-08-21 22:15:36,6581208.8232,9681.8772000009,-2418.0,0.0014733071,-0.000255358,0.5858,0.5882,0.5857,0.587,55384.0
