datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,TLMUSDT,66c5c36c33a1faa0652bd0ed,Binance,5m,492896752.0,6000525.058848,0.6685,2024-08-21 18:37:32,329501478.712,165118.7080000043,-121751.0,0.000501368,-0.0002469502,0.012167,0.012181,0.012166,0.012174,978827.0
2024-08-21 10:40:00,TLMUSDT,66c5c43375fa436123578e5a,Binance,5m,491507091.0,5988522.396744,0.6682,2024-08-21 18:40:51,328425038.2062,-1076440.5058000088,-1389661.0,-0.0032668761,-0.0028193754,0.012182,0.012182,0.012163,0.012175,1701133.0
2024-08-21 10:45:00,TLMUSDT,66c5c54e32c70d8ca7f02e40,Binance,5m,491650464.0,5989772.68640736,0.6687,2024-08-21 18:45:34,328766665.2768,341627.0705999732,143373.0,0.001040198,0.0002917008,0.012184,0.012185,0.012142,0.012147,5640939.0
2024-08-21 10:50:00,TLMUSDT,66c5c6740d28489283648222,Binance,5m,495259465.0,6023291.13478885,0.6717,2024-08-21 18:50:28,332665782.6405,3899117.363700032,3609001.0,0.0118598318,0.0073405829,0.01216,0.012183,0.012153,0.012183,1414958.0
2024-08-21 10:55:00,TLMUSDT,66c5c7a60788cec8cdab2673,Binance,5m,493740739.0,6023345.70876399,0.6707,2024-08-21 18:55:34,331151913.6473,-1513868.993200004,-1518726.0,-0.0045507205,-0.0030665259,0.012191,0.012211,0.012189,0.012209,1182319.0
2024-08-21 11:00:00,TLMUSDT,66c5c8d6d0a6235fd39c1f04,Binance,5m,493609604.0,6036845.45692,0.6706,2024-08-21 19:00:38,331014600.4424,-137313.2049000263,-131135.0,-0.0004146532,-0.0002655949,0.012231,0.012343,0.01223,0.012311,14947584.0
2024-08-21 11:05:00,TLMUSDT,66c5ca00cd9cfc74bfecfea2,Binance,5m,495743491.0,6103182.39409447,0.6726,2024-08-21 19:05:36,333437072.0466,2422471.604200005,2133887.0,0.0073183225,0.0043230257,0.012298,0.012303,0.012288,0.012295,1614058.0
2024-08-21 11:10:00,TLMUSDT,66c5cb2ab4d7755ce8dab507,Binance,5m,496112209.0,6094242.375356,0.6731,2024-08-21 19:10:34,333933127.8779,496055.8313000202,368718.0,0.0014877045,0.0007437677,0.012279,0.012279,0.012253,0.012255,1230827.0
2024-08-21 11:15:00,TLMUSDT,66c5cc58f5f1cc5b477258bb,Binance,5m,496279895.0,6069999.395745,0.6731,2024-08-21 19:15:36,334045997.3245,112869.4466000199,167686.0,0.0003380001,0.0003380001,0.01223,0.012233,0.012194,0.012197,2827832.0
2024-08-21 11:20:00,TLMUSDT,66c5cd8443e6d4110ddc6565,Binance,5m,498068114.0,6074438.718344,0.6733,2024-08-21 19:20:36,335349261.1562,1303263.8316999674,1788219.0,0.0039014502,0.0036032469,0.012195,0.012201,0.01219,0.012201,993463.0
