datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,TRBUSDT,66c5c37a33a1faa0652bd1b9,Binance,5m,292635.1,16222900.98221229,0.7487,2024-08-21 18:37:46,219095.89937,-53.07433,-149.1,-0.0002421838,-0.0005092488,55.432,55.482,55.406,55.482,144.5
2024-08-21 10:40:00,TRBUSDT,66c5c43f75fa436123578ef1,Binance,5m,292667.6,16220809.0624,0.7484,2024-08-21 18:41:03,219032.43184,-63.46753,32.5,-0.0002896792,0.0001110598,55.435,55.435,55.409,55.414,75.1
2024-08-21 10:45:00,TRBUSDT,66c5c54a32c70d8ca7f02e17,Binance,5m,292657.7,16225703.40585868,0.7475,2024-08-21 18:45:30,218761.63075,-270.80109,-9.9,-0.0012363516,-3.38268e-05,55.435,55.436,55.4,55.419,303.6
2024-08-21 10:50:00,TRBUSDT,66c5c67d0d28489283648285,Binance,5m,293441.4,16252838.8218,0.7477,2024-08-21 18:50:37,219406.13478,644.50403,783.7,0.0029461475,0.0026778725,55.384,55.448,55.382,55.428,304.8
2024-08-21 10:55:00,TRBUSDT,66c5c7ac0788cec8cdab26bb,Binance,5m,293181.9,16256587.87606184,0.7486,2024-08-21 18:55:40,219475.97034,69.83556,-259.5,0.0003182936,-0.0008843333,55.439,55.478,55.439,55.457,170.5
2024-08-21 11:00:00,TRBUSDT,66c5c8d2d0a6235fd39c1ed3,Binance,5m,293186.4,16249714.39987459,0.7498,2024-08-21 19:00:34,219831.16272,355.19238,4.5,0.0016183657,1.53488e-05,55.422,55.504,55.407,55.48,262.4
2024-08-21 11:05:00,TRBUSDT,66c5ca01cd9cfc74bfecfeb6,Binance,5m,293206.6,16278537.2254,0.749,2024-08-21 19:05:37,219611.7434,-219.41932,20.2,-0.0009981265,6.88981e-05,55.519,55.519,55.447,55.462,151.5
2024-08-21 11:10:00,TRBUSDT,66c5cb2bb4d7755ce8dab50b,Binance,5m,293127.6,16255684.1856,0.7493,2024-08-21 19:10:35,219640.51068,28.76728,-79.0,0.0001309915,-0.0002694346,55.446,55.456,55.44,55.44,62.8
2024-08-21 11:15:00,TRBUSDT,66c5cc5bf5f1cc5b477258df,Binance,5m,293112.9,16255441.59603692,0.7475,2024-08-21 19:15:39,219101.89275,-538.6179299999,-14.7,-0.0024522704,-5.01488e-05,55.458,55.48,55.428,55.428,185.7
2024-08-21 11:20:00,TRBUSDT,66c5cd8843e6d4110ddc6599,Binance,5m,293150.9,16262314.87557688,0.7467,2024-08-21 19:20:40,218895.77703,-206.11572,38.0,-0.00094073,0.0001296429,55.447,55.464,55.344,55.374,538.7
2024-08-21 11:25:00,TRBUSDT,66c5ceb25e8107c04793f33d,Binance,5m,293120.1,16218921.3732,0.7476,2024-08-21 19:25:38,219136.58676,240.80973,-30.8,0.0011001114,-0.0001050653,55.329,55.329,55.3,55.3,132.8
2024-08-21 11:30:00,TRBUSDT,66c5cfd87bc94cd7f1c05f37,Binance,5m,293117.3,16210996.25278659,0.7483,2024-08-21 19:30:32,219339.67559,203.08883,-2.8,0.0009267682,-9.5524e-06,55.333,55.38,55.32,55.372,342.6
2024-08-21 11:35:00,TRBUSDT,66c5d1094a4d6639b17eb388,Binance,5m,293280.4,16238298.78989606,0.7468,2024-08-21 19:35:37,219021.80272,-317.8728699999,163.1,-0.0014492265,0.0005564325,55.357,55.42,55.347,55.42,53.1
2024-08-21 11:40:00,TRBUSDT,66c5d23159906877aa08d0d0,Binance,5m,293475.2,16237699.30134829,0.7466,2024-08-21 19:40:33,219108.58432,86.7816,194.8,0.0003962236,0.0006642108,55.329,55.425,55.324,55.42,193.1
2024-08-21 11:45:00,TRBUSDT,66c5d367f0e99417ad49d9ed,Binance,5m,293659.4,16257865.3622,0.7471,2024-08-21 19:45:43,219392.93774,284.35342,184.2,0.001297774,0.000627651,55.37,55.37,55.304,55.334,397.6
2024-08-21 11:50:00,TRBUSDT,66c5d49371bfb838c7807c5f,Binance,5m,294173.4,16309760.59815389,0.7455,2024-08-21 19:50:43,219306.2697,-86.66804,514.0,-0.0003950357,0.0017503271,55.446,55.448,55.4,55.448,715.4
2024-08-21 11:55:00,TRBUSDT,66c5d5b35421c7fdf1dca057,Binance,5m,294628.4,16353126.78854549,0.7461,2024-08-21 19:55:31,219822.24924,515.97954,455.0,0.0023527806,0.0015467068,55.504,55.523,55.497,55.518,58.8
2024-08-21 12:00:00,TRBUSDT,66c5d6e24c1e6610b6c52e23,Binance,5m,294801.3,16362342.39754157,0.7475,2024-08-21 20:00:34,220363.97175,541.72251,172.9,0.0024643661,0.0005868409,55.495,55.584,55.482,55.57,748.1
2024-08-21 12:05:00,TRBUSDT,66c5d819194a37119a33e0c5,Binance,5m,294890.2,16367880.551,0.7477,2024-08-21 20:05:45,220489.40254,125.43079,88.9,0.0005691983,0.0003015591,55.52,55.525,55.494,55.523,202.3
2024-08-21 12:10:00,TRBUSDT,66c5d93b030d4af13f43819a,Binance,5m,294588.3,16315183.8189,0.7472,2024-08-21 20:10:35,220116.37776,-373.02478,-301.9,-0.0016918037,-0.0010237709,55.398,55.398,55.283,55.283,394.4
2024-08-21 12:15:00,TRBUSDT,66c5da641a353e7689c38d83,Binance,5m,294440.9,16277219.936434,0.7487,2024-08-21 20:15:32,220447.90183,331.52407,-147.4,0.0015061309,-0.0005003593,55.297,55.297,55.191,55.239,607.6
2024-08-21 12:20:00,TRBUSDT,66c5db9087429915e1a27aa2,Binance,5m,294399.6,16234525.35147102,0.7481,2024-08-21 20:20:32,220240.34076,-207.56107,-41.3,-0.0009415425,-0.0001402658,55.138,55.138,54.99,55.02,2001.5
2024-08-21 12:25:00,TRBUSDT,66c5dcc04410e87fb657862b,Binance,5m,293921.1,16210630.4283,0.752,2024-08-21 20:25:36,221028.6672,788.32644,-478.5,0.0035793917,-0.0016253419,55.151,55.162,55.104,55.112,383.9
2024-08-21 12:30:00,TRBUSDT,66c5ddee2a76f630801dddb7,Binance,5m,294059.4,16234431.3552,0.7516,2024-08-21 20:30:38,221015.04504,-13.62216,138.3,-6.16307e-05,0.0004705344,55.22,55.3,55.184,55.286,360.1
2024-08-21 12:35:00,TRBUSDT,66c5df1bb57aac33cb36d65f,Binance,5m,293985.3,16268577.18182743,0.7521,2024-08-21 20:35:38,221106.34413,91.29909,-74.1,0.0004130899,-0.0002519899,55.319,55.319,55.275,55.283,138.9
2024-08-21 12:40:00,TRBUSDT,66c5e03dceb837855906c1f2,Binance,5m,293783.3,16239791.50210999,0.7522,2024-08-21 20:40:29,220983.79826,-122.54587,-202.0,-0.0005542395,-0.0006871092,55.27,55.274,55.233,55.233,334.8
2024-08-21 12:45:00,TRBUSDT,66c5e1752c2ea1d744f1175e,Binance,5m,294068.2,16253216.61152438,0.7517,2024-08-21 20:45:41,221051.06594,67.26768,284.9,0.000304401,0.0009697624,55.263,55.334,55.257,55.334,143.4
2024-08-21 12:50:00,TRBUSDT,66c5e2a5955bb0ecdeb7ad67,Binance,5m,293736.5,16238341.193,0.7501,2024-08-21 20:50:45,220331.74865,-719.31729,-331.7,-0.0032540775,-0.0011279696,55.274,55.274,55.243,55.265,155.0
2024-08-21 12:55:00,TRBUSDT,66c5e3c9696867b8fc080bad,Binance,5m,293656.4,16188690.0192,0.749,2024-08-21 20:55:37,219948.6436,-383.10505,-80.1,-0.0017387646,-0.0002726934,55.125,55.138,55.097,55.138,438.0
2024-08-21 13:00:00,TRBUSDT,66c5e4ef3890c4e5e7392132,Binance,5m,293684.5,16195261.20611851,0.7497,2024-08-21 21:00:31,220175.26965,226.62605,28.1,0.0010303589,9.56901e-05,55.147,55.197,55.141,55.197,178.6
2024-08-21 13:05:00,TRBUSDT,66c5e61c1e6164822dc0fe6c,Binance,5m,293663.1,16233989.8311,0.7498,2024-08-21 21:05:32,220188.59238,13.32273,-21.4,6.05097e-05,-7.28673e-05,55.278,55.328,55.265,55.323,88.0
2024-08-21 13:10:00,TRBUSDT,66c5e74a66773cb51866f5d7,Binance,5m,293555.6,16204480.47416089,0.75,2024-08-21 21:10:34,220166.7,-21.89238,-107.5,-9.94256e-05,-0.0003660657,55.183,55.207,55.154,55.154,142.0
2024-08-21 13:15:00,TRBUSDT,66c5e87d9cc3e32362720876,Binance,5m,293930.9,16188917.69261674,0.7511,2024-08-21 21:15:41,220771.49899,604.79899,375.3,0.0027470048,0.0012784631,55.073,55.122,55.036,55.115,359.5
2024-08-21 13:20:00,TRBUSDT,66c5e9a6156fd08044090b52,Binance,5m,293557.8,16184135.0718,0.7509,2024-08-21 21:20:38,220432.55202,-338.94697,-373.1,-0.0015352841,-0.001269346,55.122,55.132,55.09,55.097,244.3
2024-08-21 13:25:00,TRBUSDT,66c5ead97865dee90f0ea3ec,Binance,5m,293792.0,16190125.673512,0.7519,2024-08-21 21:25:45,220902.2048,469.65278,234.2,0.0021305963,0.0007977986,55.106,55.107,55.05,55.055,192.2
2024-08-21 13:30:00,TRBUSDT,66c5ebf26d602c4022f2a2d9,Binance,5m,293623.8,16163402.9424,0.7523,2024-08-21 21:30:26,220893.18474,-9.02006,-168.2,-4.08328e-05,-0.0005725139,55.04,55.052,55.002,55.05,292.6
2024-08-21 13:35:00,TRBUSDT,66c5ed2a872760fff38429ef,Binance,5m,291462.2,15917333.6664,0.7486,2024-08-21 21:35:38,218188.60292,-2704.5818199999,-2161.6,-0.0122438446,-0.0073618011,54.598,54.725,54.591,54.694,1159.1
2024-08-21 13:40:00,TRBUSDT,66c5ee4f956c2c6506ba24af,Binance,5m,290779.0,15909484.82230701,0.753,2024-08-21 21:40:31,218956.587,767.98408,-683.2,0.0035198176,-0.0023440432,54.692,54.741,54.637,54.645,1536.7
2024-08-21 13:45:00,TRBUSDT,66c5ef853c950f493078a123,Binance,5m,289836.0,15752591.41417596,0.7533,2024-08-21 21:45:41,218333.4588,-623.1282,-943.0,-0.0028458984,-0.0032430127,54.366,54.388,54.213,54.293,1387.8
2024-08-21 13:50:00,TRBUSDT,66c5f0b355cd5a2e2a86a4a5,Binance,5m,289725.4,15778816.85103099,0.7537,2024-08-21 21:50:43,218366.03398,32.57518,-110.6,0.0001491992,-0.0003815951,54.433,54.448,54.332,54.378,1193.8
2024-08-21 13:55:00,TRBUSDT,66c5f1d53356402175af5fbf,Binance,5m,290220.0,15819311.76,0.754,2024-08-21 21:55:33,218825.88,459.84602,494.6,0.0021058496,0.0017071337,54.501,54.676,54.498,54.628,1114.9
2024-08-21 14:00:00,TRBUSDT,66c5f30559e3fd272d1e21ac,Binance,5m,289668.9,16006779.52071947,0.753,2024-08-21 22:00:37,218120.6817,-705.1983,-551.1,-0.0032226458,-0.0018989043,55.251,55.351,55.134,55.163,1847.3
2024-08-21 14:05:00,TRBUSDT,66c5f431d026c2e610a4a3f0,Binance,5m,289169.1,16035158.30559895,0.7519,2024-08-21 22:05:37,217426.24629,-694.43541,-499.8,-0.0031837211,-0.0017254182,55.432,55.503,55.325,55.487,1703.4
2024-08-21 14:10:00,TRBUSDT,66c5f5574e6d3f54b06a1069,Binance,5m,289057.7,16024166.8140452,0.7537,2024-08-21 22:10:31,217862.78849,436.5422,-111.4,0.0020077714,-0.0003852417,55.422,55.597,55.422,55.557,1172.0
2024-08-21 14:15:00,TRBUSDT,66c5f6802db98255885f0ab6,Binance,5m,288787.3,15864530.3255,0.7539,2024-08-21 22:15:28,217716.74547,-146.04302,-270.4,-0.000670344,-0.0009354534,54.914,55.187,54.894,55.052,2762.7
2024-08-21 14:20:00,TRBUSDT,66c5f7b8d573cb7f0f95fd0c,Binance,5m,289010.4,15861531.19326619,0.7495,2024-08-21 22:20:40,216613.2948,-1103.45067,223.1,-0.0050682857,0.0007725409,54.868,54.99,54.84,54.977,562.2
2024-08-21 14:25:00,TRBUSDT,66c5f8e659abe413a4023c78,Binance,5m,289098.9,15935307.64894527,0.7531,2024-08-21 22:25:42,217720.38159,1107.08679,88.5,0.0051108903,0.0003062174,55.103,55.104,54.982,55.012,421.2
2024-08-21 14:30:00,TRBUSDT,66c5fa0a3f36f8af0919106c,Binance,5m,289195.9,15943515.62919091,0.7514,2024-08-21 22:30:34,217301.79926,-418.58233,97.0,-0.0019225684,0.0003355253,55.139,55.164,55.07,55.131,496.1
2024-08-21 14:35:00,TRBUSDT,66c5fb33f5e0bfc10b740dff,Binance,5m,289179.2,15927701.1568,0.752,2024-08-21 22:35:31,217462.7584,160.95914,-16.7,0.000740717,-5.77463e-05,55.069,55.072,54.959,54.999,416.5
2024-08-21 14:40:00,TRBUSDT,66c5fc5ff2ecdb4699085e6d,Binance,5m,289152.7,15982380.46747614,0.7502,2024-08-21 22:40:31,216922.35554,-540.40286,-26.5,-0.0024850364,-9.16387e-05,55.28,55.381,55.23,55.29,744.1
2024-08-21 14:45:00,TRBUSDT,66c5fd92e511e9a2f1983b93,Binance,5m,289154.3,16010585.37226929,0.7517,2024-08-21 22:45:38,217357.28731,434.93177,1.6,0.0020050113,5.5334e-06,55.367,55.394,55.282,55.29,848.9
2024-08-21 14:50:00,TRBUSDT,66c5feb76f542947b29d4988,Binance,5m,289500.1,15959872.49670242,0.7504,2024-08-21 22:50:31,217240.87504,-116.4122700001,345.8,-0.0005355802,0.0011959013,55.111,55.13,54.986,55.001,1043.2
2024-08-21 14:55:00,TRBUSDT,66c5ffeaa549e168a3ca282a,Binance,5m,289512.0,15868442.232,0.7491,2024-08-21 22:55:38,216873.4392,-367.43584,11.9,-0.0016913753,4.11053e-05,54.816,54.817,54.757,54.761,762.2
