datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,TRXUSDT,66c5c37433a1faa0652bd167,Binance,5m,625534512.0,102748234.6772304,0.2639,2024-08-21 18:37:40,165078557.7168,-31626.8987999856,1535326.0,-0.0001915503,0.0024604615,0.16418,0.16435,0.16417,0.16429,1668586.0
2024-08-21 10:40:00,TRXUSDT,66c5c43575fa436123578e6f,Binance,5m,626015841.0,102898223.78517,0.2645,2024-08-21 18:40:53,165581189.9445,502632.227699995,481329.0,0.0030448063,0.0007694683,0.16437,0.16445,0.16426,0.16432,1995679.0
2024-08-21 10:45:00,TRXUSDT,66c5c55732c70d8ca7f02ebc,Binance,5m,626629713.0,102788459.28259651,0.2641,2024-08-21 18:45:43,165492907.2033,-88282.7412,613872.0,-0.0005331689,0.0009806014,0.164,0.16411,0.164,0.16403,1190330.0
2024-08-21 10:50:00,TRXUSDT,66c5c6750d28489283648223,Binance,5m,627742205.0,103238338.65359284,0.2643,2024-08-21 18:50:29,165912264.78149998,419357.5781999826,1112492.0,0.0025339912,0.0017753579,0.16442,0.16471,0.16441,0.16457,4248244.0
2024-08-21 10:55:00,TRXUSDT,66c5c7ad0788cec8cdab26cc,Binance,5m,632279540.0,104657931.7570012,0.2646,2024-08-21 18:55:41,167301166.284,1388901.5025000274,4537335.0,0.008371301,0.0072280228,0.16552,0.16568,0.16517,0.16537,7881728.0
2024-08-21 11:00:00,TRXUSDT,66c5c8d2d0a6235fd39c1ed8,Binance,5m,632875592.0,104658636.64904,0.2645,2024-08-21 19:00:34,167395594.08400002,94427.8000000119,596052.0,0.0005644181,0.0009427033,0.16536,0.16554,0.16531,0.16551,4090722.0
2024-08-21 11:05:00,TRXUSDT,66c5c9fbcd9cfc74bfecfe5e,Binance,5m,635954051.0,105288679.8743702,0.2663,2024-08-21 19:05:31,169354563.78129998,1958969.6972999573,3078459.0,0.011702636,0.0048642404,0.1655,0.16559,0.1654,0.16549,2246897.0
2024-08-21 11:10:00,TRXUSDT,66c5cb2eb4d7755ce8dab530,Binance,5m,631747016.0,104066409.81670769,0.2644,2024-08-21 19:10:38,167033911.0304,-2320652.7508999705,-4207035.0,-0.0137029242,-0.0066153128,0.16467,0.16477,0.16447,0.16466,5235628.0
2024-08-21 11:15:00,TRXUSDT,66c5cc56f5f1cc5b477258a6,Binance,5m,630906045.0,104124733.6668,0.2645,2024-08-21 19:15:34,166874648.9025,-159262.1279000044,-840971.0,-0.0009534718,-0.0013311832,0.16504,0.16542,0.165,0.16533,3307625.0
2024-08-21 11:20:00,TRXUSDT,66c5cd7c43e6d4110ddc64fd,Binance,5m,629785417.0,104147614.40929,0.2654,2024-08-21 19:20:28,167145049.67180002,270400.7693000138,-1120628.0,0.0016203826,-0.0017762201,0.16537,0.16554,0.16534,0.16541,2884591.0
2024-08-21 11:25:00,TRXUSDT,66c5ceab5e8107c04793f2db,Binance,5m,632201073.0,104594487.5564528,0.2651,2024-08-21 19:25:31,167596504.4523,451454.7804999948,2415656.0,0.0027009761,0.0038356811,0.16543,0.16558,0.16533,0.16552,2537824.0
2024-08-21 11:30:00,TRXUSDT,66c5cfd67bc94cd7f1c05f19,Binance,5m,633588359.0,104618109.83808,0.2682,2024-08-21 19:30:30,169928397.8838,2331893.431499988,1387286.0,0.0139137355,0.0021943746,0.16511,0.16516,0.16506,0.16515,2478538.0
2024-08-21 11:35:00,TRXUSDT,66c5d1054a4d6639b17eb350,Binance,5m,634872737.0,104903914.1043878,0.2686,2024-08-21 19:35:33,170526817.1582,598419.2743999958,1284378.0,0.0035215966,0.002027149,0.16518,0.16551,0.16518,0.16548,2619096.0
2024-08-21 11:40:00,TRXUSDT,66c5d23359906877aa08d0ec,Binance,5m,633655605.0,104187188.0206641,0.2673,2024-08-21 19:40:35,169376143.21649998,-1150673.9417000115,-1217132.0,-0.0067477594,-0.0019171275,0.16439,0.16455,0.16342,0.16403,13052462.0
2024-08-21 11:45:00,TRXUSDT,66c5d35bf0e99417ad49d95e,Binance,5m,629725851.0,103300228.59804,0.2679,2024-08-21 19:45:31,168703555.48290002,-672587.7335999608,-3929754.0,-0.0039709709,-0.006201719,0.16403,0.16406,0.1637,0.16373,3342158.0
2024-08-21 11:50:00,TRXUSDT,66c5d49071bfb838c7807c37,Binance,5m,628407105.0,103021060.7937,0.2661,2024-08-21 19:50:40,167219130.6405,-1484424.8424000144,-1318746.0,-0.0087990134,-0.0020941589,0.16394,0.16466,0.1639,0.16447,6458811.0
