datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,TWTUSDT,66c5c37733a1faa0652bd192,Binance,5m,3073745.0,2775595.51570635,0.6362,2024-08-21 18:37:43,1955516.569,-13520.3609000002,-3356.0,-0.0068664842,-0.0010906369,0.9022,0.9029,0.9022,0.9029,1264.0
2024-08-21 10:40:00,TWTUSDT,66c5c43f75fa436123578ef8,Binance,5m,3073739.0,2774732.03271973,0.6372,2024-08-21 18:41:03,1958586.4908,3069.9218000001,-6.0,0.0015698777,-1.952e-06,0.9029,0.903,0.9026,0.9026,257.0
2024-08-21 10:45:00,TWTUSDT,66c5c54b32c70d8ca7f02e24,Binance,5m,3074883.0,2778787.29525915,0.6413,2024-08-21 18:45:31,1971922.4679,13335.9771,1144.0,0.0068089804,0.0003721851,0.9037,0.9042,0.9037,0.9042,36.0
2024-08-21 10:50:00,TWTUSDT,66c5c67d0d2848928364828c,Binance,5m,3067016.0,2769822.1496,0.6417,2024-08-21 18:50:37,1968104.1672000005,-3818.3006999998,-7867.0,-0.0019363341,-0.0025584713,0.903,0.9043,0.903,0.9039,299.0
2024-08-21 10:55:00,TWTUSDT,66c5c7a20788cec8cdab263f,Binance,5m,3066297.0,2775354.59810388,0.6437,2024-08-21 18:55:30,1973775.3789,5671.2116999999,-719.0,0.0028815607,-0.0002344298,0.9049,0.9049,0.9049,0.9049,0.0
2024-08-21 11:00:00,TWTUSDT,66c5c8d5d0a6235fd39c1ef7,Binance,5m,3066398.0,2777236.6686,0.6466,2024-08-21 19:00:37,1982732.9468,8957.5678999997,101.0,0.0045382914,3.29388e-05,0.9059,0.9059,0.905,0.9057,9443.0
2024-08-21 11:05:00,TWTUSDT,66c5c9fecd9cfc74bfecfe8e,Binance,5m,3070381.0,2777773.6907,0.6468,2024-08-21 19:05:34,1985922.4308,3189.4840000004,3983.0,0.0016086302,0.0012989181,0.9046,0.9046,0.9039,0.9039,385.0
2024-08-21 11:10:00,TWTUSDT,66c5cb2cb4d7755ce8dab515,Binance,5m,3070061.0,2773800.1135,0.646,2024-08-21 19:10:36,1983259.406,-2663.0248000002,-320.0,-0.0013409511,-0.0001042216,0.9034,0.9034,0.9034,0.9034,136.0
2024-08-21 11:15:00,TWTUSDT,66c5cc5bf5f1cc5b477258e2,Binance,5m,3068030.0,2769203.878,0.6471,2024-08-21 19:15:39,1985322.213,2062.807,-2031.0,0.0010401095,-0.0006615504,0.9026,0.9026,0.9023,0.9023,434.0
2024-08-21 11:20:00,TWTUSDT,66c5cd7b43e6d4110ddc64ef,Binance,5m,3066329.0,2759982.67910834,0.6484,2024-08-21 19:20:27,1988207.7236,2885.5105999999,-1701.0,0.0014534218,-0.0005544274,0.9001,0.9001,0.8995,0.9,612.0
2024-08-21 11:25:00,TWTUSDT,66c5ceaf5e8107c04793f31a,Binance,5m,3065383.0,2760100.09695382,0.6477,2024-08-21 19:25:35,1985448.5691,-2759.1544999997,-946.0,-0.0013877597,-0.0003085122,0.9004,0.9005,0.8997,0.8997,1707.0
