datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,UMAUSDT,66c5c36d33a1faa0652bd0fe,Binance,5m,1962902.0,4026343.36934352,0.6214,2024-08-21 18:37:33,1219747.3028,-89.5792,-2358.0,-7.34354e-05,-0.0011998412,2.05,2.05,2.049,2.049,843.0
2024-08-21 10:40:00,UMAUSDT,66c5c43775fa436123578e8a,Binance,5m,1961655.0,4019431.095,0.6216,2024-08-21 18:40:55,1219364.748,-382.5547999998,-1247.0,-0.0003136345,-0.0006352839,2.05,2.05,2.049,2.049,637.0
2024-08-21 10:45:00,UMAUSDT,66c5c54a32c70d8ca7f02e0a,Binance,5m,1959236.0,4021925.36217676,0.6213,2024-08-21 18:45:30,1217273.3268,-2091.4212000002,-2419.0,-0.0017151728,-0.0012331424,2.053,2.054,2.053,2.054,1377.0
2024-08-21 10:50:00,UMAUSDT,66c5c6780d2848928364824f,Binance,5m,1959705.0,4030649.30322945,0.6213,2024-08-21 18:50:32,1217564.7165,291.3896999999,469.0,0.000239379,0.000239379,2.057,2.058,2.057,2.058,1175.0
2024-08-21 10:55:00,UMAUSDT,66c5c7ad0788cec8cdab26cd,Binance,5m,1956178.0,4027607.41544014,0.6202,2024-08-21 18:55:41,1213221.5956,-4343.1209,-3527.0,-0.0035670555,-0.0017997607,2.058,2.059,2.058,2.058,467.0
2024-08-21 11:00:00,UMAUSDT,66c5c8d8d0a6235fd39c1f23,Binance,5m,1954408.0,4020949.33814864,0.6217,2024-08-21 19:00:40,1215055.4536,1833.8580000002,-1770.0,0.0015115606,-0.0009048256,2.056,2.059,2.056,2.058,2775.0
2024-08-21 11:05:00,UMAUSDT,66c5c9facd9cfc74bfecfe5c,Binance,5m,1953369.0,4020033.402,0.6224,2024-08-21 19:05:30,1215776.8656,721.4119999998,-1039.0,0.0005937276,-0.0005316188,2.057,2.057,2.054,2.056,3621.0
2024-08-21 11:10:00,UMAUSDT,66c5cb26b4d7755ce8dab4d2,Binance,5m,1952694.0,4014738.864,0.6214,2024-08-21 19:10:30,1213404.0516,-2372.814,-675.0,-0.0019516854,-0.0003455568,2.056,2.056,2.055,2.055,1679.0
2024-08-21 11:15:00,UMAUSDT,66c5cc59f5f1cc5b477258c8,Binance,5m,1950436.0,4015947.724,0.6207,2024-08-21 19:15:37,1210635.6252,-2768.4263999998,-2258.0,-0.0022815371,-0.0011563512,2.058,2.059,2.057,2.057,6143.0
2024-08-21 11:20:00,UMAUSDT,66c5cd7e43e6d4110ddc6518,Binance,5m,1947314.0,4001805.28053528,0.62,2024-08-21 19:20:30,1207334.68,-3300.9452000002,-3122.0,-0.0027266216,-0.0016006677,2.055,2.056,2.054,2.054,1405.0
2024-08-21 11:25:00,UMAUSDT,66c5ceae5e8107c04793f301,Binance,5m,1945203.0,3993501.759,0.6191,2024-08-21 19:25:34,1204275.1773,-3059.5027000001,-2111.0,-0.0025340966,-0.0010840573,2.054,2.055,2.054,2.054,1060.0
2024-08-21 11:30:00,UMAUSDT,66c5cfdc7bc94cd7f1c05f6a,Binance,5m,1945421.0,3997795.25468332,0.6199,2024-08-21 19:30:36,1205966.4779,1691.3006000002,218.0,0.0014044137,0.0001120706,2.055,2.057,2.055,2.057,840.0
2024-08-21 11:35:00,UMAUSDT,66c5d10d4a4d6639b17eb3b8,Binance,5m,1943361.0,3995087.36571063,0.6201,2024-08-21 19:35:41,1205078.1561,-888.3218,-2060.0,-0.0007366057,-0.0010588968,2.055,2.056,2.055,2.056,942.0
2024-08-21 11:40:00,UMAUSDT,66c5d23559906877aa08d111,Binance,5m,1946971.0,4005657.21006958,0.6181,2024-08-21 19:40:37,1203422.7751,-1655.3810000001,3610.0,-0.0013736711,0.0018576065,2.058,2.058,2.057,2.058,3363.0
2024-08-21 11:45:00,UMAUSDT,66c5d369f0e99417ad49da00,Binance,5m,1944648.0,3997974.03418008,0.6199,2024-08-21 19:45:45,1205487.2952,2064.5201000001,-2323.0,0.0017155402,-0.0011931354,2.055,2.056,2.054,2.054,1112.0
2024-08-21 11:50:00,UMAUSDT,66c5d49671bfb838c7807c83,Binance,5m,1943313.0,3996871.99263735,0.6193,2024-08-21 19:50:46,1203493.7409,-1993.5543000002,-1335.0,-0.0016537331,-0.0006864996,2.056,2.057,2.056,2.057,2045.0
2024-08-21 11:55:00,UMAUSDT,66c5d5bc5421c7fdf1dca0be,Binance,5m,1942643.0,3998120.41681042,0.62,2024-08-21 19:55:40,1204438.66,944.9191000001,-670.0,0.0007851467,-0.000344772,2.058,2.058,2.058,2.058,0.0
2024-08-21 12:00:00,UMAUSDT,66c5d6ea4c1e6610b6c52e82,Binance,5m,1943933.0,3994160.47027263,0.6192,2024-08-21 20:00:42,1203683.3136,-755.3463999999,1290.0,-0.0006271356,0.0006640438,2.053,2.054,2.052,2.053,5235.0
2024-08-21 12:05:00,UMAUSDT,66c5d80c194a37119a33e02a,Binance,5m,1943056.0,3987499.1076352,0.6196,2024-08-21 20:05:32,1203917.4976,234.1840000001,-877.0,0.0001945562,-0.0004511472,2.051,2.053,2.051,2.053,6622.0
2024-08-21 12:10:00,UMAUSDT,66c5d942030d4af13f4381fa,Binance,5m,1940744.0,3980465.944,0.618,2024-08-21 20:10:42,1199379.792,-4537.7056000002,-2312.0,-0.0037691167,-0.0011898782,2.05,2.051,2.048,2.051,3383.0
2024-08-21 12:15:00,UMAUSDT,66c5da631a353e7689c38d73,Binance,5m,1940237.0,3978191.08734476,0.618,2024-08-21 20:15:31,1199066.466,-313.3259999999,-507.0,-0.00026124,-0.00026124,2.05,2.05,2.048,2.049,2440.0
2024-08-21 12:20:00,UMAUSDT,66c5db8d87429915e1a27a80,Binance,5m,1938643.0,3970340.864,0.6176,2024-08-21 20:20:29,1197305.9168,-1760.5492,-1594.0,-0.0014682666,-0.0008215491,2.047,2.047,2.044,2.044,2272.0
2024-08-21 12:25:00,UMAUSDT,66c5dcc84410e87fb657868c,Binance,5m,1935428.0,3967627.4,0.6168,2024-08-21 20:25:44,1193771.9904,-3533.9264,-3215.0,-0.0029515651,-0.0016583765,2.05,2.052,2.05,2.05,3382.0
