datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,UNIUSDT,66c5c37733a1faa0652bd194,Binance,5m,4607199.0,29693397.555,0.6742,2024-08-21 18:37:43,3106173.5658,936.0378999999,-662.0,0.0003014384,-0.0001436675,6.446,6.449,6.443,6.448,4571.0
2024-08-21 10:40:00,UNIUSDT,66c5c43075fa436123578e33,Binance,5m,4603372.0,29677939.284,0.6749,2024-08-21 18:40:48,3106815.7628,642.1970000002,-3827.0,0.0002067486,-0.0008306565,6.449,6.449,6.443,6.446,2381.0
2024-08-21 10:45:00,UNIUSDT,66c5c54c32c70d8ca7f02e2c,Binance,5m,4606595.0,29703940.78421315,0.6744,2024-08-21 18:45:32,3106687.668,-128.0948000001,3223.0,-4.12303e-05,0.0007001389,6.444,6.449,6.444,6.449,1804.0
2024-08-21 10:50:00,UNIUSDT,66c5c67a0d2848928364826a,Binance,5m,4608944.0,29769169.296,0.6757,2024-08-21 18:50:34,3114263.4608,7575.7927999999,2349.0,0.0024385434,0.0005099211,6.458,6.459,6.455,6.459,3023.0
2024-08-21 10:55:00,UNIUSDT,66c5c7a80788cec8cdab268b,Binance,5m,4607376.0,29754815.56051152,0.6754,2024-08-21 18:55:36,3111821.7504,-2441.7104000002,-1568.0,-0.0007840411,-0.0003402081,6.46,6.467,6.46,6.465,7679.0
2024-08-21 11:00:00,UNIUSDT,66c5c8cbd0a6235fd39c1e7d,Binance,5m,4611923.0,29816082.195,0.6748,2024-08-21 19:00:27,3112125.6404,303.8900000001,4547.0,9.76566e-05,0.0009868958,6.465,6.472,6.462,6.469,7860.0
2024-08-21 11:05:00,UNIUSDT,66c5ca03cd9cfc74bfecfecc,Binance,5m,4617818.0,29923460.64,0.6773,2024-08-21 19:05:39,3127648.1314,15522.4909999999,5895.0,0.0049877456,0.0012782087,6.479,6.48,6.467,6.467,3050.0
2024-08-21 11:10:00,UNIUSDT,66c5cb25b4d7755ce8dab4c0,Binance,5m,4618212.0,29889068.064,0.6783,2024-08-21 19:10:29,3132533.1996,4885.0682000001,394.0,0.0015618983,8.53217e-05,6.471,6.471,6.461,6.461,1213.0
2024-08-21 11:15:00,UNIUSDT,66c5cc56f5f1cc5b477258a7,Binance,5m,4620474.0,29802057.3,0.6782,2024-08-21 19:15:34,3133605.4668,1072.2672000001,2262.0,0.0003423003,0.0004897999,6.45,6.451,6.441,6.441,2796.0
2024-08-21 11:20:00,UNIUSDT,66c5cd8443e6d4110ddc6568,Binance,5m,4622986.0,29800447.334942,0.6766,2024-08-21 19:20:36,3127912.3276,-5693.1392000001,2512.0,-0.0018168015,0.0005436672,6.446,6.446,6.442,6.446,1657.0
2024-08-21 11:25:00,UNIUSDT,66c5ceac5e8107c04793f2f2,Binance,5m,4623381.0,29839300.974,0.6767,2024-08-21 19:25:32,3128641.9227,729.5951,395.0,0.0002332531,8.54426e-05,6.454,6.455,6.447,6.453,11909.0
2024-08-21 11:30:00,UNIUSDT,66c5cfd67bc94cd7f1c05f1d,Binance,5m,4618476.0,29798407.152,0.6778,2024-08-21 19:30:30,3130403.0328,1761.1100999997,-4905.0,0.0005628992,-0.0010609119,6.452,6.457,6.449,6.456,2255.0
2024-08-21 11:35:00,UNIUSDT,66c5d10c4a4d6639b17eb3ad,Binance,5m,4623195.0,29865839.7,0.677,2024-08-21 19:35:40,3129903.015,-500.0177999996,4719.0,-0.0001597295,0.0010217656,6.458,6.463,6.458,6.463,930.0
2024-08-21 11:40:00,UNIUSDT,66c5d22f59906877aa08d0b5,Binance,5m,4623972.0,29880107.064,0.6767,2024-08-21 19:40:31,3129041.8524,-861.1626000004,777.0,-0.0002751403,0.0001680656,6.462,6.467,6.462,6.467,1574.0
2024-08-21 11:45:00,UNIUSDT,66c5d368f0e99417ad49d9f6,Binance,5m,4622351.0,29874254.513,0.6775,2024-08-21 19:45:44,3131642.8025,2600.9501,-1621.0,0.0008312289,-0.0003505644,6.462,6.462,6.456,6.459,1277.0
2024-08-21 11:50:00,UNIUSDT,66c5d49271bfb838c7807c52,Binance,5m,4624543.0,29890612.79494598,0.6775,2024-08-21 19:50:42,3133127.8825,1485.0800000001,2192.0,0.0004742176,0.0004742176,6.461,6.464,6.459,6.464,1882.0
2024-08-21 11:55:00,UNIUSDT,66c5d5b25421c7fdf1dca049,Binance,5m,4625585.0,29879755.84860365,0.6772,2024-08-21 19:55:30,3132446.162,-681.7204999998,1042.0,-0.0002175846,0.0002253196,6.458,6.46,6.457,6.457,1210.0
2024-08-21 12:00:00,UNIUSDT,66c5d6e24c1e6610b6c52e28,Binance,5m,4625765.0,29855290.8798172,0.6768,2024-08-21 20:00:34,3130717.752,-1728.4100000001,180.0,-0.0005517764,3.8914e-05,6.453,6.456,6.448,6.453,14483.0
2024-08-21 12:05:00,UNIUSDT,66c5d80d194a37119a33e037,Binance,5m,4621461.0,29888942.37935463,0.6767,2024-08-21 20:05:33,3127342.6587,-3375.0932999998,-4304.0,-0.0010780574,-0.0009304407,6.467,6.472,6.467,6.471,1353.0
2024-08-21 12:10:00,UNIUSDT,66c5d937030d4af13f438164,Binance,5m,4620109.0,29869004.685,0.678,2024-08-21 20:10:31,3132433.902,5091.2433000002,-1352.0,0.0016279774,-0.0002925482,6.465,6.465,6.458,6.458,1800.0
2024-08-21 12:15:00,UNIUSDT,66c5da611a353e7689c38d5b,Binance,5m,4618599.0,29800021.4730423,0.6771,2024-08-21 20:15:29,3127253.3829,-5180.5191000002,-1510.0,-0.0016538319,-0.0003268321,6.452,6.452,6.443,6.445,3726.0
2024-08-21 12:20:00,UNIUSDT,66c5db9087429915e1a27a9d,Binance,5m,4617435.0,29727046.53,0.6771,2024-08-21 20:20:32,3126465.2385,-788.1444000001,-1164.0,-0.0002520245,-0.0002520245,6.437,6.437,6.425,6.431,5830.0
