datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,WLDUSDT,66c5c37933a1faa0652bd1b0,Binance,5m,34339487.0,51924428.20713239,0.7622,2024-08-21 18:37:45,26173556.9914,20263.2569999993,-447.0,0.000774788,-1.30169e-05,1.5116,1.5116,1.5095,1.5111,102168.0
2024-08-21 10:40:00,WLDUSDT,66c5c43d75fa436123578edd,Binance,5m,34304780.0,51786495.888,0.7631,2024-08-21 18:41:01,26177977.618,4420.626600001,-34707.0,0.0001688967,-0.0010107023,1.5096,1.5106,1.5085,1.5103,28501.0
2024-08-21 10:45:00,WLDUSDT,66c5c55132c70d8ca7f02e6c,Binance,5m,34315174.0,51917271.1852025,0.762,2024-08-21 18:45:37,26148162.588,-29815.0300000012,10394.0,-0.0011389356,0.0003029898,1.5127,1.5132,1.5123,1.5126,34689.0
2024-08-21 10:50:00,WLDUSDT,66c5c6750d2848928364822a,Binance,5m,34311986.0,51999814.783,0.763,2024-08-21 18:50:29,26180045.318,31882.7300000004,-3188.0,0.0012193105,-9.29035e-05,1.5155,1.5178,1.5151,1.5174,109188.0
2024-08-21 10:55:00,WLDUSDT,66c5c79f0788cec8cdab261f,Binance,5m,34334825.0,52078627.8811155,0.7632,2024-08-21 18:55:27,26204338.44,24293.1220000014,22839.0,0.0009279251,0.0006656275,1.5166,1.5177,1.5161,1.5173,20985.0
2024-08-21 11:00:00,WLDUSDT,66c5c8ccd0a6235fd39c1e8b,Binance,5m,34322467.0,52139259.6197,0.7636,2024-08-21 19:00:28,26208635.8012,4297.3611999974,-12358.0,0.0001639943,-0.0003599261,1.5191,1.5197,1.5177,1.5177,56624.0
2024-08-21 11:05:00,WLDUSDT,66c5ca04cd9cfc74bfecfed8,Binance,5m,34318089.0,52035177.54296277,0.7649,2024-08-21 19:05:40,26249906.2761,41270.4749000035,-4378.0,0.0015746899,-0.0001275549,1.516,1.516,1.5127,1.5137,85955.0
2024-08-21 11:10:00,WLDUSDT,66c5cb33b4d7755ce8dab578,Binance,5m,34337067.0,52006921.6782,0.7638,2024-08-21 19:10:43,26226651.774600003,-23254.5014999993,18978.0,-0.0008858889,0.0005530028,1.5147,1.5159,1.5144,1.5152,60321.0
2024-08-21 11:15:00,WLDUSDT,66c5cc4ef5f1cc5b47725840,Binance,5m,34332164.0,51978896.296,0.7633,2024-08-21 19:15:26,26205740.7812,-20910.9934000038,-4903.0,-0.0007973185,-0.0001427903,1.5142,1.5145,1.5123,1.5124,17863.0
2024-08-21 11:20:00,WLDUSDT,66c5cd8243e6d4110ddc6548,Binance,5m,34327901.0,51894644.10540568,0.7632,2024-08-21 19:20:34,26199054.0432,-6686.737999998,-4263.0,-0.0002551631,-0.0001241693,1.5115,1.5118,1.51,1.5108,36495.0
2024-08-21 11:25:00,WLDUSDT,66c5ceaf5e8107c04793f311,Binance,5m,34316515.0,51821369.3015,0.7634,2024-08-21 19:25:35,26197227.551,-1826.4922000021,-11386.0,-6.9716e-05,-0.0003316835,1.5101,1.5102,1.5086,1.5086,37541.0
2024-08-21 11:30:00,WLDUSDT,66c5cfd87bc94cd7f1c05f34,Binance,5m,34336027.0,51771861.5106,0.7652,2024-08-21 19:30:32,26273927.8604,76700.3093999997,19512.0,0.0029278025,0.0005685892,1.5079,1.5091,1.5065,1.509,68254.0
2024-08-21 11:35:00,WLDUSDT,66c5d10f4a4d6639b17eb3cb,Binance,5m,34342436.0,51780015.30731344,0.7664,2024-08-21 19:35:43,26320042.9504,46115.0899999999,6409.0,0.0017551654,0.0001866553,1.5072,1.5113,1.5072,1.5108,51268.0
2024-08-21 11:40:00,WLDUSDT,66c5d23859906877aa08d132,Binance,5m,34310218.0,51801567.1364,0.7651,2024-08-21 19:40:40,26250747.7918,-69295.1585999988,-32218.0,-0.0026327905,-0.0009381396,1.5102,1.5127,1.5101,1.5127,33165.0
