datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,XAIUSDT,66c5c37633a1faa0652bd178,Binance,5m,36494705.0,7477765.0545,0.7575,2024-08-21 18:37:42,27644739.0375,72384.5810999982,109967.0,0.0026252593,0.0030223387,0.2048,0.2048,0.2046,0.2046,122223.0
2024-08-21 10:40:00,XAIUSDT,66c5c43275fa436123578e50,Binance,5m,36480998.0,7456715.9912,0.7578,2024-08-21 18:40:50,27645300.2844,561.2469000034,-13707.0,2.03021e-05,-0.0003755887,0.2044,0.2044,0.2042,0.2043,32125.0
2024-08-21 10:45:00,XAIUSDT,66c5c54f32c70d8ca7f02e54,Binance,5m,36471112.0,7463174.46162888,0.7576,2024-08-21 18:45:35,27630514.4512,-14785.8332000002,-9886.0,-0.0005348408,-0.0002709904,0.2046,0.2049,0.2046,0.2048,86338.0
2024-08-21 10:50:00,XAIUSDT,66c5c6830d284892836482cf,Binance,5m,36501264.0,7478565.1247664,0.7583,2024-08-21 18:50:43,27678908.4912,48394.0399999991,30152.0,0.0017514708,0.0008267365,0.2048,0.2051,0.2048,0.2051,190300.0
2024-08-21 10:55:00,XAIUSDT,66c5c7af0788cec8cdab26e8,Binance,5m,36565569.0,7505627.13291672,0.7614,2024-08-21 18:55:43,27841024.2366,162115.7454000004,64305.0,0.0058570137,0.0017617198,0.2052,0.2053,0.2052,0.2052,53875.0
2024-08-21 11:00:00,XAIUSDT,66c5c8d9d0a6235fd39c1f32,Binance,5m,36568322.0,7500162.8422,0.761,2024-08-21 19:00:41,27828493.042,-12531.194600001,2753.0,-0.0004500982,7.52894e-05,0.2051,0.2054,0.205,0.2054,104589.0
2024-08-21 11:05:00,XAIUSDT,66c5c9fdcd9cfc74bfecfe7b,Binance,5m,36570469.0,7504299.73490652,0.76,2024-08-21 19:05:33,27793556.44,-34936.6019999981,2147.0,-0.0012554256,5.8712e-05,0.2051,0.2051,0.2048,0.2049,51377.0
2024-08-21 11:10:00,XAIUSDT,66c5cb27b4d7755ce8dab4dd,Binance,5m,36598884.0,7499111.3316,0.7593,2024-08-21 19:10:31,27789532.6212,-4023.8188000023,28415.0,-0.0001447752,0.000776993,0.205,0.205,0.2048,0.2048,3383.0
2024-08-21 11:15:00,XAIUSDT,66c5cc4ef5f1cc5b47725842,Binance,5m,36630256.0,7496099.10482368,0.7592,2024-08-21 19:15:26,27809690.3552,20157.7340000011,31372.0,0.0007253715,0.0008571846,0.2046,0.2046,0.204,0.204,72756.0
2024-08-21 11:20:00,XAIUSDT,66c5cd7c43e6d4110ddc64f7,Binance,5m,36557598.0,7457749.992,0.7596,2024-08-21 19:20:28,27769151.440800004,-40538.9143999964,-72658.0,-0.0014577262,-0.0019835515,0.2039,0.2039,0.2037,0.2039,43700.0
2024-08-21 11:25:00,XAIUSDT,66c5ceae5e8107c04793f30c,Binance,5m,36539355.0,7454028.42,0.7598,2024-08-21 19:25:34,27762601.929,-6549.5118000023,-18243.0,-0.0002358557,-0.0004990208,0.2039,0.204,0.2038,0.2039,82875.0
2024-08-21 11:30:00,XAIUSDT,66c5cfda7bc94cd7f1c05f53,Binance,5m,36521379.0,7446709.1781,0.7596,2024-08-21 19:30:34,27741639.4884,-20962.4406000003,-17976.0,-0.0007550604,-0.0004919627,0.2039,0.204,0.2038,0.2039,108236.0
2024-08-21 11:35:00,XAIUSDT,66c5d1064a4d6639b17eb354,Binance,5m,36474906.0,7437233.3334,0.7587,2024-08-21 19:35:34,27673511.1822,-68128.3062000014,-46473.0,-0.002455814,-0.0012724875,0.2038,0.204,0.2038,0.2039,18191.0
2024-08-21 11:40:00,XAIUSDT,66c5d23559906877aa08d109,Binance,5m,36453258.0,7436464.632,0.7593,2024-08-21 19:40:37,27678958.7994,5447.6171999983,-21648.0,0.0001968531,-0.0005935039,0.204,0.2044,0.204,0.2044,47141.0
2024-08-21 11:45:00,XAIUSDT,66c5d35af0e99417ad49d95b,Binance,5m,36451691.0,7439790.1331,0.7592,2024-08-21 19:45:30,27674123.8072,-4834.9921999983,-1567.0,-0.0001746811,-4.29866e-05,0.2041,0.2041,0.2039,0.2041,46241.0
