datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,XRPUSDT,66c5c36d33a1faa0652bd0fb,Binance,5m,272949927.0,163099135.35290992,0.6262,2024-08-21 18:37:33,170921244.2874,-249899.7670799792,-180987.3999999762,-0.001459941,-0.0006626397,0.5975,0.5983,0.5975,0.5983,219080.5
2024-08-21 10:40:00,XRPUSDT,66c5c43375fa436123578e59,Binance,5m,272776140.5,163220573.64945492,0.6258,2024-08-21 18:40:51,170703308.7249,-217935.5625,-173786.5,-0.0012750642,-0.0006366974,0.5984,0.5984,0.5978,0.5979,126005.0
2024-08-21 10:45:00,XRPUSDT,66c5c54f32c70d8ca7f02e58,Binance,5m,272708968.7,163025421.48886,0.6257,2024-08-21 18:45:35,170634001.71559,-69307.0093100071,-67171.8000000119,-0.0004060086,-0.0002462525,0.5978,0.5978,0.5977,0.5978,30815.9
2024-08-21 10:50:00,XRPUSDT,66c5c67c0d28489283648279,Binance,5m,272945137.2,163436529.38214257,0.6253,2024-08-21 18:50:36,170672594.29116,38592.5755699873,236168.5,0.0002261717,0.0008660093,0.5988,0.5993,0.5987,0.5992,318472.8
2024-08-21 10:55:00,XRPUSDT,66c5c7a10788cec8cdab2634,Binance,5m,272859439.3,163372185.38921475,0.6257,2024-08-21 18:55:29,170728151.17001003,55556.8788500428,-85697.8999999762,0.0003255173,-0.0003139748,0.5986,0.5988,0.5984,0.5985,173259.6
2024-08-21 11:00:00,XRPUSDT,66c5c8cbd0a6235fd39c1e7f,Binance,5m,273061693.1,163543411.73572809,0.6258,2024-08-21 19:00:27,170882007.54198003,153856.3719699979,202253.8000000119,0.0009011775,0.0007412381,0.599,0.5996,0.599,0.5994,503037.4
2024-08-21 11:05:00,XRPUSDT,66c5c9fdcd9cfc74bfecfe7c,Binance,5m,273418464.1,163832343.68872,0.6262,2024-08-21 19:05:33,171214642.21942002,332634.6774399877,356771.0,0.0019465752,0.0013065582,0.5991,0.5993,0.5987,0.5988,183164.5
2024-08-21 11:10:00,XRPUSDT,66c5cb26b4d7755ce8dab4d3,Binance,5m,273514234.2,163725620.59212,0.6263,2024-08-21 19:10:30,171301964.87945998,87322.6600399613,95770.0999999642,0.0005100186,0.0003502693,0.5985,0.5986,0.5984,0.5984,68241.3
2024-08-21 11:15:00,XRPUSDT,66c5cc5df5f1cc5b47725902,Binance,5m,273295387.6,163567289.4786,0.6263,2024-08-21 19:15:41,171164901.25388,-137063.625579983,-218846.5999999642,-0.0008001287,-0.0008001287,0.5985,0.5985,0.5977,0.5977,138239.0
2024-08-21 11:20:00,XRPUSDT,66c5cd8643e6d4110ddc657a,Binance,5m,273310980.5,163505776.8899946,0.6267,2024-08-21 19:20:38,171283991.47935,119090.2254700065,15592.8999999762,0.0006957631,5.70551e-05,0.5981,0.5982,0.5979,0.5981,179994.7
2024-08-21 11:25:00,XRPUSDT,66c5ceac5e8107c04793f2eb,Binance,5m,273336350.2,163345802.87952,0.6265,2024-08-21 19:25:32,171245223.40029997,-38768.0790500343,25369.6999999881,-0.000226338,9.28236e-05,0.5976,0.5977,0.5974,0.5975,222671.4
