datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,XVSUSDT,66c5c37533a1faa0652bd16f,Binance,5m,428561.1,2987070.867,0.5678,2024-08-21 18:37:41,243336.99258,-310.4754,282.9,-0.0012742812,0.0006605519,6.968,6.968,6.955,6.959,392.3
2024-08-21 10:40:00,XVSUSDT,66c5c43d75fa436123578edb,Binance,5m,428474.5,2979621.93496428,0.5702,2024-08-21 18:41:01,244316.1599,979.1673200001,-86.6,0.0040239148,-0.0002020715,6.952,6.952,6.951,6.951,95.3
2024-08-21 10:45:00,XVSUSDT,66c5c55032c70d8ca7f02e62,Binance,5m,428496.2,2981214.16566697,0.569,2024-08-21 18:45:36,243814.3378,-501.8221,21.7,-0.0020539865,5.06448e-05,6.955,6.967,6.955,6.966,388.6
2024-08-21 10:50:00,XVSUSDT,66c5c67e0d2848928364828d,Binance,5m,428344.8,2991131.7384,0.567,2024-08-21 18:50:38,242871.5016,-942.8362,-151.4,-0.0038670252,-0.0003533287,6.984,6.988,6.984,6.988,278.1
2024-08-21 10:55:00,XVSUSDT,66c5c7a80788cec8cdab268a,Binance,5m,427856.3,2989825.1338112,0.5691,2024-08-21 18:55:36,243493.02033,621.5187300001,-488.5,0.0025590435,-0.0011404364,6.992,7.0,6.992,6.992,625.3
2024-08-21 11:00:00,XVSUSDT,66c5c8d3d0a6235fd39c1edf,Binance,5m,427188.2,2987364.40603303,0.5696,2024-08-21 19:00:35,243326.39872,-166.62161,-668.1,-0.0006842973,-0.0015615056,6.992,6.998,6.988,6.991,1718.9
2024-08-21 11:05:00,XVSUSDT,66c5c9fecd9cfc74bfecfe85,Binance,5m,427168.1,2987397.97578118,0.5735,2024-08-21 19:05:34,244980.90535,1654.50663,-20.1,0.0067995361,-4.70519e-05,6.99,6.99,6.985,6.987,191.7
2024-08-21 11:10:00,XVSUSDT,66c5cb28b4d7755ce8dab4ea,Binance,5m,427132.4,2985655.476,0.5725,2024-08-21 19:10:32,244533.299,-447.60635,-35.7,-0.0018271071,-8.35737e-05,6.989,6.991,6.988,6.989,24.7
2024-08-21 11:15:00,XVSUSDT,66c5cc54f5f1cc5b4772588a,Binance,5m,427273.0,2989023.07715858,0.5696,2024-08-21 19:15:32,243374.7008,-1158.5982,140.6,-0.0047379977,0.0003291719,6.989,6.989,6.986,6.987,64.5
2024-08-21 11:20:00,XVSUSDT,66c5cd7b43e6d4110ddc64ec,Binance,5m,427117.1,2983187.68194146,0.569,2024-08-21 19:20:27,243029.6299,-345.0709,-155.9,-0.0014178585,-0.0003648721,6.984,6.984,6.984,6.984,0.0
2024-08-21 11:25:00,XVSUSDT,66c5ceb35e8107c04793f342,Binance,5m,426995.1,2981740.35365476,0.5684,2024-08-21 19:25:39,242704.01484,-325.61506,-122.0,-0.0013398163,-0.000285636,6.98,6.981,6.98,6.98,80.0
2024-08-21 11:30:00,XVSUSDT,66c5cfe57bc94cd7f1c05fd0,Binance,5m,426427.4,2975183.9698,0.5699,2024-08-21 19:30:45,243020.97526,316.96042,-567.7,0.0013059546,-0.0013295235,6.974,6.979,6.974,6.978,89.4
2024-08-21 11:35:00,XVSUSDT,66c5d10f4a4d6639b17eb3c8,Binance,5m,426677.9,2980340.36550786,0.5672,2024-08-21 19:35:43,242011.70488,-1009.27038,250.5,-0.0041530176,0.0005874388,6.98,6.981,6.98,6.981,15.1
2024-08-21 11:40:00,XVSUSDT,66c5d23259906877aa08d0de,Binance,5m,426737.8,2979910.0574,0.5672,2024-08-21 19:40:34,242045.68016,33.97528,59.9,0.0001403869,0.0001403869,6.977,6.987,6.977,6.987,1160.7
2024-08-21 11:45:00,XVSUSDT,66c5d366f0e99417ad49d9e7,Binance,5m,426227.9,2969529.7793,0.5717,2024-08-21 19:45:42,243674.49043,1628.81027,-509.9,0.0067293507,-0.0011948789,6.966,6.967,6.964,6.967,172.3
2024-08-21 11:50:00,XVSUSDT,66c5d48871bfb838c7807bda,Binance,5m,426238.1,2976002.46157533,0.5699,2024-08-21 19:50:32,242913.09319,-761.39724,10.2,-0.0031246489,2.39309e-05,6.98,6.981,6.978,6.981,106.5
2024-08-21 11:55:00,XVSUSDT,66c5d5b05421c7fdf1dca02c,Binance,5m,426454.4,2982343.45814685,0.5705,2024-08-21 19:55:28,243292.2352,379.14201,216.3,0.0015608134,0.0005074628,6.991,6.991,6.991,6.991,13.1
2024-08-21 12:00:00,XVSUSDT,66c5d6e34c1e6610b6c52e2c,Binance,5m,426435.7,2978966.84591178,0.5703,2024-08-21 20:00:35,243196.27971,-95.95549,-18.7,-0.0003944042,-4.38499e-05,6.981,6.994,6.981,6.993,1614.0
2024-08-21 12:05:00,XVSUSDT,66c5d808194a37119a33dfff,Binance,5m,426187.6,2982427.21990774,0.5691,2024-08-21 20:05:28,242543.36316,-652.91655,-248.1,-0.0026847308,-0.0005817993,6.999,7.006,6.999,7.0,217.4
2024-08-21 12:10:00,XVSUSDT,66c5d939030d4af13f43818a,Binance,5m,426302.0,2977719.47,0.5694,2024-08-21 20:10:33,242736.3588,192.99564,114.4,0.000795716,0.0002684264,6.985,6.985,6.972,6.972,754.4
2024-08-21 12:15:00,XVSUSDT,66c5da651a353e7689c38d8f,Binance,5m,425816.8,2969581.98821618,0.5699,2024-08-21 20:15:33,242672.99432,-63.36448,-485.2,-0.0002610424,-0.0011381603,6.971,6.98,6.971,6.974,639.2
2024-08-21 12:20:00,XVSUSDT,66c5db9387429915e1a27ac4,Binance,5m,425781.2,2966843.4016,0.5689,2024-08-21 20:20:35,242226.92468,-446.06964,-35.6,-0.0018381511,-8.3604e-05,6.966,6.972,6.962,6.966,1141.4
2024-08-21 12:25:00,XVSUSDT,66c5dcc04410e87fb657862d,Binance,5m,425654.5,2971494.0645,0.5688,2024-08-21 20:25:36,242112.2796,-114.64508,-126.7,-0.0004732962,-0.0002975707,6.982,6.982,6.979,6.979,131.1
2024-08-21 12:30:00,XVSUSDT,66c5ddec2a76f630801ddd9f,Binance,5m,425600.2,2972817.397,0.57,2024-08-21 20:30:36,242592.114,479.8344,-54.3,0.0019818673,-0.0001275683,6.987,6.994,6.987,6.99,293.6
2024-08-21 12:35:00,XVSUSDT,66c5df1db57aac33cb36d679,Binance,5m,425733.8,2973324.8592,0.571,2024-08-21 20:35:41,243093.9998,501.8858,133.6,0.0020688463,0.0003139096,6.976,6.976,6.972,6.974,91.4
