datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,YGGUSDT,66c5c36e33a1faa0652bd103,Binance,5m,20404445.0,7898566.16870015,0.6384,2024-08-21 18:37:34,13026197.688,-4426.4595000017,-16530.0,-0.0003396967,-0.0008094618,0.387,0.3871,0.3869,0.3871,3366.0
2024-08-21 10:40:00,YGGUSDT,66c5c43575fa436123578e74,Binance,5m,20409285.0,7904670.17060175,0.6376,2024-08-21 18:40:53,13012960.116,-13237.5720000006,4840.0,-0.0010162269,0.0002372032,0.3872,0.3872,0.3869,0.387,9280.0
2024-08-21 10:45:00,YGGUSDT,66c5c54e32c70d8ca7f02e4a,Binance,5m,20401171.0,7896959.12291902,0.6372,2024-08-21 18:45:34,12999626.1612,-13333.9547999986,-8114.0,-0.0010246673,-0.0003975641,0.3871,0.3873,0.387,0.3871,5881.0
2024-08-21 10:50:00,YGGUSDT,66c5c6800d284892836482ac,Binance,5m,20398617.0,7914663.396,0.6365,2024-08-21 18:50:40,12983719.7205,-15906.4407000002,-2554.0,-0.0012236075,-0.0001251889,0.3882,0.3885,0.3881,0.3885,4043.0
2024-08-21 10:55:00,YGGUSDT,66c5c7a90788cec8cdab2693,Binance,5m,20395996.0,7921440.16599152,0.6364,2024-08-21 18:55:37,12980011.8544,-3707.8661000002,-2621.0,-0.0002855781,-0.0001284891,0.3883,0.3886,0.3882,0.3884,15872.0
2024-08-21 11:00:00,YGGUSDT,66c5c8d9d0a6235fd39c1f2c,Binance,5m,20398061.0,7922606.8924,0.6373,2024-08-21 19:00:41,12999684.2753,19672.4209000003,2065.0,0.0015155934,0.0001012454,0.3882,0.3886,0.3881,0.3883,14802.0
2024-08-21 11:05:00,YGGUSDT,66c5c9ffcd9cfc74bfecfe99,Binance,5m,20393186.0,7918674.1238,0.6375,2024-08-21 19:05:35,13000656.075,971.7996999994,-4875.0,7.47556e-05,-0.0002389933,0.388,0.388,0.3876,0.3877,5317.0
2024-08-21 11:10:00,YGGUSDT,66c5cb2eb4d7755ce8dab535,Binance,5m,20392588.0,7910284.8852,0.6374,2024-08-21 19:10:38,12998235.5912,-2420.4837999996,-598.0,-0.0001861817,-2.93235e-05,0.388,0.388,0.3877,0.3877,2185.0
2024-08-21 11:15:00,YGGUSDT,66c5cc59f5f1cc5b477258ce,Binance,5m,20392013.0,7901905.0375,0.6376,2024-08-21 19:15:37,13001947.4888,3711.8975999989,-575.0,0.0002855693,-2.81965e-05,0.3873,0.3873,0.3869,0.3869,5336.0
2024-08-21 11:20:00,YGGUSDT,66c5cd8043e6d4110ddc652b,Binance,5m,20391293.0,7879659.92494161,0.6379,2024-08-21 19:20:32,13007605.8047,5658.3159000017,-720.0,0.0004351899,-3.53079e-05,0.3862,0.3864,0.386,0.3863,11264.0
2024-08-21 11:25:00,YGGUSDT,66c5ceb65e8107c04793f373,Binance,5m,20382780.0,7871829.636,0.6371,2024-08-21 19:25:42,12985869.138,-21736.6666999999,-8513.0,-0.0016710736,-0.0004174821,0.3862,0.3864,0.386,0.386,7184.0
2024-08-21 11:30:00,YGGUSDT,66c5cfdc7bc94cd7f1c05f66,Binance,5m,20380866.0,7871090.4492,0.6375,2024-08-21 19:30:36,12992802.075,6932.936999999,-1914.0,0.0005338832,-9.39028e-05,0.3863,0.3866,0.3861,0.3866,15525.0
2024-08-21 11:35:00,YGGUSDT,66c5d1114a4d6639b17eb3ec,Binance,5m,20370280.0,7891068.8070088,0.6378,2024-08-21 19:35:45,12992164.584,-637.4909999985,-10586.0,-4.90649e-05,-0.0005194087,0.3871,0.3874,0.3871,0.3874,6843.0
2024-08-21 11:40:00,YGGUSDT,66c5d23059906877aa08d0c4,Binance,5m,20368795.0,7871881.3554215,0.6371,2024-08-21 19:40:32,12976959.2945,-15205.2895,-1485.0,-0.001170343,-7.29003e-05,0.3866,0.3873,0.3866,0.3873,6999.0
2024-08-21 11:45:00,YGGUSDT,66c5d367f0e99417ad49d9f1,Binance,5m,20367596.0,7870039.0944,0.637,2024-08-21 19:45:43,12974158.652,-2800.6425000001,-1199.0,-0.0002158165,-5.88646e-05,0.3866,0.3867,0.3863,0.3866,9266.0
2024-08-21 11:50:00,YGGUSDT,66c5d48e71bfb838c7807c28,Binance,5m,20356951.0,7882331.5332109,0.6381,2024-08-21 19:50:38,12989770.4331,15611.7810999993,-10645.0,0.0012032981,-0.0005226439,0.3872,0.3873,0.3871,0.3873,1185.0
2024-08-21 11:55:00,YGGUSDT,66c5d5bf5421c7fdf1dca0e4,Binance,5m,20362713.0,7892604.05259753,0.638,2024-08-21 19:55:43,12991410.894,1640.4608999994,5762.0,0.0001262887,0.0002830483,0.3877,0.3877,0.3877,0.3877,918.0
2024-08-21 12:00:00,YGGUSDT,66c5d6e64c1e6610b6c52e59,Binance,5m,20372793.0,7887702.28052499,0.6376,2024-08-21 20:00:38,12989692.816799998,-1718.0772000011,10080.0,-0.0001322472,0.0004950224,0.387,0.3875,0.387,0.3875,42712.0
2024-08-21 12:05:00,YGGUSDT,66c5d812194a37119a33e076,Binance,5m,20361472.0,7885998.1056,0.6382,2024-08-21 20:05:38,12994691.4304,4998.6136000007,-11321.0,0.0003848138,-0.0005556921,0.3873,0.3873,0.3871,0.3871,11411.0
2024-08-21 12:10:00,YGGUSDT,66c5d93f030d4af13f4381da,Binance,5m,20356486.0,7861674.8932,0.6394,2024-08-21 20:10:39,13015937.1484,21245.7180000003,-4986.0,0.0016349536,-0.0002448742,0.3861,0.3861,0.3853,0.3855,18810.0
2024-08-21 12:15:00,YGGUSDT,66c5da5f1a353e7689c38d3a,Binance,5m,20356325.0,7856681.598832,0.6384,2024-08-21 20:15:27,12995477.88,-20459.2684000004,-161.0,-0.0015718629,-7.909e-06,0.3858,0.3858,0.3854,0.3858,23262.0
2024-08-21 12:20:00,YGGUSDT,66c5db9a87429915e1a27b18,Binance,5m,20340064.0,7828890.6336,0.6381,2024-08-21 20:20:42,12978994.8384,-16483.0415999983,-16261.0,-0.0012683675,-0.0007988181,0.3848,0.3848,0.3838,0.3841,18933.0
2024-08-21 12:25:00,YGGUSDT,66c5dcc04410e87fb6578631,Binance,5m,20313165.0,7825881.83956905,0.6386,2024-08-21 20:25:36,12971987.169,-7007.6694000009,-26899.0,-0.0005399239,-0.0013224639,0.3853,0.3853,0.3847,0.3848,7079.0
2024-08-21 12:30:00,YGGUSDT,66c5dde62a76f630801ddd56,Binance,5m,20302597.0,7824620.8838,0.639,2024-08-21 20:30:30,12973359.483,1372.3140000012,-10568.0,0.0001057906,-0.0005202537,0.3855,0.386,0.3853,0.3858,10369.0
2024-08-21 12:35:00,YGGUSDT,66c5df11b57aac33cb36d5e6,Binance,5m,20302082.0,7842642.5062909,0.6347,2024-08-21 20:35:29,12885731.4454,-87628.0375999995,-515.0,-0.00675446,-2.53662e-05,0.3863,0.3863,0.386,0.3862,11620.0
2024-08-21 12:40:00,YGGUSDT,66c5e047ceb837855906c274,Binance,5m,20302878.0,7844328.15841974,0.6347,2024-08-21 20:40:39,12886236.6666,505.2211999986,796.0,3.92078e-05,3.92078e-05,0.3863,0.3864,0.3861,0.3861,9404.0
2024-08-21 12:45:00,YGGUSDT,66c5e1692c2ea1d744f116c3,Binance,5m,20295040.0,7855529.2883584,0.6329,2024-08-21 20:45:29,12844730.816,-41505.8506000005,-7838.0,-0.0032209443,-0.0003860536,0.3868,0.3873,0.3868,0.3873,17307.0
2024-08-21 12:50:00,YGGUSDT,66c5e2a4955bb0ecdeb7ad57,Binance,5m,20290060.0,7846166.202,0.6347,2024-08-21 20:50:44,12878101.082,33370.2660000008,-4980.0,0.0025979732,-0.0002453802,0.3867,0.3867,0.3864,0.3866,3860.0
2024-08-21 12:55:00,YGGUSDT,66c5e3bf696867b8fc080b22,Binance,5m,20293168.0,7839250.7984,0.6306,2024-08-21 20:55:27,12796871.7408,-81229.3411999997,3108.0,-0.0063075558,0.0001531785,0.3862,0.3865,0.3862,0.3865,16792.0
2024-08-21 13:00:00,YGGUSDT,66c5e4f13890c4e5e7392153,Binance,5m,20304724.0,7853125.91772676,0.6329,2024-08-21 21:00:33,12850859.8196,53988.0788000003,11556.0,0.0042188497,0.0005694527,0.3866,0.3869,0.3864,0.3869,6756.0
2024-08-21 13:05:00,YGGUSDT,66c5e61e1e6164822dc0fe8d,Binance,5m,20298404.0,7861571.8692,0.633,2024-08-21 21:05:34,12848889.732,-1970.0876000002,-6320.0,-0.000153304,-0.0003112576,0.3872,0.3879,0.3871,0.3879,35520.0
2024-08-21 13:10:00,YGGUSDT,66c5e74766773cb51866f5b4,Binance,5m,20296842.0,7872045.32890044,0.6318,2024-08-21 21:10:31,12823544.7756,-25344.9563999996,-1562.0,-0.0019725406,-7.69519e-05,0.3879,0.3881,0.3878,0.3879,7095.0
2024-08-21 13:15:00,YGGUSDT,66c5e87d9cc3e32362720874,Binance,5m,20285223.0,7851227.1947991,0.6333,2024-08-21 21:15:41,12846631.7259,23086.9502999987,-11619.0,0.0018003564,-0.0005724536,0.3869,0.3875,0.3866,0.3875,12880.0
2024-08-21 13:20:00,YGGUSDT,66c5e99b156fd08044090ac6,Binance,5m,20283207.0,7861884.6191592,0.6334,2024-08-21 21:20:27,12847383.3138,751.5878999997,-2016.0,5.85047e-05,-9.93827e-05,0.3877,0.3877,0.3873,0.3873,4662.0
2024-08-21 13:25:00,YGGUSDT,66c5eacf7865dee90f0ea371,Binance,5m,20281930.0,7863718.012372,0.633,2024-08-21 21:25:35,12838461.69,-8921.6238000002,-1277.0,-0.0006944312,-6.29585e-05,0.3875,0.3878,0.3873,0.3873,11276.0
2024-08-21 13:30:00,YGGUSDT,66c5ec016d602c4022f2a38f,Binance,5m,20290086.0,7848205.2648,0.6318,2024-08-21 21:30:41,12819276.3348,-19185.3551999982,8156.0,-0.0014943656,0.0004021314,0.3868,0.3869,0.3866,0.3869,14058.0
2024-08-21 13:35:00,YGGUSDT,66c5ed26872760fff38429c3,Binance,5m,20245619.0,7798156.9123725,0.6328,2024-08-21 21:35:34,12811427.7032,-7848.6316,-44467.0,-0.0006122523,-0.0021915629,0.3847,0.3857,0.3847,0.3856,32855.0
2024-08-21 13:40:00,YGGUSDT,66c5ee55956c2c6506ba24fb,Binance,5m,20210865.0,7790823.2033877,0.6335,2024-08-21 21:40:37,12803582.9775,-7844.7257000022,-34754.0,-0.0006123225,-0.0017166183,0.3854,0.3855,0.3846,0.3846,60631.0
2024-08-21 13:45:00,YGGUSDT,66c5ef7b3c950f493078a097,Binance,5m,20097790.0,7693680.0089496,0.6443,2024-08-21 21:45:31,12949006.097,145423.1195,-113075.0,0.0113580019,-0.005594763,0.3827,0.3829,0.3815,0.3817,59079.0
2024-08-21 13:50:00,YGGUSDT,66c5f0af55cd5a2e2a86a474,Binance,5m,20041081.0,7685982.43059097,0.6367,2024-08-21 21:50:39,12760156.2727,-188849.8242999986,-56709.0,-0.0145841173,-0.0028216535,0.3835,0.3835,0.3828,0.3832,32932.0
2024-08-21 13:55:00,YGGUSDT,66c5f1da3356402175af5ffd,Binance,5m,20037517.0,7712864.68791006,0.6356,2024-08-21 21:55:38,12735845.8052,-24310.4674999993,-3564.0,-0.0019051857,-0.0001778347,0.3849,0.3861,0.3849,0.3858,36089.0
2024-08-21 14:00:00,YGGUSDT,66c5f30a59e3fd272d1e21eb,Binance,5m,19983058.0,7855435.81864782,0.6322,2024-08-21 22:00:42,12633289.2676,-102556.5376000013,-54459.0,-0.0080525895,-0.0027178517,0.3928,0.3937,0.3925,0.3931,133501.0
2024-08-21 14:05:00,YGGUSDT,66c5f42ad026c2e610a4a389,Binance,5m,20058992.0,7911760.49777296,0.6311,2024-08-21 22:05:30,12659229.8512,25940.5835999995,75934.0,0.0020533515,0.0037999189,0.3943,0.3954,0.3936,0.3954,90433.0
2024-08-21 14:10:00,YGGUSDT,66c5f5544e6d3f54b06a1045,Binance,5m,20065438.0,7923288.26207434,0.6323,2024-08-21 22:10:28,12687376.4474,28146.5962000005,6446.0,0.0022234051,0.0003213521,0.3951,0.3966,0.3951,0.3962,94151.0
2024-08-21 14:15:00,YGGUSDT,66c5f67f2db98255885f0aa4,Binance,5m,20067774.0,7856533.521,0.6315,2024-08-21 22:15:27,12672799.281,-14577.1664000005,2336.0,-0.0011489504,0.0001164191,0.3914,0.3935,0.3914,0.3922,123287.0
