datetime,symbol,_id,exchange,interval,sumOpenInterest,sumOpenInterestValue,longAccount,inserted_datetime,long_OI,long_OI_change,sum_OI_change,long_OI_pct_change,sum_OI_pct_change,open,high,low,close,volume
2024-08-21 10:35:00,ZENUSDT,66c5c37233a1faa0652bd13d,Binance,5m,875603.7,6729697.8081637,0.671,2024-08-21 18:37:38,587530.0827,-54.7375200001,-212.1000000001,-9.31568e-05,-0.0002421742,7.679,7.679,7.667,7.671,1165.4
2024-08-21 10:40:00,ZENUSDT,66c5c43075fa436123578e38,Binance,5m,874682.4,6711665.17523198,0.673,2024-08-21 18:40:48,588661.2552,1131.1725,-921.2999999999,0.0019253014,-0.0010521883,7.668,7.671,7.667,7.671,129.6
2024-08-21 10:45:00,ZENUSDT,66c5c55232c70d8ca7f02e75,Binance,5m,874670.0,6715773.8745129,0.6734,2024-08-21 18:45:38,589002.778,341.5228,-12.4,0.0005801686,-1.41766e-05,7.676,7.684,7.676,7.678,1429.2
2024-08-21 10:50:00,ZENUSDT,66c5c6790d2848928364825a,Binance,5m,874585.4,6724724.73902635,0.6741,2024-08-21 18:50:33,589558.0181400001,555.24014,-84.6,0.0009426783,-9.67222e-05,7.685,7.706,7.685,7.706,2360.3
2024-08-21 10:55:00,ZENUSDT,66c5c7a50788cec8cdab2665,Binance,5m,874795.0,6746689.22043575,0.6738,2024-08-21 18:55:33,589436.8709999999,-121.1471400001,209.6,-0.0002054881,0.0002396564,7.708,7.708,7.706,7.707,125.7
2024-08-21 11:00:00,ZENUSDT,66c5c8ccd0a6235fd39c1e91,Binance,5m,874569.0,6742926.99,0.6749,2024-08-21 19:00:28,590246.6181000001,809.7471000002,-226.0,0.0013737639,-0.0002583462,7.707,7.712,7.706,7.708,424.3
2024-08-21 11:05:00,ZENUSDT,66c5ca00cd9cfc74bfecfea5,Binance,5m,874379.5,6742340.3245,0.6719,2024-08-21 19:05:36,587495.58605,-2751.03205,-189.5,-0.004660818,-0.0002166782,7.707,7.707,7.699,7.699,290.8
2024-08-21 11:10:00,ZENUSDT,66c5cb33b4d7755ce8dab576,Binance,5m,873811.8,6723107.9892,0.6724,2024-08-21 19:10:43,587551.05432,55.46827,-567.7,9.44148e-05,-0.0006492604,7.697,7.699,7.694,7.695,540.6
2024-08-21 11:15:00,ZENUSDT,66c5cc51f5f1cc5b4772586a,Binance,5m,873461.9,6715338.73902158,0.6728,2024-08-21 19:15:29,587665.16632,114.112,-349.9,0.0001942163,-0.0004004295,7.689,7.692,7.686,7.686,658.0
2024-08-21 11:20:00,ZENUSDT,66c5cd8343e6d4110ddc655c,Binance,5m,873181.9,6709529.7196,0.6723,2024-08-21 19:20:35,587040.19137,-624.9749499999,-280.0,-0.0010634882,-0.0003205635,7.683,7.683,7.681,7.682,168.3
2024-08-21 11:25:00,ZENUSDT,66c5cea85e8107c04793f2b5,Binance,5m,872968.8,6707019.2904,0.6737,2024-08-21 19:25:28,588119.08056,1078.88919,-213.1,0.0018378455,-0.00024405,7.683,7.687,7.683,7.687,115.2
2024-08-21 11:30:00,ZENUSDT,66c5cfe37bc94cd7f1c05fb3,Binance,5m,872605.8,6709465.9962,0.6744,2024-08-21 19:30:42,588485.35152,366.27096,-363.0,0.0006227837,-0.0004158224,7.687,7.69,7.68,7.681,977.4
2024-08-21 11:35:00,ZENUSDT,66c5d10e4a4d6639b17eb3c0,Binance,5m,871733.3,6714259.21079353,0.6757,2024-08-21 19:35:42,589030.1908100001,544.83929,-872.5,0.0009258332,-0.0009998788,7.695,7.697,7.694,7.697,79.8
2024-08-21 11:40:00,ZENUSDT,66c5d23859906877aa08d12e,Binance,5m,871677.9,6708927.96994383,0.6765,2024-08-21 19:40:40,589690.09935,659.90854,-55.4,0.0011203306,-6.35515e-05,7.692,7.695,7.692,7.695,181.3
2024-08-21 11:45:00,ZENUSDT,66c5d363f0e99417ad49d9ba,Binance,5m,871588.5,6699900.7995,0.6765,2024-08-21 19:45:39,589629.62025,-60.4791,-89.4,-0.0001025608,-0.0001025608,7.687,7.687,7.678,7.682,331.7
2024-08-21 11:50:00,ZENUSDT,66c5d48a71bfb838c7807bf3,Binance,5m,871440.7,6700323.33716483,0.6758,2024-08-21 19:50:34,588919.6250599999,-709.9951900002,-147.8,-0.0012041376,-0.0001695754,7.686,7.686,7.681,7.686,307.0
2024-08-21 11:55:00,ZENUSDT,66c5d5ba5421c7fdf1dca0af,Binance,5m,871240.4,6703323.6376,0.6758,2024-08-21 19:55:38,588784.26232,-135.3627399999,-200.2999999999,-0.0002298493,-0.0002298493,7.693,7.695,7.691,7.691,238.3
2024-08-21 12:00:00,ZENUSDT,66c5d6e04c1e6610b6c52e0e,Binance,5m,871278.2,6699426.82896178,0.6758,2024-08-21 20:00:32,588809.80756,25.54524,37.7999999999,4.33864e-05,4.33864e-05,7.684,7.691,7.682,7.69,754.3
2024-08-21 12:05:00,ZENUSDT,66c5d812194a37119a33e072,Binance,5m,871560.4,6696198.5532,0.676,2024-08-21 20:05:38,589174.8304000001,365.0228400001,282.2000000001,0.0006199334,0.000323892,7.684,7.685,7.676,7.678,1349.3
2024-08-21 12:10:00,ZENUSDT,66c5d937030d4af13f43816d,Binance,5m,872221.4,6699532.5734,0.6773,2024-08-21 20:10:31,590755.55422,1580.72382,661.0,0.0026829453,0.0007584099,7.679,7.679,7.675,7.675,71.0
2024-08-21 12:15:00,ZENUSDT,66c5da5f1a353e7689c38d3f,Binance,5m,871949.8,6681751.3174,0.679,2024-08-21 20:15:27,592053.9142000001,1298.3599800001,-271.6,0.0021977956,-0.0003113888,7.663,7.663,7.661,7.663,224.8
2024-08-21 12:20:00,ZENUSDT,66c5db9a87429915e1a27b1a,Binance,5m,872153.1,6673715.5212,0.6787,2024-08-21 20:20:42,591930.30897,-123.6052300001,203.2999999999,-0.0002087736,0.0002331556,7.652,7.652,7.648,7.652,303.6
2024-08-21 12:25:00,ZENUSDT,66c5dcbf4410e87fb6578620,Binance,5m,871436.5,6669880.08899388,0.681,2024-08-21 20:25:35,593448.2565,1517.94753,-716.6,0.0025644024,-0.0008216447,7.654,7.654,7.648,7.653,488.4
2024-08-21 12:30:00,ZENUSDT,66c5dde22a76f630801ddd20,Binance,5m,871585.4,6672857.8224,0.6798,2024-08-21 20:30:26,592503.75492,-944.50158,148.9,-0.0015915483,0.0001708673,7.658,7.667,7.657,7.666,223.0
2024-08-21 12:35:00,ZENUSDT,66c5df18b57aac33cb36d640,Binance,5m,871202.4,6691038.21495338,0.6785,2024-08-21 20:35:36,591110.8284,-1392.92652,-383.0,-0.0023509159,-0.0004394291,7.676,7.676,7.669,7.669,654.0
2024-08-21 12:40:00,ZENUSDT,66c5e043ceb837855906c243,Binance,5m,875082.8,6701384.0824,0.6763,2024-08-21 20:40:35,591818.4976400001,707.6692400001,3880.4,0.0011971854,0.004454074,7.66,7.66,7.657,7.659,1217.6
2024-08-21 12:45:00,ZENUSDT,66c5e16c2c2ea1d744f116ec,Binance,5m,875071.3,6702283.63837061,0.6744,2024-08-21 20:45:32,590148.08472,-1670.41292,-11.5,-0.0028225088,-1.31416e-05,7.661,7.662,7.659,7.662,358.4
2024-08-21 12:50:00,ZENUSDT,66c5e29a955bb0ecdeb7ace9,Binance,5m,875394.7,6713239.03459238,0.6745,2024-08-21 20:50:34,590453.72515,305.6404299999,323.3999999999,0.0005179046,0.0003695699,7.664,7.671,7.664,7.668,248.7
2024-08-21 12:55:00,ZENUSDT,66c5e3c3696867b8fc080b5e,Binance,5m,875112.1,6700784.35123319,0.673,2024-08-21 20:55:31,588950.4433,-1503.2818499999,-282.6,-0.0025459774,-0.0003228258,7.654,7.656,7.653,7.656,267.3
2024-08-21 13:00:00,ZENUSDT,66c5e4f03890c4e5e739213c,Binance,5m,874949.6,6695114.3392,0.6739,2024-08-21 21:00:32,589628.53544,678.09214,-162.5,0.0011513569,-0.0001856905,7.652,7.657,7.649,7.654,1161.8
2024-08-21 13:05:00,ZENUSDT,66c5e61e1e6164822dc0fe8f,Binance,5m,874413.9,6699759.3018,0.6743,2024-08-21 21:05:34,589617.2927700001,-11.2426699999,-535.7,-1.90674e-05,-0.0006122638,7.661,7.665,7.66,7.665,99.2
2024-08-21 13:10:00,ZENUSDT,66c5e74566773cb51866f597,Binance,5m,874485.0,6701044.99490595,0.6752,2024-08-21 21:10:29,590452.272,834.9792299999,71.1,0.0014161376,8.13116e-05,7.661,7.661,7.656,7.656,143.6
2024-08-21 13:15:00,ZENUSDT,66c5e8759cc3e32362720807,Binance,5m,874211.7,6696176.75137544,0.6744,2024-08-21 21:15:33,589568.3704799999,-883.9015200001,-273.3,-0.0014969906,-0.0003125268,7.658,7.662,7.658,7.662,198.3
2024-08-21 13:20:00,ZENUSDT,66c5e9a2156fd08044090b1e,Binance,5m,873969.6,6698976.984,0.6765,2024-08-21 21:20:34,591240.4344,1672.0639200001,-242.1,0.0028360815,-0.0002769352,7.664,7.669,7.663,7.668,327.8
2024-08-21 13:25:00,ZENUSDT,66c5eacd7865dee90f0ea358,Binance,5m,873912.2,6709023.9594,0.6747,2024-08-21 21:25:33,589628.5613399999,-1611.8730600001,-57.4,-0.0027262565,-6.56773e-05,7.677,7.678,7.677,7.678,137.0
2024-08-21 13:30:00,ZENUSDT,66c5ec026d602c4022f2a396,Binance,5m,873875.2,6696480.24530918,0.6734,2024-08-21 21:30:42,588467.55968,-1161.00166,-37.0,-0.001969039,-4.23383e-05,7.66,7.665,7.658,7.663,87.1
2024-08-21 13:35:00,ZENUSDT,66c5ed2d872760fff3842a18,Binance,5m,871081.1,6632411.4954,0.6766,2024-08-21 21:35:41,589373.47226,905.91258,-2794.1,0.0015394435,-0.0031973673,7.619,7.634,7.619,7.632,1187.9
2024-08-21 13:40:00,ZENUSDT,66c5ee58956c2c6506ba2519,Binance,5m,871210.2,6642977.775,0.6796,2024-08-21 21:40:40,592074.4519199999,2700.97966,129.1,0.0045827982,0.0001482066,7.626,7.628,7.619,7.619,466.7
2024-08-21 13:45:00,ZENUSDT,66c5ef7e3c950f493078a0be,Binance,5m,870184.2,6603665.36079512,0.6841,2024-08-21 21:45:34,595293.01122,3218.5593000001,-1026.0,0.0054360719,-0.0011776722,7.591,7.592,7.576,7.582,877.1
2024-08-21 13:50:00,ZENUSDT,66c5f0ac55cd5a2e2a86a450,Binance,5m,870647.7,6618830.43995683,0.6794,2024-08-21 21:50:36,591518.04738,-3774.96384,463.5,-0.0063413542,0.0005326458,7.598,7.6,7.592,7.594,290.3
2024-08-21 13:55:00,ZENUSDT,66c5f1d43356402175af5fb3,Binance,5m,872556.4,6639234.89602809,0.6775,2024-08-21 21:55:32,591156.961,-361.08638,1908.7000000001,-0.0006104402,0.0021922759,7.61,7.62,7.608,7.62,1110.6
2024-08-21 14:00:00,ZENUSDT,66c5f2ff59e3fd272d1e2157,Binance,5m,874877.9,6721592.48012825,0.6789,2024-08-21 22:00:31,593954.60631,2797.6453099999,2321.5,0.0047324915,0.002660573,7.682,7.704,7.682,7.696,7382.0
2024-08-21 14:05:00,ZENUSDT,66c5f435d026c2e610a4a429,Binance,5m,873752.6,6734011.2882,0.6789,2024-08-21 22:05:41,593190.6401399999,-763.96617,-1125.3,-0.0012862366,-0.0012862366,7.711,7.715,7.704,7.714,1208.3
2024-08-21 14:10:00,ZENUSDT,66c5f5594e6d3f54b06a1087,Binance,5m,874914.7,6756091.3134,0.679,2024-08-21 22:10:33,594067.0813,876.44116,1162.1,0.0014775034,0.0013300103,7.725,7.734,7.725,7.729,1195.1
2024-08-21 14:15:00,ZENUSDT,66c5f6872db98255885f0b10,Binance,5m,873563.0,6694189.27771663,0.683,2024-08-21 22:15:35,596643.5290000001,2576.4477000001,-1351.7,0.0043369643,-0.0015449506,7.66,7.687,7.66,7.677,2074.0
2024-08-21 14:20:00,ZENUSDT,66c5f7b0d573cb7f0f95fca4,Binance,5m,873238.1,6679154.97769486,0.6799,2024-08-21 22:20:32,593714.58419,-2928.9448100001,-324.9,-0.0049090364,-0.0003719251,7.649,7.667,7.649,7.664,717.7
